"Sélectif Régional de slalom - Slalom Bertrand - Qualification - 2015-10-04","Qualification","2015-10-04","Régional","150"
"Maeva Bachelot","K1DM","154.33","-","706.01",""
"Camille Santa Cruz","K1DM","166.57","-","836.12",""
"Eglantine Coustellier","K1DM","170.63","-","879.27",""
"Oceane Dorval","K1DM","373.9","-","3039.9",""
"Virgile Pigache-donnet","K1H","90.33","231.44","150.56",""
"Damien Laborde","K1H","90.82","114.32","156.44",""
"Antoine Gaillard","K1H","92.34","163.71","174.7",""
"Bryan Seiler","K1H","98.22","160.5","245.33",""
"Quentin Clerc","K1H","99.43","268.1","259.86",""
"Alexandre Lismonde","K1H","100.3","242.8","270.31",""
"Clement Guiraud","K1H","100.55","-","273.31",""
"Hippolyte Cail","K1H","100.75","205.47","275.71",""
"Theo Lecomte","K1H","100.96","200.54","278.24",""
"Romain Chabrol","K1H","101.17","-","280.76",""
"Minhyeong Song","K1H","102.49","-","296.61",""
"Tom Deconchy","K1H","102.71","208.88","299.26",""
"Baptiste Tappero","K1H","103.96","303.2","314.27",""
"Louis Foissac","K1H","105.66","430.91","334.69",""
"Gregoire Pouille","K1H","106.11","298.05","340.09",""
"Matthieu Demarty","K1H","106.29","354.48","342.26",""
"Bernard Babi","K1H","106.31","-","342.5",""
"Herve Clerc","K1H","106.75","347.31","347.78",""
"Lucas Roisin","K1H","106.97","-","350.42",""
"Nicolas Durand","K1H","107.04","-","351.26",""
"Colin Molinier","K1H","107.71","385.06","359.31",""
"Vincent Ardonceau","K1H","107.93","358.6","361.95",""
"Olivier Cail","K1H","108.19","240.29","365.08",""
"Jeonghyeon Lee","K1H","108.83","-","372.76",""
"Jean-francois Souville","K1H","109.11","270.05","376.13",""
"Olivier Bachelot","K1H","109.51","447.58","380.93",""
"Maxime Gaillard","K1H","109.86","305.19","385.14",""
"Denis Delaleux","K1H","110.45","267.05","392.22",""
"Nicolas Ciemniewski","K1H","111.33","-","402.79",""
"Hugo Andre","K1H","112.63","328.99","418.41",""
"Francois Giondini","K1H","113.39","382.01","427.54",""
"Paul Gaillard","K1H","113.56","474.94","429.58",""
"Julien Delaleux","K1H","114.03","312.37","435.22",""
"Arthur Gaudron","K1H","114.76","392.98","443.99",""
"Lucas Lavit","K1H","115.04","314.06","447.35",""
"Alexandre Pouille","K1H","115.65","232.18","454.68",""
"Jules Cresp","K1H","116.2","308.59","461.29",""
"Paul Ballery","K1H","117.22","725.06","473.54",""
"Marc Cailhol","K1H","117.66","480.36","478.82",""
"Thomas Courtois","K1H","117.73","451.37","479.66",""
"Jae Hyeong Bak","K1H","117.98","-","482.67",""
"Nathan Pavot","K1H","121.32","470.75","522.78",""
"Cyril Audoit","K1H","122.67","370.11","539",""
"Loic Thibaut","K1H","124.29","389.68","558.46",""
"Samuel De Severac","K1H","126.08","536.73","579.96",""
"Valentin Affortit","K1H","126.58","520.81","585.96",""
"Fabien Leist","K1H","127.45","367.32","596.41",""
"Frederic Reus","K1H","134.46","425.32","680.61",""
"Seraphin Margot","K1H","137.11","554.05","712.44",""
"Philippe Bigard","K1H","139.64","705.83","742.83",""
"Enzo Briffa","K1H","140.95","612.66","758.56",""
"Gael Villar","K1H","148.22","637.09","845.88",""
"RomÉo Bex","K1H","149.81","712.8","864.98",""
"Luc Doye","K1H","155.43","218.17","932.48",""
"Antoine Lerat Pytlak","K1H","156.05","777.31","939.93",""
"Robin Plancade","K1H","158.77","593.97","972.6",""
"Amaury Viguier","K1H","160.48","-","993.14",""
"Victor Demer","K1H","167.9","-","1082.26",""
"Mathieu Lions","K1H","178.78","339.11","1212.94",""
"Jolan Konig","K1H","184.2","400.2","1278.04",""
"Eric Vuiet","K1H","201.77","741.96","1489.08",""
"Gauthier Fiorentino","K1H","339.17","1163.11","3139.41",""
"Ben Duwyn","K1H","Abs","-","-",""
"Jules Silvin","K1H","Abs","-","-",""
"Alexis Mercoirol","K1H","Abs","-","-",""
"Tom Bouchardon","K1HM","113.41","-","-",""
"Jeremie Palazy","K1HM","121.41","-","523.86",""
"Nour Ait Kaddour","K1HM","121.57","-","525.79",""
"Leo Vuitton","K1HM","124.09","-","556.05",""
"Thibault Clerc","K1HM","125.33","-","570.95",""
"Valentin Lacor","K1HM","125.62","-","574.43",""
"Tino Forgues","K1HM","126.64","-","586.68",""
"Tom Zanfini","K1HM","128.05","-","603.62",""
"Guilhem Viguier","K1HM","130.26","-","630.16",""
"Robin Andre","K1HM","142.12","-","-",""
"Elian Giondini","K1HM","148.98","-","855.01",""
"Felix Praderie","K1HM","152.82","-","901.13",""
"Samuel Taillefer","K1HM","199.91","-","1466.74",""
"Noah Dufenieux","K1HM","199.99","-","1467.7",""
"Thomas Fernandez","K1HM","309.45","-","-",""
"Charly Peiro","K1HM","530.96","-","-",""
"Aude Leonard","NAD","175.46","-","-",""
