"ROAZHON CUP - Servon sur Vilaine et SEV Cesson SÈvignÈ Double SÈlectif RÈgional Slalom  - 35000 Rennes - Course n∞1 | Qualification - 2019-11-23","Course n∞1 | Qualification","2019-11-23","RÈgional","175"
"Ambroise Perier","K1H","Abs","-","-",""
"Stephane Debliquy","K1H","Abs","-","-",""
"Martin Cornu","K1HM","99.86","374.2","311.43",""
"Elouan Debliquy","K1HM","103.97","386.24","365.33",""
"Jules Brisson","K1HM","106.68","525.93","400.86",""
"Maxence Gautier Grall","K1HM","111.1","545.33","458.82",""
"Arthur Lescarmontier","K1HM","115.6","620.42","517.83",""
"Milio Le Touze","K1HM","118.96","541.11","561.89",""
"Celio Chevallier","K1HM","119.03","585.34","562.81",""
"Mat…o Delachair","K1HM","123.43","658.86","620.5",""
"William Adeline","K1HM","127","776.88","667.31",""
"Thomas Le Devehat","K1HM","128.05","907.08","681.08",""
"Yunis Delahaye","K1HM","128.31","791.3","684.49",""
"Lubin Brionne","K1HM","129.38","831.76","698.52",""
"Clement Le Naour","K1HM","130.97","864.82","719.37",""
"Duncan Coppens","K1HM","132.16","847.82","734.97",""
"Nino Lechevallier","K1HM","132.24","1084.86","736.02",""
"Maxence Quillere","K1HM","133.49","892.4","752.41",""
"Lorenzo Caucheteux","K1HM","134.06","-","759.89",""
"Lenny Derrien","K1HM","135.74","729.84","781.92",""
"Oscar Lapiche--dedun","K1HM","138.6","871.7","819.42",""
"Mewen Coadou","K1HM","139.32","1171.21","828.86",""
"Lucas Hado","K1HM","140.64","1116.26","846.17",""
"Iwen Robic","K1HM","142.06","886.03","864.79",""
"Enzo Lallican","K1HM","142.4","1055.76","869.25",""
"Ewen Ulian","K1HM","144.21","1198.68","892.98",""
"Florian Manceau","K1HM","145.09","1124.54","904.52",""
"Simon Le Nevez","K1HM","146.61","1666.28","924.45",""
"Jonas Huet","K1HM","148.94","1118.04","955.01",""
"Jonas Le Guen","K1HM","150.14","369.71","970.74",""
"Victor Julou","K1HM","151.04","838.24","982.54",""
"Clement Hado","K1HM","152.05","1604","995.79",""
"Loan Beaucourt","K1HM","159.86","1477.16","1098.2",""
"William Guevel Badou","K1HM","174.18","-","1285.97",""
"Titouan Briand","K1HM","231.76","709.32","2041",""
"Melen Kervarec","K1HM","799.66","1092.56","9487.7",""
