"Sélectif N3 Sud Est - Fontaine De Vaucluse - 2002-04-28","Course 1","2002-04-28","Nationale 3","125"
"Jeremy Moureaux","K1H","176.24","331","327",""
"Keller Paco","K1H","176.41","382","328",""
"Michel Yannick","K1H","176.65","328","330",""
"Daumas Jeremy","K1H","177.26","344","335",""
"Sylvain Follenfant","K1H","177.33","363","336",""
"Yann Gudefin","K1H","177.52","334","337",""
"Thomas Bersinger","K1H","178.44","310","344",""
"Alain Ferry","K1H","178.78","400","347",""
"Cadene Thierry","K1H","178.87","332","347",""
"Mangeol Sebastien","K1H","179.65","317","353",""
"Balzeau Thomas","K1H","180.40","336","359",""
"Froissard Jonathan","K1H","181.56","451","368",""
"Cathala Florian","K1H","182.61","360","375",""
"Andy Pajani","K1H","183.79","437","385",""
"Lebourgeois Alexis","K1H","184.70","463","392",""
"Julien Guillerault","K1H","184.79","-","393",""
"Hugo Hager","K1H","184.82","498","393",""
"Lisbonne Francois","K1H","185.62","442","399",""
"Dutois Pierre","K1H","185.98","-","402",""
"Coulon Jerome","K1H","186.40","470","405",""
"Martelet Romain","K1H","186.59","459","406",""
"Prost Mathieu","K1H","188.32","403","419",""
"Pascal Ferry","K1H","188.62","449","421",""
"Yannick Besse","K1H","189.11","483","425",""
"Ploix Kevin","K1H","190.03","581","432",""
"Prive Jeremy","K1H","190.25","387","435",""
"Lalauze Charly","K1H","191.37","419","443",""
"Dufosse Gregoire","K1H","192.28","446","450",""
"Olivier Bourgey","K1H","194.17","514","464",""
"Biglione Guilhem","K1H","194.71","474","468",""
"Sylvain Gelloz","K1H","196.00","463","478",""
"Stephane Simonpietri","K1H","196.34","392","480",""
"Cognet Alexandre","K1H","196.58","-","482",""
"Nicolas Abbal","K1H","196.95","453","486",""
"Dejoux Maxime","K1H","198.81","-","500",""
"Bersinger Sylvain","K1H","200.14","480","510",""
"Hager Yoan","K1H","200.46","582","512",""
"Cottet Gaydon Francois","K1H","200.87","742","515",""
"Demay Romain","K1H","201.69","525","521",""
"Boissy Maxime","K1H","203.05","629","532",""
"Petrau Gay Michel","K1H","203.18","548","533",""
"Micheau Anthony","K1H","204.04","586","540",""
"Dorlencourt Richard","K1H","204.34","463","542",""
"Piquet Marius","K1H","205.69","513","552",""
"Sicre Thomas","K1H","206.61","492","559",""
"Audice Sebastien","K1H","207.29","-","564",""
"Patte Arnaud","K1H","208.37","675","572",""
"Bline Anthony","K1H","208.93","741","577",""
"Alauzet Pierre","K1H","209.00","628","577",""
"Bessiere Florian","K1H","210.01","643","585",""
"Romain Chabrol","K1H","210.32","660","588",""
"Barbaglia Sylvain","K1H","210.52","385","590",""
"Thomas Burnoud","K1H","213.79","687","614",""
"Pierron David","K1H","216.82","495","637",""
"Sigonneau Harold","K1H","219.23","-","656",""
"Poidevin Loic","K1H","226.61","-","712",""
"Jussiere Stephane","K1H","229.72","-","735",""
"Hubert Eric","K1H","231.39","-","749",""
"Gueriot Pierre","K1H","248.07","-","876",""
"Perales Thomas","K1H","268.86","-","1035",""
"Delpeyrou Alexis","K1H","309.47","-","1345",""
"Boutin Raoul","K1H","413.53","-","2141",""
"Boutin Richard","K1H","422.35","-","2208",""
