"Séletif National 3 Slalom Est - Lavancia Epercy - Finale - 2015-03-08","Finale","2015-03-08","Nationale 3","198"
"Christopher Lucas","K1H","111.96","475.57","510.2","Finale B"
"Dyclan Plessis","K1H","113.16","470.7","526.03","Finale B"
"Patrick Gass","K1H","113.18","376.42","526.3","Finale B"
"Rafael Pawlus","K1H","113.79","463.56","534.35","Finale B"
"Paul Gaillard","K1H","114.77","501.01","547.28","Finale B"
"Antoni Zaki","K1H","114.99","406.51","550.18","Finale B"
"Alexis Pacholak","K1H","116.21","744.45","566.28","Finale B"
"William Pawlus","K1H","118.15","538.06","591.89","Finale B"
"Augustin Jaujay","K1H","118.26","635.8","593.34","Finale B"
"Anthony Rouhier","K1H","118.53","626.51","596.9","Finale B"
"Loic Bouvier","K1H","118.83","681.44","600.86","Finale B"
"David Pierson","K1H","119.4","482.21","608.38","Finale B"
"Romain Gayral","K1H","119.45","475.21","609.04","Finale B"
"Bastien Caillet","K1H","119.71","605.51","612.47","Finale B"
"Johan Floquet","K1H","119.81","509.79","613.79","Finale B"
"Patrick Thevenin","K1H","119.93","547.85","615.38","Finale B"
"Erwan Degreve","K1H","121.89","551.24","641.24","Finale B"
"Francois Lecuit","K1H","124.35","523.79","673.71","Finale B"
"Yann Leruste","K1H","125.78","619.82","692.58","Finale B"
"Samuel Gerard","K1H","126.2","577.21","698.12","Finale B"
"Andre Kempf","K1H","126.62","610.87","703.67","Finale B"
"Hugo Martin -laemle","K1H","127.99","531","721.75","Finale B"
"Nicolas Gallais","K1H","128.28","657.41","725.57","Finale B"
"Ulysse Studer","K1H","129.59","618.58","742.86","Finale B"
"Loric Bertrand Delorme","K1H","129.67","699.36","743.92","Finale B"
"Florian Herrenberger","K1H","130.53","616.29","755.27","Finale B"
"Alexandre Lambert","K1H","132.87","571.31","786.15","Finale B"
"Arthur Tebib","K1H","133.83","716.6","798.82","Finale B"
"Vincent Chamois","K1H","179.27","755.41","1398.5","Finale B"
"Julian Guglielmo","K1H","179.99","607.38","1408","Finale B"
"Benjamin Gonthier","K1H","230.04","922.36","2068.52","Finale B"
