"Double Sélectif Régional Slalom - 14690 Pont D Ouilly - Course n°2 | Finale - 2020-01-26","Course n°2 | Finale","2020-01-26","Régional","134"
"Ophelie Delaplace","K1D","114.58","368.85","405.68","Course n°2 | Finale A"
"Faustine Grandin","K1D","117.78","764.81","443.77","Course n°2 | Finale A"
"Coline Regnier","K1D","120.13","455.74","471.75","Course n°2 | Finale A"
"Estelle Brodin","K1D","129.88","650.11","587.8","Course n°2 | Finale A"
"Elise Masseline","K1D","132.02","492.79","613.27","Course n°2 | Finale A"
"Orlane Colmant","K1D","168.68","1396.45","1049.63","Course n°2 | Finale A"
"Zoe Dronne","K1DM","130.32","573.1","593.03","Course n°2 | Finale A"
"Lise Guyomarc'h","K1DM","150.85","942.66","837.41","Course n°2 | Finale A"
"Sandre Meyer","K1DM","166.79","1138.96","1027.14","Course n°2 | Finale A"
"Clemence Jaroszewski","K1DM","197.47","2594.51","1392.31","Course n°2 | Finale A"
"Benjamin Thiboust","K1H","91.76","193.21","276.05","Course n°2 | Finale A"
"Anthony Thuillier","K1H","91.81","230.26","276.72","Course n°2 | Finale A"
"Jean Messialle","K1H","94.35","306.23","310.89","Course n°2 | Finale A"
"Matheo Dupont","K1H","95.98","298.6","332.81","Course n°2 | Finale A"
"Thibaut Evrard","K1H","96.78","300.76","343.57","Course n°2 | Finale A"
"Louison Decarsin","K1H","104.37","502.61","445.66","Course n°2 | Finale A"
"Titouan Aussant","K1H","104.41","344.98","446.2","Course n°2 | Finale A"
"Florian Jumetz","K1H","104.88","368.69","452.52","Course n°2 | Finale A"
"Pierric Clipet","K1H","104.91","452.83","452.92","Course n°2 | Finale A"
"Emeric Bertrand","K1H","105.14","395.38","456.01","Course n°2 | Finale A"
"Mathis Pomares","K1H","106.9","543.83","479.69","Course n°2 | Finale A"
"Dimitry Vandenabeele","K1H","106.92","449.22","479.96","Course n°2 | Finale A"
"Estephe Decarsin","K1H","108.01","301.7","494.62","Course n°2 | Finale A"
"Gaspard Perrio","K1H","109.37","717.4","512.91","Course n°2 | Finale A"
"Quentin Podevin","K1H","109.62","494.95","516.27","Course n°2 | Finale A"
"Jean Aussant","K1H","109.91","366.93","520.17","Course n°2 | Finale A"
"Fabien Bonvalet","K1H","111.3","385.68","538.87","Course n°2 | Finale A"
"Erwan Laloux","K1H","117.04","517","616.07","Course n°2 | Finale A"
"Sebastien Delaunay","K1H","118.1","583.33","630.33","Course n°2 | Finale A"
"Timothee Clep","K1H","118.66","615.75","637.86","Course n°2 | Finale A"
"Tom Allio","K1H","121.57","695.39","677","Course n°2 | Finale A"
"Theo Moalic","K1H","164.31","436.59","1251.86","Course n°2 | Finale A"
"Killian Flegeau","K1H","211.71","208.53","1889.4","Course n°2 | Finale A"
"Tao Petit","K1HM","114.73","580.13","585","Course n°2 | Finale A"
"Guillaume Cahagne","K1HM","120.94","693.5","668.53","Course n°2 | Finale A"
"Quentin Dubelloy","K1HM","125.56","768.21","730.67","Course n°2 | Finale A"
"Antonin Costa","K1HM","130.24","683.73","793.61","Course n°2 | Finale A"
"Jonas Huet","K1HM","134.82","966.1","855.22","Course n°2 | Finale A"
"Romain Podevin","K1HM","143.06","899.54","966.05","Course n°2 | Finale A"
"Siann Delahaye","K1HM","144.52","969.21","985.68","Course n°2 | Finale A"
"Hugo Mayaud Ingham","K1HM","146.83","1353.99","1016.75","Course n°2 | Finale A"
"Romain Brunet","K1HM","164.69","980.58","1256.97","Course n°2 | Finale A"
"Julie Dupas","C1D","143.71","510.8","657.63","Course n°2 | Finale B"
"Mylene Despres","C1D","146.9","576.13","693.39","Course n°2 | Finale B"
"Emma Pouilly","C1D","149.87","640.7","726.68","Course n°2 | Finale B"
"Thibaut Evrard","C1H","123.77","721.03","632.32","Course n°2 | Finale B"
"Mathis Pomares","C1H","124.68","659.14","643.98","Course n°2 | Finale B"
"Theo Moalic","C1H","124.73","565.18","644.61","Course n°2 | Finale B"
"Pierric Clipet","C1H","127.32","598.29","677.79","Course n°2 | Finale B"
"Geoffroy Lauth","C1H","135.22","717.68","778.99","Course n°2 | Finale B"
"Nino Lechevallier","C1H","147.28","992.61","933.48","Course n°2 | Finale B"
"Lubin Brionne","C1H","158.18","1044.78","1073.11","Course n°2 | Finale B"
"Oscar Lapiche--dedun","C1H","160.21","1112.58","1099.1","Course n°2 | Finale B"
"Thomas Gossieaux","C1H","171.15","1104.67","1239.24","Course n°2 | Finale B"
"Matheo Dupont","C1H","174.21","509.41","1278.44","Course n°2 | Finale B"
"Gatien Bocage","C1H","177.99","1431.31","1326.86","Course n°2 | Finale B"
"Tao Petit","C1HM","135.96","1355.86","788.47","Course n°2 | Finale B"
"Baptiste Ozieblo","C1HM","189.14","2194.69","1469.68","Course n°2 | Finale B"
"Siann Delahaye","C1HM","191.31","1535.22","1497.49","Course n°2 | Finale B"
"Paul Le Boulanger-Thomas Gossieaux","C2H","196.05","2016.93","1444.05","Course n°2 | Finale B"
"Tom Allio-Estephe Decarsin","C2H","Des","-","-","Course n°2 | Finale B"
"Maxime Vautier-Olivier Dulouard","C2H","Des","-","-","Course n°2 | Finale B"
"Salome Huet-Titouan Aussant","C2M","155.22","784.68","786.64","Course n°2 | Finale B"
"Geoffroy Lauth-Delphine Brunet","C2M","156.24","738.21","798.08","Course n°2 | Finale B"
"Emeric Bertrand-Agnes Blanchemain","C2M","164.97","826.96","895.93","Course n°2 | Finale B"
"Pauline Lybrecht","K1D","136.57","556.42","672.42","Course n°2 | Finale B"
"Salome Huet","K1D","139.72","540.96","709.92","Course n°2 | Finale B"
"Mylene Despres","K1D","143.85","576.78","759.08","Course n°2 | Finale B"
"Daphnee Mouchelet","K1D","149.91","737.89","831.22","Course n°2 | Finale B"
"Delphine Brunet","K1D","154.43","890.12","885.02","Course n°2 | Finale B"
"Nine Meyer","K1D","157.32","747.41","919.41","Course n°2 | Finale B"
"Marie Vandeville","K1D","181.43","704.62","1206.4","Course n°2 | Finale B"
"Jade Anfrye","K1D","Des","-","-","Course n°2 | Finale B"
"Arthur Mizzi","K1H","85.92","141.44","202.5","Course n°2 | Finale B"
"Mathieu Aussant","K1H","100.83","420.19","403.04","Course n°2 | Finale B"
"Paul Le Boulanger","K1H","105.97","986.42","472.18","Course n°2 | Finale B"
"Louis Marvillet","K1H","111.05","531.72","540.51","Course n°2 | Finale B"
"Nicolas Bracquart","K1H","119.35","1046.95","652.14","Course n°2 | Finale B"
"Maxence Galy","K1H","119.59","684.63","655.37","Course n°2 | Finale B"
"Yann Castryck- -genereux","K1H","121.52","622.84","681.33","Course n°2 | Finale B"
"Thomas Gossieaux","K1H","122.43","785.54","693.57","Course n°2 | Finale B"
"Philippe Valeri","K1H","123.99","582.48","714.55","Course n°2 | Finale B"
"Nino Lechevallier","K1H","127.95","775.36","767.81","Course n°2 | Finale B"
"Thomas Brunet","K1H","128.49","779.37","775.08","Course n°2 | Finale B"
"Lubin Brionne","K1H","131.5","824.54","815.56","Course n°2 | Finale B"
"Gatien Bocage","K1H","133.24","750.29","838.96","Course n°2 | Finale B"
"Corentin Jan","K1H","136.41","781.41","881.6","Course n°2 | Finale B"
"Leo Leveque","K1H","140.39","865.63","935.13","Course n°2 | Finale B"
"Romain Laidet","K1H","145.56","1168.22","1004.67","Course n°2 | Finale B"
"Elias Schieber","K1H","146.77","1565.49","1020.95","Course n°2 | Finale B"
"Oscar Lapiche--dedun","K1H","150.6","869.45","1072.46","Course n°2 | Finale B"
"Leo Tellier","K1H","161.65","652.92","1221.08","Course n°2 | Finale B"
"Olivier Dulouard","K1H","173.29","673.35","1377.64","Course n°2 | Finale B"
"Geoffroy Lauth","K1H","186.67","1191.03","1557.61","Course n°2 | Finale B"
"Ariel Kasinski","K1H","Abs","-","-","Course n°2 | Finale B"
"Mathys Valliere","K1HM","145.17","960.64","999.43","Course n°2 | Finale B"
"Enzo Clupty","K1HM","166.88","1082.83","1291.43","Course n°2 | Finale B"
"Mathieu Lallier","K1HM","173.23","1446.57","1376.84","Course n°2 | Finale B"
"Baptiste Ozieblo","K1HM","176.49","1004.88","1420.69","Course n°2 | Finale B"
"Clement Jacqueline","K1HM","211.12","2116.46","1886.47","Course n°2 | Finale B"
"Marius Francoise","K1HM","244.53","2030.31","2335.84","Course n°2 | Finale B"
"Gabriel Stefanovitch","K1HM","259.38","1111.61","2535.57","Course n°2 | Finale B"
"Sacha Ruel Leduc","K1HM","201.37","-","-","Course n°2 | Finale B"
