"6ème Manche Championnat de France N1 - Pau - Course de qualification - 2010-04-04","Course de qualification","2010-04-04","Nationale 1","126"
"Vivien Colober","K1H","97.68","3","32",""
"Quentin Bove","K1H","98.22","12","33",""
"Christophe Marechal","K1H","98.65","43","35",""
"Samuel Lhegu","K1H","98.68","47","35",""
"Guillaume Bandelier","K1H","99.02","45","36",""
"Quentin Burgi","K1H","99.66","17","38",""
"Ronan Lucas","K1H","100.83","37","42",""
"Aurelien Maynadier","K1H","101.11","23","43",""
"Louis Philippe Rigal","K1H","101.23","50","44",""
"Benoit Molinier","K1H","101.71","27","45",""
"Arnaud Lapeze","K1H","101.84","25","46",""
"Pierre Marie Roussel","K1H","101.9","25","46",""
"Emmanuel Walczak","K1H","102.24","13","47",""
"Nicolas Veillard","K1H","102.41","25","48",""
"Hugo Cailhol","K1H","102.68","27","49",""
"Loris Minvielle","K1H","102.93","38","49",""
"Jonathan Delagnes","K1H","103.85","40","52",""
"Johan De Mareuil","K1H","106.5","32","61",""
"Julien Haberland","K1H","106.61","35","62",""
"Julien Billaut","K1H","148.49","42","203",""
"Jules Bevalot","K1H","151.24","28","213",""
"Vincent Reiter","K1H","162.37","47","250",""
"Goulwen Chapelier","K1H","254.84","39","562",""
"Fabien Lefevre","K1H","Nt","-","-",""
"Paul Brier","K1H","Nt","-","-",""
