"Championnat Régional - Tardoire - Finale - 2014-04-13","Finale","2014-04-13","Régional","166"
"Romain Gaillard","K1H","101.16","286.91","301.57","Finale A"
"Benoit Lasserre","K1H","102.99","410.99","326.06","Finale A"
"Axel Delage","K1H","104.08","382.66","340.65","Finale A"
"Thomas Dieusaert","K1H","104.39","-","344.8","Finale A"
"Lucas Joubert","K1H","105.24","402.8","356.17","Finale A"
"Brice Guintard","K1H","107.02","387.37","380","Finale A"
"Cyril Launay","K1H","107.24","380.24","382.94","Finale A"
"Valentin Soullard","K1H","110.15","412.79","421.89","Finale A"
"Theo Desvignes","K1H","152.55","322.76","989.34","Finale A"
"Thibaud Delaunay","K1H","Nt","-","-","Finale A"
"Yanis Rainaud","K1HM","99.66","-","-","Finale A"
"Isaac Dufrene","K1HM","101.93","-","-","Finale A"
"Florentin Saumon","K1HM","107.7","-","-","Finale A"
"Julien Pajaud","K1HM","108.6","-","-","Finale A"
"Matheo Gillaizeau","K1HM","109.18","-","-","Finale A"
"Thomas Riviere","K1HM","113.27","-","-","Finale A"
"Abdelkrim Ali Zazou","C1H","104.88","-","289.52","Finale B"
"Anthony Roux","C1H","107.72","461.42","325.71","Finale B"
"Pierre Giudicelli","C1H","110.28","451.35","358.35","Finale B"
"Pierre-louis Vergnault","C1H","110.6","-","362.42","Finale B"
"Theo Desvignes","C1H","113.54","465.9","399.89","Finale B"
"Mathieu Villeger","C1H","114.91","-","417.36","Finale B"
"Clement Jouannaud","C1H","117.6","517.47","451.65","Finale B"
"Axel Delage","C1H","122.44","606.33","513.34","Finale B"
"Dylan Sourbe","C1H","123.67","603.76","529.02","Finale B"
"Pierre Le Gall","C1H","125.14","538.22","547.75","Finale B"
"Alexis Dorey","C1H","134.3","911.08","664.51","Finale B"
"Cyril Launay","C1H","134.58","629.29","668.07","Finale B"
"Mathias Pannetier","C1H","134.7","745.35","669.61","Finale B"
"Gaetan Cuvillier","C1H","146.25","-","816.82","Finale B"
"Charly Gaborit","C1H","146.67","-","822.18","Finale B"
"Daniel Bregazzi","C1H","153.26","856.97","906.17","Finale B"
"Logan Stenton","C1H","166.16","536.33","1070.6","Finale B"
"Julien Moreau","C1H","198.25","796.53","1479.62","Finale B"
"Nicolas Baudoin-Remi Parayre","C2H","115.47","445.18","357.6","Finale B"
"Adrien Picco-Etienne Chauvin","C2H","124.33","-","465.39","Finale B"
"Pierre Le Gall-Maxime Barrault","C2H","127.4","494.55","502.74","Finale B"
"Louis Bouchiat-Michael Guyon","C2H","127.94","480.82","509.31","Finale B"
"Anthony Roux-Logan Stenton","C2H","143.75","867.88","701.67","Finale B"
"Axel Gauthard-Edouard Paul-hazard","C2H","159.73","1348.25","896.09","Finale B"
"Antoine Bougette-Cyril Launay","C2H","179.73","-","1139.43","Finale B"
"Ella Bregazzi-Daniel Bregazzi","C2M","146.51","-","586.71","Finale B"
"Emma Lars","K1D","108.43","346.83","236.92","Finale B"
"Lucie Freyssinet","K1D","111.88","329.81","277.78","Finale B"
"Djemy Martin","K1D","119.59","400.18","369.1","Finale B"
"Olivia Legrix","K1D","120.47","465.32","379.52","Finale B"
"Soline Delage","K1D","132.97","641.8","527.57","Finale B"
"Helene Baty","K1D","133.65","570.76","535.61","Finale B"
"Arthur Huet","K1H","92.05","277.71","184.65","Finale B"
"Quentin Chauvin","K1H","95.12","241.21","225.74","Finale B"
"Arthur Traquet","K1H","99.26","331.04","281.14","Finale B"
"Louis Bouchiat","K1H","100.98","431.19","304.16","Finale B"
"Jeremi Toso","K1H","108.13","349.27","399.85","Finale B"
"Wilfried Truffy","K1H","110.13","544.16","426.62","Finale B"
"Axel Gauthard","K1H","110.83","524.25","435.99","Finale B"
"Alexis Dorey","K1H","111.27","446.4","441.88","Finale B"
"Thomas Chagnaud","K1H","111.85","573.21","449.64","Finale B"
"Pierre-louis Vergnault","K1H","111.96","-","451.11","Finale B"
"Jean-philippe Brothier","K1H","113.49","-","471.59","Finale B"
"Raphael Jean","K1H","113.75","532.87","475.07","Finale B"
"Daniel Bregazzi","K1H","114.68","502.29","487.51","Finale B"
"Gaetan Cuvillier","K1H","116.33","790.31","509.6","Finale B"
"Frederic Foubert","K1H","119.71","661.98","554.83","Finale B"
"Leo Aranda","K1H","119.75","672.44","555.37","Finale B"
"Charly Gaborit","K1H","121.94","-","584.68","Finale B"
"Romain Rageau","K1H","122.22","742.82","588.42","Finale B"
"Armand Vergnault","K1H","122.43","610.86","591.23","Finale B"
"Yann Maillocheau","K1H","123.99","-","612.11","Finale B"
"Maxime Bouvet","K1H","125.6","722.02","633.66","Finale B"
"Nathan Ferchaud","K1H","128.23","-","668.86","Finale B"
"Dyllan Van De Weghe","K1H","128.65","-","674.48","Finale B"
"Julien Moreau","K1H","129.09","797.25","680.37","Finale B"
"Guillaume Morel","K1H","130.04","-","693.08","Finale B"
"Loick Dubois","K1H","130.4","715.66","697.9","Finale B"
"Antoine Bougette","K1H","131.15","1023.61","707.94","Finale B"
"Corentin Donnou","K1H","135.11","-","760.93","Finale B"
"Yves Nicot","K1H","136.44","714.27","778.73","Finale B"
"Pierre Dieusaert","K1H","138.38","1335.28","804.7","Finale B"
"Jordan Dieusaert","K1H","138.5","741.65","806.3","Finale B"
"Maurice Pubert","K1H","140.21","803.4","829.19","Finale B"
"Etienne Bennetot","K1H","141.82","988.67","850.74","Finale B"
"Edouard Paul-hazard","K1H","143.68","949.05","875.63","Finale B"
"NaËl Rajoub","K1H","144.49","1104.02","886.47","Finale B"
"Thierry Le Bonniec","K1H","145.96","702.98","906.14","Finale B"
"Nour Rajoub","K1H","191.27","1162.06","1512.54","Finale B"
"Morgan Deneuvy","K1H","266.79","1165.15","2523.25","Finale B"
"Clement Capillon","K1HM","124.26","-","-","Finale B"
"Nathan Cordier","K1HM","124.62","-","-","Finale B"
"Matisse Bourreau","K1HM","126.82","-","-","Finale B"
"Maxime Dubois","K1HM","129.76","-","-","Finale B"
"Sylvain Decombe","K1HM","134.09","-","-","Finale B"
"Adrien Latus","K1HM","136.39","-","-","Finale B"
