"Sélectif N2 - Huningue - 2011-04-17","Course 1","2011-04-17","Nationale 2","166"
"Marion Laurain","K1D","126.8","209.63","176.69",""
"Emeline Oudet","K1D","126.94","203.33","177.87",""
"Raphaelle Hovine","K1D","128.28","169.5","189.23",""
"Marion Delorme","K1D","128.97","169.27","195.08",""
"Anais Couturier","K1D","129.56","233.07","200.07",""
"Camille Andrieux","K1D","129.82","188.42","202.27",""
"Berangere Baudart","K1D","130.05","160","204.22",""
"Elodie Delavelle","K1D","130.12","151.11","204.81",""
"Anne Fischer","K1D","130.37","184.74","206.94",""
"Oceane Vienet","K1D","131.33","252.35","215.06",""
"Julie Wassmer","K1D","131.61","188.65","217.44",""
"Stephanie Ansot","K1D","134.46","200.33","241.58",""
"Carine Chapuis","K1D","134.97","187.73","245.9",""
"Charlotte Lubineau","K1D","134.99","193.33","246.07",""
"Sylvie Metz","K1D","136.8","255.14","261.4",""
"Morgane Charron","K1D","137.94","257.02","271.06",""
"Clara Gache","K1D","138.65","242.44","277.08",""
"Claire Gaigeot","K1D","143.41","235.49","317.41",""
"Louise Seban","K1D","143.86","233.45","321.22",""
"Lucile Remond","K1D","143.88","262.63","321.38",""
"Emma Maujean","K1D","148.62","278.74","361.54",""
"Kevin Schultz","K1H","98.56","79.13","46",""
"Davy Egraz","K1H","101.18","75.53","71.08",""
"Jonathan Chapatte","K1H","101.35","88.79","72.71",""
"Boris Chenal","K1H","101.57","72.51","74.81",""
"Remi Baudot","K1H","101.75","78.51","76.54",""
"Sylvain Dandel","K1H","101.8","103.34","77.01",""
"Bertrand Gutierrez","K1H","101.98","78.46","78.74",""
"Antoine Colas","K1H","102.2","86.71","80.84",""
"Willy Hugedet","K1H","103.08","125.55","89.27",""
"Thibault Gibert","K1H","103.17","80.45","90.13",""
"Jerome Olhagaray","K1H","103.19","67.55","90.32",""
"Alexis Caspar","K1H","103.22","79.26","90.61",""
"Nathan Barbier","K1H","103.49","145.41","93.19",""
"Arthur Bernot","K1H","104.04","127.22","98.46",""
"Florient Tagnon","K1H","104.21","100.4","100.08",""
"Mathieu Douillet","K1H","104.77","148.58","105.45",""
"Jonas Le Morvan","K1H","104.84","157.55","106.12",""
"Thomas Schmitt","K1H","104.97","118.6","107.36",""
"Mathieu Haberland","K1H","105.1","101.33","108.6",""
"Thibaut Chariot","K1H","105.42","171.13","111.67",""
"Jean Philippe Winiarski","K1H","105.63","158.82","113.68",""
"Maxence Grandadam","K1H","105.74","180.19","114.73",""
"Anthony Thuillier","K1H","105.75","118.2","114.83",""
"Tristan Bronsard","K1H","105.85","96.53","115.78",""
"Nikolas Stanik","K1H","106","127.35","117.22",""
"Silvere Desongins","K1H","106.1","123.79","118.18",""
"Hafiz Ali Hassan","K1H","106.27","140.19","119.8",""
"Jeremy Lehning","K1H","106.6","77.04","122.96",""
"Thomas Dandel","K1H","106.78","106.59","124.69",""
"George Meysner","K1H","106.89","85.33","125.74",""
"Maxime Faivre","K1H","106.94","141.13","126.22",""
"Enzo Seker","K1H","106.94","168.58","126.22",""
"Laurent Starck","K1H","107.17","167.11","128.42",""
"Vincent Gerdeaux","K1H","107.51","145.74","131.67",""
"Paul Aubert","K1H","107.56","71.01","132.15",""
"Billel Khenchouche","K1H","107.73","159.61","133.78",""
"Jeremy Vibert","K1H","107.74","124.51","133.88",""
"Emeric Vibert","K1H","107.83","158.31","134.74",""
"Xavier Marie","K1H","108.2","150.02","138.28",""
"Cyril Gisbert","K1H","108.58","180.66","141.92",""
"Matthieu Basset","K1H","108.64","130.25","142.49",""
"Pascal Ferry","K1H","108.85","112.72","144.5",""
"Bertrand Bercon","K1H","108.98","99.91","145.75",""
"Martin Daviet","K1H","109.04","91.53","146.32",""
"Nizar Samlal","K1H","109.08","146.08","146.7",""
"Gary Allemann","K1H","109.17","159.45","147.57",""
"Gael Wassmer","K1H","109.27","161.6","148.52",""
"Mael Othenin Girard","K1H","109.43","119","150.05",""
"Julien Arribe","K1H","109.64","90.33","152.06",""
"Lucas Ferraina","K1H","109.69","141.68","152.54",""
"Romain Faurie","K1H","109.76","87.67","153.21",""
"Michel Gombert","K1H","109.8","181.77","153.6",""
"Jean Messialle","K1H","110.17","137.12","157.14",""
"Anthony Deschamps","K1H","110.22","182.43","157.62",""
"Nicolas Burgi","K1H","110.31","148.09","158.48",""
"Julien Coudert","K1H","110.98","110.28","164.89",""
"Gregory Lebourgeois","K1H","111.11","142.99","166.14",""
"Thomas Neime","K1H","111.51","170.94","169.97",""
"Alexis Lozachmeur","K1H","112.21","179.06","176.67",""
"Olivier Hardonniere","K1H","112.48","185.04","179.25",""
"Matthieu Duval","K1H","113.05","192.79","184.71",""
"Jonathan Matern","K1H","113.68","199.61","190.74",""
"Florent Tamburini","K1H","114.86","180","202.03",""
"Nicolas Mangeolle","K1H","114.92","156.59","202.61",""
"Valentin Vibert","K1H","115.01","177.35","203.47",""
"Julien Jeanningros","K1H","115.48","189.79","207.97",""
"Nicolas Detheve","K1H","115.61","186.45","209.21",""
"Thibault Gache","K1H","115.71","154.96","210.17",""
"Olivier Urbain","K1H","115.98","181.31","212.76",""
"Loic Sieber","K1H","116.12","179.37","214.1",""
"Matthieu Walfard","K1H","116.72","186.75","219.84",""
"Jean Baptiste Thiel","K1H","116.78","172.34","220.41",""
"Damien Burteaux","K1H","117.45","177.61","226.83",""
"Maxime Di Lauro","K1H","117.69","166.63","229.13",""
"Romain Bertrand","K1H","126.43","195.49","312.79",""
"Pierre-adrien Vignal","K1H","Nt","-","-",""
