"Sélection N3 ouest, Inzinzac Lochrist - Parc Eau Vive De Locrhist - 2008-04-26","Course 1","2008-04-26","Nationale 3","192"
"Christophe Le Mercier","K1H","193.58","154","167",""
"Antoine Launay","K1H","195.82","246","179",""
"Joffrey Lemeux","K1H","197.07","191","187",""
"Sebastien Kerneis","K1H","199.10","213","200",""
"Pierre Bontoux","K1H","199.16","239","200",""
"Jean Messialle","K1H","199.52","230","202",""
"Pierre Yves Tanguy","K1H","199.80","227","204",""
"Regis Cabel","K1H","200.12","210","206",""
"Vincent Froger","K1H","200.54","217","208",""
"Tangui Quemeneur","K1H","201.11","234","211",""
"Fabien Cambon","K1H","202.08","330","217",""
"Tristan Bronsard","K1H","202.70","210","221",""
"Pierre-yves Lebreton","K1H","202.85","229","222",""
"Romain Lecrenais-perrel","K1H","203.13","229","223",""
"Vincent Lemonnier","K1H","203.17","222","224",""
"Clement Burel","K1H","203.18","241","224",""
"Remy Linard","K1H","203.31","237","225",""
"Riwal Chardon","K1H","203.34","269","225",""
"Quentin Lyphout","K1H","203.76","276","227",""
"Jacques Despierres","K1H","203.82","231","228",""
"Yves Prigent","K1H","204.71","260","233",""
"Alexandre Thomasseau","K1H","204.96","237","235",""
"Paul Storez","K1H","205.24","256","236",""
"Arnaud Le Calvez","K1H","205.57","275","238",""
"Felix Merzeau","K1H","205.63","311","239",""
"Erwan Beyou","K1H","206.14","204","242",""
"Pierre Mikolajczak","K1H","206.92","249","246",""
"Vincent Gestreau","K1H","207.80","417","251",""
"Marc Robert","K1H","208.06","321","253",""
"Melaine Caurant","K1H","208.13","289","253",""
"Antoine Godet","K1H","208.23","276","254",""
"Damien Gaillard","K1H","209.19","356","260",""
"Benoit Jouan","K1H","210.91","190","270",""
"Valentin Giret","K1H","210.94","336","271",""
"Fabien Le Bourser","K1H","211.40","260","273",""
"Ronan Gestin","K1H","211.48","278","274",""
"Maxime Bardieux","K1H","212.58","385","280",""
"Nicolas Marcus","K1H","213.18","288","283",""
"David Despierres","K1H","213.19","287","283",""
"Yoann Turowsky","K1H","213.25","300","284",""
"Etienne Legeay","K1H","213.84","222","287",""
"Matthieu Jonnart-baur","K1H","213.89","340","288",""
"Jeanpierre Le Lann","K1H","214.24","312","290",""
"Sebastien Gautier","K1H","214.57","335","292",""
"Jerome Talbot","K1H","214.85","286","294",""
"David Julou","K1H","215.07","406","295",""
"Alexis Lotton","K1H","216.92","304","306",""
"Julien Douais","K1H","218.15","323","313",""
"Maxime Beaulieu","K1H","218.48","353","315",""
"Logan Nannette","K1H","218.83","367","317",""
"Jean-noel Avril","K1H","218.88","314","317",""
"Nowan Bertin","K1H","218.96","412","318",""
"Mael Rogard","K1H","218.97","327","318",""
"Philippe Metran","K1H","219.02","300","318",""
"Gael Prodeau","K1H","219.23","405","320",""
"Valentin Lesseau","K1H","219.43","368","321",""
"William Basset","K1H","219.44","362","321",""
"Mathieu Eyrolle","K1H","220.00","388","324",""
"Benjamin Sanella","K1H","220.34","362","326",""
"Hoel Carnot","K1H","221.25","365","332",""
"Simon Vaillant","K1H","221.32","262","332",""
"Guillaume Chasseriault","K1H","223.18","414","344",""
"Simon Deboysson","K1H","223.52","297","346",""
"Camille L'hostis","K1H","224.12","390","349",""
"William Jacopin","K1H","224.60","350","352",""
"Pierre Emanuel Marchand","K1H","226.56","297","364",""
"Tanguy Le Marec","K1H","227.46","539","369",""
"Stephane Machet","K1H","228.18","453","374",""
"Antoine Michaud","K1H","228.33","450","375",""
"Sylvain Le Roux","K1H","228.60","407","376",""
"Maxime Dreux","K1H","228.73","427","377",""
"Thomas Drouart","K1H","228.91","351","378",""
"Victor Azam","K1H","229.28","348","380",""
"Quentin Gillot","K1H","230.60","380","388",""
"Guillaume Blin","K1H","232.42","387","399",""
"Jonas Turmeau","K1H","233.93","534","408",""
"Jean Thomas Genet","K1H","234.11","393","409",""
"Erwan Le Guevel","K1H","234.17","390","410",""
"Ludovic Gaignon","K1H","234.20","407","410",""
"Etienne Chauvin","K1H","234.21","524","410",""
"Valentin Soullard","K1H","237.50","498","429",""
"Francois Prevoteau","K1H","238.96","419","438",""
"Emmanuel L'anton","K1H","239.20","373","440",""
"Thomas Perrin","K1H","239.44","423","441",""
"Brindeau Joachim","K1H","241.78","451","454",""
"Simon Seuru","K1H","242.83","573","461",""
"Goulven Le Bigot","K1H","243.95","362","468",""
"Olivier Brillaut","K1H","244.41","501","471",""
"Gonthier Lucas","K1H","245.85","373","479",""
"Christophe Le Bihan","K1H","246.29","500","482",""
"Ludovic Garnier","K1H","247.50","347","489",""
"Pierrick Meheust","K1H","247.78","449","490",""
"David Couture","K1H","249.12","504","499",""
"Alexandre Rivolet","K1H","249.30","606","500",""
"Victor Carrouer","K1H","249.80","556","503",""
"Valentin Blondel","K1H","250.21","546","505",""
"Luc Jauvin","K1H","250.43","540","507",""
"Antoine Beaudoin","K1H","252.13","449","517",""
"Charlie Baron","K1H","252.14","503","517",""
"Richard Fradin","K1H","252.30","429","518",""
"Nicolas Leconte","K1H","252.34","566","518",""
"Matthias Jauvin","K1H","254.66","696","532",""
"Christophe Mitchell","K1H","255.12","458","535",""
"Maxime Thoreau","K1H","255.28","497","536",""
"Alexandre Plumejeau","K1H","256.43","660","543",""
"Simon Drouart","K1H","257.08","571","547",""
"Jean-noel Biteau","K1H","258.03","460","552",""
"Wilfried Harduin","K1H","258.51","603","555",""
"Romain Foulon","K1H","259.42","516","560",""
"Benjamin Martin","K1H","259.93","585","563",""
"Ludovic Couture","K1H","260.36","628","566",""
"Sylvain Georges","K1H","261.50","590","573",""
"Antoine Delcourt","K1H","262.86","743","581",""
"Pierreyves Hellard","K1H","263.61","572","586",""
"Anthime Larousse","K1H","264.53","613","591",""
"Gerard Lemonnier","K1H","265.37","618","596",""
"Alexandre Avril","K1H","268.59","541","615",""
"Benoit Ricard","K1H","269.44","323","621",""
"Christian Belouin","K1H","272.04","517","636",""
"Florian Loiseau","K1H","272.11","626","636",""
"Thibaut Mechling","K1H","272.93","686","641",""
"Etienne Baudry","K1H","277.05","626","666",""
"Gaetan Robin","K1H","277.15","626","666",""
"Julien Neymond","K1H","279.37","641","680",""
"Loic Kervella","K1H","282.06","394","696",""
"Thibaud Couetil","K1H","283.29","469","703",""
"Thierry Dugue","K1H","297.25","699","787",""
"Jeremy Pean","K1H","301.59","478","813",""
