"Nationale 3 - Vinon s sur  Verdon - 2012-04-08","Course 2","2012-04-08","Nationale 3","160"
"Caroline Incardona","K1D","128.59","304.18","297.43",""
"Cindy Coat","K1D","130.73","187.61","318.07",""
"Marine Tournier","K1D","136.93","317.22","377.88",""
"Noa Bouchardon","K1D","137.07","288.36","379.23",""
"Melanie Palazy","K1D","139.48","303.67","402.48",""
"Marie Troyano","K1D","157.81","290.02","579.28",""
"Marine Izac","K1D","169.48","472.37","691.83",""
"Barbara Lassechere","K1D","202.39","355.25","1009.27",""
"Clotilde Dumas","K1D","206.88","418.37","1052.58",""
"Lolita Ferland","K1D","233.47","648.88","1309.05",""
"Juliette Bonetti","K1D","318.33","762.54","2127.56",""
"Alysson Goyat","K1D","Nt","-","-",""
"Charlotte Issagarre","K1D","Nt","-","-",""
"Vincent Bocci","K1H","98.46","150.81","130.28",""
"Alexandre Pouille","K1H","98.59","203.56","131.69",""
"Romain Medale","K1H","99.88","168.09","145.75",""
"Leo Bernard","K1H","99.89","188.57","145.86",""
"Guillaume Graille","K1H","100.97","178.07","157.63",""
"Vincent Alves","K1H","101.15","160.3","159.6",""
"Thibault Le Henaff","K1H","101.63","191.34","164.83",""
"Benjamin Jacon","K1H","101.69","191.28","165.48",""
"Quentin Raissac","K1H","102.98","140.76","179.54",""
"Remi Parayre","K1H","103.1","183.53","180.85",""
"Valentin Bigonet","K1H","103.14","190.85","181.29",""
"Elie Miquel","K1H","103.23","241.97","182.27",""
"Baptiste Tappero","K1H","103.81","208.62","188.59",""
"Quentin Duhamel","K1H","104.25","238.19","193.38",""
"Mathieu Zorn","K1H","104.67","251.26","197.96",""
"Jean Saez","K1H","105.54","208.78","207.44",""
"Fabien Lanao","K1H","106.09","216.54","213.44",""
"Axel Rodriguez","K1H","106.13","272.62","213.87",""
"Nicolas Ciemniewski","K1H","106.39","184.4","216.71",""
"Adrien Tappero","K1H","106.5","221","217.91",""
"Ronan Cordier","K1H","106.91","251.54","222.38",""
"Pierre De La Morinerie","K1H","106.94","258.12","222.7",""
"Leo Fournier","K1H","108.09","218.79","235.24",""
"Jean Francois Bry","K1H","108.35","239.9","238.07",""
"Ludovic Pinchon","K1H","108.47","274.52","239.38",""
"Alexis Saut","K1H","108.76","267.9","242.54",""
"Sebastien Riou","K1H","108.8","242.66","242.98",""
"Edgar Prigent","K1H","109.18","280.53","247.12",""
"Mathieu Serret","K1H","109.28","329.64","248.21",""
"Clement Rio","K1H","109.67","255.91","252.46",""
"Herve Clerc","K1H","110.12","191.85","257.36",""
"Vincent Gisbert","K1H","110.3","328.73","259.32",""
"Julien Lafeuille","K1H","110.48","236.07","261.29",""
"Raphael Larranaga","K1H","111.37","295.92","270.99",""
"Jean-philippe Rome","K1H","112.58","279.51","284.18",""
"Benoit Jacquot-bertrand","K1H","113","309.51","288.75",""
"Florian Guillebeaud","K1H","113.07","294.85","289.52",""
"Corentin Quignard","K1H","113.14","299.68","290.28",""
"Julien Nutte","K1H","113.91","371.83","298.67",""
"Quentin Ducrot","K1H","114.85","308.38","308.92",""
"Yannis Brousset","K1H","115.02","330.52","310.77",""
"Jacques Roisin","K1H","115.66","279.18","317.75",""
"Antoine Dumaye","K1H","116.74","330.14","329.52",""
"Orion Ragnini","K1H","116.84","252.09","330.61",""
"Clement Sempastous","K1H","118.12","322.72","344.56",""
"Louis Benezit","K1H","118.47","505.27","348.37",""
"Henrique Almeida","K1H","118.94","312.11","353.5",""
"Clement Brumont","K1H","119.46","333.77","359.16",""
"Dariuch Bodin","K1H","120.3","275.19","368.32",""
"Guillaume Itou","K1H","120.73","327.12","373",""
"Theo Viens","K1H","121.31","444.52","379.33",""
"Matteo Dardonville","K1H","121.72","518.73","383.8",""
"Alexis Mercoirol","K1H","123.74","356.27","405.81",""
"Romain Delpui","K1H","123.79","340.51","406.36",""
"Teo Deconchy","K1H","123.94","320.32","407.99",""
"David Dih","K1H","124.01","406.9","408.75",""
"Mathias Levy","K1H","124.69","319.57","416.17",""
"David Pordoy","K1H","124.72","301.97","416.49",""
"Mathieu Lions","K1H","126.46","306.51","435.46",""
"Marc Cailhol","K1H","127.15","368.53","442.98",""
"Jonathan De Coninck","K1H","129.05","341.76","463.69",""
"Frederic Bordier","K1H","132.38","517.97","499.98",""
"Ollivier Paumier","K1H","133.13","397.49","508.16",""
"Anthony Poux","K1H","134.56","340.01","523.74",""
"Valentin Mannent","K1H","139.81","695.28","580.96",""
"Arnaud Deletraz","K1H","139.9","568.41","581.95",""
"Emilien Senneret","K1H","145.93","560.59","647.67",""
"Nathaniel Levy","K1H","146.22","448.3","650.83",""
"Bastien Benoit","K1H","151.71","552.11","710.67",""
"Yoann Mourier","K1H","152.64","223.81","720.8",""
"Tristan Levrien","K1H","153.25","216.16","727.45",""
"Jean Luc Pessoni","K1H","153.27","488.71","727.67",""
"Paul Roubaud","K1H","157.34","648.5","772.03",""
"Cyril Audoit","K1H","158.33","612.16","782.82",""
"Vincent Garcia","K1H","162.97","187.9","833.39",""
"Paul Jean","K1H","165.15","171.12","857.15",""
"Ayoub Roger","K1H","166.42","729.72","871",""
"Guillaume Affortit","K1H","167.13","287.36","878.74",""
"Marc Brossard","K1H","168.23","136.32","890.72",""
"Marc Scognamiglio","K1H","168.24","399.65","890.83",""
"Yohan Hervo","K1H","170.2","393.12","912.2",""
"Adrien Reinard","K1H","174.2","281.12","955.79",""
"Arthur Gaudron","K1H","178.52","288.96","1002.88",""
"Simon Demer","K1H","189.99","533.63","1127.9",""
"Alexis Cordier","K1H","204.06","168.28","1281.25",""
"Hugo Balducci","K1H","211.69","229.77","1364.41",""
"Jean Marie Ballouard","K1H","216.07","534.64","1412.15",""
"Maxime Le Henaff","K1H","254.99","160.96","1836.35",""
"Ange Bernard","K1H","Nt","-","-",""
"Jules Vezole","K1H","Nt","-","-",""
"Morgan Meffre","K1H","Nt","-","-",""
"Stephane Marcellot","K1H","Nt","-","-",""
"Aurelien Fualdes","K1H","Nt","-","-",""
"Bernard Delorme","K1H","Nt","-","-",""
"Martin Rombi","K1H","Nt","-","-",""
"Pablo Cabeza  Macuso","K1H","Nt","-","-",""
"Alexis Lozachmeur","K1H","Nt","-","-",""
