"Manche de la Coupe de France Nationale 1 slalom - Base Nautique De Nancy - Finale - 2015-04-05","Finale","2015-04-05","Nationale 1","157"
"Thomas Launay","C1H","130.26","215.48","209.39","Finale B"
"Antoine Roux","C1H","130.3","138.49","209.71","Finale B"
"Alexandre Cierocki","C1H","131","182.6","215.22","Finale B"
"Alexandre Paulais","C1H","139.37","158.97","281.08","Finale B"
"Julian Othenin-girard","C1H","139.7","149.86","283.68","Finale B"
"Faysal Ali Zazou","C1H","144.46","226.55","321.14","Finale B"
"Louison Tanet","C1H","172.75","184.22","543.77","Finale B"
"Corentin Oulhen","C1H","183.71","147.69","630.02","Finale B"
"Yann Rivallant","C1H","202.5","129.2","777.88","Finale B"
"Charles Dampeyrou","C1H","242.74","184.38","1094.55","Finale B"
"Florian Joly","C1H","Abs","-","-","Finale B"
"Yves Prigent-Loic Kervella","C2H","138.6","69.95","225.45","Finale B"
"Malo Poles-Baptiste Le Poncin","C2H","140.17","160.79","237.24","Finale B"
"Basile Desclos-Victor Desclos-le Peley","C2H","155.6","240.4","353.15","Finale B"
"Pierre Hellard-Malo Quemeneur","C2H","Abs","-","-","Finale B"
"Lucas Roisin-Guillaume Graille","C2H","Abs","-","-","Finale B"
"Baptiste Delaplace-Renaud Doby","C2H","Abs","-","-","Finale B"
"Emilie Fer","K1D","120.31","8.49","64.06","Finale B"
"Lucie Prioux","K1D","122.3","95.41","78.62","Finale B"
"Estelle Hellard","K1D","122.52","65.46","80.23","Finale B"
"Lea Turmeau","K1D","130.62","116.49","139.46","Finale B"
"Lea Gaigeot","K1D","130.8","112.51","140.77","Finale B"
"Berenice Kolenc","K1D","130.98","61.32","142.09","Finale B"
"Caroline Loir","K1D","134.67","47.92","169.07","Finale B"
"Agathe Chaumet","K1D","139.43","153.15","203.87","Finale B"
"Laura Combot","K1D","140.3","86.64","210.24","Finale B"
"Lea Wetzel","K1D","143.87","107.27","236.35","Finale B"
"Marine Schmitt","K1D","178.98","128.48","493.07","Finale B"
"Camille Fontaine","K1D","195.23","180.91","611.9","Finale B"
"Margaux Henry","K1D","Abs","-","-","Finale B"
"Lucie Baudu","K1D","Abs","-","-","Finale B"
"Jonas Turmeau","K1H","107.17","69.23","69.86","Finale B"
"Frederic Walczak","K1H","107.29","53.15","70.85","Finale B"
"Mathurin Madore","K1H","108.07","86.17","77.29","Finale B"
"James Duvernoy","K1H","109.22","86.36","86.8","Finale B"
"Romain Faurie","K1H","109.76","106.91","91.26","Finale B"
"Enrick Cunsolo","K1H","111.08","66.16","102.16","Finale B"
"Alan Dollo","K1H","113.94","101.97","125.8","Finale B"
"Jeremias Schlaefli","K1H","113.95","106.27","125.88","Finale B"
"Nicolas Baudoin","K1H","114.05","81.09","126.71","Finale B"
"Louis Philippe Rigal","K1H","114.38","119.81","129.43","Finale B"
"Jonathan Delagnes","K1H","114.7","103.26","132.08","Finale B"
"Louison Turmeau","K1H","115.09","84.43","135.3","Finale B"
"Gael Prodeau","K1H","115.25","83.89","136.62","Finale B"
"Thibault Marchand","K1H","115.98","104.16","142.65","Finale B"
"Bertrand Gutierrez","K1H","116.17","77.7","144.22","Finale B"
"Maxime Bottex","K1H","117.2","121.62","152.73","Finale B"
"Quentin Mignard","K1H","117.66","95.66","156.53","Finale B"
"Manuel Savels","K1H","118.32","191.53","161.99","Finale B"
"Ewen Legrand","K1H","119.8","99.57","174.22","Finale B"
"Nicolas Feuillard","K1H","119.8","128.66","174.22","Finale B"
"Alexandre Lucas","K1H","120.06","130.87","176.37","Finale B"
"Benjamin Thiboust","K1H","121.19","123.53","185.7","Finale B"
"Edgar Prigent","K1H","122.22","130.67","194.21","Finale B"
"Paul Cornut-chauvinc","K1H","124.3","147.54","211.4","Finale B"
"Thomas Schmitt","K1H","160.37","55.47","509.44","Finale B"
"Sebastien Nouvel","K1H","166.47","138.77","559.85","Finale B"
"William Desnos","K1H","219.11","88.72","994.81","Finale B"
"Mathieu Desnos","K1H","220.6","38.21","1007.12","Finale B"
"Mathieu Douillet","K1H","Abs","-","-","Finale B"
"Paul Brier","K1H","Abs","-","-","Finale B"
