"Manche de la Coupe de France National 3 Slalom Sud-Est - 84800 Fontaine De Vaucluse - Finale - 2019-03-10","Finale","2019-03-10","Nationale 3","148"
"Camille Vion Delphin","K1D","123.44","603.73","547.4","Finale B"
"Claire Teillerie","K1D","125.32","552.6","570.69","Finale B"
"Lux Debruyne","K1D","132.06","642.25","654.17","Finale B"
"Ameline Saunier","K1D","134.44","803.87","683.65","Finale B"
"Emmy Bernard","K1D","138.06","586.59","728.49","Finale B"
"Valerie Lassausse","K1D","140.19","710.34","754.88","Finale B"
"Jeanne Mazard","K1D","143.43","754.08","795","Finale B"
"Emmelyne Sauvagnac","K1D","152.29","900.86","904.75","Finale B"
"Aurelie Cabrera","K1D","187.04","837.43","1335.18","Finale B"
"Baptiste Gaillard","K1H","93.97","317.98","333.68","Finale B"
"Nicolas Monzerian","K1H","102.99","489.36","459.94","Finale B"
"Basile Monzerian","K1H","103.93","651.1","473.09","Finale B"
"Raphael Bonnard","K1H","104.31","490.16","478.41","Finale B"
"Florian Jarousse","K1H","105.31","719.3","492.41","Finale B"
"Yves Masson","K1H","108.3","474.51","534.26","Finale B"
"Philippe Lelieur","K1H","108.86","503.97","542.1","Finale B"
"Denis Cote","K1H","109.18","547.67","546.58","Finale B"
"Sylvain Lauth","K1H","109.41","641.13","549.79","Finale B"
"Alexei Evlachev","K1H","109.7","507.72","553.85","Finale B"
"Mathieu Hayet","K1H","109.79","622.81","555.11","Finale B"
"Baptiste Moret","K1H","112.08","562.99","587.17","Finale B"
"Gael Touron","K1H","113.21","997.65","602.98","Finale B"
"Elie Sutra","K1H","113.46","552.23","606.48","Finale B"
"Victor Dhumieres","K1H","114.03","742.17","614.46","Finale B"
"Florent Vallier","K1H","114.03","602.1","614.46","Finale B"
"Axel Gondard","K1H","114.32","681.68","618.52","Finale B"
"Matthieu Fontanez","K1H","114.45","643.78","620.34","Finale B"
"Baptiste Guillaubez","K1H","115.57","548.7","636.01","Finale B"
"Mathys Michel","K1H","115.77","636.47","638.81","Finale B"
"Antonin Bretecher","K1H","116.12","1147.99","643.71","Finale B"
"Arthur Sanchez","K1H","117.79","604.47","667.09","Finale B"
"Jocelyn Locatelli","K1H","118.3","896.71","674.23","Finale B"
"Charlie Genovese","K1H","118.43","792.71","676.05","Finale B"
"Mathieu Meilier","K1H","119.25","694.24","687.52","Finale B"
"Axel Brossat","K1H","119.49","592.58","690.88","Finale B"
"Justin Murphy","K1H","119.67","617.04","693.4","Finale B"
"Clement Raul","K1H","119.85","568.09","695.92","Finale B"
"Charlie Bouvier","K1H","125.01","718.68","768.14","Finale B"
"Jules Roussel","K1H","125.07","981.98","768.98","Finale B"
"Francisco Lafarga","K1H","125.16","824.58","770.24","Finale B"
"Nielsen Ruas","K1H","125.67","827.58","777.38","Finale B"
"Gael Rivier","K1H","127.58","889.24","804.12","Finale B"
"Claude Flouret","K1H","127.73","729.04","806.22","Finale B"
"Julyan Maitre","K1H","128.1","832.73","811.39","Finale B"
"Philippe Bigard","K1H","128.75","647.34","820.49","Finale B"
"Clement Innocenti","K1H","131.9","906.35","864.58","Finale B"
"Antoine Raul","K1H","133.98","783.37","893.7","Finale B"
"Marc Roussel","K1H","137.11","947.75","937.51","Finale B"
"Victorien Pittion","K1H","140.73","868.49","988.17","Finale B"
"William Varela","K1H","141.37","931.54","997.13","Finale B"
"Ga l Bonnot","K1H","143.32","854.86","1024.43","Finale B"
"Teo Touzet","K1H","143.41","667.78","1025.68","Finale B"
"Liam Mabilat","K1H","152.5","804.2","1152.92","Finale B"
"Anton Coux","K1H","159.69","676.85","1253.55","Finale B"
"Emile Verdier","K1H","176.17","577.29","1484.22","Finale B"
"Anicet Morel","K1H","196.93","842.07","1774.79","Finale B"
"Ange Bernard","K1H","198.99","811.5","1803.63","Finale B"
"Tom Fioraso","K1H","214.8","683.29","2024.92","Finale B"
"Jean-marc Suarez","K1H","402.89","625.94","4657.57","Finale B"
"Rafael Parnotte","K1H","Abd","-","-","Finale B"
