"Championnat de France Slalom des Clubs - Cesson Sevigne - Course individuelle | Qualification - 2018-10-06","Course individuelle | Qualification","2018-10-06","Championnats de France","200"
"Quentin Mannier","C1H","126.3","-","-",""
"Gwenole Noyalet","C1H","126.46","-","-",""
"Andreas Dupuy","C1H","127.66","-","-",""
"Jeremy Bretteville","C1H","128.33","-","-",""
"Fabien Bonvalet","C1H","128.64","-","-",""
"Thibaud Lacour","C1H","131.07","-","-",""
"Benoit Letellier","C1H","132.28","-","-",""
"Christophe Bachelot","C1H","134.21","-","-",""
"Youn Aubry","C1H","134.34","-","-",""
"Theo Moalic","C1H","138.73","-","-",""
"Marceau Decarsin","C1H","152.69","-","-",""
"Antoine Runet","C1H","170.04","-","-",""
"Clement Travert","C1H","Abs","-","-",""
"","C1H","Abs","-","-",""
"Lucas Correia","C1H","Abs","-","-",""
"Gauthier Klauss-Matthieu Peche","C2H","112.09","-","-",""
"Hugo Regnier-Arthur Mizzi","C2H","117.94","-","-",""
"Nicolas Scianimanico-Jean Freri","C2H","119.16","-","-",""
"Yoan Del Rey-Arthur Grandemange","C2H","121.85","-","-",""
"Pierre Hellard-Malo Quemeneur","C2H","127.01","-","-",""
"Mathieu Biazizzo-Antoine Runet","C2H","128.31","-","-",""
"Simon Le Friec-Jonathan Marc","C2H","129.05","-","-",""
"Julien Paulais-Christophe Marechal","C2H","129.52","-","-",""
"Alan Mahe-Matheo Lebaindre","C2H","131.32","-","-",""
"Julien Mizzi-Mewen Debliquy","C2H","132.02","-","-",""
"Johann Loiseau-Medhi Deguil","C2H","133.46","-","-",""
"Theo Siguret-Benoit Chantry","C2H","134.99","-","-",""
"Edgar Prigent-Guillaume Graille","C2H","138.73","-","-",""
"Fabien Bonvalet-Eric Beaumont","C2H","142.29","-","-",""
"Johan Pucheou-Tomy Dandonneau","C2H","143.52","-","-",""
"Simon Dubosc-Quentin Angot","C2H","146.49","-","-",""
"Valentino Le Guesclou-Elouan Le Fournis","C2H","150.76","-","-",""
"Theo Moalic-Marceau Decarsin","C2H","153.6","-","-",""
"Estephe Decarsin-Kevin Tanay","C2H","157.87","-","-",""
"Ewen Berrest-Yannis Houze","C2H","159.15","-","-",""
"Teddy Poulard-Dimitri Houlier","C2H","163.06","-","-",""
"Quentin Mannier-Nicolas Candieu","C2H","165.18","-","-",""
"Christophe Bachelot-Jacky Bachelot","C2H","196.56","-","-",""
"Enzo Claeys-Lucas Correia","C2H","197.56","-","-",""
"Jason Leroy-Jeremy Bretteville","C2H","202.91","-","-",""
"Amaury Brucher-Jacques Nardeau","C2H","206.32","-","-",""
"Arthur Lagleyze-Victor Lagleyze","C2H","258.01","-","-",""
"Gurvan Huet-Gwenole Noyalet","C2H","Des","-","-",""
"Theo Douady-Thomas Ukalovic","C2H","Abd","-","-",""
"Mathurin Madore-Enzo Claeys","C2H","Abs","-","-",""
"Benoit Chantry-Stephanie Bender","C2M","132.13","-","-",""
"Joana Palermo-Gauthier Klauss","C2M","133.2","-","-",""
"Marc Biazizzo-Anne-lise Moisan-ehrwein","C2M","134.55","-","-",""
"MaÏa Gombert-Matthieu Peche","C2M","134.8","-","-",""
"Martin Dubois-Romane Regnier","C2M","137.29","-","-",""
"Melenn Aubry-Estelle Hellard","C2M","140.32","-","-",""
"Jean Freri-Alixe Degremont","C2M","140.43","-","-",""
"Bertrand Avril-Chloe Gatuingt","C2M","141.33","-","-",""
"Alice Azam-Medhi Deguil","C2M","142.1","-","-",""
"Anatole Delassus-Laurine Salesse","C2M","142.75","-","-",""
"Malo Legrand-Laurie Beaurepere","C2M","148.92","-","-",""
"Marine Leveque-Timothee Cornu","C2M","152.86","-","-",""
"Henri Despont-Valentine Jussy","C2M","154.94","-","-",""
"Lucas Augu-Johana Caillaud","C2M","158.33","-","-",""
"Lisa Mouffle-Tomy Dandonneau","C2M","161.76","-","-",""
"Youn Aubry-Clara Grangeon","C2M","165.87","-","-",""
"Andreas Dupuy-Souhayla Khattabi","C2M","166.71","-","-",""
"Hortense Alexis-Christophe Marechal","C2M","169.5","-","-",""
"Florence Marchal-Jacques Nardeau","C2M","186.18","-","-",""
"Gurvan Huet-Veronique Vourch","C2M","191.56","-","-",""
"Brice Derrien-Nagwa Lanchec El Desouki","C2M","203.34","-","-",""
"Alize Bachelot-Edouard Gracias","C2M","203.4","-","-",""
"Leontine Dubuisson-Nicolas Candieu","C2M","226.97","-","-",""
"Geoffroy Lauth-Alexia Evrard","C2M","227.27","-","-",""
"Julien Caillarec-Clara Marcovich","C2M","244.55","-","-",""
"Teddy Poulard-Sandra Poulard","C2M","295.02","-","-",""
"Marion Matura-Mathis Andrieu","C2M","374.48","-","-",""
"Esteban Olivier-Angele Sottolefevre","C2M","Abd","-","-",""
"Damien Jacques-Laetitia Pelcat","C2M","Des","-","-",""
"Eloise Riviere-Kevin Tanay","C2M","Des","-","-",""
"Quentin Angot-Leontine Dubuisson","C2M","Abs","-","-",""
"Mathurin Madore-Souhayla Khattabi","C2M","Abs","-","-",""
"Matthieu Peche-Angelique Guilcher","C2M","Abs","-","-",""
"Marjorie Delassus","K1D","105.87","-","-",""
"Flora Huvelin","K1D","107.72","-","-",""
"Fanchon Janssen","K1D","112.55","-","-",""
"Lisa Mouffle","K1D","112.7","-","-",""
"Joana Palermo","K1D","113.2","-","-",""
"Sarah Despres","K1D","114.05","-","-",""
"Tiphaine Duboc","K1D","114.92","-","-",""
"Anais Bernardy","K1D","114.98","-","-",""
"Alexane Galmiche","K1D","117.16","-","-",""
"Marine Leveque","K1D","118.2","-","-",""
"Estelle Hellard","K1D","119.1","-","-",""
"Nagwa Lanchec El Desouki","K1D","119.96","-","-",""
"Nelia Barbosa","K1D","121.11","-","-",""
"Morgane Quemerais","K1D","124.4","-","-",""
"Sylviane Quemerais","K1D","132.5","-","-",""
"Margaux Fabijan","K1D","133.45","-","-",""
"Zoe Bruchon","K1D","135.46","-","-",""
"Pauline Richard","K1D","136.94","-","-",""
"Pauline Soenen","K1D","137.27","-","-",""
"Leontine Dubuisson","K1D","140.05","-","-",""
"Melina Letellier","K1D","146.99","-","-",""
"Tiphaine Drouin","K1D","147.33","-","-",""
"Alize Bachelot","K1D","154.16","-","-",""
"Lison Gautrelet","K1D","163.21","-","-",""
"Valentine Jussy","K1D","164.73","-","-",""
"Chloe Gatuingt","K1D","185.84","-","-",""
"Sandrine Arnal","K1D","230.35","-","-",""
"Alexia Evrard","K1D","271.71","-","-",""
"Eva Dauvergne","K1D","Abs","-","-",""
"Clara Marcovich","K1D","Des","-","-",""
"Thomas Durand","K1H","90.01","-","-",""
"Yves Prigent","K1H","90.49","-","-",""
"Mathis Soudi","K1H","91.16","-","-",""
"Mathieu Biazizzo","K1H","91.17","-","-",""
"Mathurin Madore","K1H","91.6","-","-",""
"Malo Quemeneur","K1H","92.04","-","-",""
"Hugo Regnier","K1H","93.46","-","-",""
"Anatole Delassus","K1H","95.54","-","-",""
"Lucas Latimier","K1H","96.81","-","-",""
"Guillaume Graille","K1H","98.24","-","-",""
"Matheo Lebaindre","K1H","98.94","-","-",""
"Edgar Prigent","K1H","99.94","-","-",""
"Aaron Penning","K1H","101.27","-","-",""
"Malo Legrand","K1H","102.02","-","-",""
"Thibaud Lacour","K1H","102.15","-","-",""
"Lucas Correia","K1H","103.01","-","-",""
"Benoit Letellier","K1H","105.18","-","-",""
"Clement Travert","K1H","106.16","-","-",""
"Valentino Le Guesclou","K1H","107.06","-","-",""
"Gaspard Perrio","K1H","107.93","-","-",""
"Pierre Hellard","K1H","108.47","-","-",""
"Simon Dubosc","K1H","109.63","-","-",""
"Brice Derrien","K1H","109.87","-","-",""
"Quentin Angot","K1H","112.63","-","-",""
"Nicolas Ducrocq","K1H","117.22","-","-",""
"Bertrand Avril","K1H","117.64","-","-",""
"Fabien Beaudoin","K1H","118.21","-","-",""
"Estephe Decarsin","K1H","118.99","-","-",""
"Michael Philibert","K1H","122.56","-","-",""
"Thomas Martinet","K1H","126.62","-","-",""
"Edouard Gracias","K1H","126.96","-","-",""
"Florian Sauvage","K1H","128.9","-","-",""
"Lucas Augu","K1H","153.78","-","-",""
"Andreas Dupuy","K1H","Abs","-","-",""
"Nicolas Candieu","K1H","Abs","-","-",""
"Jean Pierre Bourhis","OUV","Abs","-","-",""
"Anthony Drouhin","OUV","95.5","-","-",""
"Loan Queffelec","OUV","98.85","-","-",""
"Clement Dubois","OUV","104.64","-","-",""
"Corentin Oulhen","OUV","107.59","-","-",""
"Timothee Le Mort","OUV","109.83","-","-",""
"Tom Milon","OUV","125.54","-","-",""
"Maxence Gautier Grall","OUVM","128.66","-","-",""
"Brieuc Reucheron","OUVM","146.43","-","-",""
