"SLALOM REGIONAL MANSLE - Mansle - 2005-10-02","Course 1","2005-10-02","Régional","118"
"Moigne Elodie","K1D","361.27","-","867",""
"Thomas Chloe","K1D","370.67","-","914",""
"Firman Sophie","K1D","387.49","-","999",""
"Dardilhac Anthony","K1H","207.30","107","226",""
"Ludovic Di Nisi","K1H","207.39","233","226",""
"David Riffaud","K1H","208.01","128","230",""
"Maelstaf Jeremy","K1H","208.39","148","232",""
"Herve Launay","K1H","211.80","300","251",""
"Babin Philippe","K1H","215.77","-","274",""
"Antoine Egreteau","K1H","215.81","138","274",""
"Thibaud Rottier","K1H","217.62","208","284",""
"Lucquiaud David","K1H","217.85","-","286",""
"Remy Faucon","K1H","217.95","164","286",""
"Laurent Urvois","K1H","219.69","-","296",""
"Pascal Poitiers","K1H","221.41","206","306",""
"Philippe Niquet","K1H","221.99","248","309",""
"Boob Christian","K1H","222.16","-","310",""
"Paul Storez","K1H","224.59","238","324",""
"Julien Riffaud","K1H","224.75","303","324",""
"Gourdin Nicolas","K1H","226.72","322","336",""
"Branger Sebastien","K1H","226.94","306","337",""
"Larenaudie Sebastien","K1H","227.62","241","341",""
"Clement Faure","K1H","229.61","-","352",""
"Malvaud Sebastien","K1H","231.99","-","366",""
"Maxime Perrin","K1H","233.96","418","378",""
"Clement Praille","K1H","235.01","265","384",""
"Yohann Courouble","K1H","236.49","375","392",""
"Rolando Thomas","K1H","239.40","396","408",""
"Climaque Cedric","K1H","239.50","-","409",""
"Quentin Lyphout","K1H","239.63","-","409",""
"Marc Robert","K1H","240.73","383","416",""
"Lionel Blank","K1H","241.01","382","417",""
"Caillaud Adrien","K1H","241.83","412","422",""
"Lac Germain","K1H","242.97","307","429",""
"Alexandre Di Nisi","K1H","243.85","-","434",""
"Coquet Florent","K1H","247.66","540","456",""
"Masseran Pierre","K1H","247.70","529","456",""
"Matthieu Roy","K1H","248.28","553","459",""
"Merzeau Michel","K1H","248.30","458","459",""
"Micouraud Yohan","K1H","252.66","452","485",""
"Louis-maxime Main","K1H","253.95","-","492",""
"Damien Gaillard","K1H","254.56","-","495",""
"Herve Maxime","K1H","256.53","500","506",""
"Rouet Jeremy","K1H","256.76","474","507",""
"Enon Samuel","K1H","258.43","-","517",""
"Maillard Bertrand","K1H","259.07","533","521",""
"Cardon Kevin","K1H","261.47","-","535",""
"Dieusard Thomas","K1H","261.66","627","536",""
"Stadler Jean Patrick","K1H","262.97","729","543",""
"Bruneau Maxime","K1H","266.83","-","565",""
"Schmitz Germain","K1H","267.77","-","571",""
"Bureau Mathieu","K1H","267.93","-","572",""
"Mathieu Laroze","K1H","268.92","-","577",""
"Thibault Ducom","K1H","268.93","-","577",""
"Gerard Folle","K1H","275.93","-","617",""
"Bardol Martin","K1H","277.54","-","626",""
"Valentin Giret","K1H","279.08","-","635",""
"Valentin Soullard","K1H","298.99","1290","748",""
"Abebsi Marc","K1H","308.92","1635","806",""
"Matthias Jauvin","K1H","322.86","-","885",""
"Yves Nicot","K1H","326.28","-","905",""
"Fradin Damien","K1H","343.10","-","1000",""
"Lefevre Antonin","K1H","349.62","-","1038",""
"Etienne Baudry","K1H","355.42","-","1071",""
"Lagache Ciclot Ludovic","K1H","399.22","-","1321",""
"Chastanet Ronald","K1H","408.25","-","1372",""
"Fillere Florent","K1H","419.16","-","1434",""
"Jozeleau Thomas","K1H","420.78","-","1444",""
"Chabot Simon","K1H","434.59","-","1523",""
