"Sélectif Régional - Champs sur Marne - 2013-09-29","Course 2","2013-09-29","Régional","206"
"Thomas Postaire-Benoit Le Mazurier","C2H","135.26","369.84","586.26",""
"Yohan Marck-Laurent Dupuis","C2H","146.12","-","710.66",""
"Jeremy Grippon-Nathan Aubert","C2H","147.68","446.2","728.55",""
"Issam Chakir-Tom Maffeis","C2H","147.77","-","729.57",""
"Lucas Gillet-Guillaume Picavet","C2H","160.26","-","872.65",""
"Romain Bertrand-Ludovic Ngo","C2H","251.46","297.67","1917.39",""
"Theo Marius-Timothy Marius","C2H","316.52","-","2662.69",""
"Aubin Decambron-Dylan Garin","C2H","Nt","-","-",""
"Frederic Henry-Clement Pinard","C2H","Nt","-","-",""
"Benoit Chantry-Stephanie Bender","C2M","116.92","184.42","285.36",""
"Julien Fougeron-Lea Feuillard","C2M","133.29","234.8","460.17",""
"Geoffroy Lauth-Rachel Broin","C2M","155.4","-","696.29",""
"Catherine Boulan-Xavier Jourdain","C2M","323.85","218.05","2495.16",""
"Laurene Cougnet-Robin Pilard","C2M","Nt","-","-",""
"Flora Bove","K1D","102.22","65.55","176.68",""
"Lea Gaigeot","K1D","105.34","62.17","211.46",""
"Claire Gaigeot","K1D","106.27","69.47","221.83",""
"Camille Fontaine","K1D","109.32","-","255.85",""
"Lisa Robin","K1D","114.89","147.79","317.96",""
"Marion Gallois","K1D","116.12","-","331.67",""
"Lea Feuillard","K1D","116.74","192.45","338.6",""
"Manon Durand","K1D","116.9","244.16","340.37",""
"Laurene Cougnet","K1D","121.58","212.04","392.56",""
"Stephanie Bender","K1D","123.63","218.23","415.43",""
"Lucie Cecile","K1D","125","-","430.7",""
"Emilie De Berchem","K1D","125.14","299.33","432.26",""
"Emilie Delahaye","K1D","125.59","183.45","437.29",""
"Adele Charlaigre","K1D","126.11","252.16","443.08",""
"Eva Dauvergne","K1D","126.19","307.4","443.99",""
"Justine Cougnet","K1D","127.75","265.21","461.37",""
"Natacha Giraud","K1D","130.67","272.46","493.94",""
"Agathe Villien","K1D","131.08","334.37","498.51",""
"Agnes Gigan","K1D","136.65","447.22","560.61",""
"Sandrine Arnal","K1D","138.65","-","582.92",""
"Florence Marchal","K1D","145.98","-","664.66",""
"Maryse Viseur","K1D","146.63","435.55","671.91",""
"Ilhame Siraj","K1D","148.82","-","696.33",""
"Nelia Barbosa","K1D","160.22","-","823.47",""
"Anna Marvillet","K1D","215.17","-","1436.24",""
"Shererazade Ayadi","K1D","221.79","-","1510.05",""
"Manon Borde","K1D","367.11","-","3130.59",""
"Quentin Bove","K1H","84.93","28.41","106.98",""
"Benoit Chantry","K1H","87.32","41.78","137.11",""
"Loic Monbel","K1H","87.63","61.21","141.01",""
"Ronan Lucas","K1H","89.34","-","162.56",""
"Mathurin Madore","K1H","90.69","39.42","179.56",""
"Xavier Jourdain","K1H","91.51","39.47","189.9",""
"Jerome Olhagaray","K1H","92.15","35.07","197.96",""
"Jules Guilbaud","K1H","92.39","126.67","200.99",""
"Nicolas Feuillard","K1H","92.6","34.92","203.63",""
"Philippe Daumont","K1H","95.81","140.57","244.08",""
"Tristan Lejot","K1H","95.85","138.43","244.59",""
"Alexandre Perrin Mortier","K1H","96.91","155.84","257.94",""
"Florian Perenchio","K1H","97.09","204.27","260.22",""
"Thomas Postaire","K1H","97.54","164.7","265.89",""
"Alexandre Lismonde","K1H","97.61","91.44","266.77",""
"Kevin Lucas Mendes","K1H","97.92","129.35","270.67",""
"Romain Bertrand","K1H","98.23","113.56","274.58",""
"Julien Fougeron","K1H","98.51","118.27","278.11",""
"David Mingasson","K1H","98.95","205.21","283.65",""
"Sullivan Porcher","K1H","99.02","54.28","284.53",""
"Bastien Meslet","K1H","99.39","128.24","289.2",""
"Antoine Lebastard","K1H","100.35","135.62","301.29",""
"Laurent Dupuis","K1H","100.62","146.16","304.7",""
"Adrien Suardana","K1H","100.68","171.62","305.46",""
"Pierre Dampeyrou","K1H","100.91","98.45","308.36",""
"Nathan Aubert","K1H","101.85","210.49","320.2",""
"Thomas Durand","K1H","101.96","275.82","321.58",""
"Bertrand Avril","K1H","102.15","106.47","323.98",""
"Francois Durand","K1H","102.21","192.27","324.74",""
"Romain Huguenin","K1H","102.65","300.76","330.28",""
"Xavier Chantry","K1H","102.65","168.67","330.28",""
"Ludovic Ngo","K1H","102.88","130.15","333.18",""
"Dylan Garin","K1H","103.01","169.91","334.82",""
"Yohan Marck","K1H","105.1","168.28","361.15",""
"Gerard Lafargue","K1H","105.96","308.27","371.98",""
"Benoit Le Mazurier","K1H","105.98","239.62","372.24",""
"Luca Dos Santos","K1H","106.6","-","380.06",""
"Maxence Nevo Pinto","K1H","106.62","236.96","380.3",""
"Lucas Gillet","K1H","106.92","-","384.08",""
"Jeremy Huguenin","K1H","107.04","182.18","385.6",""
"Clement Carbonnel","K1H","107.37","253.12","389.76",""
"Tom Barthelemy","K1H","107.46","126.18","390.89",""
"Theo Loury","K1H","107.74","328.6","394.42",""
"Adam Collin","K1H","108.11","265.07","399.08",""
"Theo Zilber","K1H","108.48","309.69","403.75",""
"Son Bui","K1H","109.44","326.68","415.84",""
"Philippe Valeri","K1H","110.13","276.07","424.53",""
"Aurelien Coiffeteau","K1H","110.7","270.7","431.72",""
"Beranger Doulle","K1H","110.83","-","433.36",""
"Francois Pech","K1H","111.04","292.74","436",""
"Frederic Ametonou","K1H","111.23","-","438.39",""
"Gilles Lucas","K1H","112.89","-","459.32",""
"Jeremy Grippon","K1H","113.03","227.19","461.08",""
"Alexandre Jardin","K1H","114.91","-","484.77",""
"Yani Ferhaoui","K1H","116.32","-","502.54",""
"Daniel Jasinski","K1H","116.67","-","506.95",""
"Jeremy Maniere","K1H","116.83","407.37","508.97",""
"Guillaume Picavet","K1H","117.78","-","520.94",""
"Guillaume Gonin","K1H","118.43","-","529.13",""
"Alexis Mansanarez","K1H","118.63","-","531.65",""
"Maxime Pilard","K1H","118.82","288.18","534.04",""
"Adrien Barlier","K1H","120.25","339.4","552.06",""
"Charles Edouard Noyelle","K1H","121.44","416.23","567.06",""
"Tristan Mignard","K1H","121.77","-","571.21",""
"Antoine Saul","K1H","122.76","-","583.68",""
"Brayan Raoudi","K1H","123.79","-","596.66",""
"Ludovic Cravoisier","K1H","129.3","1224.07","666.1",""
"Geoffroy Lauth","K1H","130.78","553","684.76",""
"Remy Daumont","K1H","134.27","-","728.73",""
"Vincent Amisse","K1H","134.39","-","730.24",""
"Nicolas Candieu","K1H","135.53","-","744.61",""
"Steven Guillaume","K1H","136.27","540.48","753.93",""
"Yves Souchal","K1H","136.63","-","758.47",""
"Oswald Besch","K1H","136.93","-","762.24",""
"Blaise Villien","K1H","137.45","-","768.8",""
"Antoine Pas","K1H","150.26","-","930.22",""
"Emmanuel Queven","K1H","153.87","623.67","975.72",""
"Nicolas Dupres","K1H","155.53","198.35","996.63",""
"Jean Paul Helluin","K1H","157.4","628.42","1020.19",""
"Alexis Pierlot","K1H","160.47","-","1058.88",""
"Laurent Ernou","K1H","161.43","-","1070.98",""
"Timothy Marius","K1H","166.47","-","1134.49",""
"Matthieu Monnoir","K1H","178.67","-","1288.22",""
"Louis Philippe Rigal","K1H","187.85","46.58","1403.9",""
"Mathieu Herbert","K1H","187.99","-","1405.66",""
"Thomas Dos Santos","K1H","204.57","-","1614.59",""
"Denis Marrocos","K1H","208.06","-","1658.58",""
"Michel Andre","K1H","266.37","-","2393.34",""
"Robin Pilard","K1H","Nt","-","-",""
"Quentin Mannier","K1H","Nt","-","-",""
"Joseph Enguehard","K1H","Nt","-","-",""
"Charles Dampeyrou","K1H","Nt","-","-",""
"Aubin Decambron","K1H","Nt","-","-",""
"Clement Pinard","K1H","Nt","-","-",""
"Remi Chevallier","K1H","Nt","-","-",""
"Julien Miel","K1H","Nt","-","-",""
"Sergepatrick Viseur","K1H","Nt","-","-",""
"Loic Durand","K1H","Nt","-","-",""
"Pierre-yves Bernard","K1H","Nt","-","-",""
