"Championnat Régional Midi Pyrénées - Languedoc Roussillon - Millau - 2011-04-30","Course 1","2011-04-30","Régional","152"
"Guillaume Affortit","K1H","113.87","358.96","320.96",""
"Christian Processe","K1H","114.23","-","325.11",""
"Mathieu Lions","K1H","114.96","321.47","333.53",""
"Mathieu Pouchet","K1H","115.89","228.84","344.25",""
"Quentin Cailleux","K1H","116.96","-","356.58",""
"Axel Rodriguez","K1H","117.48","366.45","362.57",""
"Herve Valentin","K1H","118.45","327.52","373.75",""
"Paul Mabille","K1H","119.13","430.99","381.59",""
"Elie Miquel","K1H","120.41","258","396.35",""
"Jacques Roisin","K1H","122.11","-","415.94",""
"Marc Cailhol","K1H","122.14","316.58","416.29",""
"Benoit Morand","K1H","122.94","400.7","425.51",""
"Gauthier Vanden  Abeele","K1H","123.24","349.48","428.97",""
"Yannis Brousset","K1H","124.17","373.18","439.69",""
"Nicolas Vinel","K1H","124.17","562.59","439.69",""
"Benoit Jacquot-bertrand","K1H","124.94","435.43","448.57",""
"Yoan Bouchardon","K1H","124.97","472.38","448.91",""
"Julien Duclaux","K1H","126.68","409.63","468.62",""
"Morgan Forget","K1H","126.7","374.53","468.85",""
"Thomas Richard","K1H","128.62","-","490.99",""
"Antoine Bossut","K1H","129.14","-","496.98",""
"Tanguy Pineau","K1H","131.58","458.93","525.11",""
"Jeremy Sandrin","K1H","131.97","573.69","529.6",""
"Dimitri Barriere","K1H","132.11","548.55","531.22",""
"Christophe Georget","K1H","133.87","-","551.5",""
"Francois Salame","K1H","134.64","-","560.38",""
"Florian Desraches","K1H","135.58","573.59","571.22",""
"Remy Beule Dauzat","K1H","135.82","730.02","573.98",""
"Valentin Pech","K1H","135.83","574.14","574.1",""
"Nicolas Sanitas","K1H","143.91","-","667.24",""
"Victor Iribarne","K1H","145.6","-","686.72",""
"Thierry Gaudin","K1H","154.5","-","789.31",""
"Maurice Pubert","K1H","161.96","709.31","875.3",""
"Igor Trofimov","K1H","162.17","-","877.72",""
"Olivier Rio","K1H","188.53","-","1181.58",""
"Mathias Levy","K1H","190.73","-","1206.94",""
"Anthony Burgos","K1H","209.83","-","1427.11",""
"Valentin Roger","K1H","212.78","-","1461.11",""
"Jean Baptsite Cans","K1H","230.95","-","1670.56",""
"Nathaniel Levy","K1H","335.1","-","2871.11",""
"Hugo Cailhol","K1H","Nt","-","-",""
"Bertrand Gourrat","K1H","Nt","-","-",""
"Bastien Salame","K1H","Nt","-","-",""
"Nicolas Masson","K1H","Nt","-","-",""
"Jean Francois Bry","K1H","Nt","-","-",""
"Jorys Plissot","K1H","Nt","-","-",""
"Gregoire Cayez","K1H","Nt","-","-",""
"Jolan Konig","K1H","Nt","-","-",""
"Galaad Pereyron","K1H","Nt","-","-",""
"Lucas Cizey","K1H","Nt","-","-",""
"Gorann Canonne","K1H","Nt","-","-",""
