"Sélectif Régional - Jarnac - Qualification - 2014-09-28","Qualification","2014-09-28","Régional","200"
"Jeremi Toso","K1H","102.17","303.29","319.96",""
"Corentin Moriniaux","K1H","102.45","264.53","323.64",""
"Benoit Lasserre","K1H","102.91","362.25","329.68",""
"Louis Bouchiat","K1H","103.5","333.8","337.43",""
"Corentin Bernard","K1H","103.88","275.41","342.42",""
"Benjamin Cariou","K1H","104.15","-","345.97",""
"Antoine Laye","K1H","104.19","383.83","346.49",""
"Thibault Lefebvre","K1H","104.21","-","346.76",""
"Cyril Launay","K1H","104.75","378.44","353.85",""
"Marc Doreau","K1H","104.99","337.27","357",""
"Valentin Soullard","K1H","106.57","413.83","377.75",""
"Kevin Sponem","K1H","107.18","448.25","385.76",""
"Pierre Dehaudt","K1H","107.39","332.98","388.52",""
"Maxime Bardieux","K1H","108.62","-","404.68",""
"Axel Gauthard","K1H","109.11","446.39","411.11",""
"Pierre Ferrand","K1H","109.85","-","420.83",""
"Brice Guintard","K1H","112.31","379.48","453.14",""
"Lucas Joubert","K1H","112.55","377.96","456.29",""
"Jean-philippe Brothier","K1H","112.56","598.71","456.42",""
"Zeph Scamps","K1H","113.32","-","466.41",""
"Wilfried Truffy","K1H","113.68","492.98","471.13",""
"Yann Maillocheau","K1H","114.76","713.29","485.32",""
"Emile Laurent","K1H","114.84","596.02","486.37",""
"Daniel Bregazzi","K1H","114.88","510.67","486.89",""
"Raphael Jean","K1H","115.91","493.96","500.42",""
"Thomas Le Gall","K1H","116.42","451.92","507.12",""
"Antoine Lanet","K1H","116.59","622.76","509.35",""
"Jamie Whitehouse","K1H","116.64","-","510.01",""
"Leo Aranda","K1H","117.88","567.75","526.3",""
"Yanis Koubaiti","K1H","118.65","-","536.41",""
"Thilbault Rucher","K1H","120.65","-","562.68",""
"ThÉo Didier","K1H","121.75","1372.13","577.12",""
"Maxime Bouvet","K1H","122","646.37","580.41",""
"Antoine Bougette","K1H","122.22","931.84","583.3",""
"Nathan Ferchaud","K1H","122.39","1588.02","585.53",""
"Antoine Przewrocki","K1H","122.84","-","591.44",""
"Yves Nicot","K1H","124.02","753.05","606.94",""
"Mattias Poirat","K1H","124.25","-","609.96",""
"Alexandre Dubrous","K1H","130.97","827.58","698.22",""
"NaËl Rajoub","K1H","132.71","1025.94","721.07",""
"Maurice Pubert","K1H","132.94","767.45","724.09",""
"Bastien Hirat","K1H","133.14","926.11","726.72",""
"Olivier Bourdet","K1H","134.55","748.44","745.24",""
"Etienne Bennetot","K1H","139.75","925.03","813.53",""
"Hadrien Plantecoste","K1H","149.29","-","938.83",""
"Joseph Di Nisi","K1H","151.37","-","966.15",""
"Valentin Cesbron","K1H","152.78","501.67","984.66",""
"Nour Rajoub","K1H","155.07","1162.06","1014.74",""
"Pierre Campagne","K1H","157.07","409.07","1041.01",""
"Morgan Deneuvy","K1H","190.17","1165.15","1475.74",""
"Anthony Penaud","K1H","300.59","-","2925.97",""
"Alexis Dorey","K1H","Abs","-","-",""
"Alexis Proust","K1H","Abd","-","-",""
"Pierre-louis Vergnault","K1H","Abs","-","-",""
"Thomas Chagnaud","K1H","Abs","-","-",""
"Adrien Roux","K1H","Abs","-","-",""
"Isaac Dufrene","K1HM","97.47","-","258.24",""
"Raphael Lassechere","K1HM","103.26","-","334.28",""
"Yanis Rainaud","K1HM","106.59","-","378.02",""
"Thomas Riviere","K1HM","106.66","-","-",""
"Antoine Grillier","K1HM","107.18","822.54","385.76",""
"Julien Pajaud","K1HM","108.03","-","396.93",""
"Maxence Merpillat","K1HM","109.03","-","410.06",""
"Matheo Gillaizeau","K1HM","109.33","-","-",""
"Lucas Belo","K1HM","111.54","-","443.03",""
"Clement Capillon","K1HM","114.05","-","-",""
"Tanguy Zaninotto","K1HM","114.7","-","-",""
"Maxime Antoine","K1HM","116.66","-","510.27",""
"Henri Chenu","K1HM","119.26","-","-",""
"Thair Benzougar","K1HM","120.07","-","555.06",""
"Sylvain Decombe","K1HM","121.44","-","573.05",""
"Adrien Latus","K1HM","123.23","-","596.56",""
"Julien Brice","K1HM","124.82","-","-",""
"Tom Baubit","K1HM","129.81","-","-",""
"Martin Lassiste","K1HM","140.44","-","-",""
"Kevin Mousserion","K1HM","148.97","-","934.62",""
"Anatole La Soudiere","K1HM","155.67","-","1022.62",""
"Mathias Roy","K1HM","194.68","-","1534.97",""
"Maxime Cros","K1HM","221.73","-","-",""
"Time Blaud","K1HM","Abs","-","-",""
