"Sélectif Régional Slalom (Double) - Vinon-sur-verdon - Course n°2 | Finale - 2017-11-19","Course n°2 | Finale","2017-11-19","Régional","162"
"Justin Murphy","K1H","132.95","657.43","649.78","Course n°2 | Finale B"
"Ollivier Paumier","K1H","136.73","640.54","695.84","Course n°2 | Finale B"
"Valentin Jossemit","K1H","137.37","687.76","703.63","Course n°2 | Finale B"
"Clement Blancgras","K1H","139.64","770.86","731.29","Course n°2 | Finale B"
"Ange Bernard","K1H","144.17","774.88","786.49","Course n°2 | Finale B"
"Aurelien Lauze","K1H","148.3","1009.5","836.81","Course n°2 | Finale B"
"Stephen Furio","K1H","152.9","1002.95","892.86","Course n°2 | Finale B"
"Manu Kempf","K1H","159.32","1001.84","971.08","Course n°2 | Finale B"
"Swann Imbert","K1H","159.64","726.97","974.98","Course n°2 | Finale B"
"Rutger Hoedemaker","K1H","175.16","630.61","1164.09","Course n°2 | Finale B"
"Stephane Breton","K1H","200.95","1352","1478.33","Course n°2 | Finale B"
"Thibaud Chovin","K1HM","131.42","644.2","631.14","Course n°2 | Finale B"
"Daniel Chambert","K1HM","135","719.3","674.76","Course n°2 | Finale B"
"Mathis Borie","K1HM","136.68","630.4","695.23","Course n°2 | Finale B"
"Louis Payan","K1HM","136.8","639.38","696.69","Course n°2 | Finale B"
"Baptiste Saul","K1HM","139.13","696.01","725.08","Course n°2 | Finale B"
"Gaspard Gonseth","K1HM","140.72","793.95","744.45","Course n°2 | Finale B"
"Jules Sourieau","K1HM","143.26","746.26","775.4","Course n°2 | Finale B"
"Oscar Puc","K1HM","156.02","887.16","930.88","Course n°2 | Finale B"
"William Varela","K1HM","157.87","1200.06","953.42","Course n°2 | Finale B"
"Guillaume Mele","K1HM","158.49","943.76","960.97","Course n°2 | Finale B"
"Arthur Sanchez","K1HM","180.29","650.32","1226.59","Course n°2 | Finale B"
"Marc Lanchais","K1HM","205.53","1100.6","1534.13","Course n°2 | Finale B"
