"Championnat Régional de Slalom 2016 (report de la course du 11 sur 12 sur 16) - Stade D'eaux Vives De Cesson-sévigné - Finale - 2017-01-22","Finale","2017-01-22","Régional","379"
"Anne Boixel","K1D","105.79","217.98","221.23","Finale A"
"Morgane Quemerais","K1D","106.18","250.16","225.68","Finale A"
"Mathilde Nouaille-degorce","K1D","106.95","347.75","234.47","Finale A"
"Coline Bertin","K1D","108.07","310.52","247.25","Finale A"
"Rozenn Le Page","K1D","112.54","222.89","298.27","Finale A"
"Lea Grison","K1D","113.12","268.24","304.89","Finale A"
"Maela Le Corre","K1D","116.9","337.41","348.04","Finale A"
"Laura Saliou","K1D","117.33","-","352.95","Finale A"
"Marianne Bercon","K1D","117.64","318.8","356.48","Finale A"
"Clothilde Le Louarn","K1D","118.29","320.1","363.9","Finale A"
"Alina Rassel","K1D","118.88","274.17","370.65","Finale A"
"Sylviane Quemerais","K1D","121.34","372.2","398.73","Finale A"
"Marion Grangeon","K1D","170.7","295.97","962.12","Finale A"
"Camille Castryck","K1DM","123.3","503.98","421.09","Finale A"
"Romane Regnier","K1DM","129.7","-","494.15","Finale A"
"Elise Weilbach","K1DM","130.9","453.27","507.84","Finale A"
"Clara Grangeon","K1DM","145.9","435.98","679.05","Finale A"
"Eva Marchand","K1DM","146.27","478.21","683.27","Finale A"
"Louna Beurel","K1DM","149.16","565.8","716.26","Finale A"
"Chan Bessuejouls","K1DM","251.76","-","1887.35","Finale A"
"Mathurin Madore","K1H","83.37","82.47","89.03","Finale A"
"Sami Rocher","K1H","83.59","92.69","91.87","Finale A"
"Yves Prigent","K1H","83.73","48.95","93.67","Finale A"
"Pol Oulhen","K1H","84.47","41.25","103.22","Finale A"
"Benoit Guillaume","K1H","84.91","37.48","108.89","Finale A"
"Malo Quemeneur","K1H","86.03","54.49","123.34","Finale A"
"Luca Dos Santos","K1H","86.81","184.31","133.4","Finale A"
"Pol Euzenes","K1H","87.18","122.4","138.17","Finale A"
"Mathis Soudi","K1H","87.25","129.68","139.08","Finale A"
"Kendaor Le Huitou","K1H","87.4","98.74","141.01","Finale A"
"Hugo Regnier","K1H","87.5","179.17","142.3","Finale A"
"Alan Dollo","K1H","88.03","107.44","149.14","Finale A"
"Fabien Le Nechet","K1H","88.37","130.92","153.52","Finale A"
"Gael Prodeau","K1H","89.27","210.55","165.13","Finale A"
"Matheo Lebaindre","K1H","89.52","183.19","168.35","Finale A"
"Romain Guyomard","K1H","89.6","177.24","169.39","Finale A"
"Theo Foucher","K1H","89.82","170.92","172.22","Finale A"
"Xavier Jourdain","K1H","89.89","177.27","173.13","Finale A"
"Yann Le Govic","K1H","90.07","75.69","175.45","Finale A"
"Jonas Godevin","K1H","91.44","243.32","193.12","Finale A"
"Malo Legrand","K1H","92.32","217.19","204.47","Finale A"
"Anthony Drouhin","K1H","92.37","210.51","205.11","Finale A"
"Nicolas Rouleaud","K1H","92.47","182.48","206.4","Finale A"
"Nicolas Coudert","K1H","93","201.46","213.24","Finale A"
"Luc Hellard","K1H","93.09","222.58","214.4","Finale A"
"Yves Bourhis","K1H","93.3","220.07","217.11","Finale A"
"Johann Loiseau","K1H","93.8","215.96","223.56","Finale A"
"Nicolas Mevel","K1H","94.08","187.12","227.17","Finale A"
"Florian Busson","K1H","94.16","207.75","228.2","Finale A"
"Arthur Mizzi","K1H","94.42","224.87","231.55","Finale A"
"Herve Busson","K1H","94.43","215.36","231.68","Finale A"
"Alex Louveau","K1H","94.76","257.28","235.94","Finale A"
"Timothee Cornu","K1H","94.79","264.25","236.33","Finale A"
"Alan Mahe","K1H","94.86","207.34","237.23","Finale A"
"Loan Queffelec","K1H","94.9","299","237.75","Finale A"
"Simon Dubosc","K1H","95.01","262.96","239.16","Finale A"
"Aubry Bertin","K1H","95.03","241.4","239.42","Finale A"
"Paul Gestin","K1H","96.65","256.51","260.32","Finale A"
"Romain Branjauneau","K1H","96.7","263.02","260.96","Finale A"
"David Mingasson","K1H","96.76","212.66","261.74","Finale A"
"Bertrand Avril","K1H","96.91","275.64","263.67","Finale A"
"Frederic Castryck","K1H","97.34","312.49","269.22","Finale A"
"Steven Henry","K1H","97.79","285.44","275.02","Finale A"
"Samuel Lhegu","K1H","97.85","111.05","275.79","Finale A"
"Nicolas Veillard","K1H","98.04","-","278.25","Finale A"
"Youn Aubry","K1H","98.47","234.63","283.79","Finale A"
"Lionel Tinevez","K1H","98.95","298.13","289.98","Finale A"
"Julien Dosse","K1H","98.98","271.95","290.37","Finale A"
"Jeremy Lecollinet","K1H","99.15","245.15","292.56","Finale A"
"Nathanael Pedron","K1H","99.39","281.71","295.66","Finale A"
"Nathan Flageul","K1H","99.96","224.74","303.01","Finale A"
"Brice Derrien","K1H","100.18","365.19","305.85","Finale A"
"Guillaume Maillot","K1H","100.33","313.42","307.78","Finale A"
"Lucas Soudi","K1H","100.36","331.1","308.17","Finale A"
"Alan Olivo","K1H","100.51","354.62","310.1","Finale A"
"Brieuc Richard","K1H","100.78","343.04","313.59","Finale A"
"Denis Guilmard","K1H","100.97","253.8","316.04","Finale A"
"Maxime Foucault","K1H","101.1","212.82","317.71","Finale A"
"Keliann Le Breton","K1H","101.32","383.97","320.55","Finale A"
"Pierre Huan","K1H","101.73","306.16","325.84","Finale A"
"Gwenael Marquer","K1H","101.99","299.21","329.19","Finale A"
"Gregory Metayer","K1H","102.19","316.17","331.77","Finale A"
"Mathis Daniel","K1H","102.2","272.16","331.9","Finale A"
"Aurelien Ballandras","K1H","102.22","274.01","332.16","Finale A"
"Samuel Le Dean","K1H","102.7","350.39","338.35","Finale A"
"Lorin Dumont","K1H","103.26","265.21","345.57","Finale A"
"Leo Grollier","K1H","103.3","448.33","346.09","Finale A"
"Emmanuel Cosse","K1H","103.83","359.28","352.92","Finale A"
"Leo Demazeau","K1H","103.93","360.95","354.21","Finale A"
"Louis Forgeard","K1H","104.59","397.21","362.73","Finale A"
"Killian Flegeau","K1H","104.96","326.71","367.5","Finale A"
"Ewen Berrest","K1H","105.25","350.5","371.24","Finale A"
"Kylian Lavole","K1H","105.43","421.14","373.56","Finale A"
"Pierre Guilchet","K1H","105.77","-","377.95","Finale A"
"Dorian Ollivier","K1H","106.04","278.45","381.43","Finale A"
"Quentin Angot","K1H","106.24","353.04","384.01","Finale A"
"Maxime Jean","K1H","106.33","-","385.17","Finale A"
"Simon Rolland","K1H","106.95","391.97","393.17","Finale A"
"Malo Marquet","K1H","107","405.67","393.81","Finale A"
"Simon Cognard","K1H","107.07","405.79","394.71","Finale A"
"Thomas Brochard","K1H","107.97","293.47","406.32","Finale A"
"Joris Hello","K1H","108.15","455.52","408.64","Finale A"
"Gaetan Robin","K1H","109.62","355.93","427.6","Finale A"
"Simon Seuru","K1H","109.75","365.49","429.28","Finale A"
"Valentino Le Guesclou","K1H","109.8","401.99","429.93","Finale A"
"Daneric Ollivier","K1H","109.84","424.77","430.44","Finale A"
"Louison Laumondais","K1H","110.32","390.92","436.63","Finale A"
"Thibault Lamour","K1H","110.45","430.48","438.31","Finale A"
"Arthur Chaumet","K1H","111","332.26","445.4","Finale A"
"Loic Froissard","K1H","111.73","429.97","454.82","Finale A"
"Nicolas Le Belleguic","K1H","113.21","360.14","473.91","Finale A"
"Tom Seguillon","K1H","113.39","422.03","476.23","Finale A"
"Valentin Rault","K1H","117.66","380.25","531.3","Finale A"
"Enzo Cozette","K1H","126.23","348.62","641.84","Finale A"
"Clement Le Collinet","K1H","144.55","200.28","878.13","Finale A"
"Quentin Le Duc","K1H","145.17","257.47","886.13","Finale A"
"Pierre Audouin","K1H","153.06","246.46","987.89","Finale A"
"Hoel Carnot","K1H","157.91","422.35","1050.45","Finale A"
"Titouan Castryck","K1HM","105.52","-","374.72","Finale A"
"Louis Brocard","K1HM","108.34","711.94","411.09","Finale A"
"Oscar Donval","K1HM","109.94","455.31","431.73","Finale A"
"Mewen Debliquy","K1HM","112.3","494.3","462.17","Finale A"
"Julien Mizzi","K1HM","113.65","575.39","479.58","Finale A"
"Nathan Corfmat","K1HM","137.56","693.58","787.97","Finale A"
"Thomas Heslouis","K1HM","138.84","811.96","804.48","Finale A"
"Etienne Chevrier","K1HM","140.29","936.69","823.19","Finale A"
"Adrien Le Collinet","K1HM","142.22","621.64","848.08","Finale A"
"Marin Salmon","K1HM","Abs","-","-","Finale A"
"Marion Grangeon","C1D","130.15","386.8","417.62","Finale B"
"Morgane Quemerais","C1D","132.43","457.96","442.12","Finale B"
"Rozenn Le Page","C1D","148.44","451.61","614.21","Finale B"
"Gabrielle Kugler","C1D","226.97","868.44","1458.28","Finale B"
"Luc Hellard","C1H","108.26","329.04","348.57","Finale B"
"Philippe Quemerais","C1H","109.83","338.86","367.86","Finale B"
"Malo Legrand","C1H","109.97","425.74","369.57","Finale B"
"Samuel Vallienne","C1H","111.51","411.37","388.49","Finale B"
"Lubin Huet","C1H","111.75","374.6","391.45","Finale B"
"Julien Rocaboy","C1H","112.72","390","403.35","Finale B"
"Didier Botrel","C1H","114.18","339.1","421.29","Finale B"
"Yoann Bizot","C1H","116.92","389.11","454.94","Finale B"
"Youn Aubry","C1H","119.04","355.96","480.98","Finale B"
"Thibault Lamour","C1H","119.2","663.96","482.96","Finale B"
"LÉo Le Moigne","C1H","120.19","357.54","495.12","Finale B"
"Vincent Froger","C1H","120.25","-","495.86","Finale B"
"Olivier Leboeuf","C1H","124","479.02","541.92","Finale B"
"Louis Marescot","C1H","125.38","664.46","558.88","Finale B"
"Glen Le Meur","C1H","125.45","576.74","559.73","Finale B"
"Thomas Salch","C1H","125.67","-","562.44","Finale B"
"Florian Lohezic","C1H","128.22","665.43","593.75","Finale B"
"Matthis Fradin","C1H","130.13","514.33","617.21","Finale B"
"Awen Le Paih","C1H","130.42","546.13","620.79","Finale B"
"Killian Flegeau","C1H","131.24","583.3","630.85","Finale B"
"Thomas Ollivo","C1H","132.49","577.76","646.21","Finale B"
"Gwenael Coadou","C1H","135.11","469.57","678.39","Finale B"
"Guillaume Caron","C1H","136.29","578.58","692.89","Finale B"
"Elouan Pennors","C1H","137.24","740.83","704.56","Finale B"
"Louis Beaumois","C1H","139.81","652.97","736.12","Finale B"
"Adrien Brulon Lecrenn","C1H","144.41","521.31","792.63","Finale B"
"Maxime Rannou","C1H","151.25","641.04","876.66","Finale B"
"Alexis Letellier","C1H","171.33","-","1123.31","Finale B"
"Yannick Courtay","C1H","182.84","628.53","1264.69","Finale B"
"Alexis Brule","C1H","187.76","-","1325.13","Finale B"
"Gaetan Le Jeune","C1H","249.61","623.56","2084.89","Finale B"
"Jules Roos","C1HM","152.34","532.72","890.05","Finale B"
"Mathis Poree","C1HM","166.44","1443.54","1063.24","Finale B"
"Kyliann Godin","C1HM","246.24","-","2043.49","Finale B"
"Thomas Heslouis","C1HM","Abs","-","-","Finale B"
"Malo De Bermingham","C1HM","Abd","-","-","Finale B"
"Anais Robineau-Romane Bronchet","C2D","Nt","-","-","Finale B"
"Laurie Beaurepere-Louna Beurel","C2DM","Nt","-","-","Finale B"
"Florian Busson-Alex Louveau","C2H","119.49","394.34","419.8","Finale B"
"Camille Fleuret-Enzo Cozette","C2H","123.07","580.98","461.78","Finale B"
"Clement Dubois-Martin Dubois","C2H","126.06","588.2","496.84","Finale B"
"Awen Le Paih-Malo Le Paih","C2H","133.92","-","588.99","Finale B"
"Samuel Le Dean-Guillaume Maillot","C2H","135.11","606.06","602.95","Finale B"
"Joris Hello-Mael Le Goff","C2H","148.67","-","761.96","Finale B"
"Alexis Letellier-Baptiste Madic","C2H","248.69","-","1934.73","Finale B"
"Gaetan Le Jeune-Maxime Rannou","C2H","Abs","-","-","Finale B"
"Emeric Bertrand-Deborah Larsonneur","C2M","125.9","455.42","371.95","Finale B"
"Bertrand Avril-Chloe Gatuingt","C2M","134.29","333.58","462.12","Finale B"
"Gabrielle Kugler-Maxence Galy","C2M","204.21","-","1213.64","Finale B"
"Veronique Vourch","K1D","119.43","445.76","381.92","Finale B"
"Chloe Gatuingt","K1D","119.72","315.89","385.23","Finale B"
"Pauline Richard","K1D","120.16","365.32","390.25","Finale B"
"Thiphaine Ruellan","K1D","121.86","-","409.66","Finale B"
"Christine Le Gall","K1D","122.35","358.33","415.24","Finale B"
"Romane Bronchet","K1D","122.67","419.33","418.91","Finale B"
"Frederique Piton","K1D","122.71","404.85","419.36","Finale B"
"Manon Le Lay","K1D","124.57","539.83","440.59","Finale B"
"Emma Jacob","K1D","130.41","363.73","507.25","Finale B"
"Emma Leroux","K1D","135.13","583.98","561.12","Finale B"
"Aubane Leca","K1D","152.07","907.66","754.47","Finale B"
"Lucie Lemetayer","K1D","154.52","1027.49","782.44","Finale B"
"Anais Robineau","K1D","169.87","660.41","957.64","Finale B"
"Zoe Marchand","K1D","174.62","623.17","1011.87","Finale B"
"Pauline Guenery","K1D","203.76","489.62","1344.48","Finale B"
"Cecile Chiron","K1D","205.83","941.82","1368.1","Finale B"
"CloÉ Curti","K1D","229.92","-","1643.07","Finale B"
"Gwendoline Hall","K1D","231.21","442.57","1657.8","Finale B"
"Marine Calenda","K1D","347.51","640.36","2985.26","Finale B"
"Caroline Froissard","K1D","Abs","-","-","Finale B"
"Alexandra Rochard","K1DM","179.21","574.96","1064.26","Finale B"
"Mathilde Le Solliec","K1DM","229.06","-","1633.25","Finale B"
"Adele Le Duc","K1DM","308.93","-","2544.9","Finale B"
"Claire Chaussadas","K1DM","336.42","-","2858.68","Finale B"
"Jeanne Bonthonnou","K1DM","362.88","701.29","3160.7","Finale B"
"Wissal Mouinet","K1DM","373.67","-","3283.85","Finale B"
"Laurie Beaurepere","K1DM","Abs","-","-","Finale B"
"Lucas Jacob","K1H","91.6","259.2","200.18","Finale B"
"Leo Tasset","K1H","97.6","263.51","277.57","Finale B"
"Thibaud Chevalier","K1H","101.75","337.82","331.1","Finale B"
"Brieg Le Paih","K1H","102.01","418.81","334.45","Finale B"
"Thibaud Collaert","K1H","102.08","407.3","335.35","Finale B"
"Stephane Debliquy","K1H","103.49","351.4","353.54","Finale B"
"Malo Le Paih","K1H","103.87","293.25","358.44","Finale B"
"Clement Dubois","K1H","104.13","452.93","361.79","Finale B"
"Martin Dubois","K1H","104.21","420.4","362.83","Finale B"
"Jonas Flament","K1H","104.77","389.49","370.05","Finale B"
"Samuel Vallienne","K1H","106.02","433.09","386.17","Finale B"
"Aurelien Le Duc","K1H","106.04","358.75","386.43","Finale B"
"Fabien Dulyse","K1H","106.6","514.09","393.65","Finale B"
"Pierre Yves Tanguy","K1H","106.66","389.77","394.43","Finale B"
"Maxance Mongermont","K1H","108.04","-","412.23","Finale B"
"Hugo Guilleray","K1H","108.16","454.03","413.77","Finale B"
"Thomas Besnard","K1H","108.84","-","422.54","Finale B"
"Yoann Donval","K1H","109.7","405.22","433.64","Finale B"
"Come Le Gal","K1H","109.83","389.76","435.31","Finale B"
"Gaston Guilmard","K1H","110","507.01","437.51","Finale B"
"Samuel Flament","K1H","110.55","377.54","444.6","Finale B"
"Yann Le Bourser","K1H","111.64","376.46","458.66","Finale B"
"Julien Caillarec","K1H","111.92","450.65","462.27","Finale B"
"Sebastien Delaunay","K1H","112.07","-","464.2","Finale B"
"Clement Collardez","K1H","112.27","375.5","466.78","Finale B"
"Corentin Makosso","K1H","112.55","540.34","470.4","Finale B"
"Theo Rose","K1H","112.89","410.41","474.78","Finale B"
"Elouan Pennors","K1H","112.96","604.42","475.68","Finale B"
"Thomas Floch","K1H","113.18","497.98","478.52","Finale B"
"Elouan Le Fournis","K1H","113.84","478.74","487.03","Finale B"
"Matheo Coquel","K1H","114.8","500.41","499.42","Finale B"
"Louis Beaumois","K1H","114.89","590.62","500.58","Finale B"
"Tanguy Odot","K1H","114.98","519.78","501.74","Finale B"
"Lilian Bald","K1H","114.99","440.15","501.87","Finale B"
"Romain Malard","K1H","115.19","542.58","504.45","Finale B"
"Baptiste Loy","K1H","115.66","499.59","510.51","Finale B"
"Hugo Eouzan-chaffotec","K1H","115.87","-","513.22","Finale B"
"Ronan Nedelec","K1H","116.02","393.85","515.15","Finale B"
"Nathan Leretrif","K1H","116.02","-","515.15","Finale B"
"Aubin Davaic","K1H","116.43","497.11","520.44","Finale B"
"Vincent Salmon","K1H","117.36","473.7","532.44","Finale B"
"Hugo Robert","K1H","118.16","540.48","542.75","Finale B"
"Erwann Le Jeune","K1H","118.28","415.12","544.3","Finale B"
"Olivier Brochard","K1H","118.42","497.09","546.11","Finale B"
"Brendan Croizer","K1H","118.67","494.41","549.33","Finale B"
"Guillaume Cazee","K1H","118.75","701.27","550.36","Finale B"
"Clement Font-boinel","K1H","118.87","359.09","551.91","Finale B"
"Glen Le Meur","K1H","118.93","595.36","552.68","Finale B"
"Valentin Soullard","K1H","120","576.46","566.49","Finale B"
"Alexis Bizon","K1H","120.22","522.48","569.32","Finale B"
"Yannis Houze","K1H","121.17","494.83","581.58","Finale B"
"David Hamon","K1H","121.22","600.79","582.22","Finale B"
"Thomas Roy","K1H","121.6","649.24","587.12","Finale B"
"Sylvain Premel","K1H","122.84","460.63","603.12","Finale B"
"Younes Kismi","K1H","122.97","500.25","604.79","Finale B"
"Ronan Le Fer","K1H","123.54","-","612.14","Finale B"
"Guillaume Le Paih","K1H","124.66","555.49","626.59","Finale B"
"Luck Thomas","K1H","127.18","564.85","659.09","Finale B"
"Yann Curti","K1H","128.15","689.31","671.6","Finale B"
"Samuel Piton","K1H","128.21","580.51","672.38","Finale B"
"Guillaume Caron","K1H","128.43","649.13","675.22","Finale B"
"Olivier Leboeuf","K1H","129.25","-","685.79","Finale B"
"Antoine Aubert","K1H","129.52","691.59","689.27","Finale B"
"Yohan Dupont","K1H","129.62","443.65","690.56","Finale B"
"Adrien Pierre","K1H","129.79","514.87","692.76","Finale B"
"Youenn Peloil","K1H","131.81","585.85","718.81","Finale B"
"Baptiste Madic","K1H","132.58","-","728.74","Finale B"
"Tom Lallican","K1H","135.69","-","768.86","Finale B"
"Gerard Lemonnier","K1H","140.33","708.63","828.7","Finale B"
"Adrien Brulon Lecrenn","K1H","146.41","578.26","907.12","Finale B"
"Pierre Rochon","K1H","148.24","744.29","930.73","Finale B"
"Ulysse Guillarm","K1H","148.28","-","931.24","Finale B"
"Alexis Carpentey","K1H","148.96","571.81","940.01","Finale B"
"Benjamin Borgne","K1H","150.97","723.02","965.94","Finale B"
"Tom Milon","K1H","155.76","888.75","1027.72","Finale B"
"Lubin Huet","K1H","159.61","395.6","1077.38","Finale B"
"Corentin Val","K1H","161.19","658.85","1097.75","Finale B"
"Benjamin Pagerie","K1H","162.67","-","1116.84","Finale B"
"GaËtan De Greef","K1H","165.78","468.19","1156.96","Finale B"
"Tanguy Rolland","K1H","176.65","781.96","1297.16","Finale B"
"Jean Christophe Olivo","K1H","181.67","555.76","1361.91","Finale B"
"Mael Monjaret","K1H","190.22","505.25","1472.18","Finale B"
"Francois Bonthonnou","K1H","190.77","527.66","1479.28","Finale B"
"Louis Gane","K1H","194.07","713.63","1521.84","Finale B"
"Pierre Zeo","K1H","198.85","1201.49","1583.49","Finale B"
"Nicolas Maurel","K1H","201.33","-","1615.48","Finale B"
"Maxence Galy","K1H","201.81","1067.76","1621.67","Finale B"
"Sylvain Notari","K1H","203.16","627.85","1639.08","Finale B"
"Yoann Chipeau","K1H","213.63","626.42","1774.13","Finale B"
"Raphael Gomez","K1H","240.41","1057.14","2119.53","Finale B"
"Tom Armand","K1H","245.51","964.99","2185.31","Finale B"
"Antoine Dehennault","K1H","279.06","2019.23","2618.04","Finale B"
"Titouan Le Jeune","K1H","288.23","694.18","2736.32","Finale B"
"Thibault Hamon","K1H","330.5","-","3281.52","Finale B"
"Clement Ezanno","K1H","346.83","2499.37","3492.14","Finale B"
"Stevan Fonteneau","K1H","439.52","-","4687.66","Finale B"
"Victor Morisset","K1H","Abs","-","-","Finale B"
"Jean Yves Prigent","K1H","Abs","-","-","Finale B"
"Romain Margerie","K1HM","138.9","-","810.26","Finale B"
"Corentin Beaumois","K1HM","142.27","1063.59","853.72","Finale B"
"Cesar Le Berder","K1HM","145.18","650.93","891.26","Finale B"
"Nicolas Bidault","K1HM","147.1","-","916.02","Finale B"
"Matheo Morin","K1HM","157.31","-","1047.71","Finale B"
"Tom Marchand","K1HM","247.71","-","2213.69","Finale B"
"Kyliann Godin","K1HM","322.11","-","3173.3","Finale B"
"Fares Chennahi","K1HM","323.94","-","3196.91","Finale B"
"Matisse Anfray","K1HM","Abs","-","-","Finale B"
"Hugo Soulaine","K1HM","Abd","-","-","Finale B"
