"Sélectif Régional de slalom - Régional Slalom Aubeterre - Finale - 2015-12-06","Finale","2015-12-06","Régional","127"
"Alexia Bechu","K1D","110.58","329.36","351.96","Finale A"
"Armelle Canali","K1D","117.42","328.33","432.55","Finale A"
"Noemie Poitou","K1D","120.4","423.9","467.65","Finale A"
"Charline Berger Martin","K1DM","106.25","288.03","300.95","Finale A"
"Perrine Joubert","K1DM","120.47","-","-","Finale A"
"Blandine Larbouillat","K1DM","121.54","-","-","Finale A"
"Elise Doreau","K1DM","140.88","-","-","Finale A"
"Pierre Giudicelli","K1H","81.19","110.59","130.07","Finale A"
"Maxime Foucault","K1H","84.72","222.99","177.06","Finale A"
"Nicolas Labat","K1H","86.22","177.14","197.03","Finale A"
"Christophe Marechal","K1H","86.54","84.07","201.29","Finale A"
"Theo Desvignes","K1H","88.58","203.5","228.45","Finale A"
"Adrien Picco","K1H","88.78","187.65","231.11","Finale A"
"Quentin Chauvin","K1H","89.22","199.96","236.97","Finale A"
"Thibault Dufour","K1H","89.72","207.59","243.62","Finale A"
"Maxime Texier","K1H","91.57","202.63","268.25","Finale A"
"Julien Pajaud","K1H","93.76","248.89","297.4","Finale A"
"Vincent Menager","K1H","94.6","282.74","308.59","Finale A"
"Dylan Sourbe","K1H","96.67","276.55","336.14","Finale A"
"Zeph Scamps","K1H","97.05","316.94","341.2","Finale A"
"Mathieu Minie","K1H","98.45","280.62","359.84","Finale A"
"Antonin Barraud","K1H","98.93","303.07","366.23","Finale A"
"Kevin Sponem","K1H","99.81","328.47","377.94","Finale A"
"Axel Gauthard","K1H","101.7","-","403.1","Finale A"
"Pierre Dehaudt","K1H","102.94","331.33","419.61","Finale A"
"Antoine Bouby","K1H","103.31","423.19","424.54","Finale A"
"Etienne Chauvin","K1H","103.32","296.6","424.67","Finale A"
"Benjamin Georges","K1H","103.35","-","425.07","Finale A"
"NaËl Rajoub","K1H","103.58","444.74","428.13","Finale A"
"Mattias Poirat","K1H","104.16","456.88","435.85","Finale A"
"Arthur Huet","K1H","198.71","253.43","1694.52","Finale A"
"Matheo Gillaizeau","K1HM","100.19","340.33","383","Finale A"
"Arnaud Verrons","K1HM","107.41","-","-","Finale A"
"Ulysse Giel","K1HM","110.84","495.85","524.78","Finale A"
"Thimon Didier","K1HM","113.41","-","-","Finale A"
"Julien Brice","K1HM","116.68","-","602.52","Finale A"
"Thibault Alcaras","K1HM","119.64","477.67","641.92","Finale A"
"Tom Delens","K1HM","121.64","-","-","Finale A"
"Tom Charles","K1HM","123.22","-","-","Finale A"
"Sam Traquet","K1HM","157.58","433.93","1146.99","Finale A"
"Marie Charbonneau","C1D","135.23","465.87","554.43","Finale B"
"AdÈle Aguesseau","C1D","161.45","746.81","845.3","Finale B"
"Margaux Longeau","C1D","171.37","702.88","955.34","Finale B"
"Etienne Chauvin","C1H","115.84","401.33","522.91","Finale B"
"Yanis Rainaud","C1H","117.25","445.01","540.79","Finale B"
"Francois Mouttou","C1H","119.65","576.34","571.2","Finale B"
"Florentin Saumon","C1H","119.91","490.93","574.51","Finale B"
"Maxime Texier","C1H","124.19","-","628.77","Finale B"
"Sylvain Decombe","C1H","136.53","643.67","785.23","Finale B"
"Cyril Launay","C1H","138.71","605.32","812.86","Finale B"
"Fabrice Lacoudre","C1H","159.86","474.59","1081.01","Finale B"
"Antoine Bougette","C1H","161.55","-","1102.43","Finale B"
"Ulysse Giel","C1HM","124.55","-","633.33","Finale B"
"Thimon Didier","C1HM","130.64","-","-","Finale B"
"Ugo David","C1HM","136.74","-","-","Finale B"
"Tom Charles","C1HM","154.09","-","-","Finale B"
"Dylan Sourbe-Zeph Scamps","C2H","118.26","-","485.43","Finale B"
"Matheo Gillaizeau-Julien Pajaud","C2H","123.97","-","554.54","Finale B"
"Pierre Dehaudt-Antoine Bouby","C2H","136.46","-","705.7","Finale B"
"Mathias Pannetier-NaËl Rajoub","C2H","139.04","-","736.92","Finale B"
"Marie Charbonneau","K1D","113.8","387.07","394.9","Finale B"
"AdÈle Aguesseau","K1D","126.29","521.38","542.04","Finale B"
"Jocelyne Roupioz","K1D","126.74","-","547.34","Finale B"
"Margaux Longeau","K1D","143.87","564.89","749.15","Finale B"
"Yanis Rainaud","K1H","91.13","250.2","267.39","Finale B"
"Mathieu Cheze","K1H","92.98","281.09","292.02","Finale B"
"Romain Poirier","K1H","95.07","349.11","319.84","Finale B"
"Florentin Saumon","K1H","97.41","333.91","350.99","Finale B"
"Thomas Dieusaert","K1H","104.05","403.92","439.39","Finale B"
"Cyril Launay","K1H","106.77","391.72","475.6","Finale B"
"Timothee Megard","K1H","109.54","484.99","512.47","Finale B"
"Raphael Jean","K1H","112.77","472.57","555.47","Finale B"
"Thibault Beneteau","K1H","113.02","491.92","558.8","Finale B"
"Christophe Joubert","K1H","115.66","522.74","593.94","Finale B"
"Remi Princet","K1H","117.04","625.44","612.31","Finale B"
"Thilbault Rucher","K1H","117.05","568.56","612.45","Finale B"
"Sylvain Decombe","K1H","117.92","452.21","624.03","Finale B"
"Antoine Bougette","K1H","118.23","528.19","628.15","Finale B"
"Corentin Bechu","K1H","118.49","505.11","631.62","Finale B"
"Maxime Dubois","K1H","119.05","652.12","639.07","Finale B"
"Etienne Lewkowiez","K1H","119.36","632.42","643.2","Finale B"
"Bruno Beneteau","K1H","121.02","-","665.3","Finale B"
"Thierry Le Bonniec","K1H","128.93","687.11","770.6","Finale B"
"Clement Thevenin","K1H","131.91","728.16","810.27","Finale B"
"Maurice Pubert","K1H","139.9","764.55","916.63","Finale B"
"Joseph Di Nisi","K1H","141.91","881.99","943.39","Finale B"
"Tanguy Zaninotto","K1HM","99.85","364.29","383.48","Finale B"
"Kylian Videau","K1HM","121.96","-","677.81","Finale B"
"Jacob Chaygneaud Dupuy","K1HM","125.7","-","-","Finale B"
"Lucas Bruimaud","K1HM","130.35","695.52","789.5","Finale B"
"Theo Papin","K1HM","130.82","-","-","Finale B"
"Stewen Sourbe","K1HM","131.1","706.22","799.48","Finale B"
"Ugo David","K1HM","133.91","-","-","Finale B"
"Adrien Ricaud","K1HM","136.24","-","867.91","Finale B"
"Lucas Mesquita","K1HM","137.45","-","-","Finale B"
