"Sélectif Régional de slalom - Gond Pontouvre - Finale - 2016-11-20","Finale","2016-11-20","Régional","194"
"Isaac Dufrene","K1H","93.1","171.77","227.89","Finale A"
"Yanis Rainaud","K1H","93.35","186.23","231.12","Finale A"
"Zeph Scamps","K1H","95.43","248.83","257.92","Finale A"
"Adrien Picco","K1H","98.05","223.05","291.69","Finale A"
"Thibault Dufour","K1H","98.94","231.48","303.16","Finale A"
"Dylan Sourbe","K1H","99.57","238.65","311.28","Finale A"
"Arthur Huet","K1H","99.67","297.84","312.57","Finale A"
"Thibault Lefebvre","K1H","100.51","295.08","323.39","Finale A"
"Marceau Faget","K1H","100.55","300.81","323.91","Finale A"
"Tanguy Zaninotto","K1H","101.67","328.65","338.34","Finale A"
"Valentin Cesbron","K1H","101.71","291.79","338.86","Finale A"
"Jerome Blanchet","K1H","101.74","339.38","339.25","Finale A"
"Matheo Gillaizeau","K1H","102.12","329.74","344.14","Finale A"
"Kevin Sponem","K1H","103.42","325.49","360.9","Finale A"
"Quentin Bonniol","K1H","103.57","-","362.83","Finale A"
"Florentin Saumon","K1H","103.64","268.76","363.73","Finale A"
"Thierry Derouineau","K1H","104.95","-","380.62","Finale A"
"Ulysse Giel","K1H","105.25","416.23","384.48","Finale A"
"Bastien Petit","K1H","105.27","-","384.74","Finale A"
"Cedric Forgit","K1H","105.59","387.44","388.87","Finale A"
"Etienne Chauvin","K1H","106.12","345.27","395.7","Finale A"
"Yanis Koubaiti","K1H","106.55","397.26","401.24","Finale A"
"Thibault Alcaras","K1H","106.74","371.24","403.69","Finale A"
"Clement Praille","K1H","107.43","-","412.58","Finale A"
"Carl Rainaud","K1H","107.9","404.68","418.64","Finale A"
"Thibaud Delaunay","K1H","109.14","362.67","434.62","Finale A"
"Thilbault Rucher","K1H","109.24","491.39","435.91","Finale A"
"Benjamin Georges","K1H","112.07","414.08","472.38","Finale A"
"Julien Brice","K1H","114.13","531.21","498.93","Finale A"
"Corentin Bechu","K1H","114.69","509.94","506.15","Finale A"
"Felix Sperandio","K1H","114.97","481.12","509.76","Finale A"
"Fabrice Roy","K1H","115.59","-","517.75","Finale A"
"Henri Chenu","K1H","116.02","463.56","523.29","Finale A"
"NaËl Rajoub","K1H","116.19","390.66","525.48","Finale A"
"Maxime Dubois","K1H","119.09","532.53","562.85","Finale A"
"Remi Princet","K1H","119.77","550.57","571.62","Finale A"
"Pierre Ledoux","K1H","120.22","587.7","577.42","Finale A"
"Axel Delage","K1H","120.57","432.36","581.93","Finale A"
"Michel Daupeux","K1H","120.88","551.66","585.92","Finale A"
"Romain Bouby","K1H","122.81","-","610.8","Finale A"
"Daniel Bregazzi","K1H","124.32","-","630.26","Finale A"
"Mattias Poirat","K1H","160","429.36","1090.11","Finale A"
"Sam Traquet","K1H","162.05","398.93","1116.53","Finale A"
"Christophe Chasseloup","K1H","Abs","-","-","Finale A"
"Tom Delens","K1HM","108.36","479.7","424.57","Finale A"
"Tom Charles","K1HM","112.21","497.41","474.18","Finale A"
"Nils Venier","K1HM","115.72","505.79","519.42","Finale A"
"Clement Riera","K1HM","117.39","556.84","540.94","Finale A"
"Louis Rathier","K1HM","120.91","609.1","586.31","Finale A"
"Quentin Alcaras","K1HM","122.25","754.28","603.58","Finale A"
"Cerise Babin","OUV","128.07","-","-","Finale A"
"Niels Comte","OUV","130.67","-","-","Finale A"
"Maxime Blondeau","OUV","131.86","-","-","Finale A"
"Manon Joubert","OUV","140.94","-","-","Finale A"
"Elea Mathieu-noel","OUV","149.72","-","-","Finale A"
"Marie Charbonneau","C1D","133.19","481.12","463.49","Finale B"
"NoÉmie Veaux","C1D","153.36","-","680.11","Finale B"
"Perrine Joubert","C1DM","139.69","475.49","533.29","Finale B"
"Elise Doreau","C1DM","153.63","573.44","683.01","Finale B"
"Dylan Sourbe","C1H","114.62","-","439.9","Finale B"
"Thair Benzougar","C1H","127.48","572.57","597.75","Finale B"
"Jeanfrancis Battesti","C1H","129.16","620.33","618.38","Finale B"
"Ulysse Giel","C1H","130.57","567.23","635.67","Finale B"
"Adrien Ricaud","C1H","130.97","-","640.58","Finale B"
"Yanis Koubaiti","C1H","135.06","-","690.79","Finale B"
"Thibaud Delaunay","C1H","135.76","-","699.38","Finale B"
"Sam Traquet","C1H","136.01","-","702.44","Finale B"
"Felix Sperandio","C1H","136.72","579.35","711.17","Finale B"
"Killyan Moreau","C1H","151.36","-","890.86","Finale B"
"Hugo Martin","C1HM","123.16","-","544.72","Finale B"
"Louis Rathier","C1HM","130.18","-","630.89","Finale B"
"Clement Gillaizeau","C1HM","133","673.64","665.51","Finale B"
"Adrien Pardoux","C1HM","133.57","723.15","672.51","Finale B"
"Jordan Brise","C1HM","138.03","-","727.24","Finale B"
"Theo Jeanlouis","C1HM","141.21","950.1","766.28","Finale B"
"Tom Charles","C1HM","144.35","-","804.81","Finale B"
"Eliott Rossignol","C1HM","146.57","-","832.06","Finale B"
"Loic Leymonerie","C1HM","163.68","1162.15","1042.08","Finale B"
"Adrien Favennec","C1HM","164.1","-","1047.24","Finale B"
"Evann Doublet","C1HM","345.32","-","3271.59","Finale B"
"Florentin Saumon-Zeph Scamps","C2H","126.95","-","520.41","Finale B"
"Charley Sannier Durand-Tom Baillon","C2H","138.84","688.21","659.72","Finale B"
"Julien Brice-Jacob Chaygneaud Dupuy","C2H","157.23","1126.5","875.18","Finale B"
"Thibaud Delaunay-Clement Praille","C2H","186.96","-","1223.52","Finale B"
"Hugo Suire-Mael Verheyde","C2HM","170.86","1595.8","1034.88","Finale B"
"Lea Pages","K1D","130.37","476.18","519.94","Finale B"
"Cindy Poupaert","K1D","151.13","-","756.7","Finale B"
"Celine Duprat","K1D","364.86","-","3194.38","Finale B"
"Morgane Bastier-guilcher","K1DM","151.34","865.25","759.1","Finale B"
"Maisie Grace Vardill Clark","K1DM","151.39","-","759.67","Finale B"
"Juliette Derouineau","K1DM","157.97","-","834.71","Finale B"
"Louanne Brault-geay","K1DM","160.06","-","858.56","Finale B"
"Alice Bureau","K1DM","164.56","-","909.88","Finale B"
"Louise Turgis","K1DM","177.62","-","1058.84","Finale B"
"Quentin Chauvin","K1H","97.72","231.5","292.44","Finale B"
"Quentin Robert","K1H","103.37","-","365.25","Finale B"
"Jeancharles Naslin","K1H","118.51","-","560.38","Finale B"
"Adrien Ricaud","K1H","118.96","605.32","566.18","Finale B"
"Antoine Rambeau","K1H","122.36","-","610","Finale B"
"Pierre Maupetit","K1H","123.8","-","628.56","Finale B"
"Jean-noel Biteau","K1H","124.55","633.16","638.22","Finale B"
"Philippe Albessard","K1H","126.25","707.01","660.13","Finale B"
"Jonathan Bourdier","K1H","126.64","642.02","665.16","Finale B"
"Valentin Poisson","K1H","126.69","-","665.8","Finale B"
"Jean Cougul","K1H","132.08","722.41","735.27","Finale B"
"Joseph Di Nisi","K1H","133.95","740.28","759.37","Finale B"
"Ludovik Fresnel","K1H","135.85","796.55","783.86","Finale B"
"Morgan Deneuvy","K1H","135.92","-","784.76","Finale B"
"Boris Le Jolly","K1H","135.93","-","784.89","Finale B"
"Thierry Le Bonniec","K1H","142.31","693.43","867.12","Finale B"
"Tristan Favennec","K1H","143.08","-","877.04","Finale B"
"Killyan Moreau","K1H","174","1151.63","1275.54","Finale B"
"Kylian Videau","K1H","175.25","661.81","1291.65","Finale B"
"Thibaut Guillaumin","K1H","196.59","-","1566.68","Finale B"
"Arnaud Verrons","K1HM","107.23","357.95","415","Finale B"
"Adrien Pardoux","K1HM","116.99","558.6","540.79","Finale B"
"Jordan Brise","K1HM","121.73","-","601.88","Finale B"
"Theo Jeanlouis","K1HM","121.95","825.78","604.71","Finale B"
"Hugo Martin","K1HM","124.56","-","638.35","Finale B"
"Ugo David","K1HM","124.85","784.5","642.09","Finale B"
"Clement Gillaizeau","K1HM","125.91","626.63","655.75","Finale B"
"Adrien Baty","K1HM","126.77","-","666.83","Finale B"
"Theo Papin","K1HM","127.05","620.38","670.44","Finale B"
"Jacob Chaygneaud Dupuy","K1HM","127.31","-","673.79","Finale B"
"Titouan Maricourt","K1HM","127.35","-","674.31","Finale B"
"Nathanael Bordes","K1HM","129.4","-","700.73","Finale B"
"Lucas Mesquita","K1HM","129.9","927.51","707.17","Finale B"
"Loic Leymonerie","K1HM","131.36","749.55","725.99","Finale B"
"Quentin Rabot","K1HM","131.38","878.73","726.25","Finale B"
"Aymeric Delage","K1HM","138.03","-","811.95","Finale B"
"Mael Verheyde","K1HM","138.04","1045.05","812.08","Finale B"
"Titouan Conseil","K1HM","142.21","-","865.83","Finale B"
"Pierre Gadolet","K1HM","142.58","-","870.6","Finale B"
"Rodrigue Culos","K1HM","143.01","-","876.14","Finale B"
"Eliott Rossignol","K1HM","144.26","-","892.25","Finale B"
"Noe Villeneuve","K1HM","145.69","1973.32","910.68","Finale B"
"Louis Hamel","K1HM","149.3","-","957.2","Finale B"
"Hugo Suire","K1HM","149.77","1117.46","963.26","Finale B"
"Kylian Gauthier","K1HM","152.42","2114.59","997.41","Finale B"
"Adrien Favennec","K1HM","156.24","-","1046.65","Finale B"
"Natan Bignaud","K1HM","158.28","-","1072.94","Finale B"
"Enzo Vanderbent-geay","K1HM","175.67","-","1297.06","Finale B"
"Evann Doublet","K1HM","175.78","-","1298.48","Finale B"
"Edouard Patry","OUV","138.53","-","-","Finale B"
"Melody Gireaud","OUV","156.05","-","-","Finale B"
"Paul Brochard","OUV","157.16","-","-","Finale B"
"Clement Turgis","OUV","168.35","-","-","Finale B"
"Charlie Barloy","OUV","180.33","-","-","Finale B"
