"Championnat régional de slalom - Jarnac - 2008-05-18","Course 1","2008-05-18","Régional","120"
"Guillaume Chasseriault","K1H","212.22","359","446",""
"Etienne Chauvin","K1H","214.55","431","464",""
"Maxime Dauvel","K1H","216.26","-","477",""
"Matthias Jauvin","K1H","217.06","520","483",""
"Mathieu Laroze","K1H","217.97","399","488",""
"Yann Drouet","K1H","218.78","494","495",""
"Florian Petit","K1H","220.39","-","507",""
"Luc Jauvin","K1H","228.83","489","571",""
"Thomas Pierre","K1H","230.38","489","582",""
"Piveteau Thomas","K1H","230.64","-","583",""
"Charlie Baron","K1H","230.83","491","586",""
"Gerard Lemonnier","K1H","231.17","617","588",""
"Kevin Sponem","K1H","236.73","1221","629",""
"Damien Caillon","K1H","237.00","197","631",""
"Gerard Folle","K1H","240.03","652","654",""
"Keir Simpson","K1H","244.87","-","690",""
"Niall Woulfe","K1H","244.92","648","690",""
"Ollivier Guenroc","K1H","245.21","-","692",""
"Etienne Baudry","K1H","246.79","583","704",""
"Paul Storez","K1H","246.95","246","705",""
"Romain Caillon","K1H","247.02","-","707",""
"Jeanchristophe Pelletant","K1H","259.72","-","802",""
"Damien Guyonnet","K1H","262.58","536","823",""
"Benjamin Martin","K1H","280.40","566","956",""
"Olivier Nonnet","K1H","282.12","597","969",""
"Jeremy Raynaud","K1H","300.93","-","1110",""
"Jonathan Bourdier","K1H","301.52","-","1115",""
"Pierre Bellion","K1H","301.80","-","1117",""
"Daniel Bregazzi","K1H","311.22","-","1187",""
"Pierre Chevalier","K1H","315.45","-","1219",""
"Guillaume Boullault","K1H","333.00","-","1350",""
"Francois Barbanchon","K1H","415.07","-","1965",""
"Kevin Pastor","K1H","656.63","-","3773",""
