"SLALOM REGIONAL SERVON SUR VILAINE - Servon Sur Vilaine - 2008-11-09","Course 1","2008-11-09","Régional","169"
"Alexis Cadoret","K1H","382.10","-","1094",""
"Ronan Collin","K1H","398.10","408","1182",""
"Gil Thesonnier","K1H","398.30","-","1183",""
"Baptiste Puizillout","K1H","408.12","-","1237",""
"Corentin Le Floch","K1H","432.56","-","1371",""
"Corentin Boleis","K1H","451.49","-","1475",""
"Julien Genouel","K1H","548.32","-","2006",""
"Franck-emmanuel Lepretre","K1H","556.84","-","2054",""
"Arthur Heresbach","K1H","589.34","-","2232",""
"Christophe Balu","K1H","629.67","-","2453",""
