"SÈlectif RÈgional de slalom - Jarnac - Qualification - 2016-09-25","Qualification","2016-09-25","RÈgional","236"
"Marion Beneteau","K1DM","134.41","-","696.78",""
"Louanne Brault-geay","K1DM","148.77","-","872.58",""
"Morgane Bastier-guilcher","K1DM","161.34","-","1026.47",""
"Louise Turgis","K1DM","183.29","-","1295.19",""
"Bertille Lassiste","K1DM","192.04","-","1402.3",""
"James Duvernoy","K1H","79.11","96.65","145.69",""
"Damien Launay","K1H","80.56","126.48","165.75",""
"Ludovic Di Nisi","K1H","81.42","58.68","177.65",""
"Antoine Launay","K1H","81.5","72.09","178.75",""
"Nicolas Baudoin","K1H","81.8","118.81","182.9",""
"Isaac Dufrene","K1H","82.73","174.04","195.77",""
"Julien Pajaud","K1H","84.36","193.18","218.32",""
"Christophe Marechal","K1H","84.9","105.57","225.79",""
"Fabien Tournadre","K1H","85.43","170.63","233.12",""
"Pierre-louis Saussereau","K1H","85.87","183.19","239.21",""
"Pierre Giudicelli","K1H","86.13","104.55","242.8",""
"Yanis Rainaud","K1H","86.19","235.35","243.63",""
"Thibault Dufour","K1H","86.71","228.92","250.83",""
"Adrien Picco","K1H","87.76","208.06","265.35",""
"Nathan Hossin","K1H","88.08","232.02","269.78",""
"Dylan Sourbe","K1H","88.21","245.72","271.58",""
"Antonin Barraud","K1H","89.08","273.84","283.61",""
"Thibault Lefebvre","K1H","90.09","310.8","297.59",""
"Florentin Saumon","K1H","90.89","270.35","308.65",""
"Zeph Scamps","K1H","91.26","253.04","313.77",""
"Arthur Huet","K1H","92.18","278.29","326.5",""
"Pierre Campagne","K1H","92.49","277.96","330.79",""
"Matheo Gillaizeau","K1H","92.67","329.46","333.28",""
"Tanguy Zaninotto","K1H","93.4","351.83","343.38",""
"Philippe Niquet","K1H","93.62","298.12","346.42",""
"Thomas Riviere","K1H","93.81","360.38","349.05",""
"Kevin Sponem","K1H","93.83","317.44","349.32",""
"Thibaud Delaunay","K1H","95.21","-","368.41",""
"Raphael Lassechere","K1H","95.6","227.74","373.81",""
"NaÀl Rajoub","K1H","95.93","406.55","378.37",""
"Alexis Dorey","K1H","96.48","290.11","385.98",""
"Sam Traquet","K1H","97.1","403.69","394.56",""
"Karl Bouthegourd","K1H","97.25","376.1","396.63",""
"Antoine Grillier","K1H","97.43","316.78","399.12",""
"Mathias Rodrigues","K1H","97.45","349.69","399.4",""
"Antoine Laye","K1H","97.48","310.37","399.82",""
"Yanis Koubaiti","K1H","97.64","400.1","402.03",""
"Faysal Ali Zazou","K1H","99.71","-","430.67",""
"Theau Le Loch","K1H","99.8","318.95","431.91",""
"Thibault Alcaras","K1H","101.36","410.23","453.49",""
"Jerome Blanchet","K1H","101.5","327.54","455.43",""
"Benjamin Georges","K1H","102.61","414.08","470.78",""
"Jeremy Rouchereau","K1H","102.86","400.8","474.24",""
"Florian Lafitte","K1H","103.76","-","486.69",""
"Cedric Forgit","K1H","104.33","388.13","494.58",""
"Julien Beneteau","K1H","104.42","595.1","495.82",""
"Merwan Fliou","K1H","104.49","-","496.79",""
"Timothee Megard","K1H","104.57","484.99","497.9",""
"Thilbault Rucher","K1H","104.83","511.87","501.49",""
"Benjamin Sanella","K1H","105.34","-","508.55",""
"Clement Capillon","K1H","105.38","408.38","509.1",""
"Henri Chenu","K1H","105.69","460.02","513.39",""
"Benjamin Cariou","K1H","106.5","-","524.6",""
"Antonin Beyneix","K1H","107.33","551.98","536.08",""
"Adrien Roux","K1H","107.6","524.77","539.81",""
"Dylan Tonnellier","K1H","107.87","-","543.55",""
"Frederic Debons","K1H","107.98","418.34","545.07",""
"Christophe Chasseloup","K1H","108.17","-","547.7",""
"Remi Princet","K1H","108.94","603.72","558.35",""
"Antoine Rambeau","K1H","109.16","-","561.39",""
"Maxime Bouvet","K1H","109.41","544.45","564.85",""
"Alexandre Demontleau","K1H","110.17","-","575.37",""
"Adrien Ricaud","K1H","110.27","670.46","576.75",""
"Maxime Dubois","K1H","110.48","595.39","579.65",""
"Pierre Ledoux","K1H","110.71","728.69","582.84",""
"Remi Deborde","K1H","110.85","-","584.77",""
"Bruno Beneteau","K1H","111.19","545.88","589.48",""
"Corentin Bechu","K1H","111.64","494.01","595.7",""
"Christophe Joubert","K1H","112.35","606.53","605.52",""
"Fabrice Lacoudre","K1H","113.82","-","625.86",""
"Gr…gory Navail","K1H","115.41","573.97","647.85",""
"Jean-noel Biteau","K1H","116.19","669.91","658.64",""
"Pascal Pierre","K1H","117.45","-","676.07",""
"Clement Thevenin","K1H","119.5","728.16","704.43",""
"Nicolas Cappy","K1H","120.57","-","719.24",""
"Joseph Di Nisi","K1H","120.92","782.54","724.08",""
"Stewen Sourbe","K1H","122.53","653.34","746.35",""
"Philippe Albessard","K1H","122.97","-","752.44",""
"Pierre Maupetit","K1H","124.21","-","769.59",""
"Ludovik Fresnel","K1H","125.82","-","791.86",""
"Thomas Bouron","K1H","132.88","-","889.53",""
"Tristan Favennec","K1H","136.14","-","934.63",""
"Anatole Fourcade","K1H","137.83","809.72","958.01",""
"Paul Dutailly","K1H","137.9","-","958.97",""
"Theo Desvignes","K1H","138.63","173.78","969.07",""
"Bruno Bouron","K1H","140.67","-","997.29",""
"Vincent Menager","K1H","141.3","292.93","1006.01",""
"Axel Delage","K1H","153.19","374.98","1170.49",""
"Kevin Mousserion","K1H","160.46","-","1271.06",""
"Noe Joseph","K1H","170.48","-","1409.67",""
"Eymric Princet","K1H","180.6","-","1549.67",""
"Valentin Cesbron","K1H","Abs","-","-",""
"Raphael Jean","K1H","Abs","-","-",""
"Philippe Babin","K1H","Abs","-","-",""
"Daniel Lafitte","K1H","Abs","-","-",""
"Quentin Bonniol","K1H","Abs","-","-",""
"Kylian Videau","K1H","Abs","-","-",""
"Tom Babin","K1HM","89.52","436.64","289.7",""
"Arnaud Verrons","K1HM","95.16","414.48","367.72",""
"Etienne Wiche","K1HM","96.12","396.57","381",""
"Tom Delens","K1HM","101.62","569.6","457.09",""
"Tom Charles","K1HM","102.69","562.42","471.89",""
"Adrien Pardoux","K1HM","106.32","-","522.11",""
"Nils Venier","K1HM","106.42","-","523.49",""
"Loris Shayam Affre","K1HM","108.51","566.18","552.4",""
"Malo Deligand","K1HM","108.93","-","558.21",""
"Clement Riera","K1HM","109.6","611.8","567.48",""
"Fantin Delage-garez","K1HM","110.83","627.32","584.5",""
"Clement Gillaizeau","K1HM","113.37","725.75","619.63",""
"Titouan Doreau","K1HM","113.62","586.41","623.09",""
"Louis Rathier","K1HM","115.42","1027.85","647.99",""
"Theo Papin","K1HM","115.56","757.73","649.93",""
"Thimon Didier","K1HM","118.91","539.23","696.27",""
"Theo Jeanlouis","K1HM","120.8","-","722.42",""
"Titouan Maricourt","K1HM","123.25","-","756.31",""
"Lucas Mesquita","K1HM","124.73","1560.3","776.78",""
"Dylan Renneteau","K1HM","125.23","-","783.7",""
"Aymeric Delage","K1HM","125.55","-","788.13",""
"Jordan Brise","K1HM","128.34","-","826.72",""
"Adrien Baty","K1HM","128.37","-","827.14",""
"Mael Verheyde","K1HM","134.16","-","907.24",""
"Pierre Gadolet","K1HM","135.18","-","921.35",""
"Rodrigue Culos","K1HM","135.76","-","929.37",""
"Hugo Suire","K1HM","135.78","-","929.65",""
"Kylian Gauthier","K1HM","137.97","-","959.94",""
"Eliott Sabourin","K1HM","138.75","-","970.73",""
"Baptiste Bouron","K1HM","140.4","-","993.56",""
"Evann Doublet","K1HM","145.64","-","1066.05",""
"Killian Rigaudeau","K1HM","194.3","-","1739.19",""
