"Finale N3 Nord Ouest - Tournon Saint Martin - 2005-06-12","Course 1","2005-06-12","Nationale 3","157"
"Chevalier Yvane","K1D","279.47","479","649",""
"Aziliz Le Paih","K1D","280.42","500","654",""
"Le Bourser Magali","K1D","291.46","493","717",""
"Landa Louise","K1D","293.56","441","728",""
"Picart Carole","K1D","305.97","420","798",""
"Adeline Gerardin","K1D","308.99","532","815",""
"Charlotte Hay","K1D","309.15","382","816",""
"Aurelie Le Fee","K1D","348.65","622","1039",""
"Rosse Laura","K1D","509.88","759","1949",""
"Romain Guyomard","K1H","176.19","253","194",""
"Vivien Colober","K1H","179.15","236","214",""
"Cozigou Edouard","K1H","180.04","301","219",""
"Laurent Van Poucke","K1H","180.94","254","225",""
"Brieuc Cadic","K1H","181.18","233","226",""
"Patrick Jegou","K1H","183.35","300","240",""
"Valentin Brindeau","K1H","184.47","280","247",""
"Julien Vetele","K1H","184.51","264","247",""
"Teddy Poulard","K1H","186.15","364","258",""
"Nicolas Rebours","K1H","186.35","291","259",""
"Vincent Gourmel","K1H","186.94","239","263",""
"Nicolas Pinot","K1H","187.49","322","267",""
"Benjamin Thiboust","K1H","187.73","233","268",""
"Bertrand Avril","K1H","189.30","264","279",""
"Fouquart Thierry","K1H","190.92","257","289",""
"Reuche Benjamin","K1H","191.27","282","291",""
"Dubost Antoine","K1H","191.59","255","293",""
"Jeremy Bretteville","K1H","191.87","497","295",""
"Anthony Thuillier","K1H","191.96","263","295",""
"Bastien Pailler","K1H","192.62","281","300",""
"Didier Niel","K1H","192.96","261","301",""
"Rosnarho Tanguy","K1H","193.05","331","302",""
"Jean-noel Avril","K1H","193.22","360","303",""
"David Despierres","K1H","193.99","334","309",""
"Regis Cabel","K1H","194.35","270","311",""
"Julien Richard","K1H","194.73","347","313",""
"Lebreton Simon","K1H","195.20","276","316",""
"Timothee Venot","K1H","195.45","329","318",""
"Planchais Martial","K1H","195.80","356","320",""
"Nicolas Dupres","K1H","196.90","309","327",""
"Gardan Benjamin","K1H","196.99","262","327",""
"Jean-luc Mottais","K1H","197.52","301","331",""
"Romain Richard","K1H","197.66","291","332",""
"Pierre-yves Lebreton","K1H","197.94","343","333",""
"Sebastien Delaunay","K1H","198.05","386","334",""
"Jeremy Froger","K1H","199.26","284","342",""
"Romain Fraisse","K1H","199.73","343","345",""
"Charles Kerbellec","K1H","200.32","355","349",""
"Fabien Le Nechet","K1H","200.52","338","350",""
"Froissard Arnaud","K1H","200.63","277","351",""
"Joris Rocher","K1H","201.12","348","354",""
"Paul Fievet","K1H","201.69","358","357",""
"Durand Franck","K1H","201.97","346","359",""
"Anthony Mottais","K1H","203.29","370","367",""
"Gaillot Christophe","K1H","204.75","364","377",""
"Melaine Caurant","K1H","206.48","457","388",""
"Simon Bercon","K1H","206.64","331","389",""
"Simon Joudou","K1H","207.28","282","393",""
"Garzuel Erwan","K1H","207.65","455","396",""
"Arthur Feraud","K1H","207.87","351","397",""
"Olivier Roussel","K1H","208.30","313","399",""
"Chevallier Clément","K1H","209.43","464","407",""
"Guyomard Julien","K1H","209.71","364","408",""
"Corbeau Benjamin","K1H","209.72","331","408",""
"Baptiste Granger","K1H","210.30","414","412",""
"Simon Philibert","K1H","211.82","467","422",""
"Jean Messialle","K1H","213.09","560","430",""
"Cornu Jeremy","K1H","214.08","518","437",""
"Erwan Desbordes","K1H","214.36","289","439",""
"Lebar Johnny","K1H","214.39","473","439",""
"Simon Joseph","K1H","214.46","383","439",""
"Verger Nicolas","K1H","214.72","383","440",""
"Froger Alexandre","K1H","217.84","497","461",""
"Alexandre Plouzeau","K1H","217.95","387","461",""
"Houel Nicolas","K1H","218.76","485","466",""
"Simon Vaillant","K1H","219.33","546","470",""
"Andrieux Martin","K1H","219.80","338","473",""
"Friquet Arnaud","K1H","219.85","376","473",""
"Valentin Cazin","K1H","222.63","522","491",""
"Le Bihan Yann","K1H","223.29","488","495",""
"Ronan Gestin","K1H","224.37","541","503",""
"Alexandre Rivolet","K1H","225.03","629","506",""
"Olivier Cornu","K1H","228.08","389","525",""
"Augustin Sacaze","K1H","228.23","473","526",""
"Pierrick Meheust","K1H","228.41","498","528",""
"Dominique Odile","K1H","230.18","557","539",""
"Dallois Jeremi","K1H","230.87","557","544",""
"Vincent Richard","K1H","231.31","420","546",""
"Emmanuel L'anton","K1H","231.60","590","548",""
"Descheres Erwan","K1H","233.56","437","561",""
"Flavien Odile","K1H","236.03","601","577",""
"Manuel Moquet","K1H","236.16","407","578",""
"Robert Marc Antoine","K1H","236.96","606","582",""
"Hoel Carnot","K1H","237.51","399","586",""
"Verre Brendan","K1H","239.28","507","598",""
"Beguinel Simon","K1H","241.13","618","609",""
"Le Roux Vincent","K1H","243.76","657","626",""
"Solen Le Bourles","K1H","247.48","407","650",""
"Jerome Trousson","K1H","250.53","559","669",""
"Le Garrec Julien","K1H","255.17","317","698",""
"Simon Bonnet","K1H","256.56","385","707",""
"Cheron Valentin","K1H","257.60","681","714",""
"Fabien Le Bourser","K1H","260.89","386","735",""
"Van Poucke Mathieu","K1H","263.52","477","752",""
"Gil Justin","K1H","268.18","596","782",""
"Morais Julien","K1H","270.11","717","794",""
"Keuterick Yohan","K1H","271.50","585","803",""
"Emmanuel Despont","K1H","278.63","625","848",""
