"Championnat Nationale 1 - Manche 7 - Stade d'eaux vives de Tours - Qualification - 2012-06-30","Qualification","2012-06-30","Nationale 1","125"
"Fabien Lefevre","K1H","81.65","-","12.4",""
"Benoit Guillaume","K1H","82.5","13.98","16.73",""
"Yann Le Govic","K1H","83.04","14.71","19.48",""
"Mathieu Biazizzo","K1H","83.57","17.69","22.17",""
"Pierre Bourliaud","K1H","83.71","21.68","22.88",""
"Ludovic Di Nisi","K1H","83.91","19.37","23.9",""
"Thomas Bersinger","K1H","84.01","12.41","24.41",""
"Benjamin Buys","K1H","84.09","9.28","24.82",""
"Quentin Burgi","K1H","84.47","21.93","26.75",""
"Frederic Walczak","K1H","84.83","16.71","28.58",""
"Thomas Schmitt","K1H","84.9","40.1","28.94",""
"Jimy Bercon","K1H","84.91","7.39","28.99",""
"Yann Gudefin","K1H","84.99","19.57","29.4",""
"Mathieu Doby","K1H","85.29","-","30.92",""
"Yves Prigent","K1H","85.46","35.41","31.79",""
"Emmanuel Walczak","K1H","85.5","16.39","31.99",""
"Sebastien Combot","K1H","85.63","17.44","32.65",""
"Benjamin Travostino","K1H","85.81","10.71","33.57",""
"Louis Georges Lafont","K1H","86.1","34.84","35.05",""
"Nathanael Renia","K1H","86.51","49.63","37.13",""
"Enrick Cunsolo","K1H","86.57","19.06","37.44",""
"Julien Dekarczyk","K1H","86.73","17.37","38.25",""
"Goulwen Chapelier","K1H","87.23","21.54","40.8",""
"Romain Chabrol","K1H","87.57","37.64","42.53",""
"Bertrand Gutierrez","K1H","87.61","57.59","42.73",""
"Antoine Launay","K1H","87.63","8.06","42.83",""
"Tom Scianimanico","K1H","87.77","28.33","43.54",""
"Samuel Lhegu","K1H","87.95","30.17","44.46",""
"William Desnos","K1H","88.41","36.84","46.8",""
"Christophe Augu","K1H","88.43","28.55","46.9",""
"Jonathan Delagnes","K1H","88.8","36.63","48.78",""
"Mathieu Bandelier","K1H","88.85","-","49.04",""
"Emile Devaux","K1H","89.09","32.99","50.26",""
"Oswald Besch","K1H","89.39","27.3","51.79",""
"Nicolas Labat","K1H","90.09","41.26","55.35",""
"Sullivan Porcher","K1H","90.33","35.15","56.57",""
"Bryan Seiler","K1H","90.59","33.31","57.89",""
"Jerome Olhagaray","K1H","90.73","42.62","58.6",""
"Thibault Gibert","K1H","90.88","94.31","59.37",""
"Benoit Letellier","K1H","90.95","40.18","59.72",""
"Mathys Huvelin","K1H","91.49","37.44","62.47",""
"Christophe Marechal","K1H","91.59","32.74","62.98",""
"Hugo Cailhol","K1H","92.11","14.23","65.63",""
"Nicolas Abbal","K1H","92.19","54.41","66.03",""
"Benjamin Thiboust","K1H","92.27","43.66","66.44",""
"Mathieu Desnos","K1H","93.19","37.45","71.12",""
"Ewen Legrand","K1H","94.33","38.78","76.92",""
"Jonas Turmeau","K1H","94.49","53.94","77.74",""
"Ronan Lucas","K1H","95.38","33.95","82.26",""
"Arnaud Lapeze","K1H","137.2","26.46","295.05",""
"Vincent Reiter","K1H","146.54","54.16","342.58",""
