"SÈlectif RÈgional de Slalom - Epinal - Course n∞2 | Finale - 2017-09-17","Course n∞2 | Finale","2017-09-17","RÈgional","295"
"Quentin Henri","K1H","109.74","537.22","532.13","Course n∞2 | Finale B"
"Michel Bert","K1H","109.93","513.21","534.76","Course n∞2 | Finale B"
"Valentin Capel","K1H","111.49","560.12","556.42","Course n∞2 | Finale B"
"Nicolas Leport","K1H","111.76","592.04","560.17","Course n∞2 | Finale B"
"Jonathan Ferreira","K1H","113.2","569.16","580.16","Course n∞2 | Finale B"
"Alexandre L'huillier","K1H","113.21","527.77","580.3","Course n∞2 | Finale B"
"Virgile Bessot","K1H","114.13","626.25","593.07","Course n∞2 | Finale B"
"Arthur Zanco","K1H","115.9","763.86","617.64","Course n∞2 | Finale B"
"Christophe Leone","K1H","129.73","923.8","809.63","Course n∞2 | Finale B"
"Christophe Come","K1H","131.96","1057.81","840.58","Course n∞2 | Finale B"
"Kevin Vienny","K1H","133.62","736.86","863.63","Course n∞2 | Finale B"
"Michiel Wijckmans","K1H","146.76","473.92","1046.04","Course n∞2 | Finale B"
"Stephane Cassin","K1H","150.03","1310.43","1091.43","Course n∞2 | Finale B"
"Alexis Pacholak","K1H","152.62","326.92","1127.39","Course n∞2 | Finale B"
"David Monnet","K1H","152.86","1069.62","1130.72","Course n∞2 | Finale B"
"Anthony Giurlando","K1H","181.64","-","1530.25","Course n∞2 | Finale B"
"Benjamin Launois","K1H","185.49","-","1583.69","Course n∞2 | Finale B"
"Leo Hauck","K1H","189.94","-","1645.47","Course n∞2 | Finale B"
"Vincent Delestre","K1H","259.46","-","2610.55","Course n∞2 | Finale B"
"Benjamin Guyon","K1H","Abs","-","-","Course n∞2 | Finale B"
"Antonin Castille","K1HM","108.37","867.51","513.11","Course n∞2 | Finale B"
"Arthur Pichancourt","K1HM","109.78","590.25","532.68","Course n∞2 | Finale B"
"Robin Giurlando","K1HM","113.57","991.72","585.29","Course n∞2 | Finale B"
"Valentin Bostoen","K1HM","115.88","849.33","617.36","Course n∞2 | Finale B"
"Lucas Jamart","K1HM","116.59","858.14","627.22","Course n∞2 | Finale B"
"Hugo Biez","K1HM","118.09","-","648.04","Course n∞2 | Finale B"
"Paul Gstalter","K1HM","118.52","936.04","654.01","Course n∞2 | Finale B"
"Nicolas Bougnon","K1HM","125.75","-","754.38","Course n∞2 | Finale B"
"Remy Perrin","K1HM","128.62","-","794.22","Course n∞2 | Finale B"
"Elias Elamri","K1HM","128.9","-","798.11","Course n∞2 | Finale B"
"Clement Couvent","K1HM","133.66","-","864.18","Course n∞2 | Finale B"
"Jules Ferber","K1HM","141.46","-","972.46","Course n∞2 | Finale B"
"Loann Delle Dananchet","K1HM","173.58","749.37","1418.36","Course n∞2 | Finale B"
"Arnaud Caillet","K1HM","Abs","-","-","Course n∞2 | Finale B"
