"SELECTIF  REGIONAL - Angouleme Bougines - 2001-12-02","Course 1","2001-12-02","Régional","143"
"Dardilhac Anthony","K1H","198.00","208","180",""
"Leproult Jonathan","K1H","199.00","171","186",""
"Menager Vincent","K1H","199.00","188","186",""
"Cordonnier Raphael","K1H","204.00","271","218",""
"Spitaels Nicolas","K1H","204.00","266","218",""
"Larenaudie Sebastien","K1H","205.00","-","224",""
"Olivier Mourasse","K1H","207.00","254","237",""
"Philippe Niquet","K1H","211.00","291","262",""
"Chasseloup Christophe","K1H","215.00","270","287",""
"Raphael Reveche","K1H","217.00","268","300",""
"Clement Praille","K1H","217.00","324","300",""
"David Riffaud","K1H","218.00","-","306",""
"Debons Frederic","K1H","220.00","-","319",""
"Xavier Flatreau","K1H","223.00","451","337",""
"Jean-francois Souville","K1H","226.00","361","356",""
"Guillaume Chasseriault","K1H","227.00","-","363",""
"Borde Stephane","K1H","228.00","-","369",""
"Deguil Josselin","K1H","230.00","-","382",""
"Nicolas Arnoult","K1H","230.00","411","382",""
"Pailler Gregory","K1H","231.00","-","388",""
"Geay Daniel","K1H","231.00","-","388",""
"Robineau Nicolas","K1H","233.00","627","400",""
"Antoine Egreteau","K1H","233.00","-","400",""
"Bouyat Alexandre","K1H","233.00","-","400",""
"Barbier Julien","K1H","235.00","397","413",""
"Blandin Francois","K1H","235.00","834","413",""
"Braud Sylvain","K1H","237.00","469","426",""
"Thibault Dufour","K1H","237.00","-","426",""
"Jean-noel Biteau","K1H","238.00","469","432",""
"Ducom Mathieu","K1H","239.00","579","438",""
"Genet Jeanthomas","K1H","241.00","438","451",""
"Pierre Dehaudt","K1H","244.00","-","470",""
"Merzeau Michel","K1H","244.00","436","470",""
"Lachenaud Jean","K1H","245.00","-","476",""
"Dindinaud Romain","K1H","246.00","608","482",""
"Barbotin Guillaume","K1H","248.00","-","495",""
"Szymocha Damien","K1H","248.00","515","495",""
"Feuillet Etienne","K1H","249.00","-","501",""
"Jaffray Erwan","K1H","250.00","-","508",""
"Julien Signarbieux","K1H","250.00","-","508",""
"Clement Francois-Xavier","K1H","252.00","-","520",""
"Dargent Heindrick","K1H","253.00","-","526",""
"Metelle Laurent","K1H","254.00","-","533",""
"Bastien Pailler","K1H","256.00","500","545",""
"Bodin Francois","K1H","256.00","-","545",""
"Dubost Antoine","K1H","257.00","-","552",""
"Clement Faure","K1H","260.00","-","570",""
"Proust Mickael","K1H","263.00","-","589",""
"Tillard Pierre Antoine","K1H","264.00","-","596",""
"Jean Luc Pessoni","K1H","265.00","505","602",""
"Lanusse Maxime","K1H","268.00","662","621",""
"Pierrealexis Gabriel","K1H","269.00","-","627",""
"Petit Joachim","K1H","270.00","-","633",""
"Bruneau Maxime","K1H","274.00","-","659",""
"Soulier David","K1H","279.00","-","690",""
"Jarreton Anthony","K1H","285.00","-","728",""
"Fallou Etienne","K1H","287.00","-","741",""
"Rullier Romain","K1H","287.00","-","741",""
"Content Benjamin","K1H","288.00","-","747",""
"Julien Vetele","K1H","291.00","-","766",""
"Rouger Gael","K1H","296.00","-","797",""
"Barbier Frederic","K1H","303.00","-","841",""
"Bonnecarrere Florian","K1H","310.00","-","885",""
"Deforges Xavier","K1H","312.00","-","898",""
"Cougnaud Mathias","K1H","313.00","-","904",""
"Picquot Francois","K1H","314.00","-","911",""
"Dutilloy Jonas","K1H","314.00","-","911",""
"Paul Storez","K1H","325.00","-","980",""
"Baroux Philippe","K1H","327.00","-","992",""
"Benoit Couturier","K1H","333.00","-","1030",""
"Delaballe Sebastien","K1H","351.00","-","1144",""
"Millet Arnaud","K1H","362.00","-","1213",""
"Caritey Herve","K1H","383.00","-","1345",""
"Paillat Pascal","K1H","471.00","-","1899",""
"Delage Fabien","K1H","558.00","-","2447",""
"Bain Romaric","K1H","739.00","-","3587",""
"Hardy Nicolas","K1H","822.00","-","4110",""
