"Sélectif Régional Slalom (Double) - 64780 Bidarray - Course n°2 | Finale - 2019-10-06","Course n°2 | Finale","2019-10-06","Régional","119"
"Stephanie Kaczmarek","K1D","124.55","376.38","435.93","Course n°2 | Finale A"
"Alice Daniels","K1DM","133.68","558.73","539.81","Course n°2 | Finale A"
"Adele Rambaldi","K1DM","135.4","557.39","559.38","Course n°2 | Finale A"
"Rozmarina Estanguet","K1DM","139.5","572.28","606.02","Course n°2 | Finale A"
"Avril Saut","K1DM","239.37","487.85","1742.3","Course n°2 | Finale A"
"Florian Busson","K1H","88.36","106.47","154.87","Course n°2 | Finale A"
"Edgar Prigent","K1H","89.17","67.03","165.29","Course n°2 | Finale A"
"Cedric Landreau","K1H","89.87","216.51","174.29","Course n°2 | Finale A"
"Valentin Courtiade","K1H","91.19","164.45","191.26","Course n°2 | Finale A"
"Luc Sarramea","K1H","92.05","182","202.31","Course n°2 | Finale A"
"Adrien Mesmoudi","K1H","92.29","198.6","205.4","Course n°2 | Finale A"
"Arnaud Lapeze","K1H","93.28","191.02","218.13","Course n°2 | Finale A"
"Marc Sarramea","K1H","95.03","247.39","240.63","Course n°2 | Finale A"
"Lukas Estanguet-santamaria","K1H","95.65","281.12","248.6","Course n°2 | Finale A"
"Mael Bernes","K1H","96.36","220.88","257.73","Course n°2 | Finale A"
"Alex Baldoni","K1H","96.47","344.07","259.14","Course n°2 | Finale A"
"Yon Dandonneau","K1H","96.6","246.38","260.81","Course n°2 | Finale A"
"Loris Shayam Affre","K1H","96.72","270.8","262.35","Course n°2 | Finale A"
"Baptiste Delemotte","K1H","97.97","259.96","278.43","Course n°2 | Finale A"
"Julien Doumecq","K1H","98.88","336.61","290.12","Course n°2 | Finale A"
"Angus Cruickshank","K1H","99.26","321.5","295.01","Course n°2 | Finale A"
"Gino Benini","K1H","100.76","225.25","314.3","Course n°2 | Finale A"
"Cyprien Cail","K1H","100.82","230.7","315.07","Course n°2 | Finale A"
"Sebastien Mouyen Bie","K1H","105.47","303.75","374.85","Course n°2 | Finale A"
"Antonin Beyneix","K1H","108.71","435.41","416.5","Course n°2 | Finale A"
"Tonin Desmet","K1H","109.49","385.68","426.53","Course n°2 | Finale A"
"Thomas TerrÉ","K1H","114.43","379.47","490.04","Course n°2 | Finale A"
"KÉziah Lecomte","K1H","116.94","521.23","522.31","Course n°2 | Finale A"
"Romain Guichet","K1H","135.31","528.47","758.49","Course n°2 | Finale A"
"Victor Lamy","K1H","150.98","386.37","959.95","Course n°2 | Finale A"
"Emilien Courtiade","K1H","151.94","190.98","972.29","Course n°2 | Finale A"
"Fabien Paleau","K1H","167.7","323.71","1174.91","Course n°2 | Finale A"
"Edgar Paleaubrasseur","K1HM","102.79","353.14","340.39","Course n°2 | Finale A"
"Miguel Irungaraylarronde","K1HM","115.71","723.57","506.5","Course n°2 | Finale A"
"Jonah Hanrahan","K1HM","127.29","612.12","655.38","Course n°2 | Finale A"
"Camille Luciotto Ribeiro","K1HM","131.8","776.99","713.36","Course n°2 | Finale A"
"Eric Vicassiau","K1HM","155.8","1018.36","1021.92","Course n°2 | Finale A"
"Nino Langlume","K1HM","167.09","524.86","1167.07","Course n°2 | Finale A"
"Lilian Dujourd'hui","K1HM","454.46","887.56","4861.66","Course n°2 | Finale A"
"Nahia Oteiza","C1D","120.76","440.3","317.66","Course n°2 | Finale B"
"CÉcilia Bourgeois","C1D","132.66","534.88","445.16","Course n°2 | Finale B"
"Stephanie Kaczmarek","C1D","144.99","954.71","577.26","Course n°2 | Finale B"
"Daphnee Vuilleumier","C1D","230.28","988.1","1491.04","Course n°2 | Finale B"
"Cedric Landreau","C1H","117.02","544.8","456.71","Course n°2 | Finale B"
"Emeric Nieser","C1H","118.44","499.01","474.09","Course n°2 | Finale B"
"Paul Gobert","C1H","119.96","428.38","492.7","Course n°2 | Finale B"
"Gauthier Beyneix","C1H","126.16","563.12","568.61","Course n°2 | Finale B"
"Baptiste Delemotte","C1H","127.74","538.75","587.96","Course n°2 | Finale B"
"Julien Coric","C1H","145.4","581.09","804.19","Course n°2 | Finale B"
"Tristan Ruiz","C1H","167.82","648.94","1078.72","Course n°2 | Finale B"
"Pierre-louis Saussereau","C1H","Abs","-","-","Course n°2 | Finale B"
"Nahia Oteiza","K1D","116.4","363.59","348.21","Course n°2 | Finale B"
"Daphnee Vuilleumier","K1D","139","661.54","605.34","Course n°2 | Finale B"
"Enya Langlume","K1D","151.12","634.02","743.24","Course n°2 | Finale B"
"Alexia Cazala","K1D","232.53","903.56","1669.48","Course n°2 | Finale B"
"Chloe Bonnet","K1D","254.5","586.11","1919.44","Course n°2 | Finale B"
"Patricia Lucasson","K1D","295.34","754.45","2384.1","Course n°2 | Finale B"
"Emma Angladette","K1D","Abs","-","-","Course n°2 | Finale B"
"Mila Dastugue Lavignasse","K1DM","143.71","804.92","658.93","Course n°2 | Finale B"
"Suzel Cayrat","K1DM","153.88","648.93","774.64","Course n°2 | Finale B"
"Ohiana Erdois","K1DM","245.87","647.17","1821.25","Course n°2 | Finale B"
"Pierre-louis Saussereau","K1H","88.99","55.67","167.97","Course n°2 | Finale B"
"Paul Gobert","K1H","98.28","290.62","287.41","Course n°2 | Finale B"
"Tristan Ruiz","K1H","107.62","437.1","407.49","Course n°2 | Finale B"
"Pierre-yves Lebreton","K1H","109.14","390.94","427.03","Course n°2 | Finale B"
"Mathys Maniet","K1H","109.66","515.37","433.72","Course n°2 | Finale B"
"Flavien Portier","K1H","113.63","450.67","484.76","Course n°2 | Finale B"
"Emeric Nieser","K1H","113.91","446.51","488.36","Course n°2 | Finale B"
"Jean Christophe Erdois","K1H","124.41","426.81","623.35","Course n°2 | Finale B"
"Baptiste San Nicolas","K1H","125.9","449.33","642.51","Course n°2 | Finale B"
"Yanis Allard","K1H","131.78","747.22","718.11","Course n°2 | Finale B"
"Romain Branjauneau","K1H","143.97","182.11","874.83","Course n°2 | Finale B"
"Sebastien Ruiz","K1H","149.35","1381.45","944","Course n°2 | Finale B"
"Lucas Theil","K1H","150.64","949.88","960.58","Course n°2 | Finale B"
"Matthieu Desbons","K1H","150.79","1017.77","962.51","Course n°2 | Finale B"
"Joel Cazabat","K1H","166.8","1630.49","1168.34","Course n°2 | Finale B"
"Leo Arriau","K1H","170.93","646.31","1221.44","Course n°2 | Finale B"
"Wilfrid Delpech","K1H","189.46","2640.78","1459.67","Course n°2 | Finale B"
"Hugo Larenjeiro","K1H","205.76","962.09","1669.23","Course n°2 | Finale B"
"Noa Lorand","K1H","272.3","807.09","2524.71","Course n°2 | Finale B"
"Liam Jacquot","K1H","284.59","1530.59","2682.72","Course n°2 | Finale B"
"Bruno Lecomte","K1H","402.58","1218.96","4199.66","Course n°2 | Finale B"
"Thibault Marque","K1H","522.99","462.6","5747.72","Course n°2 | Finale B"
"Patrick Parage","K1H","535.15","752.06","5904.06","Course n°2 | Finale B"
"Louis Labarthe","K1HM","128.44","840.83","675.16","Course n°2 | Finale B"
"Martin Grzeskowiak","K1HM","134.75","908.43","756.29","Course n°2 | Finale B"
"Ethan Da Gloria","K1HM","141.9","936.33","848.21","Course n°2 | Finale B"
"Quentin Arnaudin","K1HM","171.24","1151.65","1225.43","Course n°2 | Finale B"
"Leo Theil","K1HM","244.38","1276.94","2165.76","Course n°2 | Finale B"
"Clement Laureys","K1HM","258.08","1527.13","2341.89","Course n°2 | Finale B"
"Ylian Dubly","K1HM","320.03","1299.88","3138.36","Course n°2 | Finale B"
"Rudy Samaran","K1HM","463.5","1847.73","4982.89","Course n°2 | Finale B"
"Florian Latapiebayroo","K1HM","488.61","1249.97","5305.72","Course n°2 | Finale B"
