"SELECTIF REGIONAL SLALOM COURSE 1 - Veigne - 2007-11-24","Course 1","2007-11-24","Régional","132"
"Christophe Marechal","K1H","174.66","30","61",""
"Benjamin Thouvignon","K1H","184.56","109","119",""
"Benjamin Buys","K1H","186.01","31","127",""
"Fabien Tournadre","K1H","186.98","123","133",""
"Aurelien Leroy","K1H","187.13","88","134",""
"Nicolas Rebours","K1H","189.00","142","145",""
"David Riffaud","K1H","189.87","140","150",""
"Lucas Kelifaoui","K1H","191.94","107","161",""
"Florian Ordonneau","K1H","192.58","130","165",""
"Simon Philibert","K1H","195.80","203","184",""
"Herve Busson","K1H","197.57","105","195",""
"Boris Sacre","K1H","198.26","159","199",""
"Damien Caillon","K1H","199.05","215","202",""
"Chassigneux Charly","K1H","200.74","-","212",""
"Joffrey Lemeux","K1H","200.78","204","212",""
"Yoann Rebours","K1H","202.20","175","221",""
"Romain Richard","K1H","203.14","164","226",""
"Guillaume Arnaud","K1H","205.75","228","242",""
"Antoine Launay","K1H","208.98","-","260",""
"Emmanuel Moreau","K1H","209.20","215","261",""
"Remy Linard","K1H","209.41","250","262",""
"Etienne Legeay","K1H","210.79","250","271",""
"Alexandre Thomasseau","K1H","215.53","319","299",""
"Jerome Talbot","K1H","216.44","-","303",""
"Come Hebert","K1H","216.91","274","306",""
"Alexandre Plouzeau","K1H","217.07","278","307",""
"Marc Anthoine Marchand","K1H","217.33","-","308",""
"Marc Laborde","K1H","218.62","157","316",""
"Arthur Feraud","K1H","219.69","363","322",""
"Timothee Venot","K1H","220.18","275","325",""
"Jean-noel Avril","K1H","221.02","309","330",""
"Simon Deboysson","K1H","221.84","302","335",""
"Jacques Despierres","K1H","224.91","249","352",""
"Paul Brier","K1H","227.06","40","365",""
"Baptiste Grosjean","K1H","228.43","-","373",""
"Guillaume Tagand","K1H","234.23","-","406",""
"Roy Pascal","K1H","235.33","-","413",""
"Thomas Drouart","K1H","235.57","368","414",""
"Antoine Colas","K1H","238.83","-","433",""
"Romain Faurie","K1H","240.11","469","441",""
"Anthony Themines","K1H","242.90","-","456",""
"Antoine Beaudoin","K1H","244.18","506","464",""
"Yoann Gottardo","K1H","252.74","100","514",""
"Guilhem Becvort","K1H","255.07","387","527",""
"Vincent Froger","K1H","258.91","232","549",""
"Paul Bornier","K1H","259.29","806","551",""
"Pierrick Meheust","K1H","259.48","498","552",""
"Emmanuel Despont","K1H","259.79","571","554",""
"Valentin Blondel","K1H","261.14","-","562",""
"Remy Faucon","K1H","264.40","167","581",""
"Simon Vaillant","K1H","265.45","270","588",""
"Guillaume Scire","K1H","266.84","-","595",""
"Yoann Turowsky","K1H","274.25","319","639",""
"Julian Picard","K1H","279.61","935","669",""
"Mathieu Eyrolle","K1H","285.17","400","701",""
"Keuterick Yohan","K1H","288.91","356","723",""
"Nicolas Leconte","K1H","296.59","646","768",""
"Nicolas Petipez","K1H","299.16","750","783",""
"Simon Drouart","K1H","308.34","-","836",""
"Soulier David","K1H","322.08","-","915",""
"Gaillot Mathias","K1H","344.86","359","1047",""
"Jan Baudet","K1H","350.31","539","1079",""
"Gerard Cartier","K1H","361.09","-","1141",""
"Florian Loiseau","K1H","389.34","650","1305",""
"Anthime Larousse","K1H","389.39","884","1305",""
"Romain Zambon","K1H","394.49","989","1334",""
"David Couture","K1H","397.73","607","1353",""
"Paul Trecul","K1H","408.96","-","1419",""
"Guillaume Verhaeghe","K1H","410.53","1229","1427",""
"Marquais Alexis","K1H","415.38","762","1456",""
"Morgan Forget","K1H","420.62","429","1486",""
"Sylvain Georges","K1H","430.29","770","1542",""
"Duterme Geofrey","K1H","505.77","-","1979",""
"Cyril Blanc","K1H","515.46","1188","2035",""
"Jordy Pichot","K1H","535.25","-","2150",""
"Vincent Nicolosi","K1H","642.79","-","2772",""
