"Championnat Régional de Slalom - 27170 Beaumont Le Roger - Finale - 2019-04-28","Finale","2019-04-28","Régional","174"
"Nicolas Dupres-Eric Beaumont","C2H","124.51","656.92","599.63","Finale A"
"Tom Raynaud-Antonin Hannier","C2H","152.02","1122.38","946.48","Finale A"
"Esteban Olivier-Jules Brodin","C2H","190.37","1258.93","1430.01","Finale A"
"Arthur Lescarmontier-Oscar Lapiche--dedun","C2HM","142.32","817.74","824.18","Finale A"
"Bertrand Avril-Chloe Gatuingt","C2M","122.43","439.09","444.77","Finale A"
"Fabien Bonvalet-Alexia Evrard","C2M","126.11","630.41","487.3","Finale A"
"Pauline Soenen-Antoine Martin","C2M","130.52","601.32","538.27","Finale A"
"Titouan Aussant-Elza Horlock","C2M","132.81","726.72","564.73","Finale A"
"Delphine Brunet-Samuel Bonvalet","C2M","140.58","933.41","654.54","Finale A"
"Lison Gautrelet-Dimitri Houlier","C2M","141.8","864.13","668.64","Finale A"
"Alize Bachelot-Edouard Gracias","C2M","142.78","700.86","679.96","Finale A"
"Alexandre Marteau-Lea Cabanne","C2M","144.25","650.28","696.95","Finale A"
"Dante Bourlet De La Vallee-Albertine Binard","C2M","146.21","878.15","719.61","Finale A"
"Teddy Poulard-Sandra Poulard","C2M","146.68","861.07","725.03","Finale A"
"Estephe Decarsin-Eloise Riviere","C2M","147.18","810.28","730.82","Finale A"
"Esteban Olivier-Estelle Brodin","C2M","147.24","893.67","731.51","Finale A"
"Nine Meyer-Loan Guyomarch","C2M","149.2","862.66","754.16","Finale A"
"Mickael Louchard-Vanessa Louer","C2M","149.52","772.18","757.86","Finale A"
"Clemence Douche-Lucas Ferloni","C2M","166.14","1069.45","949.95","Finale A"
"Zoe Dronne-Guillaume Cahagne","C2MM","161.93","1976.74","901.29","Finale A"
"Margaux Fabijan","K1D","107.04","334.19","343.53","Finale A"
"Lison Gautrelet","K1D","115.29","433.18","444.79","Finale A"
"Salome Huet","K1D","116.11","547.33","454.85","Finale A"
"Pauline Soenen","K1D","117.18","417.1","467.98","Finale A"
"Chloe Gatuingt","K1D","117.18","448.26","467.98","Finale A"
"Leontine Dubuisson","K1D","120.84","475.92","512.91","Finale A"
"Elza Horlock","K1D","122.4","603.01","532.06","Finale A"
"Eloise Riviere","K1D","124.68","572.37","560.03","Finale A"
"Estelle Brodin","K1D","126.73","704.76","585.19","Finale A"
"Mylene Despres","K1D","128.08","577.82","601.76","Finale A"
"Alexia Evrard","K1D","128.21","684.19","603.36","Finale A"
"Delphine Brunet","K1D","139.99","880.41","747.94","Finale A"
"Elise Masseline","K1DM","121.18","525.46","517.08","Finale A"
"Zoe Dronne","K1DM","128.08","1445.04","601.76","Finale A"
"Julie Benoist","K1DM","136.35","1160.79","703.27","Finale A"
"Quentin Angot","K1H","93.54","354.31","327.09","Finale A"
"Denis Parizia","K1H","94.43","283.22","339.43","Finale A"
"Benjamin Thiboust","K1H","97.3","195.8","379.24","Finale A"
"Bertrand Avril","K1H","97.3","336.88","379.24","Finale A"
"Mickael Louchard","K1H","97.99","426.32","388.81","Finale A"
"Jean Aussant","K1H","98.22","362.59","392","Finale A"
"Mathieu Aussant","K1H","101.21","379.31","433.46","Finale A"
"Edouard Gracias","K1H","101.46","399.15","436.93","Finale A"
"Yohan Marck","K1H","101.56","330.32","438.32","Finale A"
"Nicolas Candieu","K1H","102.93","426.63","457.32","Finale A"
"Dante Bourlet De La Vallee","K1H","104.58","416.02","480.2","Finale A"
"Thomas Martinet","K1H","104.87","407.28","484.22","Finale A"
"Leo Degraeve","K1H","105.09","448.3","487.28","Finale A"
"Fabien Bonvalet","K1H","105.27","408.75","489.77","Finale A"
"Tom Raynaud","K1H","105.4","551.8","491.58","Finale A"
"Florian Sauvage","K1H","105.57","438.79","493.93","Finale A"
"Titouan Aussant","K1H","105.87","386.8","498.09","Finale A"
"Nicolas Dupres","K1H","106.87","494.07","511.96","Finale A"
"Mathis Pomares","K1H","107.41","555.28","519.45","Finale A"
"Franck Cahagne","K1H","108.74","653.27","537.9","Finale A"
"Jeremy Bretteville","K1H","108.99","487.25","541.37","Finale A"
"Leo Tellier","K1H","109.9","714.35","553.99","Finale A"
"Sebastien Delaunay","K1H","109.96","566.88","554.82","Finale A"
"Benjamin Georgin","K1H","112.4","483.87","588.66","Finale A"
"Jess Masson","K1H","113.18","526.89","599.48","Finale A"
"Dimitri Houlier","K1H","113.57","563.26","604.89","Finale A"
"Esteban Olivier","K1H","115.3","599.17","628.88","Finale A"
"Thomas Brunet","K1H","122.09","810.77","723.05","Finale A"
"Arthur Lescarmontier","K1HM","108.37","656.18","532.77","Finale A"
"Louison Decarsin","K1HM","111.14","540.85","571.18","Finale A"
"Guillaume Cahagne","K1HM","122.52","1093.52","729.01","Finale A"
"Lubin Brionne","K1HM","124.58","826.93","757.58","Finale A"
"Sacha Borderie","K1HM","124.64","795.44","758.42","Finale A"
"Oscar Lapiche--dedun","K1HM","135.46","870.99","908.48","Finale A"
"Romain Brunet","K1HM","142.6","1008.77","1007.5","Finale A"
"Estelle Brodin","C1D","139.58","986.65","647.98","Finale B"
"Solene Douche","C1D","154.46","688.75","819.96","Finale B"
"Nine Meyer","C1D","164.9","990.83","940.62","Finale B"
"Angele Sottolefevre","C1D","195.54","1287.19","1294.74","Finale B"
"Louis Marescot","C1H","111.24","463.01","504.11","Finale B"
"Antoine Martin","C1H","112.87","424.72","525.63","Finale B"
"Jeremy Bretteville","C1H","113.58","522.1","535.01","Finale B"
"Romain Bouillon","C1H","119.18","648.52","608.98","Finale B"
"Teddy Poulard","C1H","123.71","433.69","668.82","Finale B"
"Samuel Bonvalet","C1H","124.49","686.18","679.12","Finale B"
"Denis Parizia","C1H","132.99","819.14","791.39","Finale B"
"Esteban Olivier","C1H","133.58","741.61","799.18","Finale B"
"Maxence Galy","C1H","141.24","1016.12","900.36","Finale B"
"Denis Parizia-Yohan Marck","C2H","132.52","680.69","705.62","Finale B"
"Antoine Gossieaux-Thomas Gossieaux","C2H","158.61","1240.24","1034.57","Finale B"
"Victorien Coupeau-Tom Armand","C2H","205.46","886.02","1625.27","Finale B"
"Alize Bachelot","K1D","126.83","493.57","591.43","Finale B"
"Albertine Binard","K1D","130.61","849.88","637.82","Finale B"
"Daphnee Mouchelet","K1D","135.02","695.46","691.95","Finale B"
"Nine Meyer","K1D","135.65","736.58","699.67","Finale B"
"Lea Cabanne","K1D","144.84","789.45","812.47","Finale B"
"Solene Douche","K1D","145.11","770.83","815.79","Finale B"
"Ophelie Lailler","K1D","147.46","1060.32","844.63","Finale B"
"Angele Sottolefevre","K1D","158.08","1520.72","974.97","Finale B"
"Sarah Feugray","K1D","195.51","1409.94","1434.37","Finale B"
"Estelle Lefevre","K1D","203.14","1206.73","1528.02","Finale B"
"Jennifer Feugray","K1D","225.68","1474.26","1804.66","Finale B"
"Orlane Colmant","K1DM","140.02","1398.43","753.32","Finale B"
"Maya Binard","K1DM","148.77","912.91","860.71","Finale B"
"Camille Jaroszewski","K1DM","151.3","1202.01","891.76","Finale B"
"Estephe Decarsin","K1H","100.32","375.99","426.12","Finale B"
"Romain Bouillon","K1H","109.96","464.21","559.82","Finale B"
"Alexandre Marteau","K1H","113.11","796.31","603.51","Finale B"
"Antoine Martin","K1H","113.14","495.65","603.92","Finale B"
"Lucas Ferloni","K1H","113.55","628.56","609.61","Finale B"
"Victorien Coupeau","K1H","114.43","601.79","621.81","Finale B"
"Thomas Gossieaux","K1H","115.25","628.58","633.19","Finale B"
"Maxence Galy","K1H","116.78","603.46","654.41","Finale B"
"Tom Armand","K1H","117.49","1490.32","664.25","Finale B"
"Antoine Gossieaux","K1H","119.43","757.38","691.16","Finale B"
"Loan Guyomarch","K1H","121.3","629.54","717.09","Finale B"
"Alexandre Mauger","K1H","121.52","1031.5","720.14","Finale B"
"Jason Leroy","K1H","124.68","815.34","763.97","Finale B"
"Samuel Bonvalet","K1H","125.3","767.95","772.57","Finale B"
"Brieuc Aubron","K1H","128.18","966.78","812.51","Finale B"
"Gatien Bocage","K1H","128.64","1300.89","818.89","Finale B"
"Elias Schieber","K1H","130.3","1520.41","841.91","Finale B"
"Jules Brodin","K1H","147.96","1179.15","1086.84","Finale B"
"Thomas Caviole","K1H","150.58","1434.84","1123.18","Finale B"
"Antonin Hannier","K1H","152.24","1055.1","1146.2","Finale B"
"Pierre Sotto","K1H","184.78","1846.88","1597.5","Finale B"
"Fabrice Brodin","K1H","258.52","1780.82","2620.2","Finale B"
"Martin Dubus","K1H","Abs","-","-","Finale B"
"Jonas Huet","K1HM","141.2","1557.08","993.09","Finale B"
"Baptiste Ozieblo","K1HM","149.48","1276.42","1107.92","Finale B"
"Quentin Samson","K1HM","159.27","1044.51","1243.7","Finale B"
"Gabriel Stefanovitch","K1HM","163.11","1539.5","1296.96","Finale B"
"Noa Harel","K1HM","168.08","1188.55","1365.89","Finale B"
"Enzo Clupty","K1HM","178.68","1815.75","1512.9","Finale B"
