"Sélectif Championnat Nationale 2 - Stade d'Eaux Vives Vichy - Finale - 2014-02-23","Finale","2014-02-23","Nationale 2","186"
"Hind Jamili","K1D","140.24","289.31","403.5","Finale B"
"Marion Gallois","K1D","140.91","292.34","409.85","Finale B"
"Marion Delorme","K1D","143.62","257.77","435.49","Finale B"
"Sarah Michel","K1D","147.26","275.35","469.95","Finale B"
"Caroline Scherer","K1D","150.7","307.34","502.51","Finale B"
"Noa Bouchardon","K1D","151.49","284.47","509.98","Finale B"
"Fanchon Janssen","K1D","152.9","291.61","523.33","Finale B"
"Camille Andrieux","K1D","170.91","168.53","693.79","Finale B"
"Marine Schmitt","K1D","177.7","146.44","758.06","Finale B"
"Violaine Vennin","K1D","181.49","259.73","793.93","Finale B"
"Charlotte Issagarre","K1D","184.86","292.45","825.82","Finale B"
"Lisa Robin","K1D","190.29","235.41","877.21","Finale B"
"Armelle Canali","K1D","192.5","230.11","898.13","Finale B"
"Charlotte Lubineau","K1D","193.96","314.4","911.95","Finale B"
"Anne Traband","K1D","233.11","194.03","1282.49","Finale B"
"Louise Bichet","K1D","239.29","277.23","1340.98","Finale B"
"Lise Denat","K1D","248.63","203.76","1429.39","Finale B"
"Stephanie Bender","K1D","252.01","287.29","1461.38","Finale B"
"Zelie Wendling","K1D","253.62","272.63","1476.61","Finale B"
"Amelie Perier","K1D","301.8","304.96","1932.63","Finale B"
"Coralie Yebenes","K1D","Nt","-","-","Finale B"
"Emmanuel Sarazin","K1H","101.83","132.61","165.26","Finale B"
"Adrien Roussel","K1H","102.2","195.4","169.22","Finale B"
"Charlie Barbier","K1H","102.67","159.2","174.24","Finale B"
"Anthony Thuillier","K1H","103.26","118.83","180.55","Finale B"
"Erwan Cadio","K1H","103.57","192.75","183.87","Finale B"
"Vincent Reiter","K1H","103.71","123.56","185.37","Finale B"
"Laurent Starck","K1H","104.32","141.33","191.89","Finale B"
"Stephane Broute","K1H","104.44","162.78","193.17","Finale B"
"Jeremy Wagner","K1H","104.45","189.31","193.28","Finale B"
"Pascal Ferry","K1H","105.68","142.58","206.44","Finale B"
"Axel Kournwsky","K1H","106.37","230.47","213.82","Finale B"
"Alexandre Lucas","K1H","106.75","215.06","217.88","Finale B"
"Fabien Lanao","K1H","108.12","134.21","232.53","Finale B"
"Etienne Carpentier","K1H","108.16","147.34","232.96","Finale B"
"Silvere Desongins","K1H","108.67","120.33","238.41","Finale B"
"Thibaut Chariot","K1H","108.78","195.22","239.59","Finale B"
"Guillaume Doutreix","K1H","109.11","211.64","243.12","Finale B"
"Jules Guilbaud","K1H","109.28","169.43","244.94","Finale B"
"Arnaud Gallois","K1H","109.98","154.46","252.43","Finale B"
"Robin Pilard","K1H","110.24","165.34","255.21","Finale B"
"Otello Willmann Rosso","K1H","110.67","229","259.8","Finale B"
"Maxence Grandadam","K1H","110.88","197.51","262.05","Finale B"
"Edgar Prigent","K1H","111.34","140.1","266.97","Finale B"
"Arthur Favennec","K1H","112.63","233.15","280.77","Finale B"
"Thibault Dufour","K1H","112.98","197","284.51","Finale B"
"Romain Bove","K1H","117.01","205.78","327.61","Finale B"
"Remi Quentin","K1H","154.43","207.75","727.82","Finale B"
"Tristan Lejot","K1H","156.03","207.94","744.93","Finale B"
"Julian Othenin-girard","K1H","156.62","225.78","751.24","Finale B"
"Vincent Garcia","K1H","159.3","227.95","779.91","Finale B"
"Remy Cassar","K1H","160.2","163.93","789.53","Finale B"
"Bertrand Bercon","K1H","162.44","153.29","813.49","Finale B"
"Alexandre Pouille","K1H","163.57","188.83","825.58","Finale B"
"Pierre Giudicelli","K1H","164.6","190.41","836.59","Finale B"
"Remi Parayre","K1H","166.13","209.12","852.96","Finale B"
"Alexandre Lismonde","K1H","167.61","187.1","868.78","Finale B"
"Quentin Raissac","K1H","168.74","179.69","880.87","Finale B"
"Romain Bertrand","K1H","170.44","185.32","899.05","Finale B"
"Bastien Meslet","K1H","178.01","212.13","980.01","Finale B"
"Tom Barthelemy","K1H","184.49","234.87","1049.32","Finale B"
"Thibault Blaise","K1H","206.71","138.12","1286.96","Finale B"
"Adrien Maire","K1H","209.11","163.93","1312.63","Finale B"
"Leo Fournier","K1H","217.56","188.34","1403","Finale B"
"Mikael Maupin","K1H","314.53","195.56","2440.11","Finale B"
