"Championnat Régional - ANCERVILLE - Finale - 2015-03-29","Finale","2015-03-29","Régional","151"
"Gregory Ganthier","K1H","119.3","334.07","534.55","Finale A"
"Victor Beau","K1H","120.8","363.35","553.13","Finale A"
"Alexandre L'huillier","K1H","121.1","-","556.85","Finale A"
"Johann Thevenin","K1H","121.97","-","567.62","Finale A"
"Corentin Monasse","K1HM","107.87","-","-","Finale A"
"Jean Charles Hacquart","K1HM","116.43","-","-","Finale A"
"Guerlain Robin","K1HM","119.55","-","-","Finale A"
"Thomas L'huillier","K1HM","122.52","-","-","Finale A"
"Leo Collard","K1HM","129.61","-","-","Finale A"
"Loic Petel","K1HM","132.81","-","-","Finale A"
"Julie Rufet","C1D","164.97","627.42","764.71","Finale B"
"Maude Dominique","C1D","184.93","760.75","970.78","Finale B"
"Alexane Galmiche","C1D","Abs","-","-","Finale B"
"Camille Hurez","C1D","Des","-","-","Finale B"
"Hugo Latimier","C1H","123.37","400.44","517.18","Finale B"
"Robin Pottelette","C1H","135.94","664.81","665.5","Finale B"
"Arthur Favennec","C1H","146.39","-","788.8","Finale B"
"Xavier Richard","C1H","149.2","748.97","821.95","Finale B"
"Yann Becker","C1H","154.67","581.53","886.5","Finale B"
"Anthony Rouhier","C1H","160.97","-","960.83","Finale B"
"Victor Hennin","C1H","182.84","-","1218.86","Finale B"
"Pierre Biagui","C1H","197.96","-","1397.26","Finale B"
"Jules Andrien","C1H","220.29","1719.47","1660.74","Finale B"
"Axel Godard","C1H","318.67","866.52","2821.51","Finale B"
"Oscar Imbault","C1H","Des","-","-","Finale B"
"Victor Beau","C1H","Abs","-","-","Finale B"
"Jules Latimier","C1HM","171.67","-","1087.07","Finale B"
"Marvin Tulpin","C1HM","178.77","-","-","Finale B"
"Leo Collard","C1HM","235.95","-","-","Finale B"
"Hugo Monasse","C1HM","262.27","-","2156.06","Finale B"
"Antoine Paumier","C1HM","366.33","-","-","Finale B"
"Hugo Latimier-Eludes Houillon","C2H","128.61","538.21","510.03","Finale B"
"Arthur Favennec-Yann Becker","C2H","149.53","-","745.65","Finale B"
"Bastien Caillet-Jules Andrien","C2H","175.38","-","1036.78","Finale B"
"Caroline Bourry-Maxime Bottex","C2M","138.49","-","491.33","Finale B"
"Sophie Colbus-Johann Thevenin","C2M","146.38","-","572.78","Finale B"
"Victor Beau-Camille Hurez","C2M","191.7","-","1040.67","Finale B"
"Alexane Galmiche","K1D","118.88","304.6","364.91","Finale B"
"Camille Hurez","K1D","130.01","411.94","486.93","Finale B"
"Maude Dominique","K1D","140.29","690.08","599.63","Finale B"
"Emma Vaubourg","K1D","145.6","985.7","657.86","Finale B"
"Fiona Gille","K1D","154.43","905.94","754.67","Finale B"
"Margaux Barbier","K1D","212.43","-","1390.55","Finale B"
"Justine Clerc","K1D","274.18","-","2067.55","Finale B"
"Charlotte Lubineau","K1D","Nt","-","-","Finale B"
"Margot Perrin","K1DM","149.96","-","-","Finale B"
"Charlotte Clement","K1DM","150.63","-","-","Finale B"
"Elise Nicot","K1DM","180.58","-","-","Finale B"
"Ileana Gehin","K1DM","261.45","-","-","Finale B"
"Clementine Gegout","K1DM","271.17","-","-","Finale B"
"Delphine Richard","K1DM","272.39","-","-","Finale B"
"Cloe Balland","K1DM","285.21","-","-","Finale B"
"Pauline Del Degan","K1DM","341.57","-","-","Finale B"
"Florient Tagnon","K1H","94.17","161.25","228.21","Finale B"
"Xavier Richard","K1H","106.46","470.46","380.47","Finale B"
"Louis Savart","K1H","106.46","303.14","380.47","Finale B"
"Guillaume Armbruster","K1H","106.49","331.13","380.84","Finale B"
"Yann Becker","K1H","107.05","323.62","387.78","Finale B"
"Anthony Rouhier","K1H","115.03","600.97","486.64","Finale B"
"Arthur Dupont","K1H","118.29","441.19","527.03","Finale B"
"Louis Labbe","K1H","119.37","575.01","540.41","Finale B"
"Oscar Imbault","K1H","119.48","427.96","541.78","Finale B"
"Djimy Kar","K1H","124.26","483.54","600.99","Finale B"
"Victor Hennin","K1H","125.26","-","613.38","Finale B"
"Bastien Caillet","K1H","131.48","588.16","690.44","Finale B"
"Pierre Biagui","K1H","134.1","-","722.9","Finale B"
"Clement De Rouze","K1H","134.15","957.35","723.52","Finale B"
"Paul Aubert","K1H","137.38","464.35","763.54","Finale B"
"Jules Andrien","K1H","151.22","926.3","935","Finale B"
"Arthur Favennec","K1H","155.43","236.54","987.15","Finale B"
"Jeremy Chantereau","K1H","163.46","1308.87","1086.64","Finale B"
"Nicolas Castagnetti","K1H","166.03","443.36","1118.48","Finale B"
"Nicolas Gallais","K1H","179.33","657.41","1283.25","Finale B"
"Axel Godard","K1H","186.49","532.6","1371.95","Finale B"
"Thibaut Jamey","K1H","232.53","-","1942.34","Finale B"
"Etienne Rougeron","K1H","297.22","-","2743.77","Finale B"
"Marvin Tulpin","K1HM","128.11","-","-","Finale B"
"Vivien Stemmelen","K1HM","130.63","-","-","Finale B"
"Jules Vonderscher","K1HM","131.63","-","-","Finale B"
"Maxime Aubertin","K1HM","154.71","-","-","Finale B"
"Marin Pourkat","K1HM","165.5","-","-","Finale B"
"Antoine Paumier","K1HM","172.15","-","-","Finale B"
"German Botero","K1HM","181.93","-","-","Finale B"
"Urbain Poirot","K1HM","311.72","-","-","Finale B"
