"Sélectif Championnat Interrégional - Picquigny - Qualification - 2014-04-20","Qualification","2014-04-20","Nationale 3","169"
"Geoffroy Lauth-Rachel Broin","C2M","137.21","626.61","543.95",""
"Manon Durand","K1D","105.85","256.57","273.37",""
"Adele Charlaigre","K1D","112.86","353.78","354.58",""
"Alize Bachelot","K1D","114.2","363.35","370.1",""
"Tiphaine Duboc","K1D","117.13","344.08","404.05",""
"Marie Vandeville","K1D","121.15","395.11","450.61",""
"Catherine Boulan","K1D","132.85","465.09","586.15",""
"Shererazade Ayadi","K1D","134.4","618.28","604.11",""
"Maryse Viseur","K1D","139.15","589.87","659.15",""
"Pauline Ferreira De Abreu","K1D","141.48","779.88","686.14",""
"Ninon Ladam","K1D","161.73","568.12","920.73",""
"Natacha Giraud","K1D","170.52","377.15","1022.56",""
"Anne Lambert","K1D","171.87","744.84","1038.2",""
"Mallaury Bour","K1D","182.19","560.46","1157.75",""
"Ilhame Siraj","K1D","278.87","436.14","2277.79",""
"Louise Muller","K1D","286.03","536.06","2360.73",""
"Manon Borde","K1D","Nt","-","-",""
"Marion Taviaux","K1D","Nt","-","-",""
"Agnes Gigan","K1D","Nt","-","-",""
"Ludovic Ngo","K1H","94.65","238.14","286.16",""
"Arnaud Delattre","K1H","94.73","240.15","287.21",""
"Francois Durand","K1H","94.86","245.63","288.91",""
"Edouard Gracias","K1H","95.14","264.29","292.58",""
"Nathan Boudaillez","K1H","96.56","258.33","311.17",""
"Clement Carbonnel","K1H","96.7","265.32","313",""
"Yohan Marck","K1H","96.93","269.3","316.01",""
"Thomas Durand","K1H","97.6","286.99","324.78",""
"Nathan Aubert","K1H","98.54","229.49","337.09",""
"Louis Vandeville","K1H","99.1","314.75","344.42",""
"Nicolas Dupres","K1H","99.26","324.17","346.51",""
"Quentin Mannier","K1H","99.29","289.52","346.9",""
"Jeremy Huguenin","K1H","99.54","308.21","350.18",""
"Florian Perenchio","K1H","99.59","252.84","350.83",""
"Nicolas Ducrocq","K1H","99.6","427.41","350.96",""
"Sebastien Delaunay","K1H","99.75","384.32","352.93",""
"Matthieu Pierre","K1H","100.03","334.62","356.59",""
"Samuel Lhote","K1H","100.23","438.99","359.21",""
"Benjamin Pre","K1H","100.33","404.18","360.52",""
"Lucas Gillet","K1H","100.44","327.26","361.96",""
"Clement Sannier","K1H","100.49","364.82","362.61",""
"Maxime Poupart","K1H","100.59","315.23","363.92",""
"Axel Guilleret","K1H","101.22","360.51","372.17",""
"Mathurin Garnier","K1H","102.14","353.86","384.21",""
"Thibault Joncret","K1H","102.17","304.05","384.61",""
"Antoine Saul","K1H","102.21","423.5","385.13",""
"Quentin Anfrey","K1H","102.44","786.81","388.14",""
"Robin Dheilly","K1H","102.7","392.61","391.54",""
"Adam Collin","K1H","102.85","357.47","393.51",""
"Paul Besnard","K1H","104.02","440.46","408.82",""
"Kevin Rancon","K1H","104.03","460","408.95",""
"Fabien Perruchet","K1H","104.12","326.43","410.13",""
"Erwan Gautrelet","K1H","104.13","385.62","410.26",""
"Luca Dos Santos","K1H","104.16","274.02","410.66",""
"Alexis Vielliard","K1H","104.59","396.72","416.29",""
"Martin Rohaut","K1H","105.15","355.74","423.62",""
"Hugo Pidoux","K1H","105.44","506.38","427.41",""
"Pierre Ferrand","K1H","105.53","393.95","428.59",""
"Amaury Vielliard","K1H","105.71","339.07","430.95",""
"Romain Huguenin","K1H","106.77","358.65","444.82",""
"Hugo Roussel","K1H","106.85","395.01","445.87",""
"Thomas Davrillon","K1H","107.25","448.5","451.11",""
"Matthieu Walfard","K1H","107.28","308.22","451.5",""
"Valentin Bonnot","K1H","107.46","404.92","453.86",""
"Bastien Moreaux","K1H","108.81","455.72","471.53",""
"Guillaume Sellier","K1H","109.22","523.4","476.9",""
"Loic Bourgeois","K1H","109.42","447.05","479.51",""
"Philippe Valeri","K1H","109.58","386.54","481.61",""
"Louison Laumondais","K1H","109.63","363.58","482.26",""
"Gerard Lafargue","K1H","110.38","375.28","492.08",""
"Theo Zilber","K1H","110.39","399.33","492.21",""
"Juan Guerrero","K1H","112.4","478.26","518.53",""
"Theo Lecointe","K1H","112.51","440.25","519.97",""
"Nicolas Castagnetti","K1H","113.82","581.03","537.11",""
"Maxime Pilard","K1H","113.87","394.12","537.77",""
"Robin Jullien","K1H","114.19","597.25","541.96",""
"Adrien Barlier","K1H","114.24","435.93","542.61",""
"Alexis Pierlot","K1H","115.28","778.89","556.23",""
"Teddy Cossard","K1H","115.62","776.62","560.68",""
"Niels Beaumont","K1H","116.74","595.64","575.34",""
"Yann Castryck- -genereux","K1H","117.9","548.36","590.53",""
"Sebastien Masseline","K1H","118.33","612.66","596.15",""
"Killian Charton","K1H","118.5","681.78","598.38",""
"Axel Godard","K1H","119.98","605.85","617.75",""
"Lilian Lepenant","K1H","120.47","685.56","624.17",""
"Lucas Gamain","K1H","120.91","711.97","629.93",""
"Samuel Bonvalet","K1H","121.1","524.05","632.42",""
"Nicolas Candieu","K1H","121.38","598.88","636.08",""
"Arthur Dupont","K1H","124.44","506.46","676.14",""
"Jean-francois Dulouard","K1H","124.92","602.4","682.42",""
"Nicolas Chainay","K1H","125.05","555.83","684.13",""
"Benjamin Alexandre","K1H","126.38","-","701.54",""
"Fabien De Almeida","K1H","126.39","632.67","701.67",""
"Martin Rich","K1H","130.05","730.98","749.58",""
"Maxime Hery","K1H","133.31","764.67","792.26",""
"Batiste Morin","K1H","135.37","623.71","819.22",""
"Remi Blaud","K1H","135.83","720.24","825.25",""
"Isidore Dubuisson","K1H","138.8","605.43","864.13",""
"Paul Beteille","K1H","142.52","626.5","912.82",""
"Quentin Deparpe","K1H","150.46","760.09","1016.77",""
"Anthony Codemo","K1H","162.15","500.84","1169.8",""
"Maxence Nevo Pinto","K1H","162.6","289.59","1175.69",""
"Alexis Loiseau","K1H","165.83","820.32","1217.97",""
"Joseph Enguehard","K1H","166.85","353.11","1231.33",""
"Olivier Dulouard","K1H","169.2","378.2","1262.09",""
"Aurelien Riviere","K1H","181","977.6","1416.56",""
"Leonard Legroux","K1H","184.95","623.6","1468.27",""
"Vincent Amisse","K1H","186.67","670.53","1490.79",""
"Antoine Pas","K1H","202.12","889.33","1693.04",""
"Yves Souchal","K1H","Nt","-","-",""
"Michel Gombert","K1H","Nt","-","-",""
"Bastien Darcillon","K1H","Nt","-","-",""
