"Championnat Régional - Champs Sur Marne - Finale - 2014-05-25","Finale","2014-05-25","Régional","243"
"Maxence Nevo Pinto","K1H","100.61","289.59","348.37","Finale A"
"Florian Perenchio","K1H","101.73","252.84","362.75","Finale A"
"Philippe Daumont","K1H","101.96","206.9","365.71","Finale A"
"Francois Pech","K1H","101.99","340.1","366.09","Finale A"
"Leo Zouggari","K1H","102.3","-","370.07","Finale A"
"Thomas Postaire","K1H","102.55","272.88","373.29","Finale A"
"Benoit Monvoisin","K1H","104.25","-","395.12","Finale A"
"Adrien Suardana","K1H","104.5","238.45","398.33","Finale A"
"Jerome Lacire","K1H","106.02","-","417.85","Finale A"
"Louis Vandeville","K1H","107.42","305.03","435.83","Finale A"
"Issam Chakir","K1H","108.48","-","449.45","Finale A"
"Bastien Moreaux","K1H","112.09","433.89","495.81","Finale A"
"Alexandre Jardin","K1H","112.34","409.68","499.03","Finale A"
"Jeremy Huguenin","K1H","133.19","308.21","766.82","Finale A"
"Mathurin Madore","K1H","134.92","74.33","789.04","Finale A"
"Luca Dos Santos","K1H","149.41","274.02","975.14","Finale A"
"Son Bui","K1H","152.62","405.91","1016.37","Finale A"
"Vincent Delahaye","K1HM","98.15","-","-","Finale A"
"Aaron Penning","K1HM","106.07","-","-","Finale A"
"Eden Quevremont","K1HM","115.27","-","-","Finale A"
"Alban Morel","K1HM","118.57","-","-","Finale A"
"Louis Prezeau","K1HM","123.51","-","-","Finale A"
"Aymeric Theatre","K1HM","133.08","-","-","Finale A"
"Augustin Francois","K1HM","140.22","-","-","Finale A"
"Natacha Giraud","C1D","139.19","-","550.93","Finale B"
"Lucie Cecile","C1D","141.7","710.14","577.79","Finale B"
"Stephanie Bender","C1D","143","587.86","591.71","Finale B"
"Lea Feuillard","C1D","157.78","828.21","749.89","Finale B"
"Catherine Boulan","C1D","195.1","-","1149.33","Finale B"
"Marion Taviaux","C1D","239.95","-","1629.36","Finale B"
"Louis Vandeville","C1H","105.19","256.25","347.86","Finale B"
"Leo Boulard","C1H","109.46","-","400.09","Finale B"
"Alexy Wengler","C1H","112.28","352.84","434.58","Finale B"
"David Mingasson","C1H","114.29","385.47","459.18","Finale B"
"Adrien Suardana","C1H","114.54","430.14","462.23","Finale B"
"Jeremy Grippon","C1H","114.65","377.87","463.57","Finale B"
"Erwan Gautrelet","C1H","114.89","456.38","466.51","Finale B"
"Alexis Pierlot","C1H","115.87","691.97","478.49","Finale B"
"Son Bui","C1H","116.21","655.92","482.65","Finale B"
"Jacques Nardeau","C1H","116.38","472.26","484.73","Finale B"
"Alexandre Perrin Mortier","C1H","116.95","-","491.71","Finale B"
"Bastien Moreaux","C1H","118.07","508.29","505.41","Finale B"
"Guillaume Picavet","C1H","118.19","560.1","506.88","Finale B"
"Aymeric Dollat","C1H","121.58","588.61","548.34","Finale B"
"Geoffroy Lauth","C1H","123.65","500.07","573.66","Finale B"
"Yohan Marck","C1H","135.99","519.11","724.6","Finale B"
"Adrien Barlier","C1H","139.17","564.88","763.51","Finale B"
"Arthur Dupont","C1H","150.98","-","907.96","Finale B"
"Nicolas Castagnetti","C1H","152.74","-","929.5","Finale B"
"Mickael Dubois","C1H","162.27","1078","1046.07","Finale B"
"Pierre Ferrand","C1H","173.2","-","1179.76","Finale B"
"Adam Collin","C1H","Nt","-","-","Finale B"
"Nathan Aubert","C1H","Nt","-","-","Finale B"
"Mathis Perreau","C1HM","118.28","-","-","Finale B"
"Angelino Castagnetti","C1HM","159.1","-","-","Finale B"
"Quentin Arnoult","C1HM","179.68","-","-","Finale B"
"Benoit Le Mazurier-Mathurin Madore","C2H","132.44","-","607.55","Finale B"
"Jean-michel Senechault-Olivier Gesbert","C2H","135.53","-","643.62","Finale B"
"Alexy Wengler-Leo Zouggari","C2H","148.32","-","792.96","Finale B"
"Alexis Pierlot-Valentin Bonnot","C2H","158.48","-","911.59","Finale B"
"Yves Souchal-Adrien Barlier","C2H","163.29","-","967.75","Finale B"
"Thomas Durand-Yohan Marck","C2H","Nt","-","-","Finale B"
"Adam Collin -Maxence Nevo Pinto","C2H","Nt","-","-","Finale B"
"Geoffroy Lauth-Rachel Broin","C2M","147.64","552.92","641.36","Finale B"
"Nicolas Feuillard-Emilie Hernandez-brossard","C2M","148.08","-","646.08","Finale B"
"Louis Vandeville-Juliette Vandeville","C2M","158.82","-","761.03","Finale B"
"Jacques Nardeau-Sandrine Arnal","C2M","175.81","-","942.87","Finale B"
"Adam Collin -Agathe Sananikone","C2M","Nt","-","-","Finale B"
"Agathe Sananikone","K1D","124.14","470.06","472.15","Finale B"
"Alice Marquer","K1D","125.09","-","482.95","Finale B"
"Agnes Gigan","K1D","129.09","493.52","528.42","Finale B"
"Catherine Boulan","K1D","130.27","465.09","541.82","Finale B"
"Shererazade Ayadi","K1D","130.96","604.24","549.67","Finale B"
"Maryse Viseur","K1D","140.01","584.95","652.54","Finale B"
"Marion Taviaux","K1D","141.11","597.86","665.03","Finale B"
"Florence Marchal","K1D","148.01","680.1","743.46","Finale B"
"Anna Marvillet","K1D","149.16","957.49","756.53","Finale B"
"Manon Borde","K1D","149.96","738.13","765.63","Finale B"
"Juliette Vandeville","K1D","155.23","-","825.53","Finale B"
"Lea Lauer","K1D","160.32","-","883.38","Finale B"
"Elsa Prigent","K1D","172.03","-","1016.47","Finale B"
"Louise Muller","K1D","185.65","615.4","1171.28","Finale B"
"Patricia Pilard","K1D","223.85","-","1605.46","Finale B"
"Perrine Venot","K1D","230.63","-","1682.52","Finale B"
"Romain Huguenin","K1H","100.83","358.65","356.19","Finale B"
"Axel Guilleret","K1H","100.92","359.84","357.35","Finale B"
"Martin Rohaut","K1H","102.7","344.57","380.21","Finale B"
"Antoine Saul","K1H","105.36","405.79","414.38","Finale B"
"Pierre Ferrand","K1H","105.79","386.93","419.9","Finale B"
"Gerard Lafargue","K1H","106.53","375.28","429.4","Finale B"
"Theo Loury","K1H","107.7","418.54","444.43","Finale B"
"Theo Zilber","K1H","107.82","400.46","445.97","Finale B"
"Valentin Bonnot","K1H","108.82","399.89","458.82","Finale B"
"Philippe Valeri","K1H","109.12","386.54","462.67","Finale B"
"Maxime Pilard","K1H","112.32","394.12","503.77","Finale B"
"Hadrian Loreille","K1H","112.55","-","506.72","Finale B"
"Adrien Barlier","K1H","113.17","435.93","514.69","Finale B"
"Hugo Pereira","K1H","113.63","-","520.59","Finale B"
"Gilles Lucas","K1H","114.14","489.56","527.14","Finale B"
"Arthur Dupont","K1H","116.08","481.89","552.06","Finale B"
"Elliot Gest","K1H","117.54","-","570.81","Finale B"
"Axel Godard","K1H","117.56","593.19","571.07","Finale B"
"Juan Guerrero","K1H","118.89","481.02","588.15","Finale B"
"Mickael Dubois","K1H","119.11","516.35","590.98","Finale B"
"Nicolas Castagnetti","K1H","120.12","509.89","603.95","Finale B"
"Brayan Raoudi","K1H","120.17","551.52","604.59","Finale B"
"Arthur Guillot-le Goff","K1H","120.86","792.21","613.45","Finale B"
"Fabien De Almeida","K1H","123.48","600.27","647.1","Finale B"
"Alexis Pierlot","K1H","123.66","643.69","649.42","Finale B"
"Loic Durand","K1H","123.87","724.45","652.11","Finale B"
"Paul Beteille","K1H","127.16","684.95","694.37","Finale B"
"Nicolas Lalliot","K1H","127.71","-","701.43","Finale B"
"Antoine Pas","K1H","128.5","853.86","711.58","Finale B"
"Alexandre Ponnelle","K1H","135.06","-","795.83","Finale B"
"Remy Daumont","K1H","135.12","796.76","796.6","Finale B"
"Yves Souchal","K1H","135.47","706.17","801.1","Finale B"
"Jean Paul Helluin","K1H","136.92","831.25","819.72","Finale B"
"Thomas Dos Santos","K1H","139.84","954.02","857.23","Finale B"
"Franz Barth","K1H","141.14","-","873.92","Finale B"
"Ludovic Leprevost","K1H","141.16","-","874.18","Finale B"
"Valentin Fourcade","K1H","143.97","-","910.27","Finale B"
"Remi Blaud","K1H","144.46","720.24","916.56","Finale B"
"Denis Marrocos","K1H","151.06","1141.2","1001.33","Finale B"
"Marvin Lescourant","K1H","154.96","-","1051.42","Finale B"
"Erwan Gautrelet","K1H","165.33","385.62","1184.61","Finale B"
"Maxence Guiheneuf","K1H","166.68","-","1201.95","Finale B"
"Clement De Rouze","K1H","245.31","-","2211.85","Finale B"
"Sebastien Evrard","K1H","264.06","-","2452.67","Finale B"
"Theo Griffit","K1H","396.55","-","4154.32","Finale B"
"Adam Collin","K1H","Nt","-","-","Finale B"
"Jeremy Grippon","K1H","Nt","-","-","Finale B"
"Romain Cheval","K1H","Nt","-","-","Finale B"
"Leo Boulard","K1H","Nt","-","-","Finale B"
"Lucas Jacob","K1HM","125.07","-","-","Finale B"
"Lucas Correia","K1HM","132.65","-","-","Finale B"
"Mathis Perreau","K1HM","133.04","-","-","Finale B"
"Quentin Arnoult","K1HM","145.62","-","-","Finale B"
"Kevin Tanay","K1HM","147.82","-","-","Finale B"
"Angelino Castagnetti","K1HM","155.78","-","-","Finale B"
"Anthony Dubois","K1HM","172.88","-","-","Finale B"
