"Nationale 3 - Sablé Sur sarthe - 2013-05-26","Course 3","2013-05-26","Nationale 3","248"
"Theo Renaud","K1H","98.43","221.51","326.82",""
"Eadwin Famechon","K1H","99.02","194.26","333.62",""
"Lucas Soudi","K1H","99.29","240.84","336.73",""
"Romain Gaillard","K1H","99.3","167.94","336.84",""
"Pierre Yves Tanguy","K1H","99.45","186.5","338.56",""
"Martin Belliot","K1H","99.54","178.36","339.6",""
"Arthur Chaumet","K1H","99.62","188.07","340.52",""
"Julien Rocaboy","K1H","99.64","268.59","340.76",""
"Jerome Blanchet","K1H","99.66","263.43","340.98",""
"Nicolas Foulon","K1H","99.78","222.29","342.37",""
"Benoit Ricard","K1H","99.85","235.72","343.18",""
"Alain Droniou","K1H","99.91","202.86","343.87",""
"Corentin Moriniaux","K1H","99.96","159.68","344.44",""
"Maxime Lignereux","K1H","100.52","154.26","350.89",""
"Antoine Jonin","K1H","100.54","191.81","351.12",""
"Adrien Loiseau","K1H","100.65","232.75","352.39",""
"Loic Froissard","K1H","100.65","252.62","352.39",""
"Marc Anthoine Marchand","K1H","100.69","234.65","352.84",""
"Jules Reix","K1H","100.82","239.71","354.34",""
"Sylvain Le Dantec","K1H","100.9","267.52","355.26",""
"Maxence Briand","K1H","101.03","248.29","356.76",""
"Thibaud Chevalier","K1H","101.04","269.73","356.87",""
"Jean Yves Prigent","K1H","101.33","181.82","360.21",""
"Guillaume Payet","K1H","101.79","180.9","365.51",""
"Florian Lepretre","K1H","101.85","132.07","366.2",""
"Matheo Lebaindre","K1H","102.09","274.23","368.96",""
"Nathan Flageul","K1H","102.19","243.43","370.11",""
"Thibault Lefebvre","K1H","102.21","274.22","370.35",""
"Gaetan Drouin","K1H","102.74","139.13","376.45",""
"Maxime Barrault","K1H","102.86","227.06","377.83",""
"Ludovic Le Cointre","K1H","102.93","255.22","378.64",""
"Pierre Texier","K1H","103.44","299.7","384.51",""
"Edouard Anne","K1H","103.58","276.8","386.12",""
"Jules Chaumet","K1H","103.91","285.07","389.92",""
"Jules Grolleau","K1H","104.25","245.07","393.84",""
"Julien Caillarec","K1H","104.63","225.74","398.21",""
"Arthur Traquet","K1H","104.95","224.34","401.9",""
"William Simon","K1H","105.24","260.79","405.23",""
"Lucas Godevin","K1H","105.67","311.68","410.18",""
"Benoit Jouan","K1H","105.67","166.62","410.18",""
"Ludovic Garnier","K1H","105.87","336.5","412.48",""
"Quentin Brillaut","K1H","105.9","274.1","412.83",""
"Melaine Colin","K1H","105.92","208.95","413.07",""
"Francois Poirier","K1H","106.01","299.44","414.1",""
"Alexis Belkheir","K1H","106.04","222.25","414.44",""
"Anthony Drouhin","K1H","106.14","244.54","415.6",""
"Nathan Dalaine","K1H","106.65","363.55","421.47",""
"Pierre Branger","K1H","106.72","400.83","422.28",""
"Josquin Dubois","K1H","106.94","324.73","424.81",""
"Theo Desvignes","K1H","107.1","249.74","426.65",""
"Aymeric Poirier","K1H","107.73","312.22","433.9",""
"Jean Terasas","K1H","107.93","387.45","436.21",""
"Martin Grezard","K1H","108.4","295.83","441.62",""
"Antonin Leray","K1H","109.1","313.2","449.67",""
"Yves Bourhis","K1H","109.41","350.64","453.24",""
"Quentin Famechon","K1H","109.45","394.26","453.7",""
"Vincent Acou","K1H","109.56","241.16","454.98",""
"Augustin Thomas","K1H","109.63","314.04","455.78",""
"Yann Le Bourser","K1H","109.72","316.86","456.81",""
"Theo Bellour","K1H","110.22","434.35","462.58",""
"Thomas Le Gall","K1H","110.99","347.25","471.44",""
"Samuel Flament","K1H","111.38","322","475.93",""
"Kevin Lelievre - Le Ruyet","K1H","112.53","443.91","489.17",""
"Cyril Launay","K1H","112.55","271.63","489.4",""
"Nathan Leretrif","K1H","113.23","396.38","497.23",""
"Nicolas Leconte","K1H","113.51","321.99","500.45",""
"Pierre Guilchet","K1H","114.5","-","511.85",""
"Dylan Sourbe","K1H","115.33","356.77","521.41",""
"Luc Le Diouron","K1H","116.93","449.11","539.83",""
"Paul Violette","K1H","117.62","348.15","547.78",""
"Jerome Saliou","K1H","118.01","327.83","552.26",""
"Christian Belouin","K1H","118.13","426.73","553.64",""
"Daniel Bregazzi","K1H","118.3","422.13","555.6",""
"Axel Delage","K1H","118.44","337.59","557.21",""
"Pierre Louis Ferre","K1H","119.22","439.74","566.2",""
"Gerard Lemonnier","K1H","122.11","533.12","599.47",""
"Quentin Gaule","K1H","122.39","457.18","602.69",""
"Pierreyves Hellard","K1H","122.55","476.64","604.54",""
"Christophe Dieumegard","K1H","123.22","370.86","612.25",""
"Alexandre Nardi","K1H","125.18","488.58","634.82",""
"Steve Bruniquel","K1H","127.99","484.91","667.18",""
"Gwenael Coadou","K1H","135.02","519.38","748.12",""
"Florian Joly","K1H","150.38","290.05","924.97",""
"Andy Barat","K1H","153.77","142.63","964",""
"Thierry Le Bonniec","K1H","154.16","617.98","968.5",""
"Brice Guintard","K1H","164.75","324.66","1090.43",""
"Alexandre Buchet","K1H","169.24","267.97","1142.12",""
"Nathan De Saint Just","K1H","172.12","510.18","1175.28",""
"Valentin Rault","K1H","172.48","518.53","1179.43",""
"Pierre Deseuste","K1H","176.04","390.67","1220.42",""
"Pierrick Meheust","K1H","177.66","350.93","1239.07",""
"Leo Paillat","K1H","189.66","622.06","1377.24",""
"Guillaume De Fierville","K1H","198.28","224.43","1476.49",""
"Pierre-amaury Duclau","K1H","297.58","-","2619.82",""
"Quentin Le Duc","K1H","Nt","-","-",""
"Erwan Jonin","K1H","Nt","-","-",""
"Yannick Faguet","K1H","Nt","-","-",""
"Wilfried Truffy","K1H","Nt","-","-",""
"Thomas Rocher","K1H","Nt","-","-",""
"Robin Culerier","K1H","Nt","-","-",""
"Thierry Dugue","K1H","Nt","-","-",""
"Paul Gendron","K1H","Nt","-","-",""
"Alexandre Jaffre","K1H","Nt","-","-",""
"Gijs Zoetbrood","K1H","Nt","-","-",""
"Regis Cabel","K1H","Nt","-","-",""
"Hugo Le Goff","K1H","Nt","-","-",""
"Clement Le Moal","K1H","Nt","-","-",""
