"Championnat Interrégional Slalom Sud-Ouest (finale N3) - Bagneres De Bigorre - Qualification - Manche 1 - 2018-06-09","Qualification - Manche 1","2018-06-09","Nationale 3","162"
"Yon Dandonneau","K1H","112.92","403.69","439.99",""
"Maxime Dubois","K1H","113.54","507.77","447.74",""
"Maxime Charron","K1H","113.83","326.92","451.36",""
"Julien Brice","K1H","114.58","494.18","460.74",""
"Clement Riera","K1H","114.68","419.5","461.99",""
"Nicolas Saurat","K1H","114.78","312.97","463.24",""
"Felix Sperandio","K1H","114.93","424.5","465.11",""
"Philippe Babin","K1H","115.32","369.04","469.99",""
"Benoit Dandonneau","K1H","115.43","493.71","471.36",""
"Tristan Ruiz","K1H","115.87","501.73","476.86",""
"Julien Doumecq","K1H","115.9","506.04","477.24",""
"Thomas Moret","K1H","115.99","457.54","478.36",""
"Frederic Reus","K1H","116.15","427.6","480.37",""
"Adrien Pardoux","K1H","116.58","405.67","485.74",""
"Louis Rathier","K1H","117.98","453.42","503.24",""
"Benjamin Georges","K1H","118","440.74","503.49",""
"Angus Cruickshank","K1H","118.17","376.99","505.62",""
"MattÉo Rainaud","K1H","118.19","546.99","505.87",""
"Antton Erdois","K1H","118.43","473.44","508.87",""
"Baptiste San Nicolas","K1H","119.1","471.64","517.24",""
"Tom Charles","K1H","119.91","472.54","527.37",""
"Thomas TerrÉ","K1H","120.39","450.28","533.37",""
"Gabriel Felenc","K1H","120.96","584.85","540.5",""
"Adrien Favennec","K1H","120.99","776.52","540.87",""
"Matt Vidou","K1H","121.32","446.6","545",""
"Denis Vintrou","K1H","121.61","438.8","548.62",""
"Maxime Blondeau","K1H","122.44","493.23","559",""
"Tonin Desmet","K1H","122.61","515.16","561.12",""
"Guillaume Malmezac","K1H","123.05","510","566.63",""
"Nicolas Neveu","K1H","123.38","788.48","570.75",""
"Sebastien Larenaudie","K1H","123.45","573.13","571.63",""
"Benoit Pacteau","K1H","124.49","525.63","584.63",""
"Carl Rainaud","K1H","124.65","527.74","586.63",""
"Noa Lorand","K1H","125.15","768.82","592.88",""
"Lucas Dongarra","K1H","125.21","466.94","593.63",""
"Flavien Portier","K1H","125.24","500.22","594",""
"Clement Brotier","K1H","125.46","687.72","596.75",""
"Jean Dayraut","K1H","125.57","563.61","598.13",""
"Matheo Nassieu","K1H","126.79","644.28","613.38",""
"Romain Guichet","K1H","127.42","619.71","621.26",""
"Titouan Conseil","K1H","128.44","451.87","634.01",""
"Tristan Favennec","K1H","128.63","1577.18","636.38",""
"Aurelien Blois","K1H","140.65","894.82","786.65",""
"Thibault Marque","K1H","140.97","610.86","790.65",""
"Edouard Patry","K1H","141.55","782.1","797.9",""
"Daniel Lafitte","K1H","145.14","685.87","842.78",""
"Loic Leymonerie","K1H","145.48","536","847.03",""
"Arthur Caillaud-gault","K1H","147.53","579.93","872.66",""
"Arthur Huet","K1H","155.32","344.59","970.05",""
"Leo Arriau","K1H","157.05","789.48","991.67",""
"Eric Vidou","K1H","164.04","422.51","1079.06",""
"Tom Delens","K1H","164.67","405.31","1086.94",""
"Stephane Perilhou","K1H","167.04","616.48","1116.56",""
"Liam Caradec","K1H","169.68","513.49","1149.57",""
"Adrien Ricaud","K1H","169.83","462.19","1151.44",""
"Antoine Rambeau","K1H","171.34","410.04","1170.32",""
"Remi Dolcin Tillant","K1H","172.79","519.29","1188.45",""
"Gaspard Trichard","K1H","173.71","692.7","1199.95",""
"Fantin Delage-garez","K1H","173.82","361.51","1201.32",""
"Baptiste Moret","K1H","174.7","556.86","1212.33",""
"Abel Boidron","K1H","174.95","481.35","1215.45",""
"Alexandre Weiler","K1H","178.14","504.5","1255.33",""
"Jean Yves Courtiade","K1H","180.34","497.08","1282.83",""
"KÉziah Lecomte","K1H","183.78","625.39","1325.84",""
"Clement Serres","K1H","194.24","805.76","1456.6",""
"Bertrand Henot","K1H","202.52","1532.75","1560.12",""
"Fabrice Le Bras","K1H","209.91","1054.29","1652.5",""
"Pierre Maupetit","K1H","217.85","579.78","1751.76",""
"Thierry Le Bonniec","K1H","220.62","1221.86","1786.39",""
"Dylan Renneteau","K1H","223.26","582.25","1819.4",""
"Pierrick Bresson","K1H","224.06","494.66","1829.4",""
"Lohan Wyon","K1H","224.31","517.67","1832.52",""
"Martin Thermidor","K1H","328.61","861.17","3136.42",""
"Bary Caron","K1H","Abs","-","-",""
"Leo Dujourd'hui","K1H","Abs","-","-",""
"Quentin Escudero","K1H","Abs","-","-",""
"Killian Dal-cin","K1H","Abs","-","-",""
"Antonin Bretecher","K1H","Abs","-","-",""
