"Manche 6 de la Coupe de France National 1 Slalom - 73170 Yenne - Finale - 2019-06-09","Finale","2019-06-09","Nationale 1","107"
"Nathan Hossin","C1H","94.47","133.47","150.73","Finale B"
"Yann Rivallant","C1H","95.68","145.09","165.19","Finale B"
"Johan Pucheou","C1H","95.87","201.06","167.46","Finale B"
"Thomas L'huillier","C1H","96.49","131.51","174.86","Finale B"
"Jerome Blanchet","C1H","104.17","166.05","266.6","Finale B"
"Thibault Blaise","C1H","142.61","72.69","725.77","Finale B"
"Benjamin Reig-Cyril Boulet","C2H","118.69","318.67","375.6","Finale B"
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","128","372.78","481.76","Finale B"
"Vincent Delahaye-Noe Perreau","C2H","174.45","1160.27","1011.38","Finale B"
"Bertrand Avril-Chloe Gatuingt","C2M","Des","-","-","Finale B"
"Laurene Roisin","K1D","98.58","156.27","116.46","Finale B"
"Lisa Mouffle","K1D","99.46","112.48","126.23","Finale B"
"Estelle Mangin","K1D","100.07","386.45","133","Finale B"
"Viviana Daille","K1D","100.39","158","136.55","Finale B"
"Alexane Galmiche","K1D","101.2","178.41","145.54","Finale B"
"Cecile Tixier","K1D","103.66","161.41","172.85","Finale B"
"Lea Wetzel","K1D","103.84","184.66","174.85","Finale B"
"Charline Berger Martin","K1D","104.98","164.86","187.5","Finale B"
"Mylene Ferry","K1D","105.57","161.72","194.05","Finale B"
"Manon Prioux","K1D","106.8","175.25","207.7","Finale B"
"Joey Bercon","K1D","Abs","-","-","Finale B"
"Isaac Dufrene","K1H","82.58","82.83","58.03","Finale B"
"Lucas Latimier","K1H","83.57","72.79","70.45","Finale B"
"Paul Cornut-chauvinc","K1H","85.1","56.97","89.64","Finale B"
"Benjamin Jacon","K1H","85.18","55.41","90.64","Finale B"
"Raphael Olla","K1H","85.54","127.48","95.16","Finale B"
"Clement Travert","K1H","85.67","66.61","96.79","Finale B"
"Jean Charles Hacquart","K1H","86.03","113.03","101.3","Finale B"
"Leo Vuitton","K1H","86.04","123.3","101.43","Finale B"
"Hippolyte Cail","K1H","86.27","122.94","104.31","Finale B"
"Gurgen Brun","K1H","87.2","115.02","115.98","Finale B"
"Alan Dollo","K1H","87.23","85.68","116.35","Finale B"
"Hugo Crepeau","K1H","87.42","108.85","118.73","Finale B"
"Pierre Grapotte","K1H","87.57","75.57","120.62","Finale B"
"Gregoire Guerin","K1H","88.17","120.04","128.14","Finale B"
"Tom Babin","K1H","89.19","110.92","140.93","Finale B"
"Valentin Brindeau","K1H","89.35","134.14","142.94","Finale B"
"Corentin Monasse","K1H","89.52","105.73","145.07","Finale B"
"William Desnos","K1H","89.64","120.8","146.58","Finale B"
"Thomas Schmitt","K1H","89.9","93.71","149.84","Finale B"
"Robin Pottelette","K1H","89.96","106.52","150.59","Finale B"
"Titouan Dupras","K1H","89.97","87.98","150.72","Finale B"
"Vincent Delahaye","K1H","90.27","47.18","154.48","Finale B"
"Theo Desvignes","K1H","90.39","79.32","155.99","Finale B"
"Raphael Lassechere","K1H","94.13","151.7","202.89","Finale B"
"Tom Bouchardon","K1H","95.6","115.16","221.33","Finale B"
"Martin Daviet","K1H","138.22","78.26","755.88","Finale B"
"Pol Oulhen","K1H","142.08","35.71","804.29","Finale B"
"Pierre-louis Saussereau","K1H","185.64","55.67","1350.64","Finale B"
