"Sélectif Régional Slalom (Double) - 14690 Pont D Ouilly - Course n°2 | Qualification - 2019-02-03","Course n°2 | Qualification","2019-02-03","Régional","179"
"Lubin Brionne","C1HM","184.96","1284.84","1596.17",""
"Yunis Delahaye","C1HM","Abs","-","-",""
"Nino Lechevallier","C1HM","Des","-","-",""
"Camille Meyer-Faustine Grandin","C2D","187.47","-","1135.1",""
"Nathalie Guelton-Melina Letellier","C2D","343.3","1490.94","2865.26",""
"Salome Huet-Nine Meyer","C2D","460.68","845.2","4168.51",""
"Edouard Gracias-Teddy Poulard","C2H","113.89","510.35","548.05",""
"Antoine Martin-Theo Moalic","C2H","124.57","747.87","688.19",""
"Fabien Bonvalet-Mathis Pomares","C2H","126.87","689.09","718.37",""
"Estephe Decarsin-Kevin Tanay","C2H","137.64","840.94","859.69",""
"Christophe Bachelot-Jacky Bachelot","C2H","259.36","726.51","2456.86",""
"Titouan Aussant-Vincent Dorchat","C2H","Des","-","-",""
"Lubin Brionne-Nino Lechevallier","C2HM","225.76","1609.07","2015.97",""
"Arthur Lescarmontier-Yunis Delahaye","C2HM","Abs","-","-",""
"Catherine Boulan-Xavier Jourdain","C2M","137.29","464.54","704.98",""
"Lison Gautrelet-Dimitri Houlier","C2M","168.37","773.78","1078.81",""
"Titouan Aussant-Elza Horlock","C2M","170.36","853.18","1102.76",""
"Geoffroy Lauth-Delphine Brunet","C2M","196.6","629.13","1418.36",""
"Clemence Douche-Lucas Ferloni","C2M","Des","-","-",""
"Timothee Clep-Emma Pouilly","C2MM","185.99","1524.42","1290.76",""
"Zoe Dronne-Guillaume Cahagne","C2MM","390.66","1425.86","3752.55",""
"Tiphaine Duboc","K1D","93.8","172.18","251.77",""
"Alina Rassel","K1D","114.25","670.46","512.98",""
"Lison Gautrelet","K1D","119.46","415.98","579.53",""
"Melina Letellier","K1D","128.95","474.74","700.75",""
"Wissal Mouinet","K1D","129.07","534.62","702.28",""
"Salome Huet","K1D","129.23","599.6","704.33",""
"Elza Horlock","K1D","133.42","541.5","757.85",""
"Alexia Evrard","K1D","147.3","631.66","935.14",""
"Daphnee Mouchelet","K1D","149.1","695.46","958.13",""
"Lisa BouÉ","K1D","165.44","650.22","1166.84",""
"Faustine Grandin","K1D","181.24","432.65","1368.65",""
"Alize Bachelot","K1D","182.68","397.05","1387.06",""
"Delphine Brunet","K1D","183.52","2559.67","1397.78",""
"Eloise Riviere","K1D","191.24","593.39","1496.39",""
"Nine Meyer","K1D","192.67","654.26","1514.65",""
"Pauline Lybrecht","K1D","194.17","573.24","1533.82",""
"Charline Dole","K1D","321.33","767.9","3158.06",""
"Ophelie Lailler","K1D","430.45","645.21","4551.87",""
"Angele Sottolefevre","K1D","Abs","-","-",""
"Estelle Brodin","K1D","Abs","-","-",""
"Coline Regnier","K1DM","122.45","512.37","617.72",""
"Emma Pouilly","K1DM","151.39","600.31","987.37",""
"Camille Jaroszewski","K1DM","179.16","883.41","1342.1",""
"Elise Masseline","K1DM","205.28","467.27","1675.73",""
"Laure Prieur","K1DM","212.29","-","1765.27",""
"Julie Benoist","K1DM","214.15","658.85","1789.02",""
"Orlane Colmant","K1DM","465.13","866.03","4994.85",""
"Lea Paupardin","K1DM","650.23","3899.48","7359.18",""
"Zoe Dronne","K1DM","Des","-","-",""
"Killian Flegeau","K1H","83.29","233.7","255.83",""
"Benjamin Thiboust","K1H","84.06","193.67","266.94",""
"Yvan Leblond","K1H","84.59","293.33","274.59",""
"Xavier Jourdain","K1H","86.24","190.09","298.41",""
"Simon Dubosc","K1H","88.2","187.29","326.7",""
"Mathieu Aussant","K1H","89.68","370.37","348.06",""
"Matheo Dupont","K1H","90.64","360.68","361.92",""
"Thibaud Collaert","K1H","91.95","231.64","380.82",""
"Denis Parizia","K1H","92.61","294.74","390.35",""
"Anthony Mottais","K1H","93.4","271.11","401.75",""
"Florian Torche","K1H","93.95","312.32","409.69",""
"Thibaut Evrard","K1H","94.55","387.17","418.35",""
"Estephe Decarsin","K1H","94.56","392.13","418.5",""
"Jean Aussant","K1H","94.62","349.15","419.36",""
"Nicolas Candieu","K1H","95.14","428.09","426.87",""
"Nicolas Ducrocq","K1H","95.34","345.62","429.75",""
"Theo Moalic","K1H","95.96","383.53","438.7",""
"Yohan Marck","K1H","96.53","433.1","446.93",""
"Fabien Bonvalet","K1H","96.84","444.11","451.4",""
"Quentin Angot","K1H","98.18","367.3","470.75",""
"Guillaume Doutreix","K1H","98.81","376.55","479.84",""
"Titouan Aussant","K1H","98.87","451.5","480.7",""
"Edouard Gracias","K1H","100.57","411.65","505.24",""
"Gaspard Perrio","K1H","100.57","330.54","505.24",""
"Hugo Tellier","K1H","102.18","535.86","528.48",""
"Teo Durand","K1H","102.28","455.36","529.92",""
"Romain Bouillon","K1H","102.66","466.28","535.41",""
"Mathias Vautier","K1H","103.55","822.52","548.25",""
"Sebastien Delaunay","K1H","105.41","508.43","575.1",""
"Jess Masson","K1H","106.64","521.5","592.86",""
"Cosme Duboc","K1H","110.39","545.34","646.98",""
"Mathis Pomares","K1H","112.29","659.14","674.41",""
"Dimitri Houlier","K1H","113.15","562.44","686.82",""
"Yoann Turowsky","K1H","114.31","514.74","703.56",""
"Kevin Tanay","K1H","115.39","572.84","719.15",""
"Franck Cahagne","K1H","115.4","649.63","719.29",""
"Loan Guyomarch","K1H","116.73","629.42","738.49",""
"Beranger Doulle","K1H","117.97","959.16","756.39",""
"Philippe Valeri","K1H","118.54","558.44","764.62",""
"Louison Laumondais","K1H","119.64","535.57","780.49",""
"Vincent Dorchat","K1H","120.75","712.02","796.52",""
"Tom Raynaud","K1H","120.99","781.87","799.98",""
"Sebastien Masseline","K1H","122.88","717.34","827.26",""
"Mathis Andrieu","K1H","124.85","644.54","855.69",""
"Alain Regnier","K1H","128.1","1345.42","902.6",""
"Leo Tellier","K1H","136.23","735.06","1019.95",""
"Thomas Brunet","K1H","142.32","838.83","1107.85",""
"Lucas Ferloni","K1H","144.65","726.49","1141.48",""
"Paul Lecomte","K1H","160.64","636.64","1372.28",""
"Yann Castryck- -genereux","K1H","167.48","667.92","1471",""
"Theo Griffit","K1H","180.38","910.04","1657.2",""
"Enzo Hecquet","K1H","198.96","754.09","1925.38",""
"Dante Bourlet De La Vallee","K1H","199.72","474.25","1936.35",""
"Denis Marrocos","K1H","217.14","1078.72","2187.78",""
"Elias Schieber","K1H","276.09","1362.81","3038.65",""
"Guillaume Coutellier","K1H","419.39","-","5107.01",""
"Martin Dubus","K1H","515.64","900.64","6496.26",""
"Hugo Baillet","K1H","Abs","-","-",""
"Justin Collemiche","K1H","Abs","-","-",""
"Louis Marescot","K1H","Des","-","-",""
"Adrien Andre","K1H","Abs","-","-",""
"Matteo Figueiredo Alves","K1H","Abs","-","-",""
"Brieuc Aubron","K1H","Des","-","-",""
"Pierric Clipet","K1HM","116.39","504.33","733.58",""
"Arthur Lescarmontier","K1HM","121.12","704.54","801.86",""
"Timothee Clep","K1HM","124.64","814.25","852.66",""
"Sacha Borderie","K1HM","128.44","768.17","907.51",""
"Leo Le Sort","K1HM","131.6","-","953.12",""
"Celio Chevallier","K1HM","132.98","-","973.04",""
"Louison Decarsin","K1HM","161.53","560.23","1385.12",""
"Quentin Dubelloy","K1HM","166.56","1061.84","1457.73",""
"Jonas Huet","K1HM","174.67","2091.24","1574.78",""
"Lubin Brionne","K1HM","182.93","765.56","1694.01",""
"Nino Lechevallier","K1HM","183.61","1130.46","1703.82",""
"Rubens Figueiredo Alves","K1HM","235.62","-","2454.52",""
"Sacha Lebertre","K1HM","311.92","1048.58","3555.82",""
"Sullivan Leblanc","K1HM","Des","-","-",""
"Yunis Delahaye","K1HM","Abs","-","-",""
"Guillaume Cahagne","K1HM","Des","-","-",""
