"Sélectif régional SLALOM & Manche 2 sur B ""Coupe régionale Grand-Est""  - 67600 Selestat - Course n°1 | Finale - 2019-09-21","Course n°1 | Finale","2019-09-21","Régional","188"
"Maxime Di Lauro","K1H","101.7","332.14","319.23","Course n°1 | Finale A"
"Nicolas Mangeolle","K1H","101.94","277.87","322.3","Course n°1 | Finale A"
"Clement Fremy","K1H","103.66","334.21","344.37","Course n°1 | Finale A"
"Arnaud Caillet","K1H","104.26","511.06","352.06","Course n°1 | Finale A"
"Damien Burteaux","K1H","105.13","411.32","363.22","Course n°1 | Finale A"
"Nathan Frison","K1H","106.07","358.42","375.28","Course n°1 | Finale A"
"Anthony Ulrich","K1H","106.29","304.56","378.1","Course n°1 | Finale A"
"Victor Henry","K1H","107.59","454.85","394.77","Course n°1 | Finale A"
"Paul Frommer","K1H","110.15","366.03","427.61","Course n°1 | Finale A"
"William Boutet","K1H","111.18","430.59","440.82","Course n°1 | Finale A"
"Hugo Courtin","K1H","111.37","431.97","443.26","Course n°1 | Finale A"
"Jules Ferber","K1H","111.56","531.44","445.69","Course n°1 | Finale A"
"Christophe Siffert","K1H","113.25","417.87","467.37","Course n°1 | Finale A"
"Matthew Vuillard","K1H","113.46","382.19","470.06","Course n°1 | Finale A"
"Evan Trenchant","K1H","115.77","573.17","499.69","Course n°1 | Finale A"
"Jorg Blees","K1H","Abs","-","-","Course n°1 | Finale A"
"Salim Jemai","K1HM","104.98","388.73","361.3","Course n°1 | Finale A"
"Leon Beyreuther","K1HM","115.04","1333.47","490.33","Course n°1 | Finale A"
"Victor Frumholtz","K1HM","117.89","549.14","526.88","Course n°1 | Finale A"
"MatthÉo Waltz","K1HM","124.31","645.08","609.23","Course n°1 | Finale A"
"Jan Gabin Pischek","K1HM","124.59","418.29","612.82","Course n°1 | Finale A"
"Quentin Dierstein","K1HM","129.45","741.99","675.15","Course n°1 | Finale A"
"Teo Mullerheddar","K1HM","129.85","678.86","680.28","Course n°1 | Finale A"
"Nathan Drouet","K1HM","130.94","684.38","694.26","Course n°1 | Finale A"
"Gregory Waltz","OUVM","136.4","-","-","Course n°1 | Finale A"
"Elena Hugues","C1D","128.25","295.82","390.6","Course n°1 | Finale B"
"Celia Grandadam","C1D","131.76","830.43","428.12","Course n°1 | Finale B"
"Lolita Seguy","C1D","133.24","615.68","443.93","Course n°1 | Finale B"
"Sophie Colbus","C1D","134.54","451.22","457.84","Course n°1 | Finale B"
"Fransiska Granzow","C1D","136.16","1048.52","475.15","Course n°1 | Finale B"
"Margot Perrin","C1D","136.74","490.1","481.35","Course n°1 | Finale B"
"Sarah Rothenbuhler","C1D","169.9","935.22","835.77","Course n°1 | Finale B"
"Alexis Pacholak","C1H","114.48","574.68","418.23","Course n°1 | Finale B"
"Paul Bostoen","C1H","118.8","539.37","471","Course n°1 | Finale B"
"Hugo Monasse","C1H","119.47","582.51","479.18","Course n°1 | Finale B"
"Otello Willmann Rosso","C1H","121.17","1151.68","499.94","Course n°1 | Finale B"
"Erwan Rouch","C1H","121.29","534.63","501.41","Course n°1 | Finale B"
"Jean-baptiste Wolff","C1H","124.46","573.72","540.13","Course n°1 | Finale B"
"Paul Gstalter","C1H","128.06","807.86","584.11","Course n°1 | Finale B"
"Paul Bornier","C1H","132.76","557.4","641.52","Course n°1 | Finale B"
"Hugo Humbrecht","C1H","132.82","984.32","642.25","Course n°1 | Finale B"
"Florent Tamburini","C1H","132.96","683.1","643.97","Course n°1 | Finale B"
"Maxence Raymond","C1H","133.68","892.34","652.76","Course n°1 | Finale B"
"Jules Ferber","C1H","133.71","698.17","653.13","Course n°1 | Finale B"
"Victor Henry","C1H","136.09","1016.06","682.21","Course n°1 | Finale B"
"Evan Trenchant","C1H","136.98","789.79","693.07","Course n°1 | Finale B"
"Matthew Vuillard","C1H","141.32","723.16","746.08","Course n°1 | Finale B"
"Nathan Frison","C1H","141.72","740.02","750.97","Course n°1 | Finale B"
"Yann Becker","C1H","148.34","543.41","831.84","Course n°1 | Finale B"
"Paul Frommer","C1H","150.33","787.86","856.14","Course n°1 | Finale B"
"Victor Mocochain","C1H","Abs","-","-","Course n°1 | Finale B"
"Clement Breuvart","C1HM","139.35","715.27","722.02","Course n°1 | Finale B"
"Zakaria Radouani","C1HM","141.9","1257.09","753.17","Course n°1 | Finale B"
"MatthÉo Waltz","C1HM","142.33","757.97","758.42","Course n°1 | Finale B"
"Adrien Dierstein","C1HM","142.67","875.63","762.57","Course n°1 | Finale B"
"Victor Frumholtz","C1HM","143.89","701.51","777.48","Course n°1 | Finale B"
"Teo Mullerheddar","C1HM","157.35","837.74","941.9","Course n°1 | Finale B"
"Emile Babel","C1HM","Abs","-","-","Course n°1 | Finale B"
"Lolita Seguy","K1D","104.3","245.74","203.67","Course n°1 | Finale B"
"Anne-lise Moisan-ehrwein","K1D","118.42","379.35","363.94","Course n°1 | Finale B"
"Melyne Jost","K1D","123.87","506.52","425.8","Course n°1 | Finale B"
"Laurine Grandadam","K1D","126.82","451.89","459.29","Course n°1 | Finale B"
"Marlene Dumoulin","K1D","134.92","615.98","551.22","Course n°1 | Finale B"
"Carole Dolmaire","K1D","137.44","696.55","579.83","Course n°1 | Finale B"
"Emmy Tamburini","K1D","144.39","610.09","658.72","Course n°1 | Finale B"
"Audrey Masson","K1D","146.33","858.36","680.74","Course n°1 | Finale B"
"Sarah Rothenbuhler","K1D","146.99","625.31","688.23","Course n°1 | Finale B"
"Heloise Stemmelen","K1D","158.07","1002.79","813.99","Course n°1 | Finale B"
"Joris Schaffner","K1H","97.1","225.58","265.23","Course n°1 | Finale B"
"Baptiste Podor","K1H","97.27","444.83","267.41","Course n°1 | Finale B"
"Nathan Barbier","K1H","100.2","346.73","304.99","Course n°1 | Finale B"
"Jules Andrien","K1H","103.49","295.7","347.18","Course n°1 | Finale B"
"Gauthier Principaud","K1H","111.22","577.97","446.33","Course n°1 | Finale B"
"Thomas Michel","K1H","111.23","436.44","446.46","Course n°1 | Finale B"
"Dyclan Plessis","K1H","111.28","430.85","447.1","Course n°1 | Finale B"
"Alexis Sevrez","K1H","112.03","522.67","456.72","Course n°1 | Finale B"
"Eddy Cassard","K1H","113.33","484.86","473.39","Course n°1 | Finale B"
"Yann Becker","K1H","113.79","348.92","479.29","Course n°1 | Finale B"
"Paul Gstalter","K1H","114.78","538.23","491.99","Course n°1 | Finale B"
"Remy Perrin","K1H","116.16","504.73","509.69","Course n°1 | Finale B"
"Philippe Potier","K1H","116.52","518.37","514.31","Course n°1 | Finale B"
"Florent Tamburini","K1H","118.58","420.14","540.73","Course n°1 | Finale B"
"Philippe Koffel","K1H","118.77","609.92","543.17","Course n°1 | Finale B"
"Maxence Raymond","K1H","119.5","718.87","552.53","Course n°1 | Finale B"
"Simon Drouart","K1H","120.76","533.44","568.69","Course n°1 | Finale B"
"Frederic Caillet","K1H","121.05","638.19","572.41","Course n°1 | Finale B"
"Jules Latimier","K1H","123.47","502.4","603.45","Course n°1 | Finale B"
"Jean Guyot","K1H","123.82","664.41","607.94","Course n°1 | Finale B"
"Philipp Hector","K1H","123.95","1729.44","609.61","Course n°1 | Finale B"
"Robin Giurlando","K1H","125.66","626.74","631.54","Course n°1 | Finale B"
"Patrick Thevenin","K1H","127.3","787.13","652.58","Course n°1 | Finale B"
"Aloys Morel","K1H","134.2","803.91","741.08","Course n°1 | Finale B"
"Antoine Schroetter","K1H","136.75","1346.12","773.78","Course n°1 | Finale B"
"Thomas Danjou","K1H","141.31","881.66","832.27","Course n°1 | Finale B"
"Stephane Cassin","K1H","152.37","1075.93","974.13","Course n°1 | Finale B"
"Kenzo Garnier","K1H","189.94","1322.17","1456.01","Course n°1 | Finale B"
"Victor Mocochain","K1H","Abs","-","-","Course n°1 | Finale B"
"Zakaria Radouani","K1HM","127.63","862.02","656.81","Course n°1 | Finale B"
"Diego Depays","K1HM","130.51","1299.58","693.75","Course n°1 | Finale B"
"Adrian Bubel","K1HM","131.22","906.15","702.86","Course n°1 | Finale B"
"Victor Scheffzek","K1HM","135.25","769.77","754.54","Course n°1 | Finale B"
"Noam Bennour","K1HM","143.21","876.89","856.64","Course n°1 | Finale B"
"Achille Napoli","K1HM","146.82","991.42","902.94","Course n°1 | Finale B"
"Emile Babel","K1HM","156.68","1641.53","1029.41","Course n°1 | Finale B"
"Mathys Henry","K1HM","166.24","1233.15","1152.03","Course n°1 | Finale B"
"Sacha Tonuccibance","K1HM","201.68","-","1606.59","Course n°1 | Finale B"
"Charli Rudinger","OUVM","133.32","-","-","Course n°1 | Finale B"
