"Sélectif régional - Sablé Sur Sarthe - 2008-10-25","Course 1","2008-10-25","Régional","174"
"Anthony Thuillier","K1H","202.65","156","203",""
"Herve Busson","K1H","205.16","95","218",""
"Vincent Lemonnier","K1H","205.64","202","221",""
"Jerome Trousson","K1H","206.25","174","224",""
"Baptiste Granger","K1H","207.03","157","230",""
"Simon Bercon","K1H","207.22","195","231",""
"Philippe Daumont","K1H","210.43","172","250",""
"Stephane Broute","K1H","210.72","194","252",""
"Antoine Godet","K1H","211.41","253","256",""
"Jacques Despierres","K1H","212.22","211","261",""
"Vincent Froger","K1H","212.58","184","263",""
"Benoit Ricard","K1H","213.25","673","268",""
"Gael Prodeau","K1H","213.35","267","268",""
"Simon Vaillant","K1H","213.51","280","269",""
"Bastien Pailler","K1H","215.22","332","279",""
"Pierre-yves Lebreton","K1H","216.05","223","285",""
"Yves Prigent","K1H","216.53","247","287",""
"Romain Fraisse","K1H","220.84","218","313",""
"Alexandre Plouzeau","K1H","221.10","266","315",""
"Mathieu Desnos","K1H","221.34","-","316",""
"Maxime Beaulieu","K1H","221.49","304","317",""
"Manuel Moquet","K1H","222.00","308","321",""
"Loic Froissard","K1H","222.11","-","321",""
"Thomas Drouart","K1H","223.21","354","328",""
"Jonas Turmeau","K1H","225.13","405","340",""
"Maxime Dreux","K1H","225.50","413","342",""
"Nicolas Arnoult","K1H","226.25","262","346",""
"Laurent Van Poucke","K1H","226.38","-","347",""
"Etienne Carpentier","K1H","226.50","280","348",""
"Aurelien Ballandras","K1H","226.84","766","350",""
"Maxime Leclerc","K1H","227.30","-","352",""
"Antoine Beaudoin","K1H","228.31","365","359",""
"Ludovic Garnier","K1H","229.15","440","364",""
"Ludovic Gaignon","K1H","230.34","400","371",""
"Manuel Besnard","K1H","231.53","-","379",""
"David Ravache","K1H","231.99","-","381",""
"Ronan Collin","K1H","232.81","476","386",""
"Augustin Sacaze","K1H","233.90","-","392",""
"Ludovic Gloaguen","K1H","234.93","307","399",""
"Pierre Yves Bonnet","K1H","235.69","-","403",""
"Adrien Corvasier","K1H","235.84","-","404",""
"Christophe Gergaud","K1H","236.06","-","406",""
"Pierrick Meheust","K1H","238.75","435","422",""
"Augustin Losi","K1H","240.85","-","435",""
"Gaetan Hamelin","K1H","242.28","-","443",""
"Valentin Blondel","K1H","242.47","477","444",""
"Olivier Cornu","K1H","243.97","452","454",""
"Julien Daumont","K1H","247.38","119","475",""
"Jonathan Jouet","K1H","247.85","-","477",""
"Thibaut Mechling","K1H","249.35","686","486",""
"Cyril Come","K1H","250.04","839","491",""
"Francois Madec","K1H","250.71","-","495",""
"Vincent Nicolosi","K1H","250.73","594","495",""
"Quentin Ferrand","K1H","251.19","-","497",""
"Simon Drouart","K1H","252.19","575","503",""
"Beranger Doulle","K1H","252.74","-","506",""
"Jean Francois Clement","K1H","252.81","1022","507",""
"Baptiste Cotta","K1H","254.25","-","516",""
"Florian Vandenhende","K1H","255.78","-","525",""
"Christian Belouin","K1H","256.31","532","529",""
"Benoit Ropital","K1H","257.02","-","533",""
"Simon Gaillardon","K1H","258.71","-","543",""
"Dominique Odile","K1H","258.80","554","543",""
"Anthony Goisneau","K1H","259.60","749","549",""
"Jerome Livet","K1H","263.28","-","571",""
"Romain Treguier","K1H","263.49","-","572",""
"Olivier Pelgrin","K1H","264.31","-","577",""
"Thierry Dugue","K1H","264.75","762","579",""
"Baptiste Desmaretz","K1H","265.15","-","582",""
"Nicolas Petipez","K1H","267.00","758","593",""
"Hugues Le Chenadec","K1H","267.19","-","594",""
"Benjamin Millet Naas","K1H","268.43","569","602",""
"Julien Grossin","K1H","268.97","-","606",""
"Gerard Lemonnier","K1H","269.96","585","611",""
"Flavien Portier","K1H","270.58","-","615",""
"Paul Trecul","K1H","270.85","1668","616",""
"Philippe Beunon","K1H","280.41","-","674",""
"Christophe Flores","K1H","291.84","-","744",""
"Florian Billat","K1H","292.21","-","746",""
"Alban Brochard","K1H","294.72","-","761",""
"Alexis Temporale","K1H","310.84","-","859",""
"Sebastien Thebaud","K1H","319.22","-","910",""
"Damien Goujard","K1H","329.84","-","974",""
"Philippe Belan","K1H","333.00","-","993",""
"Martin Belliot","K1H","353.13","-","1116",""
"Kevin Rethore","K1H","376.90","-","1260",""
"Jimmy Lisciandra","K1H","477.13","-","1868",""
