"Sélectif régional - Pont Audemer - 2008-10-11","Course 1","2008-10-11","Régional","165"
"Alexis Simon","K1H","190.04","562","350",""
"Philippe Valeri","K1H","191.32","301","360",""
"Paul Batrel","K1H","193.10","445","373",""
"Simon Joudou","K1H","194.15","-","380",""
"Vincent Richard","K1H","195.36","388","389",""
"Yohann Pollet","K1H","195.42","-","390",""
"Augustin Losi","K1H","196.28","-","395",""
"Christophe Gergaud","K1H","196.52","-","397",""
"Matthieu Rousseau","K1H","198.02","450","408",""
"Cyril Duval","K1H","198.51","-","412",""
"Yoann Deschemaeker","K1H","198.86","-","415",""
"Thibault Dhennin","K1H","199.23","400","418",""
"Lancelot Meillier","K1H","200.28","-","425",""
"David Breton","K1H","200.86","-","430",""
"Ludovic Garnier","K1H","201.99","-","437",""
"Clement Robet","K1H","202.87","-","445",""
"Benoit Lecointe","K1H","204.15","-","453",""
"Xavier Montenoise","K1H","206.08","2559","467",""
"Olivier Cornu","K1H","206.22","499","468",""
"Julien Audren","K1H","207.55","-","478",""
"Nicolas Leconte","K1H","211.04","443","504",""
"Martin Mottais","K1H","212.18","-","512",""
"Samuel Bonvalet","K1H","212.74","511","517",""
"Wilhelm Heimburger","K1H","212.87","794","518",""
"Dominique Odile","K1H","213.79","576","524",""
"Sylvain Barrois","K1H","214.92","749","533",""
"Charles-henri Aube","K1H","215.32","-","536",""
"Quentin Ferrand","K1H","215.35","-","536",""
"Antoine Lecocq","K1H","220.54","782","573",""
"Florian Loiseau","K1H","221.29","847","579",""
"Pierrick Tanguy","K1H","222.71","-","590",""
"Cedric Amar","K1H","223.22","-","593",""
"Maxime Dubuisson","K1H","225.41","629","609",""
"Baptiste Desmaretz","K1H","226.89","-","621",""
"Sebastien Masseline","K1H","227.92","-","628",""
"Denis Martin","K1H","228.04","837","628",""
"Elie Mahfouz","K1H","228.86","677","635",""
"Johann Sacleux","K1H","228.86","633","635",""
"Pierre Baux","K1H","229.00","121","636",""
"Simon Vaillant","K1H","232.71","282","663",""
"Adrien Barlier","K1H","237.70","728","699",""
"Pierre Lecorre","K1H","238.54","750","706",""
"Alexandre Queval","K1H","239.15","1546","710",""
"Marc Laurent","K1H","243.83","-","744",""
"Pierrick Meheust","K1H","247.74","436","773",""
"Jacky Bachelot","K1H","261.97","-","877",""
"Olivier Ranucci","K1H","262.95","-","885",""
"Valentin Chenet","K1H","265.50","-","903",""
"Etienne Legeay","K1H","268.76","208","928",""
"Gilles Le Nevanic","K1H","277.16","-","989",""
"Maxime Cohier","K1H","278.19","-","997",""
"Antoine Martin","K1H","355.09","-","1561",""
"Martial Langlois","K1H","486.50","-","2525",""
