"Sélectif Régional de Slalom - Clisson - Moulin De Plessard - Finale - 2016-04-17","Finale","2016-04-17","Régional","103"
"Matheo Coquel","K1H","135.72","452.61","620.02","Finale A"
"Flavien Portier","K1H","139.29","434.84","661.9","Finale A"
"Lois Moreau","K1H","139.77","616.89","667.54","Finale A"
"Tony Leray","K1H","141.74","-","690.65","Finale A"
"Yohan Dupont","K1H","159.14","528.2","894.8","Finale A"
"Romain Bruneau","K1HM","127.17","480.69","519.7","Finale A"
"Armand Fougere","K1HM","138.2","730.54","649.12","Finale A"
"Younes Kismi","K1HM","142.4","616.69","698.39","Finale A"
"Gaston Guilmard","K1HM","143.81","-","714.94","Finale A"
"Max Derame","K1HM","145.77","757.97","737.93","Finale A"
"Alexis Carpentey","K1HM","181.4","-","1155.97","Finale A"
"Hubert Heurtel","K1HM","197.03","941.29","1339.36","Finale A"
"Erwan Jonin","C1H","121.54","478.27","390.74","Finale B"
"Yoann Bizot","C1H","122.83","379.78","405.16","Finale B"
"Louison Turmeau","C1H","123.7","-","414.88","Finale B"
"Christian Boob","C1H","124.91","304.78","428.4","Finale B"
"Elliot David","C1H","130.69","557.25","492.99","Finale B"
"Romain Branjauneau","C1H","136.32","583.98","555.9","Finale B"
"Lucas Godevin","C1H","137.91","701.55","573.66","Finale B"
"Theo Anton  Heteau","C1H","154.32","499.52","757.02","Finale B"
"Tanguy Odot","C1HM","200.27","952.52","1270.47","Finale B"
"Lea Turmeau-Lea Grison","C2D","160.76","-","483.54","Finale B"
"Garance Dalaine","K1D","149.08","620.97","580.54","Finale B"
"Romane Bronchet","K1D","157.52","534.18","668.17","Finale B"
"Anais Robineau","K1D","173.4","755.28","833.05","Finale B"
"Isabelle Odot","K1D","230.67","-","1427.69","Finale B"
"Pierre Bourdet","K1H","102.76","289.88","238.3","Finale B"
"Romain Branjauneau","K1H","108.77","287.43","308.82","Finale B"
"Thomas Brochard","K1H","109.59","301.83","318.44","Finale B"
"Jules Heurtin","K1H","109.68","-","319.5","Finale B"
"Erwan Jonin","K1H","111.57","319.63","341.67","Finale B"
"Theo Renaud","K1H","112.56","309.79","353.29","Finale B"
"Alexis Bizon","K1H","130.78","568.2","567.06","Finale B"
"Gerard Lafargue","K1H","131.91","419.89","580.32","Finale B"
"Simon Diogo","K1H","141.73","626.98","695.53","Finale B"
"Regis Navinel-dubois","K1H","142.45","543.65","703.98","Finale B"
"Christophe Gergaud","K1H","144.82","434.01","731.79","Finale B"
"Christian Belouin","K1H","146.48","709.07","751.26","Finale B"
"Gaetan Robin","K1H","151.58","402.71","811.1","Finale B"
"Gerard Lemonnier","K1H","155.03","637.04","851.58","Finale B"
"Samuel Rialland","K1H","156.3","-","866.48","Finale B"
"Benjamin Borgne","K1H","167.85","859.95","1001.99","Finale B"
"Christian Le Parc","K1H","168.26","650.5","1006.8","Finale B"
"Antoine Decroix","K1H","183.6","1099.77","1186.78","Finale B"
"Raphael Gomez","K1H","186.66","943.94","1222.69","Finale B"
"Louis Gane","K1H","192.44","788.06","1290.5","Finale B"
"Mickael Launay","K1H","208.58","-","1479.87","Finale B"
"Corentin Val","K1H","218.76","840.61","1599.31","Finale B"
"Simon Murzeau","K1H","227.67","2214.77","1703.85","Finale B"
"Loic Augereau","K1H","235.05","680.54","1790.44","Finale B"
"TimothÉ Leclerc","K1H","282.85","2689.02","2351.26","Finale B"
"Tudual Telbois","K1H","307.81","1376.1","2644.11","Finale B"
"GaËtan De Greef","K1HM","144.49","718.9","727.91","Finale B"
"Louis-felix Marchand","K1HM","160.01","755.2","910.01","Finale B"
"Tanguy Odot","K1HM","172.42","851.85","1055.61","Finale B"
"Axel Barre","K1HM","179.39","-","1137.39","Finale B"
"Erwan Launay","K1HM","199.32","-","1371.22","Finale B"
