"Nationale 3 - Asfeld - 2012-05-12","Course 1","2012-05-12","Nationale 3","190"
"Antoine Lebastard","K1H","97.25","144.61","102",""
"Tristan Lejot","K1H","97.25","140.61","102",""
"Michel Gombert","K1H","99.08","140.7","121.71",""
"Florian Perenchio","K1H","99.74","156.77","128.82",""
"Guillaume Doutreix","K1H","102.15","145.01","154.78",""
"Alexandre Lismonde","K1H","102.52","123.83","158.76",""
"Mathurin Madore","K1H","103.08","137.16","164.8",""
"Rodolphe Rodrigue","K1H","103.48","156.68","169.1",""
"Arnaud Delattre","K1H","103.57","130.95","170.07",""
"Nicolas Lair","K1H","104.16","179.12","176.43",""
"Yves Lecointe","K1H","105.13","266.97","186.88",""
"Romain Bertrand","K1H","106.2","123.82","198.4",""
"Bastien Meslet","K1H","107.28","281.97","210.04",""
"Yohan Marck","K1H","108.07","247.31","218.55",""
"Remi Robin","K1H","108.21","169.51","220.05",""
"Pierre Dampeyrou","K1H","108.36","176.58","221.67",""
"Nicolas Dupres","K1H","108.82","218.53","226.62",""
"Laurent Dupuis","K1H","109.05","193.59","229.1",""
"Germain Carre","K1H","109.2","323.27","230.72",""
"Robin Pilard","K1H","109.29","210.61","231.69",""
"Xavier Chantry","K1H","110","240.04","239.33",""
"Jules Guilbaud","K1H","110.09","202.96","240.3",""
"Yoann Deschemaeker","K1H","110.23","222.38","241.81",""
"Tom Barthelemy","K1H","110.31","161.8","242.67",""
"Dylan Garin","K1H","110.54","251.29","245.15",""
"Ludovic Ngo","K1H","110.62","205.12","246.01",""
"Arthur Leduc","K1H","110.69","205.42","246.77",""
"Thomas Theunissen","K1H","110.93","257.62","249.35",""
"Teddy Poulard","K1H","111.14","258.94","251.61",""
"Matthieu Walfard","K1H","111.36","215.62","253.98",""
"Olivier Dulouard","K1H","111.38","282.35","254.2",""
"Philippe Valeri","K1H","111.89","286.27","259.69",""
"Thibault Joncret","K1H","111.96","248.42","260.45",""
"Quentin Anfrey","K1H","112.18","263.41","262.82",""
"Fabien Perruchet","K1H","112.49","198.76","266.16",""
"Joseph Enguehard","K1H","113.01","366.04","271.76",""
"Alban Duboc","K1H","113.62","348.49","278.33",""
"Jeremy Grippon","K1H","113.68","328.05","278.97",""
"Clement Carbonnel","K1H","113.88","294.52","281.13",""
"Louis Vandeville","K1H","114.02","351.93","282.64",""
"Jerome Urbanczyk","K1H","115.25","378.21","295.88",""
"Benjamin Fourmet","K1H","115.57","342.23","299.33",""
"Etienne Rougier","K1H","116.32","305.85","307.41",""
"Josselin Laurain","K1H","116.82","295.49","312.8",""
"Kenzi Djoudi","K1H","117.47","263.26","319.8",""
"Maxime Pilard","K1H","118.32","371.14","328.95",""
"Guillaume Lourette","K1H","119.15","401.03","337.89",""
"Yoann Nurit","K1H","119.2","251.57","338.43",""
"Mickael Dubois","K1H","120.58","442.54","353.3",""
"Alexy Wengler","K1H","120.73","397.73","354.91",""
"Aymeric Dollat","K1H","120.74","370.93","355.02",""
"Nathan Aubert","K1H","120.88","362.27","356.53",""
"Aurelien Coiffeteau","K1H","121.08","408.79","358.68",""
"Adrien Barlier","K1H","124.87","355.96","399.51",""
"Pierre Ferrand","K1H","127.13","489.16","423.85",""
"Arthur Barrachin","K1H","127.8","500.84","431.07",""
"Paul Beteille","K1H","131.27","601.06","468.44",""
"Johann Sacleux","K1H","132.04","404.13","476.74",""
"Edouard Gracias","K1H","132.94","178.43","486.43",""
"Sergepatrick Viseur","K1H","133.23","462.86","489.55",""
"Samuel Bonvalet","K1H","135.87","427.71","517.99",""
"Theo Zilber","K1H","136","498.62","519.39",""
"Pierre Emmanuel Ravet","K1H","136.13","553.86","520.79",""
"Andreas Pintaux","K1H","137.15","552.65","531.78",""
"Jean-francois Dulouard","K1H","145.9","726.25","626.03",""
"Lucas Richard","K1H","146.33","624.82","630.66",""
"Jeremy Coiffeteau","K1H","Nt","-","-",""
"Batiste Morin","K1H","Nt","-","-",""
"Clement Bekaert","K1H","Nt","-","-",""
"Theo Deslances","K1H","Nt","-","-",""
"Aubin Decambron","K1H","Nt","-","-",""
"Jerome Mailfait","K1H","Nt","-","-",""
"Erwan Chevalier","K1H","Nt","-","-",""
"Gerard Lafargue","K1H","Nt","-","-",""
"Guillaume Cochut","K1H","Nt","-","-",""
"Thibault Dhennin","K1H","Nt","-","-",""
"Maxime Cousin","K1H","Nt","-","-",""
"Raphael Lemonnier","K1H","Nt","-","-",""
"Amaury Vielliard","K1H","Nt","-","-",""
"Mederic Larrive","K1H","Nt","-","-",""
"Gaspard Gindt","K1H","Nt","-","-",""
"Julien Fougeron","K1H","Nt","-","-",""
