"Finale Nationale 1 - Nancy - Qualifications - 2013-11-02","Qualifications","2013-11-02","Nationale 1","150"
"Bertrand Gutierrez","K1H","103.37","31.05","58.26",""
"Martin Daviet","K1H","103.42","30.81","58.55",""
"Yann Le Govic","K1H","103.46","25.86","58.77",""
"Nicolas Abbal","K1H","104.05","22.96","62.02",""
"Benoit Peschier","K1H","104.34","4.72","63.63",""
"Jimy Bercon","K1H","104.7","13.06","65.62",""
"Kevin Schultz","K1H","104.73","28.44","65.78",""
"William Desnos","K1H","105.02","31.38","67.39",""
"Yves Prigent","K1H","105.18","25.4","68.27",""
"Renaud Doby","K1H","105.56","18.25","70.37",""
"Boris Chenal","K1H","105.57","40.25","70.43",""
"Enrick Cunsolo","K1H","105.75","14.4","71.43",""
"Mathys Huvelin","K1H","106.05","36.93","73.08",""
"Gurgen Brun","K1H","106.27","26.93","74.3",""
"Romain Guyomard","K1H","106.9","32.65","77.78",""
"Thomas Schmitt","K1H","108.12","33.02","84.54",""
"Jonas Turmeau","K1H","108.25","34.33","85.26",""
"Quentin Mignard","K1H","108.35","34.02","85.8",""
"Martin Dougoud","K1H","108.85","25","88.58",""
"Tanguy Le Marec","K1H","109.08","63.37","89.84",""
"Benoit Chantry","K1H","109.31","34.55","91.11",""
"Emmanuel Walczak","K1H","109.95","27.1","94.65",""
"Goulwen Chapelier","K1H","111.25","24.78","101.84",""
"Charles Edouard Dherment","K1H","111.29","53.26","102.06",""
"Bryan Seiler","K1H","111.85","45.18","105.16",""
"Quentin Bove","K1H","114.37","28.41","119.11",""
"Virgile Pigache-donnet","K1H","116.19","40.38","129.16",""
"Fabien Tournadre","K1H","116.57","47.73","131.27",""
"Jonathan Delagnes","K1H","116.64","37.08","131.65",""
"Louison Turmeau","K1H","117.35","39.92","135.59",""
"Louis-maxime Main","K1H","120.76","52.17","154.44",""
"Mathieu Douillet","K1H","123.99","43.42","172.31",""
"Tom Scianimanico","K1H","156.8","22.21","353.78",""
"Sullivan Porcher","K1H","157.38","54.28","356.97",""
"Romain Lecrenais-perrel","K1H","160.13","56.51","372.19",""
"Frederic Walczak","K1H","165.51","18.84","401.93",""
"Andy Pajani","K1H","165.54","38.22","402.12",""
