"Sélectif National 3 Slalom Sud-Est - Fontaine De Vaucluse - Finale - 2017-03-19","Finale","2017-03-19","Nationale 3","128"
"Robin Andre","K1H","103.17","431.58","456.17","Finale A"
"Jeremy Tabourin","K1H","103.49","496.66","460.61","Finale A"
"Guillaume Belet","K1H","105.44","465.94","487.69","Finale A"
"Arnaud Lejeune","K1H","105.8","422","492.68","Finale A"
"Nicolas Demofsqui","K1H","107.47","547.43","515.87","Finale A"
"Alexandre Goujon","K1H","107.64","337.64","518.23","Finale A"
"Clement Couchoud","K1H","108","509.98","523.23","Finale A"
"Alexis Mercoirol","K1H","108.09","450.67","524.48","Finale A"
"Mohamed SaÏd Bekkadour","K1H","109.99","435.23","550.86","Finale A"
"Gabriel Saul","K1H","110.2","514.84","553.77","Finale A"
"Nino Chailan","K1H","110.55","376.35","558.63","Finale A"
"Sebastien Riou","K1H","112.08","432.62","579.87","Finale A"
"Joachim Saussol","K1H","112.86","530.25","590.7","Finale A"
"Arthur Contamine","K1H","113.25","492.85","596.12","Finale A"
"Hugo Avril","K1H","113.63","540.82","601.39","Finale A"
"Quentin Laplace","K1H","115.27","517.72","624.16","Finale A"
"Theo Zembalia","K1H","116.3","492.37","638.46","Finale A"
"Gawaine Chikh","K1H","151.71","315.75","1130.08","Finale A"
"Thomas Thieblemont","K1H","202.64","312.76","1837.17","Finale A"
"Nikolas Stanik","C1H","101.42","341.8","369.82","Finale B"
"Gabin Siau","C1H","105.85","395.58","428.4","Finale B"
"Simon Del Negro","C1H","108.3","586.72","460.8","Finale B"
"Alexandre Georgel","C1H","108.57","378.88","464.36","Finale B"
"Quentin Laplace","C1H","118.35","627.21","593.67","Finale B"
"Jeremy Tabourin","C1H","119.88","703.9","613.9","Finale B"
"Emile Verdier","C1H","127.63","667.37","716.38","Finale B"
"Adeline Roux","K1D","112.33","498.98","408.93","Finale B"
"Ilona Martin -laemle","K1D","114.25","363.91","432.51","Finale B"
"Clara Jannic","K1D","114.77","511.52","438.9","Finale B"
"Lorene Scalbert","K1D","120.34","586.85","507.35","Finale B"
"Sarah Monod","K1D","120.99","646.81","515.33","Finale B"
"Anouk Alberti","K1D","128.03","474.09","601.82","Finale B"
"Maelle Terol","K1D","129.16","-","615.71","Finale B"
"Claire Teillerie","K1D","130.78","682.85","635.62","Finale B"
"Marianne Tuytten","K1D","147.23","732.82","837.72","Finale B"
"Nikolas Stanik","K1H","88.12","303.13","252.22","Finale B"
"Teo Bouvier","K1H","92.6","308.36","314.42","Finale B"
"LoÏc Winiarski","K1H","92.66","279.81","315.25","Finale B"
"Romain Gayral","K1H","94.76","364.08","344.41","Finale B"
"Nayl Tazi-sidqui","K1H","98.52","307.69","396.61","Finale B"
"Hugo Martin -laemle","K1H","100.13","421.55","418.96","Finale B"
"Noe Monier","K1H","101.37","327.53","436.18","Finale B"
"Maxence Jehan","K1H","101.76","415.77","441.59","Finale B"
"Charlie Genovese","K1H","104.94","461.77","485.74","Finale B"
"Edouard Chenal","K1H","107.11","431.81","515.87","Finale B"
"Baptiste Gaillard","K1H","108.19","456.45","530.87","Finale B"
"Gino Benini","K1H","108.25","448.15","531.7","Finale B"
"Louis Scalbert","K1H","108.46","512.68","534.61","Finale B"
"Alexei Evlachev","K1H","108.88","528.72","540.45","Finale B"
"Yves Masson","K1H","109.44","528.41","548.22","Finale B"
"Enzo Briffa","K1H","109.57","490.43","550.02","Finale B"
"Romain Hautecouverture","K1H","110.33","610.2","560.58","Finale B"
"Paul Badache","K1H","111.36","520.43","574.88","Finale B"
"Erwann Buthod","K1H","111.47","450.04","576.4","Finale B"
"Aymeric Rivier","K1H","112.56","519.41","591.54","Finale B"
"Corentin Georgeon","K1H","113.04","527.46","598.2","Finale B"
"Philippe Bigard","K1H","113.86","622.34","609.59","Finale B"
"Allan Stievenard","K1H","113.93","694.1","610.56","Finale B"
"Pierre Courtois","K1H","114.27","517.8","615.28","Finale B"
"Ulysse Brunel","K1H","114.64","677.23","620.41","Finale B"
"Florent Vallier","K1H","114.81","725.25","622.77","Finale B"
"Emile Verdier","K1H","116.67","738.58","648.6","Finale B"
"Charles Culine","K1H","116.95","574.71","652.49","Finale B"
"Claude Flouret","K1H","118.31","664.75","671.37","Finale B"
"Pierre Fillinger","K1H","118.32","678.62","671.51","Finale B"
"Arthur Brune","K1H","119.39","785.97","686.36","Finale B"
"Theo Soulier","K1H","121.65","513.37","717.74","Finale B"
"Bastien Cothenet","K1H","123.53","683.61","743.84","Finale B"
"Erwan Quellec","K1H","124.21","554.01","753.28","Finale B"
"Daniel Chambert","K1H","126.75","688.91","788.54","Finale B"
"Baptiste Saul","K1H","129.74","738.31","830.06","Finale B"
"Jocelyn Locatelli","K1H","135.46","732.44","909.47","Finale B"
"Pierre Escuret","K1H","135.95","881.93","916.27","Finale B"
"Yazid Koraichi","K1H","162.12","453.41","1279.61","Finale B"
"Valentin Capel","K1H","166.21","880.78","1336.39","Finale B"
"Mathieu Buono-michel","K1H","166.84","627.2","1345.14","Finale B"
"Leo Parnotte","K1H","Des","-","-","Finale B"
