"SLALOM REGIONAL ISLE DE LA SERRE - Isle De La Serre - 2006-11-19","Course 1","2006-11-19","Régional","250"
"Jodar Sebastien","K1H","267.46","252","335",""
"Martin Dougoud","K1H","267.69","269","335",""
"Guilhem Courduries","K1H","268.64","287","340",""
"Guillaume Jacobe","K1H","269.12","329","342",""
"Romain Hager","K1H","269.39","314","344",""
"Loic Jeanningros","K1H","270.41","438","349",""
"Antoine Vinay","K1H","270.44","424","349",""
"Lois Desroches","K1H","271.40","242","353",""
"Ballini Yoann","K1H","271.47","290","353",""
"Serge Million","K1H","272.20","-","357",""
"Bessiere Florian","K1H","272.90","368","360",""
"Dekerleau Sebastien","K1H","272.96","345","360",""
"Sylvain Ferry","K1H","274.15","362","366",""
"Labruyere Christophe","K1H","275.39","-","371",""
"Castel Cedric","K1H","278.04","287","384",""
"Remi Baudot","K1H","278.27","348","385",""
"Nivel Cyril","K1H","278.47","-","386",""
"Sylvain Dandel","K1H","278.66","430","387",""
"Pierron David","K1H","278.82","-","387",""
"Antoine Lhermite","K1H","279.36","449","390",""
"Anthony Deschamps","K1H","279.48","439","391",""
"Youcef Bahlat","K1H","279.98","328","393",""
"Victor Doux","K1H","280.41","566","395",""
"Frederic Blanrue","K1H","280.89","400","398",""
"Bornet Timothee","K1H","281.87","-","402",""
"Xavier Rat","K1H","282.18","335","403",""
"Inouk Berguer","K1H","282.49","452","405",""
"Deschamps Cedric","K1H","283.31","-","409",""
"Romain Musy","K1H","284.42","410","414",""
"Dougoud Adrien","K1H","284.67","380","415",""
"Boris Chenal","K1H","286.64","412","424",""
"Viratelle Vincent","K1H","286.68","333","424",""
"Boris Lutinier","K1H","287.66","148","429",""
"Vial-Grelier Aymeric","K1H","288.05","-","431",""
"Malderez Sebastien","K1H","289.16","-","436",""
"Maxime Lambert","K1H","290.56","463","443",""
"Lutinier Ugo","K1H","290.90","415","444",""
"Yann Lardic","K1H","291.40","-","447",""
"Papoz Bastien","K1H","291.63","-","448",""
"Christophe Lacave","K1H","294.06","359","459",""
"Rety Simon","K1H","294.36","391","460",""
"Roman Duprey","K1H","295.14","435","464",""
"Yanis Burdet","K1H","296.45","395","470",""
"Tom Jackson","K1H","296.74","605","471",""
"Gael Wassmer","K1H","297.65","476","476",""
"Baudry Pierre Luc","K1H","297.80","515","476",""
"Marc Janeriat","K1H","298.56","522","480",""
"Romain Chane","K1H","299.02","440","482",""
"Hortolan Benjamin","K1H","304.10","-","506",""
"Dimitri Durannot","K1H","307.16","-","520",""
"Thomas Neime","K1H","309.09","-","529",""
"Pierre Rat","K1H","309.33","424","530",""
"Cyril Gisbert","K1H","309.65","-","532",""
"Thomas Dandel","K1H","309.82","541","532",""
"Thomas Viratelle","K1H","314.15","401","552",""
"Martelet Romain","K1H","316.25","239","563",""
"Baptiste Provost","K1H","317.81","276","569",""
"Dupriez Julien","K1H","319.91","570","580",""
"Leo Capelle","K1H","321.65","577","587",""
"Clement Martin","K1H","323.61","293","597",""
"Felix Balas","K1H","326.58","-","611",""
"Clement Gourmelon","K1H","330.49","-","629",""
"Corentin Metral","K1H","330.67","523","630",""
"Adrien Tappero","K1H","334.77","-","648",""
"Bayle Damien","K1H","345.45","-","698",""
"Neveu Remi","K1H","346.22","-","702",""
"Emmanuel Triomphe","K1H","347.39","334","708",""
"Vallet Florian","K1H","350.89","-","724",""
"Amouriq Yoann","K1H","351.35","-","726",""
"Jules Marragou","K1H","362.66","-","779",""
"Trebosc Mathieu","K1H","363.49","-","782",""
"Ardito Maxime","K1H","367.27","-","800",""
"Alexandre Bordas","K1H","372.72","-","826",""
"Charles Redon","K1H","375.77","748","840",""
"Romey Marcantoine","K1H","376.99","564","845",""
"Oleszek Mathieu","K1H","382.66","857","872",""
"Paul Morland","K1H","383.22","767","875",""
"Kournwsky Alexis","K1H","390.94","-","911",""
"David Robin","K1H","395.33","-","931",""
"Saussure Kevin","K1H","395.36","-","931",""
"Thomas Genet","K1H","399.26","-","949",""
"Pierre Berberat","K1H","404.04","648","972",""
"Kevin Callerin","K1H","417.57","-","1035",""
"Clement Rota","K1H","419.54","-","1044",""
"Romain Magnolo","K1H","430.22","880","1093",""
"Lelong Sylvain","K1H","434.56","-","1114",""
"Adrien Kaiser","K1H","450.59","2239","1189",""
"Daligault Thomas","K1H","457.95","-","1224",""
"Courduries Florent","K1H","464.00","-","1252",""
"Colin Marragou","K1H","474.45","-","1300",""
"Yann Maignant","K1H","483.82","1188","1344",""
"Andre Florent","K1H","499.21","-","1416",""
"Remi Vallin","K1H","504.72","-","1441",""
"Mairy Florian","K1H","516.33","-","1495",""
"Decortiat Arthur","K1H","567.30","-","1734",""
"David Dih","K1H","593.56","-","1856",""
"Till Lois","K1H","756.57","-","2616",""
