"Sélection N2 - Treignac - 2011-05-15","Course 1","2011-05-15","Nationale 2","163"
"Baptiste Tappero-Dimitri Durannot","C2H","Nt","-","-",""
"Hugo Cailhol-Nicolas Scianimanico","C2H","Nt","-","-",""
"Nicolas Marcus-Sylvain Le Roux","C2H","Nt","-","-",""
"Mylene Ferry","K1D","111.76","101.44","80.37",""
"Cecile Tixier","K1D","112.61","134.98","87.45",""
"Berenice Kolenc","K1D","114.84","113.75","106.02",""
"Solene Graille","K1D","115.66","164.43","112.86",""
"Jihane Samlal","K1D","116.43","92.71","119.27",""
"Valerie Sibioude","K1D","117.33","144.08","126.77",""
"Lea Wetzel","K1D","118.28","139.07","134.69",""
"Alice Cailhol","K1D","118.28","164.9","134.69",""
"Marlene Rio","K1D","118.41","130.66","135.77",""
"Marion Laurain","K1D","118.67","197.86","137.93",""
"Manon Prioux","K1D","119.61","215.03","145.77",""
"Camille Andrieux","K1D","120.07","187.18","149.6",""
"Flora Huvelin","K1D","120.15","178.2","150.26",""
"Marie Cassar","K1D","121.85","193.7","164.42",""
"Tiphanie Borlet","K1D","122.06","215.81","166.17",""
"Raphaelle Hovine","K1D","122.08","169.5","166.33",""
"Violaine Truche","K1D","125.25","171.14","192.75",""
"Melanie Bordier","K1D","125.36","230.51","193.66",""
"Juliette Legendre","K1D","126.05","190.48","199.41",""
"Lucie Saucet","K1D","128.78","284.01","222.16",""
"Clothilde Le Louarn","K1D","129.92","234.79","231.64",""
"Julie Wassmer","K1D","131.46","188.65","244.47",""
"Fanny Mino-vercellio","K1D","134.31","189.59","268.21",""
"Camille Jounot","K1D","136.02","200.78","282.47",""
"Oceane Vienet","K1D","136.79","232.42","288.88",""
"Clothilde Rocher","K1D","137.66","249.32","296.12",""
"Justine Baudu","K1D","138.71","267.21","304.87",""
"Clara Gache","K1D","141.58","242.44","328.78",""
"Emma Jacob","K1D","142.01","218.43","332.37",""
"Margot Ayats","K1D","146.44","253.16","369.27",""
"Candice Lauretta","K1D","146.96","207.68","373.6",""
"Camille Dugue","K1D","167.02","277.52","540.7",""
"Chloe Gatuingt","K1D","168.67","275.11","554.44",""
"Louise Seban","K1D","198.48","233.45","802.77",""
"Claire Gaigeot","K1D","210.5","235.49","902.9",""
"Laetitia Thueux","K1D","Nt","-","-",""
"Kevin Schultz","K1H","95.35","65.82","46.93",""
"Nathanael Renia","K1H","96.27","59.76","55.59",""
"Tom Scianimanico","K1H","96.61","73.03","58.79",""
"Benoit Chantry","K1H","97.4","85.81","66.22",""
"Remi Baudot","K1H","97.7","73.14","69.05",""
"Benoit Letellier","K1H","97.84","83.09","70.37",""
"Mathieu Desnos","K1H","97.91","85.96","71.03",""
"Xavier Jourdain","K1H","98.04","73.32","72.25",""
"Boris Chenal","K1H","98.57","70.78","77.24",""
"William Desnos","K1H","98.59","69.7","77.43",""
"Antoine Roux","K1H","99.3","115.69","84.11",""
"Franck Delachair","K1H","99.53","110.59","86.27",""
"Davy Egraz","K1H","99.68","70.22","87.69",""
"Ewen Legrand","K1H","99.7","75.68","87.87",""
"Charles Edouard Dherment","K1H","100.18","91.19","92.39",""
"Nicolas Baudoin","K1H","100.75","138.06","97.76",""
"Gurgen Brun","K1H","100.78","127.9","98.04",""
"Sylvain Dandel","K1H","100.99","92.71","100.02",""
"Colin Beziade","K1H","101.12","108.43","101.24",""
"Remy Cassar","K1H","101.3","140.07","102.94",""
"Gael Prodeau","K1H","101.71","88.1","106.8",""
"Quentin Mignard","K1H","101.86","165.9","108.21",""
"Olivier Cain","K1H","101.9","142.23","108.58",""
"Jonathan Chapatte","K1H","102.18","82.36","111.22",""
"Alexis Caspar","K1H","102.23","79.26","111.69",""
"Vincent Lemonnier","K1H","102.8","111.67","117.06",""
"Tristan Bronsard","K1H","102.89","96.53","117.9",""
"Caryck Bouladjat","K1H","102.94","140.75","118.37",""
"Thomas Dandel","K1H","102.97","101.64","118.66",""
"Anthony Thuillier","K1H","103.25","114.81","121.29",""
"Riwal Le Berre","K1H","103.42","99.95","122.89",""
"Thomas Schmitt","K1H","103.44","108.63","123.08",""
"Jonas Le Morvan","K1H","103.6","136.71","124.59",""
"Enzo Seker","K1H","103.7","149.51","125.53",""
"Philippe Daumont","K1H","103.8","154.71","126.47",""
"Didier Niel","K1H","103.88","148.67","127.22",""
"Matthieu Chauvel","K1H","104.2","156.91","130.23",""
"Gregory Lebourgeois","K1H","104.38","142.99","131.93",""
"Nizar Samlal","K1H","104.57","140.98","133.72",""
"Francois Bonnet","K1H","105.25","152.11","140.12",""
"Joris Rocher","K1H","105.86","122.22","145.86",""
"Nicolas Caussanel","K1H","105.97","139.28","146.9",""
"Emeric Vibert","K1H","106.04","149.64","147.55",""
"Christophe Le Mercier","K1H","106.06","149.27","147.74",""
"Matthieu Basset","K1H","106.25","130.25","149.53",""
"Florian Ordonneau","K1H","106.69","128.25","153.67",""
"Luc Hellard","K1H","106.74","195.67","154.14",""
"Benoit Jouan","K1H","106.88","98","155.46",""
"Olivier Nonnet","K1H","106.95","176.47","156.12",""
"Marc Brossard","K1H","107.23","185.97","158.76",""
"Jeremy Vibert","K1H","107.33","124.51","159.7",""
"Gary Allemann","K1H","107.37","145.64","160.07",""
"Dimitri Durannot","K1H","107.62","185.61","162.43",""
"Arthur Bernot","K1H","108.01","116.45","166.1",""
"Pierre-adrien Vignal","K1H","108.07","187.14","166.66",""
"Thibault Gache","K1H","108.08","157.46","166.76",""
"Nicolas Detheve","K1H","108.08","192.52","166.76",""
"Gael Wassmer","K1H","108.2","155.77","167.89",""
"Mehdi Rouich","K1H","108.76","137.27","173.16",""
"Vincent Ablin","K1H","108.89","163.46","174.38",""
"Romain Richard","K1H","108.97","181.32","175.14",""
"Cyril Gisbert","K1H","109.24","162.64","177.68",""
"Jean Baptiste Thiel","K1H","109.35","172.34","178.71",""
"Bertrand Avril","K1H","109.81","146.71","183.04",""
"Jean Yves Prigent","K1H","109.92","173.43","184.08",""
"Tristan Lejot","K1H","110.22","146.81","186.9",""
"Regis Cabel","K1H","110.41","151.82","188.69",""
"Herve Clerc","K1H","110.8","198.95","192.36",""
"Denis Guilmard","K1H","111.06","182.29","194.81",""
"Aurelien Ballandras","K1H","111.3","159.07","197.07",""
"Pierre Portais","K1H","112.99","171.56","212.98",""
"Armand Rakowski","K1H","114.06","197.4","223.05",""
"Maxime Faivre","K1H","114.36","138.87","225.87",""
"Valentin Vibert","K1H","114.8","175.08","230.02",""
"Olivier Hardonniere","K1H","115.03","182.47","232.18",""
"Romain Bertrand","K1H","125.11","195.49","327.07",""
"Virgile Pigache-donnet","K1H","145.65","74.95","520.41",""
"Riwal Chardon","K1H","159.94","169.74","654.93",""
"Thibaud Lacour","K1H","Nt","-","-",""
"Willy Hugedet","K1H","Nt","-","-",""
"Pascal Ferry","K1H","Nt","-","-",""
"Julien Coudert","K1H","Nt","-","-",""
"Bertrand Bercon","K1H","Nt","-","-",""
"Emmanuel Sarazin","K1H","Nt","-","-",""
"Edouard Grosjean","K1H","Nt","-","-",""
"Alexis Lozachmeur","K1H","Nt","-","-",""
"Michel Gombert","K1H","Nt","-","-",""
"Philippe Esnault","K1H","Nt","-","-",""
"Julien Daumont","K1H","Nt","-","-",""
