"48Ëme Grand Prix de Pau Slalom - 64320 Bizanos - Course n∞2 | Finale - 2018-10-28","Course n∞2 | Finale","2018-10-28","RÈgional","317"
"Esteban Illido","K1H","99.99","276.05","328.53","Course n∞2 | Finale A"
"Romain Bruneau","K1H","100.06","231.12","329.44","Course n∞2 | Finale A"
"Lucas Augu","K1H","100.6","189.15","336.48","Course n∞2 | Finale A"
"Leo Fournier","K1H","100.62","180.75","336.74","Course n∞2 | Finale A"
"Nicolas Caussanel","K1H","100.84","204.16","339.61","Course n∞2 | Finale A"
"Gedeon Cothias-faure","K1H","100.89","276.68","340.26","Course n∞2 | Finale A"
"Nour Ait Kaddour","K1H","101.19","263","344.18","Course n∞2 | Finale A"
"Samuel Taillefer","K1H","101.9","297.08","353.43","Course n∞2 | Finale A"
"Hugo Mouffle","K1H","102.23","265.58","357.73","Course n∞2 | Finale A"
"Joris Hello","K1H","102.89","217.42","366.34","Course n∞2 | Finale A"
"Felix Praderie","K1H","105.14","254.46","395.67","Course n∞2 | Finale A"
"Victor Lagleyze","K1H","105.55","354.79","401.02","Course n∞2 | Finale A"
"Julien Doumecq","K1H","108.13","410.85","434.65","Course n∞2 | Finale A"
"Theo Ducasse","K1H","108.97","265.21","445.6","Course n∞2 | Finale A"
"Hugo Crespo","K1H","129.63","297.26","714.95","Course n∞2 | Finale A"
"Boris Neveu","K1H","130.91","10.21","731.63","Course n∞2 | Finale A"
"Isaac Dufrene","K1H","134.82","79.1","782.61","Course n∞2 | Finale A"
"Theo Desvignes","K1H","136.99","83.49","810.9","Course n∞2 | Finale A"
"Titouan Dupras","K1H","137.01","72.67","811.16","Course n∞2 | Finale A"
"Gael Adisson","K1H","139.4","158.49","842.32","Course n∞2 | Finale A"
"Valentin Courtiade","K1H","141.02","192.84","863.44","Course n∞2 | Finale A"
"Thibault Marchand","K1H","141.61","113.6","871.13","Course n∞2 | Finale A"
"Malo Legrand","K1H","143.87","197.99","900.59","Course n∞2 | Finale A"
"Thomas Ukalovic","K1H","145.95","251.63","927.71","Course n∞2 | Finale A"
"Virgile Pigache-donnet","K1H","146.86","243.54","939.57","Course n∞2 | Finale A"
"Tanguy Malingre","K1H","147.74","275.89","951.05","Course n∞2 | Finale A"
"Daneric Ollivier","K1H","148.01","333.01","954.57","Course n∞2 | Finale A"
"Gurvan Huet","K1H","154.5","309.38","1039.18","Course n∞2 | Finale A"
"Etienne Saint Picq","K1H","156.35","336.05","1063.29","Course n∞2 | Finale A"
"Simon Hene","K1H","184.07","45.73","1424.68","Course n∞2 | Finale A"
"Charlie Barbier","K1H","Abs","-","-","Course n∞2 | Finale A"
"Emilien Courtiade","K1HM","97.88","287.38","301.02","Course n∞2 | Finale A"
"Lukas Estanguet-santamaria","K1HM","99.1","350","316.93","Course n∞2 | Finale A"
"Maxence Davy","K1HM","100.51","485.3","335.31","Course n∞2 | Finale A"
"Antton Erdois","K1HM","100.79","414.7","338.96","Course n∞2 | Finale A"
"Theo Reby","K1HM","102.79","286.72","365.03","Course n∞2 | Finale A"
"Oskar Hillion","K1HM","109.14","417.22","447.82","Course n∞2 | Finale A"
"Tom Marchand","K1HM","110.91","443.18","470.9","Course n∞2 | Finale A"
"Edgar Paleaubrasseur","K1HM","111.66","389.12","480.67","Course n∞2 | Finale A"
"Nicolas Bidault","K1HM","112.05","412.73","485.76","Course n∞2 | Finale A"
"Guillaume Pradalie","K1HM","113.45","510.45","504.01","Course n∞2 | Finale A"
"Yon Dandonneau","K1HM","113.89","318.61","509.75","Course n∞2 | Finale A"
"K…ziah Lecomte","K1HM","119.85","619.02","587.45","Course n∞2 | Finale A"
"Titouan Castryck","K1HM","150.94","250","992.76","Course n∞2 | Finale A"
"Florian Malaval","K1HM","175.35","490.35","1311","Course n∞2 | Finale A"
"Charline Berger Martin","C1D","117.08","264.44","301.94","Course n∞2 | Finale B"
"Romane Prigent","C1D","122.74","668.94","363.43","Course n∞2 | Finale B"
"Camille Castryck","C1D","144.25","341.46","597.11","Course n∞2 | Finale B"
"Elorri Erdois","C1D","176.22","432.95","944.44","Course n∞2 | Finale B"
"Elena Hugues","C1D","184.21","261.43","1031.24","Course n∞2 | Finale B"
"Laurine Salesse","C1D","196.76","316.09","1167.6","Course n∞2 | Finale B"
"Solene Lafitte","C1D","229.41","396.63","1522.31","Course n∞2 | Finale B"
"Viviana Daille","C1D","Abs","-","-","Course n∞2 | Finale B"
"Luc Sarramea","C1H","90.05","103.17","148.04","Course n∞2 | Finale B"
"Timothee Cornu","C1H","98.54","210.08","253.45","Course n∞2 | Finale B"
"Gaetan Hamelin","C1H","99.13","327.55","260.78","Course n∞2 | Finale B"
"Gwenole Noyalet","C1H","99.62","367.26","266.86","Course n∞2 | Finale B"
"Theo Viens","C1H","102.03","301","296.79","Course n∞2 | Finale B"
"Samuel Vallienne","C1H","102.8","303.29","306.35","Course n∞2 | Finale B"
"Tomy Dandonneau","C1H","103.21","240.93","311.44","Course n∞2 | Finale B"
"Tanguy Adisson","C1H","103.23","326.07","311.69","Course n∞2 | Finale B"
"Dominik Gosset","C1H","105.3","322.58","337.39","Course n∞2 | Finale B"
"Theau Le Loch","C1H","106.03","377.53","346.45","Course n∞2 | Finale B"
"Ancelin Gourjault","C1H","108.15","396","372.77","Course n∞2 | Finale B"
"Guillaume Caron","C1H","108.41","347.92","376.01","Course n∞2 | Finale B"
"Isaac Dufrene","C1H","111.7","413.02","416.85","Course n∞2 | Finale B"
"Joris Santoro","C1H","112.49","366.81","426.65","Course n∞2 | Finale B"
"Adrien Roux","C1H","115.93","340.26","469.38","Course n∞2 | Finale B"
"Thomas Ollivo","C1H","126.13","434.08","596.02","Course n∞2 | Finale B"
"Dylan Renneteau","C1H","126.18","503.13","596.63","Course n∞2 | Finale B"
"Leo Dujourd'hui","C1H","130.66","308.05","652.26","Course n∞2 | Finale B"
"Marin Salmon","C1H","156.46","445.9","972.6","Course n∞2 | Finale B"
"Paul Cascarino","C1H","165.61","276.57","1086.21","Course n∞2 | Finale B"
"Julien Coric","C1H","170.87","1121.02","1151.51","Course n∞2 | Finale B"
"Loris Shayam Affre","C1H","171.99","452.38","1165.42","Course n∞2 | Finale B"
"Nicolas Sauteur","C1H","177.13","511.1","1229.24","Course n∞2 | Finale B"
"Alex Baldoni","C1H","179.68","358.64","1260.9","Course n∞2 | Finale B"
"Mathis Poree","C1H","238.75","584.2","1994.32","Course n∞2 | Finale B"
"Mewen Debliquy","C1H","327.6","296.64","3097.5","Course n∞2 | Finale B"
"Leo Vuitton","C1H","Abs","-","-","Course n∞2 | Finale B"
"Clemence Lartigue","K1D","103.7","207.28","226.37","Course n∞2 | Finale B"
"Carla Lacroix","K1D","109.8","280.9","296.74","Course n∞2 | Finale B"
"Tifenn Primet","K1D","116.04","307.69","368.73","Course n∞2 | Finale B"
"Violaine Truche","K1D","119.07","307.31","403.7","Course n∞2 | Finale B"
"Elorri Erdois","K1D","119.19","324.85","405.08","Course n∞2 | Finale B"
"Amelie Leclercq","K1D","126.51","441.61","489.53","Course n∞2 | Finale B"
"Eva Marchand","K1D","135.88","398.93","597.63","Course n∞2 | Finale B"
"Natacha Delassus","K1D","152.68","94.36","791.45","Course n∞2 | Finale B"
"Romane Bronchet","K1D","159.7","358.98","872.44","Course n∞2 | Finale B"
"Youlia Estanguet","K1D","171.04","337.41","1003.28","Course n∞2 | Finale B"
"Lise Denat","K1D","174.66","345.71","1045.04","Course n∞2 | Finale B"
"Laurie Beaurepere","K1D","182.4","496.56","1134.34","Course n∞2 | Finale B"
"Coline Bertin","K1D","226.54","315.9","1643.59","Course n∞2 | Finale B"
"Marie Charbonneau","K1D","396.96","744.65","3609.75","Course n∞2 | Finale B"
"Blandine Xhemajlji","K1D","446.84","692.98","4185.22","Course n∞2 | Finale B"
"Pauline Rouilhet","K1D","Des","-","-","Course n∞2 | Finale B"
"Laura Pellicer","K1D","Abs","-","-","Course n∞2 | Finale B"
"Zoe Malval","K1DM","217.73","527.08","1541.94","Course n∞2 | Finale B"
"Noeline Pierre","K1DM","436.43","1418.53","4065.11","Course n∞2 | Finale B"
"Vincent Delahaye","K1H","85.87","54.83","149.45","Course n∞2 | Finale B"
"Mathis Soudi","K1H","86.7","89.31","160.27","Course n∞2 | Finale B"
"Zeph Scamps","K1H","89.9","166.01","201.99","Course n∞2 | Finale B"
"Florent Iraundegui","K1H","91.34","263.89","220.76","Course n∞2 | Finale B"
"Tino Forgues","K1H","94.58","254.58","263","Course n∞2 | Finale B"
"GaÀtan De Greef","K1H","95.31","263.6","272.52","Course n∞2 | Finale B"
"Antoine Laye","K1H","96.51","255.24","288.16","Course n∞2 | Finale B"
"Leo Collard","K1H","96.62","276.28","289.6","Course n∞2 | Finale B"
"Olivier Cail","K1H","96.86","172.48","292.73","Course n∞2 | Finale B"
"Yannis Houze","K1H","97","346.47","294.55","Course n∞2 | Finale B"
"Elliot Perez","K1H","97.22","250.85","297.42","Course n∞2 | Finale B"
"Timothee Le Mort","K1H","97.56","258.31","301.85","Course n∞2 | Finale B"
"Max Derame","K1H","98.72","304.96","316.97","Course n∞2 | Finale B"
"Ancelin Gourjault","K1H","99.06","593.38","321.41","Course n∞2 | Finale B"
"Mewen Debliquy","K1H","99.15","317.52","322.58","Course n∞2 | Finale B"
"Come Le Gal","K1H","101.17","313.77","348.92","Course n∞2 | Finale B"
"Angus Cruickshank","K1H","101.34","328.27","351.13","Course n∞2 | Finale B"
"Maxime Texier","K1H","101.37","459.68","351.52","Course n∞2 | Finale B"
"Arnaud Verrons","K1H","101.39","165.84","351.78","Course n∞2 | Finale B"
"Yannis Dast","K1H","102.22","351.86","362.6","Course n∞2 | Finale B"
"Loris Shayam Affre","K1H","103.05","333.21","373.42","Course n∞2 | Finale B"
"Leo Grollier","K1H","105.11","405.96","400.28","Course n∞2 | Finale B"
"Fantin Delage-garez","K1H","105.56","335.23","406.15","Course n∞2 | Finale B"
"Cedric Gerbet","K1H","105.69","395.86","407.84","Course n∞2 | Finale B"
"Hugo Robert","K1H","106.21","462.13","414.62","Course n∞2 | Finale B"
"Baptiste Delemotte","K1H","106.5","280.3","418.4","Course n∞2 | Finale B"
"Thomas Terr…","K1H","106.86","397.95","423.1","Course n∞2 | Finale B"
"Marc Sarramea","K1H","106.99","225.47","424.79","Course n∞2 | Finale B"
"Gaston Guilmard","K1H","107.79","347.27","435.22","Course n∞2 | Finale B"
"Benoit Dandonneau","K1H","107.87","431.41","436.26","Course n∞2 | Finale B"
"Fabien Paleau","K1H","109.01","315.56","451.12","Course n∞2 | Finale B"
"Jerome Talbot","K1H","109.47","411.16","457.12","Course n∞2 | Finale B"
"Baptiste Loy","K1H","110.52","381.07","470.81","Course n∞2 | Finale B"
"Jonathan Suc","K1H","111.22","397.55","479.94","Course n∞2 | Finale B"
"Denis Guilmard","K1H","111.45","323.43","482.94","Course n∞2 | Finale B"
"Lucas Soudi","K1H","112.72","417.04","499.49","Course n∞2 | Finale B"
"Sebastien Larenaudie","K1H","113.81","542.46","513.7","Course n∞2 | Finale B"
"Antoine Sapin","K1H","115.63","558.05","537.43","Course n∞2 | Finale B"
"Victor Robert","K1H","117.74","598.29","564.94","Course n∞2 | Finale B"
"Marc Cordier","K1H","118.04","304.28","568.85","Course n∞2 | Finale B"
"Tonin Desmet","K1H","118.09","483.75","569.5","Course n∞2 | Finale B"
"Quilian Koch","K1H","120.87","859.04","605.74","Course n∞2 | Finale B"
"Remi Dolcin Tillant","K1H","121.96","494.23","619.95","Course n∞2 | Finale B"
"Nicolas Saurat","K1H","123.74","312.97","643.16","Course n∞2 | Finale B"
"Tristan Ruiz","K1H","125.45","463.43","665.45","Course n∞2 | Finale B"
"Yoan Dalla Longa","K1H","125.96","641.1","672.1","Course n∞2 | Finale B"
"Alexandre L'huillier","K1H","127.61","512.75","693.61","Course n∞2 | Finale B"
"Abel Boidron","K1H","128.03","481.35","699.09","Course n∞2 | Finale B"
"Julien Delaleux","K1H","129.98","735.83","724.51","Course n∞2 | Finale B"
"Lohan Wyon","K1H","130.58","500.93","732.33","Course n∞2 | Finale B"
"Juan Riu","K1H","131.5","631.31","744.33","Course n∞2 | Finale B"
"Cesar Le Berder","K1H","137.45","526.92","821.9","Course n∞2 | Finale B"
"Eric Vidou","K1H","140.93","464.59","867.26","Course n∞2 | Finale B"
"Bertrand Gourrat","K1H","144.33","287.19","911.59","Course n∞2 | Finale B"
"Antonin Robert","K1H","144.76","264.15","917.2","Course n∞2 | Finale B"
"Nicolas Rouleaud","K1H","146.96","216.87","945.88","Course n∞2 | Finale B"
"Pablo Chaminade","K1H","153.2","310.11","1027.23","Course n∞2 | Finale B"
"Vincent Garcia","K1H","155.32","243.1","1054.87","Course n∞2 | Finale B"
"Alex Baldoni","K1H","159.65","351.24","1111.32","Course n∞2 | Finale B"
"Arthur Huet","K1H","162.16","324.13","1144.04","Course n∞2 | Finale B"
"Tom Delens","K1H","164.37","389.41","1172.85","Course n∞2 | Finale B"
"Matheo Coquel","K1H","166.4","423.37","1199.32","Course n∞2 | Finale B"
"Theau Le Loch","K1H","167.54","332.79","1214.18","Course n∞2 | Finale B"
"Matt Vidou","K1H","173.35","375.2","1289.92","Course n∞2 | Finale B"
"Antoine Bouby","K1H","174.06","470.81","1299.18","Course n∞2 | Finale B"
"Jules Roos","K1H","178.7","458.16","1359.67","Course n∞2 | Finale B"
"Sylvain Lauth","K1H","200.16","856.62","1639.44","Course n∞2 | Finale B"
"Axel Brin","K1H","207.86","670.81","1739.83","Course n∞2 | Finale B"
"Julien Dubarry","K1H","210.84","456.15","1778.68","Course n∞2 | Finale B"
"Marc Lalande","K1H","218.08","802.98","1873.07","Course n∞2 | Finale B"
"Flavien Portier","K1H","222.4","481.46","1929.39","Course n∞2 | Finale B"
"Komlangan Gassou","K1H","233.17","1106.47","2069.79","Course n∞2 | Finale B"
"Thilbault Rucher","K1H","236.41","561.97","2112.03","Course n∞2 | Finale B"
"Tom Morillon","K1H","237.63","2922.57","2127.94","Course n∞2 | Finale B"
"Baptiste San Nicolas","K1H","278.5","458.36","2660.76","Course n∞2 | Finale B"
"Lucas Dongarra","K1H","283.57","449.97","2726.86","Course n∞2 | Finale B"
"Mateo Destruel","K1H","315.93","733.31","3148.73","Course n∞2 | Finale B"
"Noa Lorand","K1H","324.9","562","3265.67","Course n∞2 | Finale B"
"Theo Douady","K1H","359.49","322.15","3716.62","Course n∞2 | Finale B"
"Adrien Ricaud","K1H","Des","-","-","Course n∞2 | Finale B"
"Pierrealain Clerc","K1H","Abs","-","-","Course n∞2 | Finale B"
"Theo Dunie","K1H","Abs","-","-","Course n∞2 | Finale B"
"Tom Segaud","K1H","Des","-","-","Course n∞2 | Finale B"
"Aurelien Blois","K1H","Des","-","-","Course n∞2 | Finale B"
"Hugo Monasse","K1HM","95.97","252.4","281.12","Course n∞2 | Finale B"
"Emeric Nieser","K1HM","113.32","507.88","507.31","Course n∞2 | Finale B"
"Romain Margerie","K1HM","129","459.89","711.73","Course n∞2 | Finale B"
"Miguel Irungaraylarronde","K1HM","136.7","592.59","812.12","Course n∞2 | Finale B"
"Arsene Labarthe","K1HM","144.55","687.68","914.46","Course n∞2 | Finale B"
"Timeo Canonico","K1HM","153.07","483.2","1025.53","Course n∞2 | Finale B"
"Clement Brotier","K1HM","169.16","578.37","1235.3","Course n∞2 | Finale B"
"Ewann Hervouet","K1HM","176.41","659.76","1329.82","Course n∞2 | Finale B"
"Cl…ment Louveau","K1HM","268.98","514.42","2536.65","Course n∞2 | Finale B"
"Matheo Nassieu","K1HM","345.93","561.69","3539.84","Course n∞2 | Finale B"
"Zakaria Radouani","K1HM","561.18","1011.29","6346.05","Course n∞2 | Finale B"
"Esteban Bidegain","K1HM","Abs","-","-","Course n∞2 | Finale B"
"Baptiste Vinet","K1HM","Des","-","-","Course n∞2 | Finale B"
