"Sélectif Régional - Gazeau Evrunes - Finale - 2014-01-12","Finale","2014-01-12","Régional","110"
"Vincent Rival","K1H","183.06","-","1050.56","Finale B"
"Christophe Dieumegard","K1H","184.69","487.81","1068.73","Finale B"
"Gerard Lemonnier","K1H","190.78","606.89","1136.6","Finale B"
"Francois Durand","K1H","201.2","856.1","1252.73","Finale B"
"Louison Diogo","K1H","201.88","-","1260.31","Finale B"
"Pierre Huan","K1H","205.09","-","1296.09","Finale B"
"Tony Leray","K1H","207.45","-","1322.39","Finale B"
"Valentin Bigeard","K1H","215.3","1336.21","1409.88","Finale B"
"Bruno Logeais","K1H","232.64","2083.99","1603.14","Finale B"
"Ali Kismi","K1H","280.52","1355.5","2136.77","Finale B"
"Franck Fougere","K1H","339.28","-","2791.66","Finale B"
"Alex Louveau","K1HM","146.56","-","-","Finale B"
"Kevin Mousserion","K1HM","253.38","-","-","Finale B"
"Simon Diogo","K1HM","270.81","-","-","Finale B"
