"Sélectif Régional de slalom - Régional Slalom Angoulême - Qualification - 2015-11-22","Qualification","2015-11-22","Régional","253"
"Christian Boob-Frederic Boob","C2H","115.93","247.36","268.7",""
"Jerome Blanchet-Quentin Chauvin","C2H","119.89","369.25","311.5",""
"Nicolas Labat-Damien Launay","C2H","121.84","-","332.58",""
"Damien Mareau-Pierre Troubady","C2H","122.7","-","341.86",""
"Anthony Roux-Mathieu Minie","C2H","127.98","475.01","398.93",""
"Adrien Picco-Etienne Chauvin","C2H","131.38","-","435.67",""
"Dylan Sourbe-Zeph Scamps","C2H","131.81","-","440.32",""
"Maxence Merpillat-Raphael Lassechere","C2H","133.35","395.01","456.97",""
"Clement Jouannaud-Mattias Poirat","C2H","140","-","528.84",""
"Mathias Pannetier-NaËl Rajoub","C2H","151.14","-","649.23",""
"Pierre Dehaudt-Antoine Bouby","C2H","153.22","-","671.71",""
"Jerome Muller-Franck Le Coz","C2H","206.13","-","1243.54",""
"Adrien Roux-Benjamin Georges","C2H","Abd","-","-",""
"Thomas Bisetto-Valentin Pujos","C2H","Abd","-","-",""
"Thibault Alcaras-Ulysse Giel","C2HM","161.07","-","756.55",""
"Julien Brice-Jacob Chaygneaud Dupuy","C2HM","223.49","-","1431.16",""
"Stewen Sourbe-Remi Deborde","C2HM","Abs","-","-",""
"Henri Chenu-Sam Traquet","C2HM","Abs","-","-",""
"Nicolas Labat-Justine Lorin","C2M","129.8","320.43","301.71",""
"Cedric Forgit-Marie Charbonneau","C2M","132.23","556.17","325.78",""
"Armelle Canali-Thibault Dufour","C2M","141.11","-","413.75",""
"Sophie Delage-Christian Boob","C2M","148.84","513.58","490.32",""
"Violaine Vennin","K1D","110.57","171.03","179.05",""
"Marie Gaspard","K1D","118.64","232.13","263.95",""
"Cindy Coat","K1D","119.11","254.69","268.89",""
"Chloe Crachet","K1D","121.38","304.9","292.78",""
"Armelle Canali","K1D","126.15","345.94","342.96",""
"Alexia Bechu","K1D","126.93","331.31","351.16",""
"Justine Lorin","K1D","126.98","366.61","351.7",""
"Marie Charbonneau","K1D","130.25","440.36","386.09",""
"Noemie Poitou","K1D","133.46","501.66","419.86",""
"Morgane Alain","K1D","134.66","-","432.49",""
"Soline Delage","K1D","137.43","-","461.63",""
"Emma Pardoux","K1D","146.59","1452.47","558",""
"Manon Zago","K1D","150.08","515.85","594.71",""
"Margaux Longeau","K1D","151.31","600.51","607.66",""
"Clemence Zago","K1D","159.41","691.22","692.88",""
"Angelique Chasseriault","K1D","168.67","827.25","790.29",""
"Sarah Lescaut","K1D","546.73","-","4767.69",""
"Alice Lachaudru","K1D","Abs","-","-",""
"Emilie Chamouleau","K1D","Abs","-","-",""
"Charline Berger Martin","K1DM","120.18","-","280.15",""
"Elisa Roy","K1DM","128.45","-","367.16",""
"Perrine Joubert","K1DM","132.69","-","-",""
"Blandine Larbouillat","K1DM","135.17","-","-",""
"Elise Doreau","K1DM","152.26","-","-",""
"Marianne Van Maanen","K1DM","163.57","-","736.64",""
"Georgina Fereday","K1DM","167","-","772.73",""
"Antoine Launay","K1H","95","46.39","145.17",""
"Nicolas Labat","K1H","96.08","189.37","158.01",""
"Boris Chenal","K1H","96.44","68.19","162.29",""
"Pierre Giudicelli","K1H","96.64","116.09","164.67",""
"Gurgen Brun","K1H","97","107.51","168.95",""
"Nicolas Baudoin","K1H","97.59","92.62","175.96",""
"Theo Desvignes","K1H","100","212.39","204.62",""
"James Duvernoy","K1H","101.68","97.58","224.59",""
"Ludovic Di Nisi","K1H","101.83","37.98","226.37",""
"Yanis Rainaud","K1H","103.15","259.54","242.06",""
"Christophe Marechal","K1H","103.2","84.07","242.66",""
"Olivier Cain","K1H","103.33","201.43","244.2",""
"Julien Pajaud","K1H","103.58","280.97","247.17",""
"Nathan Hossin","K1H","103.69","424.07","248.48",""
"Maxime Foucault","K1H","104.57","253.94","258.94",""
"Antoine Roux","K1H","104.93","140.26","263.22",""
"Adrien Verite","K1H","105.19","217.88","266.31",""
"Axel Meheust","K1H","105.55","247.22","270.59",""
"Adrien Picco","K1H","105.82","185.13","273.8",""
"Quentin Chauvin","K1H","105.88","199.96","274.52",""
"Pierre Campagne","K1H","106.27","286.51","279.15",""
"Isaac Dufrene","K1H","106.35","207.02","280.11",""
"Arthur Huet","K1H","106.71","253.43","284.38",""
"Thibault Dufour","K1H","106.74","208.17","284.74",""
"Raphael Lassechere","K1H","106.94","243.01","287.12",""
"Maxime Texier","K1H","107.2","186.66","290.21",""
"Philippe Niquet","K1H","107.4","255.25","292.59",""
"Zeph Scamps","K1H","107.73","348.05","296.51",""
"Alexandre Di Nisi","K1H","108.47","-","305.31",""
"Come Hebert","K1H","108.87","269.89","310.06",""
"Arthur Traquet","K1H","108.99","319.78","311.49",""
"Mathieu Cheze","K1H","109.03","284.62","311.97",""
"Valentin Cesbron","K1H","109.08","307.54","312.56",""
"Gaetan Coat","K1H","109.38","313.15","316.13",""
"Damien Mareau","K1H","109.54","-","318.03",""
"Alexis Dorey","K1H","109.93","270.35","322.66",""
"Florentin Saumon","K1H","110.19","338.66","325.76",""
"Antonin Barraud","K1H","110.49","300.14","329.32",""
"Kevin Sponem","K1H","110.63","364.03","330.99",""
"Antoine Laye","K1H","110.66","315.72","331.34",""
"Dylan Sourbe","K1H","110.68","288.9","331.58",""
"Valentin Alliot","K1H","111.44","212.7","340.62",""
"Louis Bouchiat","K1H","111.63","327.55","342.87",""
"Antoine Grillier","K1H","111.67","290.27","343.35",""
"Mathieu Minie","K1H","112.2","283.96","349.65",""
"Jeremi Toso","K1H","112.4","339.95","352.03",""
"Marc Brossard","K1H","112.63","294.51","354.76",""
"Antoine Giudicelli","K1H","113.78","-","368.43",""
"Pierre Dehaudt","K1H","114.32","331.33","374.85",""
"Etienne Chauvin","K1H","114.51","296.6","377.11",""
"Carl Rainaud","K1H","115.64","-","390.55",""
"Maxence Merpillat","K1H","116.01","300.64","394.95",""
"Frederic Debons","K1H","116.27","480.02","398.04",""
"Cedric Forgit","K1H","116.44","385.82","400.06",""
"Maxime Goursaud","K1H","116.78","406.23","404.1",""
"Camille Balsac","K1H","117.16","-","408.62",""
"Yanis Koubaiti","K1H","117.93","481.39","417.77",""
"Thomas Dieusaert","K1H","118.18","-","420.74",""
"Yann Maillocheau","K1H","118.41","561.47","423.48",""
"Axel Delage","K1H","118.86","393.98","428.83",""
"Thibault Beneteau","K1H","119.15","647.92","432.27",""
"Antoine Bouby","K1H","119.15","430.83","432.27",""
"Batiste Dubois","K1H","120.03","-","442.74",""
"Sylvain Decombe","K1H","120.16","488.28","444.28",""
"Timothee Megard","K1H","120.54","691.33","448.8",""
"Pierre Gaydier","K1H","121.99","472.36","466.04",""
"Mattias Poirat","K1H","122.26","483.33","469.25",""
"NaËl Rajoub","K1H","122.26","470.19","469.25",""
"Wilfried Truffy","K1H","124.15","476.08","491.72",""
"Raphael Jean","K1H","124.23","472.57","492.67",""
"Emile Laurent","K1H","124.35","457.83","494.09",""
"Maxime Bouvet","K1H","124.6","536.23","497.06",""
"Jack Nattrass","K1H","124.77","392.41","499.09",""
"Matisse Bourreau","K1H","125.13","555.57","503.37",""
"Guillaume Chasseriault","K1H","125.48","652.53","507.53",""
"Daniel Bregazzi","K1H","126.42","562.29","518.7",""
"Maxime Antoine","K1H","127.74","532.71","534.39",""
"Leam Auffret","K1H","127.95","538.73","536.89",""
"Michel Daupeux","K1H","128.32","539.08","541.29",""
"Tom Baillon","K1H","128.64","630.47","545.09",""
"Franck Le Coz","K1H","128.99","485.19","549.25",""
"Cyril Launay","K1H","129.31","391.72","553.06",""
"Corentin Bechu","K1H","129.35","528.09","553.53",""
"Bruno Beneteau","K1H","129.43","-","554.48",""
"Frederic Foubert","K1H","129.57","614.26","556.15",""
"Laurence Scrimgeour","K1H","130.57","543.31","568.04",""
"Antoine Bougette","K1H","130.85","528.19","571.37",""
"Thomas Bisetto","K1H","131","605.6","573.15",""
"Etienne Lewkowiez","K1H","131.48","-","578.86",""
"Remi Princet","K1H","132.67","864.52","593",""
"Ronan Caignard","K1H","132.81","-","594.67",""
"Julien Beneteau","K1H","135.04","-","621.18",""
"Thilbault Rucher","K1H","135.22","584.45","623.32",""
"Valentin Pujos","K1H","135.42","809.72","625.7",""
"Thierry Le Bonniec","K1H","136.28","723.07","635.92",""
"Jonathan Bourdier","K1H","137.45","748.3","649.83",""
"Anthony Penaud","K1H","138.89","2339.06","666.95",""
"Thomas Deguilhem","K1H","140.92","-","691.08",""
"Patrick Mitchell","K1H","141.59","-","699.05",""
"Alexandre Demontleau","K1H","142.56","-","710.58",""
"Jean Luc Pessoni","K1H","143.71","612.1","724.25",""
"Clement Thevenin","K1H","144.68","-","735.78",""
"Maxime Dubois","K1H","145.74","-","748.38",""
"Joseph Di Nisi","K1H","146.69","1052.17","759.68",""
"Fabien Zagni","K1H","147.85","-","773.47",""
"Damien Launay","K1H","150.07","160.81","799.86",""
"Luca Gri","K1H","170.26","964.96","1039.88",""
"Julien Toussaint","K1H","Abs","-","-",""
"Corentin Moriniaux","K1H","Abs","-","-",""
"Kyllian Berrand","K1H","Abs","-","-",""
"Nour Rajoub","K1H","Abs","-","-",""
"Nicolas Caussanel","K1H","Abs","-","-",""
"Cameron Vardill-clark","K1H","Abs","-","-",""
"Matheo Gillaizeau","K1HM","110.84","352.22","333.48",""
"Tanguy Zaninotto","K1HM","113.03","411.61","359.52",""
"Sam Traquet","K1HM","118.58","486.9","425.5",""
"Arnaud Verrons","K1HM","119.17","-","-",""
"Thibault Alcaras","K1HM","121.78","-","463.54",""
"Ulysse Giel","K1HM","122.58","-","473.05",""
"Thimon Didier","K1HM","122.6","-","-",""
"Axel Forgerit","K1HM","123.85","-","488.15",""
"Tom Charles","K1HM","125.19","-","-",""
"Julien Brice","K1HM","126.39","-","518.34",""
"Tom Delens","K1HM","126.92","-","-",""
"Robin Gonthier","K1HM","128.65","-","545.21",""
"Jacob Chaygneaud Dupuy","K1HM","136.98","-","-",""
"Lucas Bruimaud","K1HM","138.89","-","666.95",""
"Lucas Mesquita","K1HM","143.2","-","-",""
"Stewen Sourbe","K1HM","144.63","-","735.19",""
"Anatole Fourcade","K1HM","144.78","-","736.97",""
"Gabriel Dumont","K1HM","193.94","-","1321.39",""
"Thomas Caillaud","K1HM","234.01","-","1797.75",""
"Medhi Gayoux","K1HM","Abs","-","-",""
"Adrien Ricaud","K1HM","Abs","-","-",""
"Henri Chenu","K1HM","Abs","-","-",""
"Clement Capillon","K1HM","Abs","-","-",""
"Remi Deborde","K1HM","Abs","-","-",""
