"Sélectif régional de slalom - Poitiers (Saint Benoît) - 2007-11-25","Course 1","2007-11-25","Régional","165"
"Olivier Nonnet","K1H","264.91","-","628",""
"Yves Nicot","K1H","265.75","-","633",""
"Florian Jannier","K1H","269.50","-","656",""
"Clement Francois-Xavier","K1H","269.78","-","657",""
"Yann Auffret","K1H","270.52","-","662",""
"Lonny Berthouin","K1H","276.05","-","696",""
"Lefebvre Jerome","K1H","276.51","-","699",""
"Niall Woulfe","K1H","278.31","-","710",""
"Kevin Sponem","K1H","283.41","-","741",""
"Thierry Le Bonniec","K1H","287.85","-","768",""
"Pierre Chevalier","K1H","291.70","-","791",""
"Baptiste Renaudin","K1H","295.89","-","818",""
"Herve Launay","K1H","312.93","145","921",""
"Thomas Renaud","K1H","319.85","-","964",""
"Auneau Julien","K1H","329.43","-","1023",""
"Aymerik Granveau","K1H","357.04","-","1192",""
"Jonathan Bourdier","K1H","367.35","-","1255",""
"Francois Barbanchon","K1H","386.46","-","1372",""
"Renaud Dominique","K1H","476.73","-","1924",""
