"Sélectif Championnat National 2 Slalom - Bassin De La Pucelle - Qualification - 2016-02-28","Qualification","2016-02-28","Nationale 2","97"
"Mylene Ferry","K1D","128.4","174.51","327.97",""
"Eva Pietracha","K1D","132.74","311.96","371.85",""
"Lea Wetzel","K1D","132.81","133.64","372.56",""
"Hind Jamili","K1D","134.48","210.97","389.44",""
"Oceane Vienet","K1D","137.49","266.4","419.88",""
"Emilie Delahaye","K1D","138.37","249.81","428.76",""
"Lea Gaigeot","K1D","138.68","150.85","431.91",""
"Angele Hug","K1D","139.82","207.86","443.43",""
"Elodie Delavelle","K1D","140.08","291.79","446.06",""
"Marie-amelie Jullien","K1D","141.46","268.15","460.01",""
"Coralie Yebenes","K1D","141.61","305.15","461.53",""
"Alina Rassel","K1D","142.18","315.74","467.29",""
"Axelle Armanini","K1D","142.66","214.51","472.14",""
"Lucie Cecile","K1D","142.81","286.12","473.66",""
"Auregane Philip","K1D","144.47","301.32","490.44",""
"Elena Hugues","K1D","145.48","312.29","500.65",""
"Lucie Robin","K1D","146.11","327.11","507.02",""
"Camille Hurez","K1D","148.01","286.51","526.23",""
"Lisa Robin","K1D","148.1","231.46","527.14",""
"Zoe Bruchon","K1D","149.15","317.6","537.75",""
"Celia Grandadam","K1D","160.14","328.29","648.87",""
"Athenais Reby","K1D","161.13","313.13","658.87",""
"Louise Bichet","K1D","165.05","294.41","698.5",""
"Eva Dauvergne","K1D","168.73","313.34","735.71",""
"Fanny Mino-vercellio","K1D","170.4","305.07","752.59",""
"Marion Delorme","K1D","186.3","268.15","913.34",""
"Sabine Kleinhenz","K1D","202.47","324.28","1076.82",""
"Clothilde Le Louarn","K1D","Abs","-","-",""
"Alicia Gallot","K1D","Abd","-","-",""
"Jerome Olhagaray","K1H","96.86","162.75","136.41",""
"Julien Haberland","K1H","98.59","168.08","156.17",""
"Mehdi Rouich","K1H","98.69","156.1","157.31",""
"Thibault Blaise","K1H","98.94","237.49","160.17",""
"Lucas Latimier","K1H","99.99","211.86","172.16",""
"Silvere Desongins","K1H","101.62","212.31","190.79",""
"Johan De Mareuil","K1H","101.98","160.66","194.9",""
"Florient Tagnon","K1H","102.86","245.19","204.95",""
"Benoit Letellier","K1H","102.98","185.79","206.32",""
"Robin Pottelette","K1H","103.66","233.31","214.09",""
"Simon Hene","K1H","103.75","243.43","215.12",""
"Laurent Starck","K1H","103.82","193.98","215.92",""
"Nicolas Feuillard","K1H","104.73","134","226.31",""
"Erwan Rouch","K1H","104.99","208.45","229.29",""
"Davy Egraz","K1H","105.69","186.15","237.28",""
"Nicolas Mangeolle","K1H","105.75","229.37","237.97",""
"Jules Guilbaud","K1H","106.54","230.85","246.99",""
"Arthur Favennec","K1H","106.58","248.31","247.45",""
"Maxime Di Lauro","K1H","107.19","215.44","254.42",""
"Robin Pilard","K1H","108.39","181.21","268.13",""
"Hugo Simon","K1H","109.12","217.25","276.47",""
"Vincent Ablin","K1H","109.79","172.76","284.12",""
"Quentin Moreaux","K1H","110.49","201.14","292.12",""
"Damien Ganthier","K1H","110.57","194.45","293.03",""
"Lucas Galmiche","K1H","113.28","199.91","323.99",""
"Yohan Marck","K1H","115.29","249.3","346.96",""
"Romain Bertrand","K1H","115.78","213.65","352.55",""
"Yann Zaepffel","K1H","117.56","258.9","372.89",""
"Ludovic Ngo","K1H","120.34","237.39","404.65",""
"Lilian Querry","K1H","124.98","259.18","457.66",""
"Louis Masson","K1H","152.74","168.16","774.8",""
"Aaron Penning","K1H","162.48","260.51","886.07",""
"Pascal Ferry","K1H","285.52","240.59","2291.71",""
"Vincent Reiter","K1H","Abs","-","-",""
"Philippe Daumont","K1H","Abs","-","-",""
