"Challenge Régional - Clisson - Finale - 2014-04-13","Finale","2014-04-13","Régional","87"
"Francois Durand","K1H","131.17","856.1","520.68","Finale B"
"Nathan Girardeau","K1H","133.06","620.85","542.15","Finale B"
"Valentin Bigeard","K1H","137.63","974.27","594.06","Finale B"
"Thomas Pineau","K1H","138.22","588.48","600.77","Finale B"
"Christophe Gergaud","K1H","138.6","506.03","605.08","Finale B"
"Pierre Huan","K1H","138.72","-","606.45","Finale B"
"Christophe Dieumegard","K1H","140","487.81","620.99","Finale B"
"Christian Le Parc","K1H","151.09","749.26","746.96","Finale B"
"Olivier Bourdet","K1H","152.21","776.47","759.68","Finale B"
"Antoine Repussard","K1H","155.38","1169.64","795.69","Finale B"
"Alexis Bizon","K1H","163.28","736.37","885.43","Finale B"
"Scotty Lacroix","K1H","169.96","3340.75","961.31","Finale B"
"Basile Desclos","K1H","172.89","-","994.59","Finale B"
"Galahad Aubert","K1H","181.89","-","1096.83","Finale B"
"Nicolas Perrin","K1H","194.16","588.38","1236.2","Finale B"
"Gilbert Lagneau","K1H","201.11","-","1315.15","Finale B"
"Loic Augereau","K1H","208.12","-","1394.78","Finale B"
