"SLALOM REGIONAL CHAUMONT - Chaumont - 2007-12-09","Course 1","2007-12-09","Régional","110"
"Marlene Dumoulin","K1D","255.34","401","416",""
"Courtaux Alexandra","K1D","259.96","579","441",""
"Rosalie Kempf","K1D","262.28","350","453",""
"Jenny Chevalier","K1D","267.27","442","480",""
"Lauranne Bechereau","K1D","269.36","366","490",""
"Lucile Remond","K1D","310.18","589","708",""
"Lea Bechereau","K1D","320.21","391","761",""
"Carole Dolmaire","K1D","320.29","780","761",""
"Ladouce Charline","K1D","346.09","568","897",""
"Angelique Bakalarz","K1D","413.94","-","1258",""
"Clothilde Charbeaux","K1D","456.62","-","1485",""
"Audrey Goinere","K1D","480.42","-","1611",""
"Laetitia Drouin","K1D","518.44","-","1812",""
"Katy Plaix-payen","K1D","616.87","-","2335",""
"Mathieu Bandelier","K1H","181.65","119","140",""
"Guillaume Bandelier","K1H","190.12","-","191",""
"Jean Christophe Boivin","K1H","197.19","71","233",""
"Loic Gobert","K1H","199.35","228","246",""
"Matthieu Walfard","K1H","201.60","232","259",""
"Quentin Moreaux","K1H","209.15","208","304",""
"Silvere Desongins","K1H","211.75","266","320",""
"Christophe Billaud","K1H","214.20","227","334",""
"Nikolas Stanik","K1H","215.34","243","341",""
"Florient Tagnon","K1H","217.13","262","352",""
"Lucas Ferraina","K1H","217.93","-","357",""
"Romain Chane","K1H","218.10","403","358",""
"Louis Bandelier","K1H","219.41","-","365",""
"Leo Capelle","K1H","219.48","316","365",""
"Clement Martin","K1H","225.06","313","398",""
"Jerome Mailfait","K1H","230.08","389","428",""
"Pierre Rat","K1H","233.84","298","451",""
"Gaetan Kieffert","K1H","237.42","-","472",""
"Antoine Colas","K1H","238.79","-","481",""
"Xavier Rat","K1H","241.89","326","499",""
"Arnaud Delachaux","K1H","245.80","525","522",""
"Thomas Quennehen","K1H","247.35","478","531",""
"Matthieu Deletre","K1H","253.49","-","568",""
"Julien Moriat","K1H","254.40","-","573",""
"Romain Faurie","K1H","260.72","441","611",""
"Aurelien Noiret","K1H","261.00","419","613",""
"Victor Paulais","K1H","261.72","-","616",""
"Bertrand Bourguignon","K1H","268.81","-","659",""
"Andre Kempf","K1H","269.83","557","665",""
"Juif Mickael","K1H","270.19","665","667",""
"Paul Morland","K1H","270.34","605","668",""
"Emilien Kempf","K1H","271.74","-","676",""
"David Pierson","K1H","283.17","667","744",""
"Brouillard Aurelien","K1H","286.30","686","763",""
"Gasser Daniel","K1H","287.00","570","767",""
"Guillaume Cochut","K1H","289.73","397","783",""
"Camille Simonin","K1H","295.18","-","815",""
"Alexandre Diemert","K1H","298.27","-","834",""
"Remi Fossier","K1H","300.00","624","844",""
"Paul Bornier","K1H","303.71","603","866",""
"Jerome Urbanczyk","K1H","307.10","442","887",""
"Jonathan Matern","K1H","314.76","620","932",""
"Mathon Alexis","K1H","319.63","-","960",""
"Anthony Mercier","K1H","336.03","-","1058",""
"Gerard Cartier","K1H","345.82","890","1117",""
"Daniaud Corentin","K1H","361.71","-","1211",""
"Carbillet Pierre","K1H","368.72","-","1252",""
"Adrien Fevre","K1H","380.84","-","1325",""
"Florent Bronchain","K1H","384.62","-","1347",""
"Clement Pierron","K1H","402.10","-","1451",""
"Anthony Gillot","K1H","404.37","-","1464",""
"Esteve Del Canto","K1H","424.51","1026","1585",""
"Elie Voltz","K1H","424.85","-","1587",""
"Aimeric Brouillard","K1H","431.93","826","1628",""
"Mattheo Geoffray","K1H","447.08","-","1718",""
"David Cussac","K1H","449.50","-","1733",""
"Thibaut Lebrun","K1H","475.43","1005","1887",""
"Thibaud Collignon","K1H","530.00","-","2212",""
"Rallut Franck","K1H","561.90","-","2401",""
"Moniot Bruno","K1H","586.18","-","2545",""
"Yannik Ledigabel","K1H","689.70","-","3161",""
