"Sélectif National 3 Slalom Ouest - Bassin Barrage Du Gouet - Finale - 2016-03-06","Finale","2016-03-06","Nationale 3","234"
"Ludovic Le Cointre","K1H","110.31","321.87","445.22","Finale A"
"Christophe Gergaud","K1H","111.39","429.6","459.07","Finale A"
"Francois Poirier","K1H","111.65","392.28","462.41","Finale A"
"Guillaume Maillot","K1H","111.95","348.37","466.26","Finale A"
"Hoel Carnot","K1H","111.97","402.27","466.52","Finale A"
"Come Le Gal","K1H","112.13","485.59","468.57","Finale A"
"Brice Derrien","K1H","112.13","443.76","468.57","Finale A"
"Lucas Godevin","K1H","112.58","417","474.34","Finale A"
"Paul Tallet Pinet","K1H","113.03","514.68","480.12","Finale A"
"Kylian Lavole","K1H","113.73","415.48","489.1","Finale A"
"Nathan Chaumier","K1H","113.98","496.98","492.31","Finale A"
"Keliann Le Breton","K1H","115.37","347.1","510.14","Finale A"
"Simon Rolland","K1H","115.46","512.02","511.3","Finale A"
"Ludovic Couture","K1H","115.76","438.44","515.15","Finale A"
"Jean Yves Prigent","K1H","115.98","382.28","517.97","Finale A"
"Theo Rose","K1H","116.96","403.68","530.55","Finale A"
"Valentino Le Guesclou","K1H","117.14","456.43","532.86","Finale A"
"Flavien Portier","K1H","117.38","434.84","535.94","Finale A"
"Leo Hachair","K1H","117.97","491.8","543.51","Finale A"
"Valentin Rault","K1H","118.43","399.18","549.41","Finale A"
"Theo Anton  Heteau","K1H","119.76","475.87","566.47","Finale A"
"Ewen Berrest","K1H","122.57","475.51","602.53","Finale A"
"Baptiste Loy","K1H","124.38","531.94","625.76","Finale A"
"Didier Rouet","K1H","124.6","471.9","628.58","Finale A"
"Nicolas Leconte","K1H","128.7","497.6","681.19","Finale A"
"Romain Bruneau","K1H","163.65","480.69","1129.65","Finale A"
"Killian Flegeau","K1H","211.26","364.18","1740.56","Finale A"
"Lilian Bald","K1H","Abs","-","-","Finale A"
"Anais Pignet","C1D","159.65","387.66","741.9","Finale B"
"Jann Le Corre","C1D","219.49","526.1","1381.76","Finale B"
"Julie Dequeant","C1D","Des","-","-","Finale B"
"Ludovic Roye","C1H","111.65","376.21","399.19","Finale B"
"Lubin Huet","C1H","113.42","381.81","420.82","Finale B"
"Franck Delachair","C1H","114.81","416.93","437.81","Finale B"
"Gwenael Coadou","C1H","118.49","424.42","482.78","Finale B"
"Awen Le Paih","C1H","119.59","508.09","496.22","Finale B"
"Stephane Debliquy","C1H","119.78","439.57","498.54","Finale B"
"Olivier Leboeuf","C1H","119.98","490.45","500.99","Finale B"
"Timothee Cornu","C1H","127","509.82","586.77","Finale B"
"Lucas Godevin","C1H","146.3","673.24","822.63","Finale B"
"Thomas Ollivo","C1H","174.85","657.39","1171.53","Finale B"
"Elliot David","C1H","180.93","558.69","1245.82","Finale B"
"Romain Bruneau","C1H","183.45","671.57","1276.62","Finale B"
"Julien Rocaboy","C1H","186.92","424.26","1319.03","Finale B"
"Younes Kismi","C1H","187.33","881.22","1324.04","Finale B"
"Gregory Menuat","C1H","207.79","610.04","1574.06","Finale B"
"Hugo Eouzan-chaffotec","C1H","220.36","540.48","1727.68","Finale B"
"Romain Branjauneau","C1H","Abs","-","-","Finale B"
"Arthur Mizzi","C1H","Abs","-","-","Finale B"
"Paul Tallet Pinet-Benoit Lecluse","C2H","144.31","597.26","718.15","Finale B"
"Alan Olivo-Mathis Daniel","C2H","145.99","480.98","737.75","Finale B"
"Leo Paillat-Samuel Flament","C2H","Abs","-","-","Finale B"
"Simon Seuru-Ludovic Le Cointre","C2H","Abs","-","-","Finale B"
"Marine Leveque-Pierre Hellard","C2M","135.02","293.6","478.54","Finale B"
"Justine Geffroy-David Hamon","C2M","161.97","519.99","766.71","Finale B"
"Thomas Brochard-Pauline Guenery","C2M","164.11","-","789.58","Finale B"
"Veronique Vourch","K1D","133.42","345.85","549.8","Finale B"
"Justine Geffroy","K1D","159.78","428.56","849.12","Finale B"
"Romane Bronchet","K1D","164.75","534.18","905.56","Finale B"
"Anais Pignet","K1D","170.06","384.16","965.86","Finale B"
"Mathilde Le Verge","K1D","213.5","571.61","1459.13","Finale B"
"Taelle Cardin","K1D","230.05","580.76","1647.06","Finale B"
"Bleuenn Le Foll","K1D","240.39","726.28","1764.48","Finale B"
"GaËlle Bail","K1D","241.51","654.77","1777.2","Finale B"
"Lea Riera","K1D","259.19","540.52","1977.96","Finale B"
"Gwendoline Hall","K1D","294.52","790.94","2379.14","Finale B"
"Caroline Froissard","K1D","307.37","714.91","2525.06","Finale B"
"Anais Robineau","K1D","310.22","755.28","2557.42","Finale B"
"Anna Dubois","K1D","Des","-","-","Finale B"
"Florian Sauvage","K1H","109.18","354.06","435.72","Finale B"
"Vincent Torzec","K1H","110.19","432.9","448.68","Finale B"
"Loann Le Guyader","K1H","110.51","299.51","452.78","Finale B"
"Tom Suteau","K1H","112.71","406.73","481.01","Finale B"
"Tom Genest","K1H","112.97","461.4","484.35","Finale B"
"Brieg Le Paih","K1H","113.34","426.85","489.1","Finale B"
"Malo Marquet","K1H","116.03","584.89","523.61","Finale B"
"David Ravache","K1H","116.24","430.46","526.31","Finale B"
"Jerome Saliou","K1H","117.46","461.72","541.96","Finale B"
"Daneric Ollivier","K1H","117.66","565.38","544.53","Finale B"
"Antoine Repussard","K1H","118.24","495.41","551.97","Finale B"
"Aubin Davaic","K1H","118.42","557.93","554.28","Finale B"
"Gaston Canevet","K1H","119.37","488.92","566.47","Finale B"
"Matheo Coquel","K1H","119.47","452.61","567.75","Finale B"
"Alexis Bizon","K1H","119.49","573.95","568.01","Finale B"
"Collin Pouradier","K1H","119.93","532.29","573.66","Finale B"
"Yoann Donval","K1H","119.93","496.62","573.66","Finale B"
"Erwann Le Jeune","K1H","120.24","404.09","577.63","Finale B"
"Olivier Brochard","K1H","120.27","449.34","578.02","Finale B"
"Valentin Soullard","K1H","120.66","456.93","583.02","Finale B"
"Younes Kismi","K1H","120.81","640.65","584.95","Finale B"
"Gaetan Robin","K1H","121.39","402.71","592.39","Finale B"
"Thibaud Le Berre","K1H","122.36","472.01","604.84","Finale B"
"David Hamon","K1H","123.23","433.8","616","Finale B"
"Benoit Lecluse","K1H","124.59","630.74","633.45","Finale B"
"Vincent Rival","K1H","125.91","480.65","650.39","Finale B"
"Aurelien Le Duc","K1H","127.69","503.82","673.23","Finale B"
"Guillaume Le Paih","K1H","128.06","596.22","677.98","Finale B"
"Lois Moreau","K1H","128.15","616.26","679.13","Finale B"
"Francois Bonthonnou","K1H","128.91","564.93","688.88","Finale B"
"Kireg Le Pape","K1H","129.75","689.95","699.66","Finale B"
"LÉo Favrie","K1H","130.27","705.03","706.33","Finale B"
"Christian Belouin","K1H","130.39","684.99","707.87","Finale B"
"Deverig Cardiec","K1H","130.56","570.53","710.05","Finale B"
"Thomas Floch","K1H","131.28","516.66","719.29","Finale B"
"GaËtan De Greef","K1H","131.67","738.18","724.3","Finale B"
"Killian Perrier","K1H","131.99","581.51","728.4","Finale B"
"Clement Collardez","K1H","132.07","547.51","729.43","Finale B"
"Valentin Le Paih","K1H","133.55","564.28","748.42","Finale B"
"Jean Christophe Olivo","K1H","133.89","523.89","752.78","Finale B"
"Mael Monjaret","K1H","134.81","738.54","764.59","Finale B"
"Samuel Piton","K1H","135.59","548.57","774.6","Finale B"
"Malo Querre","K1H","136.09","601.71","781.01","Finale B"
"Nicolas Petipez","K1H","136.49","654.8","786.15","Finale B"
"Louis-felix Marchand","K1H","136.66","773.7","788.33","Finale B"
"Yann Dhieux","K1H","138.02","677.49","805.78","Finale B"
"Glen Le Meur","K1H","138.05","738.79","806.16","Finale B"
"Luck Thomas","K1H","139.2","954.67","820.92","Finale B"
"Mael Crespel","K1H","145.39","647.05","900.35","Finale B"
"Yohan Dupont","K1H","145.89","528.2","906.76","Finale B"
"Nicolas Mousset","K1H","145.9","930.42","906.89","Finale B"
"Thibault Dobigny","K1H","148.14","783.23","935.63","Finale B"
"Gerard Lemonnier","K1H","149.68","636.51","955.39","Finale B"
"Steve Bruniquel","K1H","149.93","628.14","958.6","Finale B"
"Eric Pouradier","K1H","152.2","732.66","987.73","Finale B"
"Lucas Berthelot","K1H","153.48","814.53","1004.15","Finale B"
"Fabiano Roma","K1H","156.41","654.85","1041.75","Finale B"
"Louis Gane","K1H","158.31","788.06","1066.13","Finale B"
"Maxime Lignereux","K1H","159.51","393.03","1081.53","Finale B"
"Leo Paillat","K1H","165.03","478.42","1152.36","Finale B"
"Regis Navinel-dubois","K1H","169.52","543.65","1209.97","Finale B"
"Awen Le Paih","K1H","170.69","484.8","1224.98","Finale B"
"Yannis Houze","K1H","173.91","597.32","1266.3","Finale B"
"Thierry Dugue","K1H","179.6","622.57","1339.31","Finale B"
"Romain Caburol","K1H","186.92","846.89","1433.24","Finale B"
"Johan Piat","K1H","189.76","751.05","1469.68","Finale B"
"Hugo Robert","K1H","192.01","623.35","1498.55","Finale B"
"Benjamin Borgne","K1H","200.3","893.48","1604.92","Finale B"
"Sylvain Premel","K1H","229.67","568.94","1981.79","Finale B"
"Andre Filipe Nunes Marques","K1H","275.11","900.44","2564.85","Finale B"
"Raphael Gomez","K1H","463.17","943.94","4977.94","Finale B"
"Simon Diogo","K1H","Nt","-","-","Finale B"
"Jean-christophe Dubois","K1H","Nt","-","-","Finale B"
"Liam Esteffe","K1H","Abs","-","-","Finale B"
"Jerome Talbot","K1H","Abs","-","-","Finale B"
