"Sélectif Régional - Angoulême - 2009-10-04","Course 1","2009-10-04","Régional","176"
"Oscar Petit","C1H","165.71","-","662",""
"Dimitri Rochier","C1H","189.58","-","915",""
"Kevin Giry","C1H","194.52","-","968",""
"Maxime Girardot","C1H","201.83","-","1046",""
"Armand Rauturier","C1H","Nt","-","-",""
"Jimmy Besson","C1H","Nt","-","-",""
"Sandra Lafrais-Sandra Blanloeuil","C2D","206.36","-","743",""
"Pierre Antoine Tillard-Martin Thomas","C2H","120.53","-","125",""
"Armand Rauturier-Nicolas Labat","C2H","122.76","-","148",""
"Christian Boob-Frederic Boob","C2H","127.12","118","193",""
"Thomas Rolando-Lucas Kelifaoui","C2H","133.00","-","251",""
"Come Hebert-David Soulier","C2H","133.44","190","256",""
"Louis-maxime Main-Abdelkrim Ali Zazou","C2H","133.47","-","257",""
"Clement Berger-Mathieu Villeger","C2H","136.76","192","289",""
"Riwan Guillermic-Alexandre Paulais","C2H","144.44","-","367",""
"Jimmy Besson-Ronan Goualc'h","C2H","147.02","-","394",""
"Baptiste Piveteau-Guillaume Chainier","C2H","147.85","-","402",""
"James Duvernoy-Batiste Dubois","C2H","152.12","444","446",""
"Boris Bouillaud-Thomas Chagnaud","C2H","154.30","402","467",""
"Valentin Marin-Kevin Giry","C2H","155.38","-","478",""
"Antoine Descamps-Pierre Troubady","C2H","162.14","-","547",""
"Nicolas Baudoin-Remi Parayre","C2H","164.38","-","569",""
"Guillaume Crochet-William Hocking","C2H","186.05","-","788",""
"Damien Mareau-Jean Remy Latour","C2H","197.13","-","901",""
"Dimitri Rochier-Maxime Girardot","C2H","211.37","-","1044",""
"Emilie Chamouleau-Sylvain Brunet","C2M","146.13","321","284",""
"Laurine Naveau-Henri Despont","C2M","154.95","591","368",""
"Guillaume Chasseriault-Angelique Chasseriault","C2M","168.91","545","500",""
"Oceane Drouet-Kevin Bernard","C2M","197.83","-","771",""
"Marie Gaspard","K1D","121.14","60","100",""
"Emilie Chamouleau","K1D","124.78","69","136",""
"Sarah Lyphout","K1D","126.10","143","148",""
"Frederique Merle","K1D","126.39","172","151",""
"Laurence Pessoni","K1D","128.35","287","170",""
"Laurine Naveau","K1D","137.93","292","265",""
"Manon Prioux","K1D","141.41","449","298",""
"Manon Sacre","K1D","150.78","-","392",""
"Helena Heysch De La Borde","K1D","151.84","426","402",""
"Marine Dumartin","K1D","153.96","485","422",""
"Sandra Lafrais","K1D","160.98","-","492",""
"Oceane Drouet","K1D","163.01","-","512",""
"Amelie Perier","K1D","167.98","546","560",""
"Alison Drouet","K1D","170.78","657","588",""
"Estellanne Persyn","K1D","172.19","-","602",""
"Marie Charlotte Doreau","K1D","175.28","-","632",""
"Manon Linck","K1D","178.72","-","666",""
"Charlotte Robuchon","K1D","179.35","734","673",""
"Aurelie Pantier","K1D","220.29","-","1076",""
"Marielle Counil","K1D","Nt","-","-",""
"Christelle Macaire","K1D","Nt","-","-",""
"Nicolas Labat","K1H","106.72","27","94",""
"Ludovic Di Nisi","K1H","106.84","22","95",""
"Christophe Marechal","K1H","108.75","36","116",""
"Gurgen Brun","K1H","112.87","172","163",""
"Thibaud Delaunay","K1H","113.50","163","169",""
"Louis-maxime Main","K1H","113.73","146","172",""
"Quentin Lyphout","K1H","113.76","169","173",""
"Lucas Kelifaoui","K1H","114.43","73","179",""
"Fabien Cambon","K1H","114.67","177","183",""
"Yoann Gottardo","K1H","114.92","-","185",""
"Jean Messialle","K1H","114.95","185","185",""
"Alexandre Di Nisi","K1H","115.91","119","196",""
"David Riffaud","K1H","117.72","164","216",""
"Damien Mareau","K1H","118.47","244","224",""
"Antoine Roux","K1H","118.61","183","227",""
"Damien Launay","K1H","119.05","251","231",""
"Marc Robert","K1H","119.17","210","232",""
"Antoine Dubost","K1H","119.20","-","233",""
"Marc Brossard","K1H","119.39","212","234",""
"Nicolas Baudoin","K1H","119.73","224","239",""
"Etienne Chauvin","K1H","120.00","284","241",""
"Clement Praille","K1H","120.13","240","243",""
"Felix Merzeau","K1H","120.67","209","249",""
"Philippe Niquet","K1H","120.76","217","250",""
"James Duvernoy","K1H","121.48","269","258",""
"Valentin Marin","K1H","122.19","278","266",""
"Guillaume Chainier","K1H","122.42","235","268",""
"Olivier Nonnet","K1H","122.90","349","274",""
"Paul Storez","K1H","124.03","417","286",""
"Baptiste Piveteau","K1H","124.10","240","287",""
"Kevin Sponem","K1H","125.45","308","302",""
"Pierre Cogny","K1H","125.77","-","306",""
"Julien Riffaud","K1H","125.82","187","306",""
"Thomas Marino","K1H","125.87","293","307",""
"Valentin Lesseau","K1H","126.34","219","312",""
"Caryck Bouladjat","K1H","126.40","-","313",""
"Alexandre Paulais","K1H","127.00","-","320",""
"Mathieu Charliac","K1H","128.94","300","341",""
"Thomas Perrin","K1H","128.96","-","341",""
"Benjamin Sanella","K1H","128.99","262","341",""
"Jean Salavert","K1H","129.21","-","345",""
"Valentin Giret","K1H","129.23","247","345",""
"Yohan Herry","K1H","129.30","-","346",""
"Yoann Turowsky","K1H","129.32","254","346",""
"Jean-daniel Bost","K1H","129.33","359","346",""
"Vincent Nicolosi","K1H","129.47","305","347",""
"Jean-philippe Brothier","K1H","130.02","355","354",""
"Mathis Besse","K1H","131.13","-","366",""
"Hugo Epinoux","K1H","131.87","557","374",""
"Xavier Flatreau","K1H","132.25","420","378",""
"Benoit Sergent","K1H","132.58","384","382",""
"Romain Gaillard","K1H","132.82","-","384",""
"Nicolas Thomas","K1H","133.57","437","393",""
"Jean-noel Biteau","K1H","134.99","433","409",""
"Marin Daigne","K1H","135.24","-","411",""
"Alexandre Dherbilly","K1H","135.83","-","418",""
"Valentin Soullard","K1H","136.25","405","422",""
"Joseph Robert","K1H","137.77","547","439",""
"Charlie Baron","K1H","139.26","397","456",""
"Anthony Royneau","K1H","139.48","-","458",""
"David Vacher","K1H","140.08","-","465",""
"Lonny Berthouin","K1H","141.20","-","477",""
"Julien Neymond","K1H","142.81","610","495",""
"Pierre-antoine Comby","K1H","144.68","-","516",""
"Dimitri Rochier","K1H","144.82","-","518",""
"Hugo Le Goff","K1H","144.88","526","519",""
"Matthias Etourneau","K1H","145.91","-","530",""
"Thomas Dieusaert","K1H","146.48","-","537",""
"Vincent Zago","K1H","147.80","-","551",""
"Theotime Bordes","K1H","148.41","-","558",""
"Maxime Girardot","K1H","148.76","-","561",""
"Loup Charles","K1H","149.03","-","565",""
"Simon Richar","K1H","150.14","-","577",""
"Jonathan Bourdier","K1H","150.46","767","580",""
"Mathieu Ribreaud","K1H","151.61","-","594",""
"Keir Simpson","K1H","153.90","-","619",""
"Antoine Descamps","K1H","154.65","-","628",""
"Daniel Bregazzi","K1H","155.21","971","633",""
"Jean Luc Pessoni","K1H","157.65","589","660",""
"William Hocking","K1H","158.44","-","669",""
"Jeremy Lepoutre","K1H","163.27","-","723",""
"Florian Plault","K1H","163.71","-","728",""
"Julien Anglade","K1H","167.91","-","775",""
"Jean Renou","K1H","176.99","1225","876",""
"Robert Antoinet","K1H","182.25","-","934",""
"Philippe Audouin-dubreuil","K1H","Nt","-","-",""
"Guillaume Pitre","K1H","Nt","-","-",""
