"Sélectif National 3 Slalom Est - Sélectif National 3 Slalom Est - Qualification - 2017-04-16","Qualification","2017-04-16","Nationale 3","206"
"Louis Sibille","K1H","111.51","406.89","407.16",""
"Loic Sieber","K1H","111.65","479.71","408.9",""
"Jules Andrien","K1H","112.03","339.97","413.61",""
"Olivier Urbain","K1H","112.26","318","416.47",""
"Eddy Cassard","K1H","113.4","335.56","430.61",""
"Kyle Gelb","K1H","113.52","442.87","432.1",""
"Loic Petel","K1H","114.97","350.29","450.09",""
"Damien Siegfried","K1H","115.05","506.61","451.08",""
"Christophe Billaud","K1H","115.16","408.6","452.45",""
"Anthony Rouhier","K1H","115.63","332.83","458.28",""
"Florent Tamburini","K1H","116.29","324.52","466.47",""
"Victor Paulais","K1H","116.37","317.98","467.46",""
"Loic Trenchant","K1H","116.64","423.95","470.81",""
"Antoine Pas","K1H","117.86","415.17","485.95",""
"Paul Bostoen","K1H","118.12","402.95","489.18",""
"Arthur Dupont","K1H","118.31","367.94","491.53",""
"Come Champurney","K1H","118.93","532.84","499.23",""
"Luca Gabelli","K1H","119.27","472.31","503.45",""
"Damien Burteaux","K1H","119.52","362.64","506.55",""
"Guerlain Robin","K1H","119.61","376.4","507.66",""
"Patrick Gass","K1H","119.73","406.68","509.15",""
"Guillaume Schneider","K1H","120.05","483.65","513.12",""
"Leonard Painteaux","K1H","120.22","544.52","515.23",""
"Yael Leleu","K1H","120.72","506.64","521.44",""
"Nicolas Gallais","K1H","120.76","463.04","521.93",""
"Louis Pein","K1H","120.92","388.07","523.92",""
"Guillaume Cochut","K1H","120.99","484.04","524.79",""
"Gerard Menissier","K1H","121.34","535.31","529.13",""
"Pierre-louis Gstalter","K1H","121.74","433.61","534.09",""
"Romaric Baron","K1H","122.71","440.09","546.13",""
"Anthony Menissier","K1H","122.82","591.15","547.49",""
"Aymeric Dollat","K1H","123.04","475.61","550.22",""
"Louis Gasser","K1H","123.89","542.73","560.77",""
"Xavier Rat","K1H","123.9","448.05","560.9",""
"Kevin Rancon","K1H","124.28","318.32","565.61",""
"Jules Latimier","K1H","125.25","493.07","577.65",""
"Vivien Stemmelen","K1H","125.9","523.48","585.71",""
"Matthieu Koffel","K1H","127.43","541.08","604.7",""
"William Pawlus","K1H","127.56","444.08","606.31",""
"Philippe Koffel","K1H","127.56","544.66","606.31",""
"Tanguy Malingre","K1H","128.14","514.5","613.5",""
"Frederic Caillet","K1H","129.58","530.57","631.37",""
"Victor Henry","K1H","129.58","590.74","631.37",""
"Oscar Pasteur","K1H","129.84","670.83","634.6",""
"Jean Guyot","K1H","130.44","609.31","642.04",""
"Bastien Caillet","K1H","130.56","548.61","643.53",""
"Quentin Decotte","K1H","130.84","543.3","647.01",""
"Constant Jeandon","K1H","132.63","644.29","669.22",""
"Flavien Portier","K1H","133.22","484.96","676.54",""
"Axel Ganthier","K1H","133.44","657.59","679.27",""
"Andre Kempf","K1H","133.51","647.19","680.14",""
"Alexandre L'huillier","K1H","134.67","536.27","694.53",""
"Antoine Marion","K1H","135.77","609.48","708.18",""
"Bertrand Bourguignon","K1H","136.39","646.11","715.87",""
"Cyprien Dufour","K1H","136.52","601.54","717.48",""
"Bastien Delaubier","K1H","136.67","518.85","719.34",""
"Laurel Hartmann","K1H","136.91","603.37","722.32",""
"Alexis Sevrez","K1H","139.02","607.17","748.5",""
"Benjamin Bergin","K1H","140.11","572.27","762.03",""
"Victoryan Krahenbuhl","K1H","142.09","766.17","786.6",""
"Stanislas Ledore","K1H","142.57","670.92","792.55",""
"Antoine Paumier","K1H","144.17","577.01","812.4",""
"Lucas Matkovic","K1H","149.4","681.62","877.3",""
"Emrys Meddour","K1H","150.18","723.49","886.98",""
"Theophile Vincent","K1H","150.35","984.3","889.09",""
"Heino Leveque","K1H","152.96","785.46","921.47",""
"Theophile Didierjean","K1H","153.14","743.86","923.7",""
"Yann Mercier","K1H","153.34","754.58","926.19",""
"Etienne Rougeron","K1H","157.9","621.89","982.77",""
"Aurelien Merieux Danneaux","K1H","162.23","422.48","1036.49",""
"Matthieu Walfard","K1H","165.51","355.34","1077.19",""
"Loic Bourgeois","K1H","172.64","388.4","1165.66",""
"Matheo Dejonghe","K1H","174.6","481.2","1189.98",""
"Pascal Philip","K1H","176.22","506.18","1210.08",""
"Antonin Robert","K1H","176.52","460.33","1213.8",""
"Joshua Ravet","K1H","178.5","875.37","1238.37",""
"Pierre Biagui","K1H","179.26","387.3","1247.8",""
"Paul Gstalter","K1H","200.76","969.89","1514.57",""
"Kevin Vienny","K1H","223.25","740.68","1793.63",""
"Mathieu Deloffre","K1H","Abs","-","-",""
"Lois Pignon","K1H","Abs","-","-",""
"Hugo Humbrecht","K1H","Abs","-","-",""
"Matthew Vuillard","K1H","Des","-","-",""
"Leo Collard","K1H","Abs","-","-",""
"Sam Pemberton","K1H","Abs","-","-",""
"Charles Billon","K1H","Des","-","-",""
"Nicolas Castagnetti","K1H","Abs","-","-",""
"Anthony Dubois","K1H","Des","-","-",""
