"Sélectif Régional - Montreuil Sur Mer - 2005-09-24","Course 1","2005-09-24","Régional","118"
"Terryn Gilles","K1H","207.24","324","314",""
"Viellard Amaury","K1H","208.32","251","321",""
"Jean-luc Mottais","K1H","208.58","301","323",""
"Sergent Sylvain","K1H","209.60","273","329",""
"Simon Joudou","K1H","211.65","282","343",""
"Gaetan Dheilly","K1H","211.89","418","344",""
"Guillaume Doutreix","K1H","213.05","500","351",""
"Vieillard Alexis","K1H","215.17","258","364",""
"Lagache Jean Christophe","K1H","216.25","323","371",""
"Legrand Adrien","K1H","216.36","332","372",""
"Johann Beldame","K1H","217.79","389","381",""
"Dupont Emmanuel","K1H","221.03","321","401",""
"Anthony Mottais","K1H","221.16","360","402",""
"Paul Poulet","K1H","232.50","-","474",""
"Thomas Plomion","K1H","234.66","530","488",""
"Averlant Alexis","K1H","235.97","386","496",""
"Lebar Johnny","K1H","236.02","454","497",""
"Kaczmarek Thomas","K1H","238.00","-","509",""
"Holleville Guillaume","K1H","240.87","-","528",""
"Stephane Sagnier","K1H","245.13","380","554",""
"Batstraen Louis","K1H","248.83","-","578",""
"Benard Fabien","K1H","249.60","454","582",""
"Poupart Maxime","K1H","255.92","1494","622",""
"Esnault Nicolas","K1H","258.42","-","639",""
"Guillaume Hermant","K1H","261.29","585","656",""
"Gaspard Vivien","K1H","262.00","-","661",""
"Pierre Maillard","K1H","265.35","1048","682",""
"Quentin Dheilly","K1H","265.92","-","686",""
"Cheron Valentin","K1H","268.46","681","702",""
"Florian Lefebvre","K1H","268.62","-","703",""
"Damien Jacques","K1H","271.59","-","722",""
"Martin Sacleux","K1H","272.10","-","725",""
"Renard Guillaume","K1H","273.34","728","733",""
"Sarazin Jean Benoit","K1H","275.63","-","748",""
"Mannier Quentin","K1H","277.62","-","760",""
"Gest Elliot","K1H","284.47","-","803",""
"Luc Wojtasiak","K1H","285.11","-","807",""
"Quentin Sirven","K1H","291.76","1191","849",""
"Henry Théophile","K1H","293.62","-","861",""
"Depreck Josselin","K1H","300.75","533","906",""
"Baudry Pierre Luc","K1H","305.14","-","934",""
"Deffebvre Pierre","K1H","306.45","2211","943",""
"Berenger Bonnard","K1H","308.96","913","958",""
"Kevin Pantofel","K1H","317.08","-","1010",""
"Fleurant Aurelien","K1H","327.47","-","1076",""
"Bastien Belembert","K1H","327.63","-","1077",""
"Besneux Pascal","K1H","327.88","-","1079",""
"Mathieu Dutendas","K1H","329.14","-","1086",""
"Nicholl Sylvain","K1H","334.21","-","1118",""
"Laurent Dheilly","K1H","334.94","-","1123",""
"Ferlin Berenger","K1H","337.49","687","1139",""
"Bequignon Nicolas","K1H","379.08","-","1403",""
"Demade Vincent","K1H","398.85","-","1528",""
"Johann Sacleux","K1H","461.73","-","1926",""
"Dulompont Benjamin","K1H","475.07","-","2010",""
"Leonard Thibault","K1H","475.50","-","2013",""
"Sueur Olivier","K1H","536.06","-","2397",""
"Lenez Thibault","K1H","562.83","-","2566",""
