"Sélectif Régional - stade d'eau vive de Pau - Finale - 2014-11-02","Finale","2014-11-02","Régional","313"
"Hugo Biso-Pierre Picco","C2H","93.96","49.28","67.08","Finale A"
"Yves Prigent-Loic Kervella","C2H","95.57","66.86","83.86","Finale A"
"Lucas Roisin-Guillaume Graille","C2H","106.53","150.88","198.1","Finale A"
"Benjamin Reig-Cyril Boulet","C2H","110.02","243.47","234.47","Finale A"
"Malo Poles-Baptiste Le Poncin","C2H","110.49","138.89","239.37","Finale A"
"Theo Roisin-Hugo Crepeau","C2H","133.16","328.77","475.67","Finale A"
"Pierre Hellard-Malo Quemeneur","C2H","163.05","258.49","787.21","Finale A"
"Cindy Coat-Gaetan Coat","C2M","Abs","-","-","Finale A"
"Carole Bouzidi","K1D","93.38","11.2","35.19","Finale A"
"Marie-zelia Lafont","K1D","93.7","31.4","38.44","Finale A"
"Estelle Mangin","K1D","96.36","23.45","65.43","Finale A"
"Estelle Hellard","K1D","96.52","48.35","67.05","Finale A"
"Julia Cuchi Vila","K1D","99.62","90.78","98.51","Finale A"
"Camille Prigent","K1D","99.69","49.34","99.22","Finale A"
"Laura Combot","K1D","100.73","92.42","109.77","Finale A"
"Elise Pierron","K1D","101.27","122.29","115.25","Finale A"
"Lucie Prioux","K1D","103.18","95.81","134.63","Finale A"
"Claire Gaigeot","K1D","106.03","103.94","163.55","Finale A"
"Lea Wetzel","K1D","106.35","94.64","166.79","Finale A"
"Cecile Tixier","K1D","106.75","151.23","170.85","Finale A"
"Lea Turmeau","K1D","107.29","136.85","176.33","Finale A"
"Emeline Oudet","K1D","107.51","134.2","178.56","Finale A"
"Marine Leveque","K1D","109.72","107.58","200.99","Finale A"
"Natacha Delassus","K1D","110.33","266.42","207.18","Finale A"
"Annaelle Meheut","K1D","112","125.64","224.12","Finale A"
"Flora Bove","K1D","112.06","121.31","224.73","Finale A"
"Marjorie Delassus","K1D","113.82","195.65","242.59","Finale A"
"Flora Huvelin","K1D","114.53","94.72","249.79","Finale A"
"Viviana Daille","K1D","114.75","210.73","252.03","Finale A"
"Lisa Mouffle","K1D","114.81","188.95","252.63","Finale A"
"Lea Gaigeot","K1D","156.05","110.06","671.07","Finale A"
"Anais Bernardy","K1DM","112.97","-","233.96","Finale A"
"Alixe Degremont","K1DM","131.58","-","422.78","Finale A"
"Laurene Roisin","K1DM","141.15","-","-","Finale A"
"Marion Grangeon","K1DM","188.88","-","1004.17","Finale A"
"Elorri Erdois","K1DM","267.54","-","-","Finale A"
"Mathieu Biazizzo","K1H","84.97","12.73","61.94","Finale A"
"Benjamin Renia","K1H","85.58","14.67","68.93","Finale A"
"Bastien Damiens","K1H","86.59","15.64","80.51","Finale A"
"Janos Peterlin","K1H","86.62","26.34","80.86","Finale A"
"Sebastien Combot","K1H","86.75","14.6","82.35","Finale A"
"Quentin Burgi","K1H","87.17","28.56","87.16","Finale A"
"Vivien Colober","K1H","87.57","22.26","91.75","Finale A"
"Benjamin Buys","K1H","87.89","54.26","95.42","Finale A"
"Yves Prigent","K1H","88.05","52.44","97.25","Finale A"
"Ludovic Di Nisi","K1H","88.39","24.03","101.15","Finale A"
"Martin Daviet","K1H","88.43","67.37","101.61","Finale A"
"Goulwen Chapelier","K1H","89.13","58.97","109.64","Finale A"
"Benoit Guillaume","K1H","89.37","20.98","112.39","Finale A"
"Thomas Rosset","K1H","89.72","22.8","116.4","Finale A"
"Nicolas Abbal","K1H","89.8","47.52","117.32","Finale A"
"Quentin Mignard","K1H","89.95","89.15","119.04","Finale A"
"Titouan Dupras","K1H","90.05","141.09","120.18","Finale A"
"Pierre Hellard","K1H","91.19","138.15","133.26","Finale A"
"Mathurin Madore","K1H","91.76","74.33","139.79","Finale A"
"Julien Dekarczyk","K1H","92.26","-","145.52","Finale A"
"James Duvernoy","K1H","92.49","83.83","148.16","Finale A"
"Jonas Turmeau","K1H","93.73","70.93","162.38","Finale A"
"Sami Rocher","K1H","93.94","103.7","164.79","Finale A"
"Guillaume Graille","K1H","93.94","112.02","164.79","Finale A"
"Alexandre Dherbilly","K1H","94.35","82.78","169.49","Finale A"
"Enzo Seker","K1H","94.59","113.94","172.24","Finale A"
"Florent Boulet","K1H","94.68","-","173.27","Finale A"
"Alexandre Lucas","K1H","95.02","154.58","177.17","Finale A"
"Remy Cassar","K1H","96.84","195.29","198.04","Finale A"
"Jonathan Delagnes","K1H","96.98","103.26","199.64","Finale A"
"Jean Baptiste Thiel","K1H","97.04","251.63","200.33","Finale A"
"Pierre Giudicelli","K1H","97.14","156.21","201.47","Finale A"
"Arnaud Lapeze","K1H","97.52","138.7","205.83","Finale A"
"Nicolas Bernardy","K1H","98.05","246.35","211.91","Finale A"
"Kendaor Le Huitou","K1H","98.25","125.17","214.2","Finale A"
"Malo Quemeneur","K1H","98.52","123.26","217.3","Finale A"
"Manuel Savels","K1H","99.1","206.08","223.95","Finale A"
"Vincent Ablin","K1H","99.31","136.84","226.35","Finale A"
"Pol Euzenes","K1H","99.69","120.52","230.71","Finale A"
"Cedric Jegouzo","K1H","100.12","151.27","235.64","Finale A"
"Florian Campagnole","K1H","100.58","155.92","240.92","Finale A"
"Luc Hellard","K1H","100.6","167.02","241.15","Finale A"
"Hugo Crepeau","K1H","100.89","241.93","244.47","Finale A"
"Brieuc Cadic","K1H","100.98","210.4","245.5","Finale A"
"Adrien Picco","K1H","101.04","196.52","246.19","Finale A"
"Olivier Cain","K1H","101.78","209.22","254.67","Finale A"
"Fabien Lanao","K1H","101.83","182.44","255.25","Finale A"
"Leo Fournier","K1H","101.98","200.55","256.97","Finale A"
"Adrien Verite","K1H","102.81","216.01","266.48","Finale A"
"Pierre De La Morinerie","K1H","103.65","212.71","276.11","Finale A"
"Quentin Chauvin","K1H","103.73","213.31","277.03","Finale A"
"Lucas Hives - Sorin","K1H","104.93","-","290.79","Finale A"
"Yann Le Pennec","K1H","105","-","291.59","Finale A"
"Nicolas Mevel","K1H","105.35","228.76","295.61","Finale A"
"Marc Biazizzo","K1H","106.94","-","313.84","Finale A"
"Jean-francois Souville","K1H","108.09","244.87","327.02","Finale A"
"Adrien Roussel","K1H","110.68","163.31","356.72","Finale A"
"Matheo Lebaindre","K1H","110.77","231.83","357.75","Finale A"
"Johann Loiseau","K1H","110.77","205.68","357.75","Finale A"
"Kevin Lemenaheze","K1H","111.05","175.92","360.96","Finale A"
"Michael Guyon","K1H","113.41","219.95","388.02","Finale A"
"Anthony Poux","K1H","119.28","261.88","455.32","Finale A"
"Hugo Guilleray","K1H","126.7","309.85","540.39","Finale A"
"Boris Neveu","K1H","135.71","4.6","643.7","Finale A"
"Etienne Daille","K1H","136.8","36.65","656.2","Finale A"
"Renaud Doby","K1H","139.22","19.42","683.94","Finale A"
"Pol Oulhen","K1H","140.27","72.4","695.98","Finale A"
"Antoine Roux","K1H","146.66","121.43","769.25","Finale A"
"Louis Midy","K1H","151.01","210.08","819.12","Finale A"
"Maxime Tilhet","K1H","151.72","132.63","827.26","Finale A"
"Hippolyte Cail","K1H","152.6","256.26","837.35","Finale A"
"Alexandre Pouille","K1H","157.36","284.15","891.93","Finale A"
"Clement Cierocki","K1H","163.24","168.38","959.34","Finale A"
"Mathieu Desnos","K1H","188.89","45.69","1253.43","Finale A"
"Alan Dollo","K1H","206.45","116.51","1454.77","Finale A"
"Lucas Roisin","K1H","Abs","-","-","Finale A"
"Thomas Bersinger","K1H","Abs","-","-","Finale A"
"Edgar Prigent","K1H","Dsq","-","-","Finale A"
"Nicolas Caussanel","K1H","Dsq","-","-","Finale A"
"Antoine Runet","K1H","Des","-","-","Finale A"
"Hugo Regnier","K1HM","106.39","-","307.53","Finale A"
"Anatole Delassus","K1HM","112.69","-","-","Finale A"
"Lorenzo Py","K1HM","126.76","543.1","541.08","Finale A"
"Leo Dujourd'hui","K1HM","139.54","-","687.61","Finale A"
"Alois Bertrand","K1HM","186.35","-","1224.31","Finale A"
"Valentin Courtiade","K1HM","195.09","-","-","Finale A"
"Yanis Clerc","K1HM","204.02","-","-","Finale A"
"Simon Metra","K1HM","358.64","-","-","Finale A"
"Jack Nattrass","K1HM","Abs","-","-","Finale A"
"Lucie Prioux","C1D","114.7","115.63","188.63","Finale B"
"Margaux Henry","C1D","122.73","217.99","265.35","Finale B"
"Natacha Delassus","C1D","141.12","699","441.06","Finale B"
"Marjorie Delassus","C1D","145.77","318.39","485.49","Finale B"
"Romane Prigent","C1D","209.82","290.84","1097.46","Finale B"
"Corentin Oulhen","C1H","100.15","151.1","186.31","Finale B"
"Antoine Roux","C1H","101.36","111.76","199.52","Finale B"
"Melenn Aubry","C1H","104.55","202.17","234.35","Finale B"
"Thomas Launay","C1H","106.67","265.87","257.5","Finale B"
"Joris Santoro","C1H","106.9","216.91","260.02","Finale B"
"Yann Le Pennec","C1H","107.07","-","261.86","Finale B"
"Galaad Pereyron","C1H","107.56","163.72","267.22","Finale B"
"Theo Roisin","C1H","108.51","259.77","277.6","Finale B"
"Nicolas Bernardy","C1H","109.35","344.26","286.77","Finale B"
"Jerome Blanchet","C1H","109.53","235.48","288.73","Finale B"
"Hugo Robin","C1H","110.66","370.63","301.06","Finale B"
"Jonathan Delagnes","C1H","113.63","184.14","333.5","Finale B"
"Faysal Ali Zazou","C1H","115.17","254.61","350.32","Finale B"
"Martin Daviet","C1H","115.32","240.96","351.96","Finale B"
"Jules Chaumet","C1H","115.82","226.78","357.42","Finale B"
"Quentin Chauvin","C1H","117.37","303.79","374.34","Finale B"
"Benjamin Reig","C1H","118.12","300.3","382.53","Finale B"
"Jerome Daille","C1H","120.26","321.77","405.89","Finale B"
"Johan Pucheou","C1H","121","312.5","413.98","Finale B"
"Alexandre Lucas","C1H","124.18","385.32","448.71","Finale B"
"Merwan Fliou","C1H","126.36","297.19","472.51","Finale B"
"Mathieu Marteau","C1H","128.58","415.46","496.75","Finale B"
"Nasser Belabdi","C1H","184.19","476.33","1103.98","Finale B"
"Adrien Picco","C1H","229.51","386.42","1598.85","Finale B"
"Addwyn Martinez","C1H","242.05","368.09","1735.79","Finale B"
"Mathias Rodrigues","C1H","Abs","-","-","Finale B"
"Luc Sarramea","C1H","Abd","-","-","Finale B"
"Abdelkrim Ali Zazou","C1H","Abs","-","-","Finale B"
"Jason Brothier-Nathan Hossin","C2H","108.18","237","220.3","Finale B"
"Melenn Aubry-Alan Dollo","C2H","120.4","278.59","347.67","Finale B"
"Nicolas Caussanel-Adrien Roussel","C2H","155.73","-","715.92","Finale B"
"Hugo Mouffle-Theau Le Loch","C2H","197.26","608.11","1148.79","Finale B"
"Pierre-louis Saussereau-Florent Iraundegui","C2H","205.32","-","1232.81","Finale B"
"Louis Bouchiat-Michael Guyon","C2H","Abs","-","-","Finale B"
"Simon Le Friec-Jonathan Marc","C2H","Abd","-","-","Finale B"
"Josepha Longa","K1D","101.95","57.03","127.15","Finale B"
"Margaux Henry","K1D","102","90.48","127.66","Finale B"
"Romane Prigent","K1D","105.06","132.47","158.7","Finale B"
"Agathe Chaumet","K1D","112.75","219.49","236.73","Finale B"
"Lise Denat","K1D","114.04","229.29","249.81","Finale B"
"Celia Jodar","K1D","116.22","-","271.94","Finale B"
"Noa Bouchardon","K1D","119.12","273.84","301.36","Finale B"
"Violaine Truche","K1D","119.22","264.96","302.37","Finale B"
"Heloise Geffray","K1D","122.89","181.28","339.61","Finale B"
"Marie Helye","K1D","126.77","404.63","378.98","Finale B"
"Oceane Michaud","K1D","131.56","-","427.59","Finale B"
"Morgane Quemerais","K1D","132.53","328.55","437.42","Finale B"
"Cindy Coat","K1D","133.66","270.8","448.89","Finale B"
"Astrid Coste","K1D","137.33","291.18","486.13","Finale B"
"Stephanie Kaczmarek","K1D","140.44","261.67","517.68","Finale B"
"Agathe Gewiss","K1D","155.37","477.23","669.18","Finale B"
"Julie Paris","K1D","174.49","478.22","863.17","Finale B"
"Elsa Cailhol","K1D","177.96","309.81","898.38","Finale B"
"Maud Sourbes","K1D","201.01","358.32","1132.26","Finale B"
"Morgane Foligne","K1D","212.31","326.27","1246.91","Finale B"
"Laura Maurilieras","K1D","242.04","-","1548.57","Finale B"
"Axelle Degremont","K1D","301.95","506.32","2156.43","Finale B"
"Jeanne Pecot","K1D","341.67","703.43","2559.46","Finale B"
"Tom Scianimanico","K1H","90.45","43.79","129.77","Finale B"
"Maxime Texier","K1H","95.26","186.83","184.92","Finale B"
"Morgan Le Friec","K1H","98.42","217.19","221.15","Finale B"
"Allan Cousset","K1H","99.6","270.34","234.68","Finale B"
"Audrick Ruiz","K1H","101.23","260.2","253.37","Finale B"
"Theo Celjo","K1H","102.76","194.53","270.91","Finale B"
"Theo Desvignes","K1H","102.76","282.93","270.91","Finale B"
"SÉbastian Rossi","K1H","103.55","-","279.97","Finale B"
"Robin Vandenbossche","K1H","104.92","294.52","295.68","Finale B"
"Sebastien Martel","K1H","106.13","348.27","309.55","Finale B"
"Quentin Clerc","K1H","108.07","322.31","331.79","Finale B"
"Florent Iraundegui","K1H","108.69","295.34","338.9","Finale B"
"Gaetan Coat","K1H","109.23","304.57","345.09","Finale B"
"Alan Mahe","K1H","109.35","286.13","346.47","Finale B"
"Mathis Soudi","K1H","110.21","350.73","356.33","Finale B"
"Tony Deshayes","K1H","110.26","334.98","356.9","Finale B"
"Manuel Legros","K1H","112.26","396.6","379.83","Finale B"
"Antoine Dumaye","K1H","112.29","343.37","380.18","Finale B"
"Flavien San Augustin","K1H","113.23","339.54","390.95","Finale B"
"Nicolas Corbin","K1H","113.94","354.26","399.09","Finale B"
"Clement Bosc","K1H","114.17","336.05","401.73","Finale B"
"Paul Aubert","K1H","114.24","-","402.53","Finale B"
"Guillaume Dumora","K1H","114.8","578.6","408.96","Finale B"
"Antoine Marigil","K1H","115.87","350.47","421.22","Finale B"
"Hugo Mouffle","K1H","115.99","345.38","422.6","Finale B"
"Jules Reix","K1H","116.59","317.06","429.48","Finale B"
"Pierre-louis Saussereau","K1H","116.75","320.26","431.31","Finale B"
"Ludovic Delahaye","K1H","119.15","-","458.83","Finale B"
"Arthur Chaumet","K1H","119.41","256.2","461.81","Finale B"
"Romain Viry","K1H","119.98","285.84","468.35","Finale B"
"Marc Darribere","K1H","121.06","-","480.73","Finale B"
"Edouard Lecomte","K1H","121.4","309.43","484.63","Finale B"
"Leon Zaragoza","K1H","121.9","510.45","490.36","Finale B"
"Gregoire Pouille","K1H","122.14","344.22","493.11","Finale B"
"Theau Le Loch","K1H","123.22","395.33","505.49","Finale B"
"Yannis Brousset","K1H","123.63","391.42","510.2","Finale B"
"Komlangan Gassou","K1H","123.95","416.42","513.86","Finale B"
"Gwenael Marquer","K1H","123.99","263.87","514.32","Finale B"
"Xavier Le Gallic","K1H","127.97","367.58","559.96","Finale B"
"Julien Delaleux","K1H","129.18","355.16","573.83","Finale B"
"Antoine Laye","K1H","129.37","347.2","576.01","Finale B"
"Roman Gastaud","K1H","129.49","443.23","577.38","Finale B"
"Lucas Lavit","K1H","132.28","366.23","609.37","Finale B"
"Louis Bouchiat","K1H","132.76","319.89","614.88","Finale B"
"Nasser Belabdi","K1H","134.69","491.41","637","Finale B"
"Paul Ballery","K1H","137.41","530.27","668.19","Finale B"
"Vincent Ardonceau","K1H","138.46","384.41","680.23","Finale B"
"Paul Luquet","K1H","139","449.1","686.42","Finale B"
"Louis Foissac","K1H","139.32","506.11","690.09","Finale B"
"Yann Le Govic","K1H","139.96","33.85","697.43","Finale B"
"Luc Sarramea","K1H","141.08","452.05","710.27","Finale B"
"Baptiste Lauroua","K1H","147.27","515.76","781.24","Finale B"
"Olivier Cail","K1H","156.26","321.11","884.31","Finale B"
"Clement Ravoteur","K1H","158.81","-","913.55","Finale B"
"Jacques Roisin","K1H","169.59","355.36","1037.15","Finale B"
"Youn Aubry","K1H","171.12","312.33","1054.69","Finale B"
"Micael Rodriguez Alves Lato","K1H","171.83","337.05","1062.83","Finale B"
"Pierrealain Clerc","K1H","174.65","361.25","1095.16","Finale B"
"Erwan Guilhamet","K1H","176.17","440.29","1112.59","Finale B"
"Theo Ducasse","K1H","180.73","452","1164.87","Finale B"
"Jean Baptsite Cans","K1H","185.06","420.47","1214.52","Finale B"
"Eric Vidou","K1H","186.34","451.82","1229.2","Finale B"
"Loic Thibaut","K1H","206.68","554.18","1462.4","Finale B"
"Kenae Brassier","K1H","214.82","622.98","1555.73","Finale B"
"Gabriel Chapoulie","K1H","235.29","649.1","1790.43","Finale B"
"Marc Cordier","K1H","248.73","393.1","1944.53","Finale B"
"Bastien Daniel","K1H","261.02","445.87","2085.44","Finale B"
"Robin Metra","K1H","266.56","591.04","2148.96","Finale B"
"Nicolas Saurat","K1H","266.95","560.73","2153.43","Finale B"
"Jean Christophe Erdois","K1H","280.9","-","2313.37","Finale B"
"Aven Gilham","K1H","323.52","728.76","2802.03","Finale B"
"Paul Lefevre","K1H","548.24","2633.88","5378.56","Finale B"
"Gilles Tricard","K1H","Des","-","-","Finale B"
"Mehdi Benounis","K1H","Abs","-","-","Finale B"
"Nicolas Peyroux","K1H","Abd","-","-","Finale B"
"Matthieu Demarty","K1H","Des","-","-","Finale B"
"Loup Fauries","K1H","Abs","-","-","Finale B"
"Jordan Rocdunos","K1H","Dsq","-","-","Finale B"
"Hugo Robin","K1H","Abs","-","-","Finale B"
"Leo Tasset","K1H","Des","-","-","Finale B"
"Martin Belliot","K1H","Abs","-","-","Finale B"
"Jean Yves Prigent","K1H","Abs","-","-","Finale B"
"Emile Delamarche","K1H","Abd","-","-","Finale B"
"Theo Rose","K1HM","144.74","-","752.23","Finale B"
"Nathan Pavot","K1HM","194.12","590.39","1318.4","Finale B"
"Hugo Malet","K1HM","423.31","-","3946.17","Finale B"
"Mateo Gaudin","K1HM","528.92","-","-","Finale B"
"Marc Sarramea","K1HM","Abs","-","-","Finale B"
"Maxime Pourret","K1HM","Abd","-","-","Finale B"
"Leam Auffret","K1HM","Abd","-","-","Finale B"
"Thomas Deguilhem","K1HM","Abd","-","-","Finale B"
