"Sélectif N3 Nord Est - Corbeil Essonnes - 2001-04-08","Course 1","2001-04-08","Nationale 3","158"
"Dalla-Zuana Christophe","K1H","215.52","-","316",""
"Cedric Mace","K1H","215.86","-","318",""
"Stephane Ferrignio","K1H","217.31","-","327",""
"Stephane Rousse","K1H","218.13","-","331",""
"Pierre Aubry","K1H","218.15","-","332",""
"Duru Jerome","K1H","218.21","-","332",""
"Jonathan Chapatte","K1H","218.51","-","334",""
"Douillet Guilhem","K1H","218.52","-","334",""
"Bigand Baptiste","K1H","218.56","-","334",""
"Lambert Kevin","K1H","218.95","-","336",""
"Romain Bove","K1H","219.29","394","338",""
"Sassier Guillaume","K1H","219.54","-","340",""
"Joder Morgan","K1H","219.9","-","342",""
"Gallais Jules","K1H","220.54","-","346",""
"Olivier Urbain","K1H","220.95","-","348",""
"Xavier Jourdain","K1H","221.36","-","350",""
"Di Lauro Maxime","K1H","222.28","-","356",""
"Lahaye Paulin","K1H","222.36","-","356",""
"Picard Cyril","K1H","223.91","-","365",""
"Michel Gombert","K1H","224.14","-","367",""
"Vernotte Vincent","K1H","224.16","-","367",""
"Fayol Guillaume","K1H","224.5","-","369",""
"Lemaire Maxime","K1H","224.67","-","370",""
"Julien Darees","K1H","224.7","-","370",""
"Yves Debailleul","K1H","225.51","-","375",""
"Delhomme Laurent","K1H","226.00","-","378",""
"Bouchard Vincent","K1H","226.32","-","379",""
"Stephane Helle","K1H","228.3","-","391",""
"Nicolas Mangeolle","K1H","229.2","-","396",""
"Viellard Amaury","K1H","229.49","-","398",""
"Luc Formet","K1H","229.68","-","399",""
"Bruet Guillaume","K1H","230.95","-","407",""
"Hachimi Ahmed","K1H","231.25","-","408",""
"Frederic Tinchant","K1H","231.33","-","409",""
"Alexandre Guerinet","K1H","231.53","-","410",""
"Sarazin Emmanuel","K1H","232.41","-","415",""
"Tuypens Vincent","K1H","232.61","-","416",""
"Babeur Laurent","K1H","233.21","-","420",""
"Brugvin Thierry","K1H","234.23","-","426",""
"Philippe Valeri","K1H","234.5","-","427",""
"Thevenin Johann","K1H","234.67","-","428",""
"Peureux Romain","K1H","234.87","-","430",""
"Kudla Romain","K1H","235.22","-","432",""
"Dubois Sebastien","K1H","235.29","-","432",""
"Diochet Yannick","K1H","237.29","-","444",""
"Lecluse Arnaud","K1H","237.3","-","444",""
"Balducci Hugo","K1H","237.79","-","447",""
"Chevalier Benjamin","K1H","237.85","-","447",""
"Lemoule Pierre","K1H","238.16","-","449",""
"Matthieu Walfard","K1H","238.42","-","450",""
"Lombard Julien","K1H","238.53","-","451",""
"Sergent Sylvain","K1H","239.13","-","455",""
"David Sebastien","K1H","239.46","-","456",""
"Koegler Fabrice","K1H","241.22","-","467",""
"Thibaud Kudla","K1H","241.78","-","470",""
"Vallee Mathieu","K1H","242.11","-","472",""
"Dupont Emmanuel","K1H","242.35","-","473",""
"Pierson Cyril","K1H","242.38","-","474",""
"Boehler Jean","K1H","242.62","-","475",""
"Ruiz Pierre","K1H","242.79","-","476",""
"Lacour Jerome","K1H","243.09","-","478",""
"Malderez Sebastien","K1H","243.61","-","481",""
"Brouillot Mathieu","K1H","244.35","-","485",""
"Eric Formet","K1H","244.56","-","486",""
"Viratelle Vincent","K1H","245.46","-","492",""
"Jerome Olhagaray","K1H","245.66","-","493",""
"Philippe Cedric","K1H","246.31","-","497",""
"Paolo Willmann Rosso","K1H","247.65","-","504",""
"Noel Jeremie","K1H","249.32","-","514",""
"Pouillard Quentin","K1H","249.58","-","516",""
"Muguet-Robba Paul-Antoine","K1H","252.21","-","531",""
"Coiffe Florion","K1H","252.92","-","535",""
"Adam Pascal","K1H","254.98","-","547",""
"Boullet Stephane","K1H","255.58","-","551",""
"Jodar Sebastien","K1H","257.73","-","564",""
"Macarty Sebastien","K1H","258.57","-","569",""
"Auberger Florent","K1H","260.28","-","579",""
"Douillot Nicolas","K1H","260.35","1221","579",""
"Jerome Mailfait","K1H","261.15","-","584",""
"Aurel Sebastien","K1H","261.93","-","588",""
"Hamann Damien","K1H","262.42","-","591",""
"Nedelec Etienne","K1H","263.13","-","595",""
"Havet Jean-Yves","K1H","263.35","-","597",""
"Dubois Maxime","K1H","263.72","-","599",""
"Ureta Stephane","K1H","265.68","-","610",""
"Doury Jean-Francois","K1H","269.25","-","631",""
"Drosseau Simon","K1H","285.04","-","724",""
"Thenon Gregori","K1H","293.96","-","776",""
"Gacoin Stephane","K1H","318.61","-","921",""
"Marx Julien","K1H","322.33","-","942",""
"Besch Frederic","K1H","345.2","-","1076",""
"Girault Mathieu","K1H","358.54","-","1155",""
"Knibbe Vivien","K1H","366.09","-","1199",""
