"Sélectif N3 Slalom - Bourg St Maurice - 2008-05-04","Course 1","2008-05-04","Nationale 3","140"
"Maxime Lambert","K1H","231.10","312","387",""
"Bessiere Florian","K1H","231.45","331","389",""
"Alexandre Bordas","K1H","231.46","361","389",""
"Guilhem Courduries","K1H","231.53","285","390",""
"Thomas Stutzmann","K1H","231.74","329","390",""
"Yann Maignant","K1H","232.19","404","393",""
"Tom Jackson","K1H","232.62","392","395",""
"Kevin Deschamps","K1H","235.12","462","410",""
"Pascal Garnier","K1H","236.62","447","418",""
"Yan Labeye","K1H","237.22","471","422",""
"Cnapelynck Aurélien","K1H","237.70","415","425",""
"Pierre Rat","K1H","238.24","298","428",""
"Florian Hugedet","K1H","241.89","604","449",""
"Jeanpierre Patard","K1H","241.94","399","449",""
"Thomas Neime","K1H","242.01","490","450",""
"Lois Guillermond","K1H","247.34","475","481",""
"Hugues Peyret","K1H","250.87","479","501",""
"Arthur Bernot","K1H","252.01","395","507",""
"Paul Bornier","K1H","254.20","512","520",""
"Robin Dupras","K1H","254.23","503","520",""
"Yanis Burdet","K1H","260.53","334","557",""
"Lucas Boissy","K1H","262.93","767","571",""
"Simon Barthelemy","K1H","267.26","541","596",""
"Frederic Caillet","K1H","268.82","425","605",""
"Adrien Kaiser","K1H","271.61","504","621",""
"Pierre Dalibard","K1H","272.28","522","624",""
"Felix Balas","K1H","272.75","482","627",""
"Pierre Alexandre Facon","K1H","281.67","780","679",""
"Colas Geier","K1H","282.43","558","683",""
"Pierrick Bonnefoy","K1H","283.97","647","692",""
"Simon Sauvage","K1H","287.00","548","710",""
"Paul Morland","K1H","291.75","585","737",""
"Thomas Garnier","K1H","295.55","567","759",""
"Eric Louis","K1H","308.85","610","836",""
"Pierre Berberat","K1H","311.31","500","850",""
"Emmanuel Colajanni","K1H","318.71","551","893",""
"Clement Gourmelon","K1H","320.83","563","905",""
"Remi Vallin","K1H","343.54","487","1037",""
"Loick Aupee","K1H","364.44","492","1157",""
"Juif Mickael","K1H","368.81","584","1183",""
"Laurent Starck","K1H","383.00","620","1264",""
"Thomas Genet","K1H","399.91","494","1362",""
"Romain Magnolo","K1H","402.19","513","1376",""
"David Pierson","K1H","422.79","666","1495",""
"Claude Breuzard","K1H","475.88","714","1801",""
"Gerard Cartier","K1H","552.27","793","2242",""
