"Compétition Régionale de Slalom - Amou - Finale - 2015-01-25","Finale","2015-01-25","Régional","176"
"Carole Bouzidi","K1D","120.17","11.2","118.84","Finale A"
"Solene Graille","K1D","121.44","111.93","131.09","Finale A"
"Romane Prigent","K1D","125.53","129.07","170.55","Finale A"
"Cecile Tixier","K1D","125.78","132.54","172.97","Finale A"
"Lisa Mouffle","K1D","125.95","188.03","174.61","Finale A"
"Emeline Oudet","K1D","127.39","134.2","188.51","Finale A"
"Marjorie Delassus","K1D","127.73","176.92","191.78","Finale A"
"Natacha Delassus","K1D","128.47","240.35","198.92","Finale A"
"Lise Denat","K1D","130.89","229.29","222.27","Finale A"
"Astrid Coste","K1D","134.83","291.18","260.29","Finale A"
"Morgane Foligne","K1D","135.4","282.43","265.78","Finale A"
"Oceane Michaud","K1D","140.43","336.64","314.31","Finale A"
"Oriane Guichet","K1D","140.5","338.57","314.99","Finale A"
"Maud Sourbes","K1D","141.52","300.95","324.83","Finale A"
"Stephanie Kaczmarek","K1D","142.17","235.7","331.1","Finale A"
"Alixe Degremont","K1D","143.54","300.45","344.33","Finale A"
"Julie Paris","K1D","146.65","436.34","374.33","Finale A"
"Marianne Van Maanen","K1DM","150.05","-","-","Finale A"
"Elorri Erdois","K1DM","163.86","-","-","Finale A"
"Clemence Lartigue","K1DM","171.99","-","-","Finale A"
"Emma Angladette","K1DM","186.78","-","-","Finale A"
"Jonas Turmeau","K1H","106.1","70.93","116.17","Finale A"
"Nicolas Abbal","K1H","106.46","52.28","120.09","Finale A"
"Goulwen Chapelier","K1H","107.3","58.97","129.25","Finale A"
"Vincent Fondeviole","K1H","108.53","125.97","142.66","Finale A"
"Edgar Prigent","K1H","110.85","166.95","167.96","Finale A"
"Theo Celjo","K1H","112.51","192.64","186.05","Finale A"
"Olivier Cain","K1H","112.93","208.35","190.63","Finale A"
"Bertrand Gourrat","K1H","113.84","187.36","200.55","Finale A"
"Louis Midy","K1H","115.09","207.76","214.18","Finale A"
"Guillaume Graille","K1H","115.42","112.02","217.78","Finale A"
"Yann Le Pennec","K1H","119.71","234.43","264.55","Finale A"
"Jeanmichel Bibes","K1H","119.98","-","267.5","Finale A"
"Quentin Clerc","K1H","120.31","301.34","271.09","Finale A"
"Robin Vandenbossche","K1H","120.8","285.26","276.44","Finale A"
"Lucas Lavit","K1H","120.8","334.63","276.44","Finale A"
"Denis Delaleux","K1H","121.46","261.56","283.63","Finale A"
"Florent Iraundegui","K1H","121.96","265.48","289.08","Finale A"
"Hugo Mouffle","K1H","122.06","295.04","290.17","Finale A"
"Pierre Campagne","K1H","122.76","327.15","297.81","Finale A"
"Pierre-louis Saussereau","K1H","123.19","297.65","302.49","Finale A"
"Theau Le Loch","K1H","123.63","321.7","307.29","Finale A"
"Manuel Legros","K1H","123.97","376.45","311","Finale A"
"Edouard Lecomte","K1H","124.25","276.54","314.05","Finale A"
"Marc Cordier","K1H","125.13","355.92","323.64","Finale A"
"Aurelien Penicaud","K1H","125.4","-","326.59","Finale A"
"Flavien San Augustin","K1H","126.95","285.79","343.49","Finale A"
"Lorenzo Py","K1H","127.42","366.71","348.61","Finale A"
"Jean Christophe Erdois","K1H","127.68","309.04","351.45","Finale A"
"Luc Sarramea","K1H","127.92","397.72","354.06","Finale A"
"Jonathan Suc","K1H","128.4","-","359.3","Finale A"
"Julien Delaleux","K1H","128.71","320.93","362.68","Finale A"
"Marc Darribere","K1H","129.08","342.66","366.71","Finale A"
"Erwan Guilhamet","K1H","129.2","352.87","368.02","Finale A"
"Pascal Dongarra","K1H","130.14","-","378.27","Finale A"
"Loic Pierre","K1H","130.27","-","379.68","Finale A"
"Jose Pereira","K1H","130.7","453.21","384.37","Finale A"
"Antoine Laye","K1H","131.69","327.21","395.17","Finale A"
"Florian Giraud","K1H","131.75","437.1","395.82","Finale A"
"Paul Luquet","K1H","131.84","403.1","396.8","Finale A"
"Eric Vidou","K1H","132.65","421.65","405.63","Finale A"
"Patrick Clerc","K1H","133.2","-","411.63","Finale A"
"Clement Ravoteur","K1H","133.46","501.27","414.46","Finale A"
"Pierre Cottereau","K1H","133.56","-","415.55","Finale A"
"Nicolas Neveu","K1H","136.59","429.75","448.59","Finale A"
"Loic Thibaut","K1H","136.9","416.9","451.97","Finale A"
"Baptiste Lauroua","K1H","137.86","454.36","462.43","Finale A"
"Pierre Adrien Plantion","K1H","138.08","-","464.83","Finale A"
"Jack Nattrass","K1H","139.14","426.41","476.39","Finale A"
"Nicolas Corbin","K1H","165.44","338.4","763.13","Finale A"
"Tom Bouchardon","K1HM","129.13","-","-","Finale A"
"Valentin Courtiade","K1HM","137.12","-","-","Finale A"
"Adrien Mesmoudi","K1HM","137.82","-","-","Finale A"
"Tino Forgues","K1HM","139.61","-","-","Finale A"
"Thibault Clerc","K1HM","142.27","-","-","Finale A"
"Simon Metra","K1HM","142.72","-","-","Finale A"
"Martin Jouves","K1HM","145.75","-","-","Finale A"
"Elian Giondini","K1HM","147.25","-","-","Finale A"
"Elliot Perez","K1HM","149.19","-","-","Finale A"
"Louis Casenave","K1HM","153.39","-","-","Finale A"
"Leonard Gaugler","K1HM","155.02","-","-","Finale A"
"Jeremie Lacroix","K1HM","156.19","-","-","Finale A"
"Tomy Dandonneau","K1HM","160.56","-","-","Finale A"
"Maxime Reubrez","K1HM","170.32","-","-","Finale A"
"Natacha Delassus","C1D","156.41","442.18","385.47","Finale B"
"Julie Paris","C1D","167.39","481.67","485.23","Finale B"
"Morgane Foligne","C1D","171.53","491.23","522.84","Finale B"
"Oriane Guichet","C1D","171.69","590.68","524.29","Finale B"
"Alixe Degremont","C1D","Abs","-","-","Finale B"
"Theau Le Loch","C1H","141.89","491.34","437.7","Finale B"
"Luc Sarramea","C1H","147.99","483.7","501.05","Finale B"
"Leo Dujourd'hui","C1H","152.3","-","545.8","Finale B"
"Nicolas Scharff","C1H","176.41","834.66","796.15","Finale B"
"Thomas Bisetto","C1H","223.25","757.19","1282.5","Finale B"
"Agathe Gewiss","K1D","149.63","412.14","408.08","Finale B"
"Celine De La Morinerie","K1D","151.94","446.06","430.37","Finale B"
"Axelle Degremont","K1D","153.65","376.54","446.86","Finale B"
"Pierrine Sallefranque","K1D","158.16","-","490.38","Finale B"
"CÉcilia Bourgeois","K1D","161.28","821.48","520.49","Finale B"
"Jeanne Pecot","K1D","161.61","544.66","523.67","Finale B"
"Agathe Benoit","K1D","162.04","-","527.81","Finale B"
"Emmanuelle Monguillet","K1D","164.2","749.66","548.66","Finale B"
"Clarisse Hoogland","K1D","173.35","809.18","636.94","Finale B"
"Aline Malmezac","K1D","178.78","1105.08","689.32","Finale B"
"Clea Tasserit","K1D","206.24","-","954.27","Finale B"
"Alice Pradalie","K1D","241.15","-","1291.09","Finale B"
"Romane Decoopman","K1DM","157.3","-","-","Finale B"
"Bastien Daniel","K1H","126.81","413.67","346.96","Finale B"
"Francois Giondini","K1H","129.36","405.49","374.76","Finale B"
"Loup Fauries","K1H","132.84","409.82","412.7","Finale B"
"Jeremy Rouchereau","K1H","132.91","416.22","413.47","Finale B"
"Marc Lalande","K1H","134.32","495.74","428.84","Finale B"
"Thomas Wingerter","K1H","134.6","523.04","431.89","Finale B"
"Pierre Gaydier","K1H","137.26","-","460.89","Finale B"
"Louis Decoopman","K1H","137.26","-","460.89","Finale B"
"Kenae Brassier","K1H","137.84","500.03","467.22","Finale B"
"Alois Bertrand","K1H","138.23","617.18","471.47","Finale B"
"Nathan Pavot","K1H","139.39","531.64","484.11","Finale B"
"Paul Pradalie","K1H","142.51","493.42","518.13","Finale B"
"Nicolas Saurat","K1H","143.46","507.63","528.49","Finale B"
"Theo Dunie","K1H","143.6","564.19","530.01","Finale B"
"Jeremy Lemaire","K1H","145.68","-","552.69","Finale B"
"Alexandre Dubrous","K1H","145.73","702.11","553.24","Finale B"
"Leam Auffret","K1H","146.63","566.84","563.05","Finale B"
"Aven Gilham","K1H","149.54","621.78","594.78","Finale B"
"Thomas Bisetto","K1H","149.66","668.08","596.08","Finale B"
"Jean Luc Pessoni","K1H","149.91","630.35","598.81","Finale B"
"Leo Dujourd'hui","K1H","150.54","1108.55","605.68","Finale B"
"Florian Boyer","K1H","152.37","-","625.63","Finale B"
"Pierre Doumecq","K1H","152.58","-","627.92","Finale B"
"Maxime Pourret","K1H","152.72","1612.34","629.45","Finale B"
"Compton Cruickshank","K1H","152.91","-","631.52","Finale B"
"Thiefaine Verge","K1H","154.29","844.86","646.56","Finale B"
"Loan Jioux","K1H","155.19","1591.95","656.38","Finale B"
"Alexandre Sorel","K1H","157.99","-","686.9","Finale B"
"Maurice Pubert","K1H","160.35","735.82","712.63","Finale B"
"Bastien Darmayan","K1H","166.25","-","776.96","Finale B"
"Jeremy Havet","K1H","169.53","-","812.72","Finale B"
"Nicolas Peyroux","K1H","201.78","1356.15","1164.32","Finale B"
"Thomas Moity","K1H","204.35","-","1192.34","Finale B"
"GrÉgory Navail","K1H","214.33","-","1301.15","Finale B"
"Angus Cruickshank","K1HM","157.83","-","-","Finale B"
"Baptiste Riviere","K1HM","161.82","-","-","Finale B"
"Renaud Clerc","K1HM","171.32","-","-","Finale B"
"Thibault Denaules","K1HM","181.92","-","-","Finale B"
"Hugo Lavedan","K1HM","184.66","-","-","Finale B"
"Julien Coric","K1HM","195.86","-","-","Finale B"
"Gabin Allard","K1HM","203.46","-","-","Finale B"
"Nicolas Maite","K1HM","215.5","-","-","Finale B"
