"Championnat de France Slalom par équipe - Bourg St Maurice - Championnat de France par Equipe de Clubs - 2016-07-29","Championnat de France par Equipe de Clubs","2016-07-29","Championnats de France","119"
"Edgar Prigent-Quentin Mignard-Guillaume Graille","ekh","91.31","-","500",""
"Nicolas Labat-Antoine Launay-Damien Launay","ekh","91.58","-","2826",""
"Christophe Marechal-Janos Peterlin-Benjamin Buys","ekh","91.59","-","2792",""
"Martin Daviet-Mathieu Biazizzo-Clement Travert","ekh","92","-","2757",""
"Romain Guyomard-Benoit Guillaume-Alan Dollo","ekh","92.98","-","2722",""
"Louis Georges Lafont-Arnaud Lapeze-Maxime Tilhet","ekh","93.52","-","2688",""
"Pol Euzenes-Valentin Brindeau-Pol Oulhen","ekh","93.67","-","2653",""
"Benoit Chantry-Vincent Ablin-Mathurin Madore","ekh","94.57","-","2618",""
"Matheo Lebaindre-Malo Quemeneur-Youn Aubry","ekh","94.86","-","2583",""
"Emmanuel Walczak-Enrick Cunsolo-Robin Pilard","ekh","95.29","-","2549",""
"Charlie Barbier-Maxime Di Lauro-Quentin Burgi","ekh","95.9","-","2514",""
"Axel Sleebus-Thomas Schmitt-Antoine Gaillard","ekh","95.95","-","2479",""
"Nicolas Coudert-Fabien Le Nechet-Yann Le Govic","ekh","96.04","-","2444",""
"Aubry Bertin-Samuel Lhegu-Yves Prigent","ekh","96.05","-","2410",""
"Kevin Schultz-Alexis Caspar-Jonathan Chapatte","ekh","96.21","-","500",""
"Jules Bevalot-Eric Lamour-Benjamin Thiboust","ekh","96.3","-","2340",""
"Clement Cierocki-Thibault Marchand-Louison Turmeau","ekh","96.9","-","2306",""
"Zeph Scamps-Pierre Giudicelli-Theo Desvignes","ekh","97.07","-","500",""
"Manuel Munsch-Julien Haberland-Laurent Starck","ekh","97.3","-","2236",""
"Damiens Ganthier-Bertrand Gutierrez-Hugo Simon","ekh","97.42","-","2201",""
"Maxime Foucault-William Desnos-Sami Rocher","ekh","97.43","-","2167",""
"LUCA DOS SANTOS-YANI FERHAOUI-ANTOINE SAUL","ekh","98.44","-","2132",""
"Matthieu Le Gall-Valentin Vibert-Sebastien Routhier","ekh","99.09","-","2097",""
"Quentin Robin-Lucas Augu-Emeric Bussonnais","ekh","100.5","-","500",""
"Alexis Dorey-Maxence Merpillat-Raphael Lassechere","ekh","100.52","-","500",""
"Edouard Lecomte-Alexandre Lucas-Robin Vandenbossche","ekh","100.53","-","500",""
"Benjamin Harreau-Corentin Douady-Thomas Durand","ekh","101.97","-","500",""
"Anthony Drouhin-Julien Dosse-Pierre Audouin","ekh","102.13","-","500",""
"Arthur Mizzi-Hugo Regnier-Timothee Cornu","ekh","102.57","-","500",""
"Quentin Le Duc-Jeremy Lecollinet-Clement Le Collinet","ekh","103","-","500",""
"Paul Cazee-Cedric Jegouzo-Kilian Flegeau","ekh","104.02","-","1819",""
"Samuel Bonella-Tom Benini-Henri Bergognon","ekh","104.04","-","1785",""
"Pascal Marrec-Gaetan Le Henaff-Paul Gestin","ekh","105.03","-","1750",""
"Brice Derrien-Brieuc Richard-Malo Legrand","ekh","105.52","-","1715",""
"Hugo Mouffle-Natacha Delassus-Florent Iraundegui","ekh","106.07","-","500",""
"Thomas Girard-Joey Bercon-Sebastien Nouvel","ekh","106.98","-","500",""
"Gabriel De Coster-Corentin Monasse-Anthony Rouhier","ekh","107.99","-","500",""
"Nicolas Le Belleguic-Lorin Dumont-Quentin Brillaut","ekh","108.18","-","1576",""
"Mathis Daniel-Dorian Ollivier-Alan Olivo","ekh","108.27","-","500",""
"Maxime Gaillard-Paul Cornut-chauvinc-Romain Gayral","ekh","108.55","-","500",""
"Alois Bertrand-Anatole Delassus-Adrien Mesmoudi","ekh","108.74","-","500",""
"Guillaume Maillot-Mathis Soudi-Samuel Le Dean","ekh","109.25","-","500",""
"Malo Poles-Ewen Legrand-Maxime Lignereux","ekh","109.29","-","500",""
"Lucas Correia-Aaron Penning-Andreas Dupuy","ekh","109.41","-","500",""
"Arthur Guillot-le Goff-David Mingasson-Fabien De Almeida","ekh","110.3","-","1333",""
"Jeremie Palazy-Nour Ait Kaddour-Tom Zanfini","ekh","111.33","-","1299",""
"Bertrand Avril-Quentin Mannier-Nicolas Candieu","ekh","111.79","-","1264",""
"Guillaume Doutreix-Benjamin Soroka-Edouard Gracias","ekh","112.06","-","1229",""
"Henri Chenu-Florentin Saumon-Sylvain Decombe","ekh","113.15","-","500",""
"RaphaËl Massot-Paul Gaillard-Nino Chailan","ekh","114.16","-","500",""
"Alexandre Goujon-Kawan Thomas-Nayl Tazi-sidqui","ekh","114.58","-","1125",""
"Nathaniel Levy-Quentin Raissac-Leo Fournier","ekh","115.42","-","500",""
"Leo Peter-Celia Grandadam-Joris Schaffner","ekh","116.46","-","500",""
"Quentin Angot-Leontine Dubuisson-Simon Dubosc","ekh","116.79","-","500",""
"Vincent Idriss Achaoui-Julia Budzinski-Camille Hurez","ekh","118.79","-","986",""
"Jules Andrien-Bastien Caillet-Thomas L'huillier","ekh","119.25","-","500",""
"Nathanael Pedron-Alice Azam-Jonas Flament","ekh","119.4","-","917",""
"Djendy Simeant-Jules Silvin-Gabin Siau","ekh","119.47","-","500",""
"Cyril Audoit-Coralie Yebenes-Marion Delorme","ekh","122.79","-","847",""
"Jann Le Corre-Brieg Le Paih-Lubin Huet","ekh","123.96","-","500",""
"Florent Dubois-Guillaume Picavet-Ilhame Siraj","ekh","124.05","-","500",""
"Tifenn Primet-Armand Lombardot-Jules Bernardet","ekh","127.1","-","500",""
"Enzo Mazouat-Teo Bouvier-Hugo Martin -laemle","ekh","129.51","-","500",""
"Baptiste Loy-Nicolas Gestin-Francois Bonthonnou","ekh","131.72","-","500",""
"LoÏc Winiarski-Thomas Descotes-Kelly Capitaine","ekh","137.14","-","500",""
"Mathis Perreau-Vincent Delahaye-Noe Perreau","ekh","166.24","-","604",""
"Martin Jouves-Thibault Clerc-Tom Bouchardon","ekh","168.23","-","569",""
"Enzo Cozette-Clement Font-boinel-Leo Demazeau","ekh","170.73","-","535",""
"Margot Beziat-Felix Sperandio-Arthur Cousty","ekh","182.02","-","500",""
